   oṃ namaḥ sarvajñāya //	om namaH sarvajQAya //
   oṃ namo dhanvantarāye //	om namaH DanvantarAye //
   kṛtsnasya tantrasya gṛhītadhāmnaś cikitsitād viprasṛtasya dūram /	kRtsnasya tantrasya gRhIta-DAmnaH cikitsitAt viprasRtasya dUram /
   vidagdhavaidyapratipūjitasya kariṣyate yogaśatasya bandhaḥ // Yś_1 //	vidagDa-vEdya-pratipUjitasya karizyate yoga-Satasya banDaH // YH-_1 //
   parīkṣya hetvāmayalakṣaṇāni cikitsitajñena cikitsikena /	parIkzya hetu-Amaya-lakzaNAni cikitsita-jQena cikitsikena /
   nirāmadehasya hi bhaiṣajāni bhavanti yuktāny amṛtopamāni // Yś_2 //	nirAma-dehasya hi BEzajAni Bavanti yuktAni amRta-upamAni // YH-_2 //
   chinnodbhavāmbudharadhanvayavāsaviśvair	CinnodBava-ambuDara-Danvaya-vAsa-viSvEH-
   duḥsparśaparpaṭakameghakirātatiktaiḥ /	duHsparSa-parpawaka-meGa-kirAta-tiktEH /
   mustāṭarūṣakamahauṣadhadhanvayāsaiḥ kvāthaṃ pibed anilapittakaphajvareṣu	mustA-AwarUzaka-mahOzaDa-DanvayAsEH kvATam pibet anila-pitta-kaPa-jvarezu
   // Yś_3 //	// YH-_3 //
   kṣudrāmṛtānāgarapuṣkarāhvayaiḥ kṛtaḥ kaṣāyaḥ kaphamārutottare /	kzudra-amRtA-nAgara-puzkara-AhvayEH kRtaH kazAyaH kaPa-mAruta-uttare /
   saśvāsakāsārucipārśvarukkare jvare tridoṣaprabhave 'pi śasyate // Yś_4 //	sa-SvAsa-kAsa-aruci-pArSva-ruj-kare jvare tridoza-praBave api Sasyate // YH-_4 //
   āragvadhagranthikamustatiktāharītakībhiḥ kvathitaḥ kaṣāyaḥ /	AragvaDa-granTika-musta-tiktA-harItakIBiH kvaTitaH kazAyaH /
   sāme saśūle kaphavātayukte jvare hito dīpanapācanaś ca // Yś_5 //	sa-Ame sa-SUle kaPa-vAta-yukte jvare hitaH dIpana-pAcanaH ca // YH-_5 //
   drākṣābhayāparpaṭakābdatiktākvāthaṃ saśamyākaphalaṃ vidadhyāt /	drAkzA-BayA-parpawaka-abda-tiktA-kvATam sa-SamyAka-Palam vidaDyAt /
   pralāpamūrchābhramadāhamohatṛṣṇānvite pittabhave jvare tu // Yś_6 //	pralApa-mUrCA-Brama-dAha-moha-tRzNA-anvite pitta-Bave jvare tu // YH-_6 //
   nidigdhikānāgarakāmṛtānāṃ kvāthaṃ piben miśritapippalīkam /	nidigDikA-nAgaraka-amRtAnAm kvATam pibet miSrita-pippalIkam /
   jīrṇajvarārocakakāsaśūlaśvāsāgnimāndyārditapīnaseṣu // Yś_7 //	jIrNajvara-arocaka-kAsa-SUla-SvAsa-agni-mAndya-ardita-pInasezu // YH-_7 //
   durālabhāparpaṭakapriyaṅgubhūnimbavāsākaṭurohiṇīnām /	durAlaBA-parpawaka-priyaFgu-BUnimba-vAsA-kawurohiNInAm /
   kvāthaṃ pibec charkarayāvagāḍhaṃ tṛṣṇāśrapittajvaradāhayuktaḥ // Yś_8 //	kvATam pibet SarkarayA-avagAXam tRzNA-Srapitta-jvara-dAha-yuktaH // YH-_8 //
   phalatrikaṃ dāruniśāviśālāmustaṃ ca niṣkvāthya niśāṃśakalkam /	Palatrikam dAru-niSA-viSAlA-mustam ca nizkvATya niSA-aMSa-kalkam /
   pibet kaṣāyaṃ madhusaṃprayuktaṃ sarvaprameheṣu samutthiteṣu // Yś_9 //	pibet kazAyam maDu-saMprayuktam sarva-pramehezu samutTitezu // YH-_9 //
   savatsakaḥ sātiviṣaḥ sabilvaḥ sodīcyamustaś ca kṛtaḥ kaṣāyaḥ /	sa-vatsakaH sa-ativizaH sa-bilvaH sa-udIcya-mustaH ca kRtaH kazAyaH /
   sāme saśūle ca saśoṇite ca cirapravṛtte 'pi hito 'tisāre // Yś_10 //	sa-Ame sa-SUle ca sa-SoNite ca cira-pravRtte api hitaH atisAre // YH-_10 //
   śuṇṭhīṃ samustātiviṣāguḍūcīṃ pibej jalena kvathitāṃ samāṃśām /	SuNWIm sa-mustA-ativizA-guxUcIm pibet jalena kvaTitAm sama-aMSAm /
   mandānalatve satatāmayānām āmānubandhe grahaṇīgade ca // Yś_11 //	manda-anala-tve satata-AmayAnAm Ama-anubanDe grahaNI-gade ca // YH-_11 //
   punarnavādārvyabhayāguḍūcīḥ pibet samūtrā mahiṣākṣayuktāḥ /	punarnavA-dArvI-aBayA-guxUcIH pibet sa-mUtrAH mahiza-akza-yuktAH /
   tvagdoṣaśophodarapāṇḍurogasthaulyaprasekordhvakaphāmayeṣu // Yś_12 //	tvac-doza-SoPa-udara-pANxu-roga-sTOlya-praseka-UrDva-kaPa-Amayezu // YH-_12 //
