   alātaśāntiprakaraṇa	alAta-SAnti-prakaraNa
   oṃkāranirṇayadvāreṇāgamataḥ pratijñātasyādvaitasya	oMkAra-nirNaya-dvAreNa-AgamataH pratijQAtasya-advEtasya
   bāhyaviṣayabhedavaitathyācca siddhasya punaradvaite śāstrayuktibhyāṃ	bAhya-vizaya-Beda-vEtaTyAt-ca sidDasya punar-advEte SAstra-yuktiByAm
   sākṣānnirdhāritasyaitaduttamaṃ satyamityupasaṃhāraḥ kṛto 'nte /	sAkzAt-nirDAritasya-etat-uttamam satyam-iti-upasaMhAraH kRtaH ante /
   tasyaitatyāgamārthasyādvaitadarśanasya pratipakṣabhūtā dvaitino	tasya-etati-Agama-arTasya-advEta-darSanasya pratipakza-BUtAH dvEtinaH-
   vaināśikāśca teṣāṃ cānyonyavirodādrāgadveṣādikleśāspadaṃ darśanamiti	vEnASikAH-ca tezAm ca-anyonya-virodAt-rAga-dveza-Adi-kleSa-Aspadam darSanam-iti
   mithyādarśanatvaṃ sūcitam /	miTyA-darSana-tvam sUcitam /
   kleśānāspadatvātsamyagdarśanamityadvaitadarśanaṃ stūyate /	kleSAn-Aspada-tvAt-samyak-darSanam-iti-advEta-darSanam stUyate /
   tadiha vistareṇānyonyaviruddhatayāsamyagdarśanatvaṃ pradarśya	tat-iha vistareNa-anyonya-virudDa-tayA-asamyak-darSana-tvam pradarSya
   tatpratiṣedhenādvaitadarśanasiddhirupasaṃhartavyāvītanyāyenetyalātaśānd	tad-pratizeDena-advEta-darSana-sidDiH-upasaMharta-vyAvIta-nyAyena-iti-alAtaSAnd
   irārabhyate /	irA-AraByate /
   START MandUpK 4.1	START Mandu-upK 4.1
   tatrādvaitadarśanasampradāyakartur advaitasvarūpeṇaiva namaskārārtho	tatra-advEta-darSana-sampradAya-kartuH advEta-svarUpeNa-eva namaskAra-arTaH-
   'yamādyaślokaḥ /	ayam-AdyaSlokaH /
   ācāryapūjā hyabhipretārthasiddhyartheṣyate śāstrārambhe /	AcArya-pUjA hi-aBipreta-arTa-sidDi-arTa-izyate SAstra-AramBe /
   jñānenākāśakalpena dharmānyo gaganopamān /	jQAnena-AkASa-kalpena DarmAn-yaH gagana-upamAn /
   jñeyābhinnena saṃbuddhas taṃ vande dvipadāṃ varam // MandUpK_4.1 //	jQeya-aBinnena saMbudDaH tam vande dvipadAm varam // Mandu-upK_4.1 //
   MandUpKC_4.1	Mandu-upKC_4.1
   ākāśeneṣadasamāptamākāśakalpamākāśatulyametat /	AkASena-Izat-asamAptam-AkASa-kalpam-AkASa-tulyam-etat /
   tenākāśakalpena jñānena, kim? dharmānātmanaḥ,	tena-AkASa-kalpena jQAnena, kim? DarmAn-AtmanaH,
   kiṃviśiṣṭāngaganopamāngaganamupamā yeṣāṃ te gaganopamāstānātmano dharmān /	kiMviSizwAn-gagana-upamAn-gaganam-upamA yezAm te gagana-upamAH-tAn-AtmanaH DarmAn /
   jñānasyaiva punarviśeṣaṇam-	jQAnasya-eva punar-viSezaNam-
   jñeyairdharmairātmabhirabhinnamagnyuṣṇavatsavitṛprakāśavacca jñānaṃ tena	jQeyEH-DarmEH-AtmaBiH-aBinnam-agni-uzNa-vat-savitR-prakASa-vat-ca jQAnam tena
   jñeyābhinnena jñānenākāśakalpena jñeyātmasvarūpāvyatiriktena	jQeya-aBinnena jQAnena-AkASa-kalpena jQeya-Atma-svarUpa-avyatiriktena
   gaganopamāndharmānyaḥ saṃbuddhaḥ saṃbuddhavāniti, ayameveśvaro yo	gagana-upamAn-Darma-anyaH saMbudDaH saMbudDa-vAn-iti, ayam-eva-ISvaraH yaH-
   nārāyaṇākhyastaṃ vande 'bhivādaye dvipadāṃ varaṃ dvipadopalakṣitānāṃ	nArAyaNa-AKyaH-tam vande aBivAdaye dvipadAm varam dvipada-upalakzitAnAm
   puruṣāṇāṃ varaṃ pradhānaṃ puruṣottamamityabhiprāyaḥ /	puruzANAm varam praDAnam puruzottamam-iti-aBiprAyaH /
   upadeṣṭṛnamaskāramukhena jñānajñeyajñātṛbhedarahitaṃ paramārthadarśanamiha	upadezwR-namaskAra-muKena jQAna-jQeya-jQAtR-Beda-rahitam parama-arTa-darSanam-iha
   prakaraṇe pratipipādayiṣitaṃ pratipakṣapratiṣedhadvāreṇa pratijñātaṃ	prakaraNe pratipipAdayizitam pratipakza-pratizeDa-dvAreNa pratijQAtam
   bhavati //1//	Bavati //1//
   START MandUpK 4.2	START Mandu-upK 4.2
   adhunā9dvaitadarśanayogasya namaskārastatstutaye-	aDunA9dvEta-darSana-yogasya namaskAraH-tad-stutaye-
   asparśayogo vai nāma sarvasattvasukho hitaḥ /	asparSa-yogaH vE nAma sarva-sattva-suKaH hitaH /
   avivādo 'viruddhaś ca deśitas taṃ namāmy aham // MandUpK_4.2 //	avivAdaH avirudDaH ca deSitaH tam namAmi aham // Mandu-upK_4.2 //
   MandUpKC_4.2	Mandu-upKC_4.2
   sparśanaṃ sparśaḥ sambandho na vidyate yasya yogasya kenacitkadācidapi sa	sparSanam sparSaH sambanDaH na vidyate yasya yogasya kenacid-kadAcid-api sa
   asparśayogo brahmasvabhāva eva, vai nāmeti brahmavidāmasparśayoga	asparSa-yogaH brahma-svaBAvaH eva, vE nAma-iti brahma-vidAm-asparSa-yoga
   ityevaṃprasiddha ityarthaḥ /	iti-evaMprasidDaH iti-arTaH /
   sa ca sarvasattvasukhaḥ /	sa ca sarva-sattva-suKaH /
   bhavati kaścidatyantasukhasādhanaviśiṣṭo 'pi duḥkharūpaḥ, yathā tapaḥ /	Bavati kaScid-atyanta-suKa-sADana-viSizwaH api duHKa-rUpaH, yaTA tapaH /
   ayaṃ tu na tathā /	ayam tu na taTA /
   kiṃ tarhi sarvasattvānāṃ sukhaḥ /	kim tarhi sarva-sattvAnAm suKaH /
   tatheha bhavati kaścidviṣayopabhogaḥ sukho na hito 'yaṃ tu sukho hitaśca	taTA-iha Bavati kaScid-vizaya-upaBogaH suKaH na hitaH ayam tu suKaH hitaH-ca
   nityamapracalitasvabhāvatvāt kiṃ cāvivādo viruddha vadanaṃ vivādaḥ	nityam-apracalita-svaBAva-tvAt kim ca-avivAdaH virudDa vadanam vivAdaH
