   oṃ	om
   gautamagṛhyasūtram.	gOtama-gRhya-sUtram.
   maskaribhāṣyasahitam.	maskari-BAzya-sahitam.
   praṇipatyādidevāya vāsudevāya bhaktitaḥ /	praNipatya-AdidevAya vAsudevAya BaktitaH /
   gautamīyacchalenedaṃ sarvasmṛtinibandhanam //	gOtamIya=-Calena-idam sarva-smRti-nibanDanam //
   kriyate 'dya mayā bhāṣyaṃ sūnunā vāmanasya tu //	kriyate adya mayA BAzyam sUnunA vAmanasya tu //
   ko vābhisambandhaḥ ? ayamucyate-santi caturdaśa vidyāsthānāni, tadyathā-	kaH vA-aBisambanDaH ? ayam-ucyate--santi caturdaSa vidyA-sTAnAni, tat-yaTA-
   aṅgāni vedāścatvāro mīmāṃsā nyāyavistaraḥ /	aFgAni vedAH-catvAraH mImAMsA nyAya-vistaraH /
   purāṇaṃ dharmaśāstraṃ ca vidyā hyetāścaturdaśa //	purANam Darma-SAstram ca vidyAH hi-etAH-caturdaSa //
   iti //	iti //
   teṣāṃ madhye parigaṇitamidaṃ dharmaśāstramārabhyata ityabhisambandhaḥ /	tezAm maDye parigaNitam-idam Darma-SAstram-AraByate iti-aBisambanDaH /
   athavā-puruṣasya sukhaduḥkhopabhogārthaiḥ śarīrendriyaviṣayaiḥ	aTavA-a-puruzasya suKa-duHKa-upaBoga-arTEH SarIra-indriya-vizayEH
   saṃyogaviyogarūpo janmajarāmaraṇaprabandhaḥ saṃsāraḥ /	saMyoga-viyoga-rUpaH janma-jarA-maraNa-prabanDaH saMsAraH /
   sa ca dharmādharmanimitto nānyanimittaḥ /	sa ca Darma-aDarma-nimittaH na-anya-nimittaH /
   tayośca dharmādharmayoriṣṭāniṣṭopabhogahetutvādupādānaparivarjanārhai tau	tayoH-ca Darma-aDarmayoH-izwa-anizwa-upaBoga-hetu-tvAt-upAdAna-parivarjana-arhE tO
   bhavataḥ /	BavataH /
   tadubhayamaparijñāne na sambhavatīti dharmādharmasvarūpāvabodhanārthaṃ	tat-uBayam-aparijQAne na samBavati-iti Darma-aDarma-svarUpa-avaboDana-arTam
   gautamena śāstraṃ praṇītamiti /	gOtamena SAstram praNItam-iti /
   prayojanamapi cāsyaitadeva, dharmādharmopādānaparivarjanayoḥ	prayojanam-api ca-asya-etat-eva, Darma-aDarma-upAdAna-parivarjanayoH
   puruṣārthatvāditi /	puruza-arTa-tvAt-iti /
