   Ahorātravratakathā	AhorAtra-vrata-kaTA
   Oṃ namaḥ śrīdharmadhātave /	Om namaH SrI-Darma-DAtave /
   ākāśanirmalo bhūto niṣprapañcaguṇāśrayaḥ /	AkASa-nirmalaH BUtaH nizprapaQca-guNa-ASrayaH /
   pañcaskandhātmakaḥ śāntas tasmai stūpātmane namaḥ // Avk_1 //	paQca-skanDa-AtmakaH SAntaH tasmE stu-upa-Atmane namaH // Avc-_1 //
   evaṃ mayā śrutam ekasmin samaye buddho bhagavāñ chrāvastyāṃ viharati sma	evam mayA Srutam ekasmin samaye budDaH BagavAn CrAvastyAm viharati sma
   jetavane 'nāthapiṇḍadasyārāme mahatā bhikṣusaṃghena sārdham anekair	jetavane anATapiNxadasya-ArAme mahatA Bikzu-saMGena sArDam anekEH-
   devanāgayakṣagandharvāsuragaruḍakinnaramahoragaiḥ	deva-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahA-uragEH
   sthavirabhikṣuvītarāgasaṃghair bodhisattvaśatasahasraiḥ saṃbahulaiś ca	sTavira-Bikzu-vIta-rAga-saMGEH boDisattva-Sata-sahasrEH saMbahulEH ca
   śrāvakair daśabhir lokapālaiś caturmahārājakāyikair anekaiś caturvarṇakair	SrAvakEH daSaBiH lokapAlEH catur-mahA-rAja-kAyikEH anekEH catur-varNakEH-
   manuṣyair anekaśatasahasraiḥ parivāraiḥ parivṛtaiḥ / tasmin sabhāmaṇḍale	manuzyEH aneka-Sata-sahasrEH parivArEH parivRtEH / tasmin saBA-maNxale
   sarve dharmaśravaṇikā lokā bhagavantam abhivīkṣya caityavratakathām	sarve Darma-SravaNikA lokAH Bagavantam aBivIkzya cEtya-vrata-kaTAm
   anudhyāyantaḥ samāsthitāḥ / atha khalu subhūtiḥ sthaviraḥ svāsanāt	anuDyAyantaH samAsTitAH / aTa Kalu suBUtiH sTaviraH svAsanAt-
   samutthāyaikāṃsam uttarāsaṅgaṃ kṛtvā triḥ pradakṣiṇīkṛtya savyajānubimbaṃ	samutTAya-eka-aMsam uttarAsaFgam kRtvA tris pradakziNIkRtya savyajAnu-bimbam
   bhuvi sthāpya bhagavantaṃ praṇamyaitad avocat /	Buvi sTApya Bagavantam praNamya-etat avocat /
   ahorātravrataṃ nātha kasmin kāle pravartate /	ahorAtra-vratam nATa kasmin kAle pravartate /
   tadvidhiṃ ca kathaṃ brūhi tat sarvaṃ jagatāṃ prabho // Avk_2 //	tad-viDim ca kaTam brUhi tat sarvam jagatAm praBo // Avc-_2 //
   bhagavān āha /	BagavAn Aha /
   sādhu sādhu subhūte tvaṃ śṛṇu sattvānukampaka /	sADu sADu suBUte tvam SRNu sattva-anukampakaH /
   ahorātravrataṃ nityaṃ tadvidhiṃ kathitaṃ mayā // Avk_3 //	ahorAtra-vratam nityam tat-viDim kaTitam mayA // Avc-_3 //
   āsīt pūrvavideheṣu nāmnā gandhavatī purī /	AsIt pUrva-videhezu nAmnA ganDavatI purI /
   tasyāṃ rājā mahātejā indrapṛṣṭo mahāprabhuḥ // Avk_4 //	tasyAm rAjA mahA-tejAH indra-pRzwaH mahA-praBuH // Avc-_4 //
   so 'ntaḥpure sabhāṃ kṛtvā vasubandhuṃ jagadgurum /	saH antaHpure saBAm kRtvA vasubanDum jagadgurum /
   praṇamya sahasotthāya papraccha vidhivan mudā // Avk_5 //	praNamya sahasA-utTAya papracCa viDivat mudA // Avc-_5 //
   śrotum icchāmi tat sarvaṃ yad vratānāṃ samuttamam /	Srotum icCAmi tat sarvam yat vratAnAm samuttamam /
   yasya puṇyaprabhāvena sattvā yānti sunirvṛtim // Avk_6 //	yasya puNya-praBAvena sattvAH yAnti su-nirvRtim // Avc-_6 //
   tat sarvaṃ gadatāṃ dhīra sarvasattvānukampaka /	tat sarvam gadatAm DIra sarva-sattva-anukampakaH /
   bhavatā cānupālyo 'yaṃ lokaś ca duṣkṛtākulaḥ // Avk_7 //	BavatA ca-anupAlyaH ayam lokaH ca duzkRta-AkulaH // Avc-_7 //
   vasubandhur uvāca /	vasubanDuH uvAca /
   śṛṇu rājan mayā khyātaṃ vratānāṃ vratam uttamam /	SRNu rAjan mayA KyAtam vratAnAm vratam uttamam /
   ahorātravrataṃ pūrvaṃ vipaśyinā prabhāṣitam // Avk_8 //	ahorAtra-vratam pUrvam vipaSyinA praBAzitam // Avc-_8 //
   aśvinīpūrṇamāsyāṃ tu vrataṃ kuryād mahodayam /	aSvinI-pUrNam-AsyAm tu vratam kuryAt mahA-udayam /
   caityaṃ saṃpūjayec chuddhaḥ ṣoḍaśair vidhibhis tathā // Avk_9 //	cEtyam saMpUjayet SudDaH zoxaSEH viDiBiH taTA // Avc-_9 //
   bhojanānte trayodaśyāṃ kuryād dantādiśodhanam /	Bojana-ante trayodaSyAm kuryAt danta-Adi-SoDanam /
   caturdaśyāṃ viśeṣeṇa kṣurakarmāṇi kārayet // Avk_10 //	caturdaSyAm viSezeNa kzura-karmANi kArayet // Avc-_10 //
   snānaṃ kṛtvā ca tīrtheṣu śucivastrāvṛtaḥ sudhīḥ /	snAnam kRtvA ca tIrTezu Suci-vastra-AvRtaH suDIH /
   madhyāhne pūjayec caityaṃ pradīpaṃ ca pradāpayet // Avk_11 //	maDyAhne pUjayet cEtyam pradIpam ca pradApayet // Avc-_11 //
   sūrye ṣaṣṭhagate bhāge prāśayec ca kṣīrodanam /	sUrye zazWa-gate BAge prASayet ca kzIrodanam /
   punar śaucādikaṃ kṛtvā dharmaṃ ca śruṇuyān mudā // Avk_12 //	punar SOca-Adikam kRtvA Darmam ca SruNuyAt mudA // Avc-_12 //
   pratyūṣe pūrṇamāsyāṃ tu snātvā vrataṃ samārabhet /	pratyUze pUrNamAsyAm tu snAtvA vratam samAraBet /
   ādau bhūmitalaṃ śodhya dharmaśālāṃ prakārayet // Avk_13 //	AdO BUmi-talam SoDya Darma-SAlAm prakArayet // Avc-_13 //
   gandhodakaiḥ suśītaiś ca caityapuṃgavaṃ snāpayet /	ganDa-udakEH suSItEH ca cEtya-puMgavam snApayet /
   gokṣīraiḥ pañcaratnaiś ca śilābhasmābhilepayet // Avk_14 //	go-kzIrEH paQcaratnEH ca SilA-Basma-aBilepayet // Avc-_14 //
   catvāraś ca dhvajāḥ sthāpyā vitānaṃ saha cāmaraiḥ /	catvAraH ca DvajAH sTApyAH vitAnam saha cAmarEH /
   digmālā vividhaiḥ puṣpair lambayec ca jinālaye // Avk_15 //	digmAlAH viviDEH puzpEH lambayet ca jina-Alaye // Avc-_15 //
   tadanu vratam ārabhya guruṃ vajradharaṃ namet /	tadanu vratam AraBya gurum vajraDaram namet /
   triratnaśaraṇaṃ kṛtvā dhyāpayed dharmadhātukam // Avk_16 //	tri-ratna-SaraNam kRtvA DyApayet DarmaDAtukam // Avc-_16 //
   dharmadhātumayaṃ caityaṃ jinānāṃ gṛham uttamam /	DarmaDAtu-mayam cEtyam jinAnAm gRham uttamam /
   anādibuddha-m-ākhyātaṃ sarvatathāgatālayam /	anAdi-budDa--m-a-AKyAtam sarva-taTAgata-Alayam /
   sarvadevālayaṃ caityam ārādhya vratam ācaret // Avk_17 //	sarva-deva-Alayam cEtyam ArADya vratam Acaret // Avc-_17 //
   sahasradalapadmasthaṃ candrabimbaprabhāsvaram /	sahasra-dala-padma-sTam candra-bimba-praBAsvaram /
   raktaṃ bhoḥkārasaṃbhūtaṃ caturmukhaṃ virājitam // Avk_18 //	raktam BoHkAra-saMBUtam caturmuKam virAjitam // Avc-_18 //
   raktagauramukhaṃ mūlaṃ dakṣiṇe kuṅkumāruṇam /	rakta-gOra-muKam mUlam dakziNe kuFkuma-aruNam /
   paścime padmaraktaṃ ca [!] uttare pītaraktakam // Avk_19 //	paScime padma-raktam ca [!] uttare pIta-raktakam // Avc-_19 //
   aṣṭabhujaṃ virājantaṃ vāgīśvaraṃ jagadgurum /	azwa-Bujam virAjantam vAgISvaram jagadgurum /
   dhanurbāṇadharaṃ dvābhyāṃ pāśāṅkuśadharaṃ tathā /	DanuH-bANa-Daram dvAByAm pASa-aFkuSa-Daram taTA /
   prajñāpustaṃ tathā khaḍgaṃ vajraghaṇṭāṃ tathāparaiḥ // Avk_20 //	prajQApuH-tam taTA Kaxgam vajra-GaNwAm taTA-aparEH // Avc-_20 //
   sarvarasasamāyuktaṃ lalitāsanasaṃsthitam /	sarva-rasa-samAyuktam lalita-Asana-saMsTitam /
   divyābharaṇabhūṣāṅgaṃ pañcabuddhamukūṭinam // Avk_21 //	divya-ABaraNa-BUzA-aFgam paQca-budDa-mukUwinam // Avc-_21 //
   vāgīśvaraṃ mahāśuklaṃ sarvadharmapratiṣṭhitam /	vAgISvaram mahA-Suklam sarva-Darma-pratizWitam /
   evaṃ svahṛdi saṃbhāvya puraḥ sthāpya prapūjayet // Avk_22 //	evam sva-hRdi saMBAvya puras sTApya prapUjayet // Avc-_22 //
   pādyācamanam arghaṃ ca dattvā bhaktisamanvitaḥ /	pAdya-Acamanam arGam ca dattvA Bakti-samanvitaH /
   jalajaiḥ sthalajaiḥ puṣpaiḥ sugandhaiḥ pañcagandhakaiḥ // Avk_23 //	jala-jEH sTala-jEH puzpEH suganDEH paQca-ganDakEH // Avc-_23 //
   sāṃyojikaiḥ sugandhaiś ca sudhūpair dhūpanais tathā /	sAMyojikEH suganDEH ca suDUpEH DUpanEH taTA /
   ghṛtaprayuktadīpaiś ca naivedyair divyabhojanaiḥ // Avk_24 //	GRta-prayukta-dIpEH ca nEvedyEH divya-BojanEH // Avc-_24 //
   chattradhvajapatākābhir nṛtyagītasuvādanaiḥ /	Cattra-Dvaja-patAkABiH nRtya-gIta-suvAdanEH /
   phalamūlādibhiḥ pattraiḥ pūgatāmbūlakais tathā // Avk_25 //	Pala-mUla-AdiBiH pattrEH pUga-tAmbUlakEH taTA // Avc-_25 //
   nānauṣadhisamāyuktair divyair mānuṣyakais tathā /	nAnA-ozaDi-samAyuktEH divyEH mAnuzyakEH taTA /
   kundapuṣpākṣatair dūrvair lājayā pañcaratnakaiḥ // Avk_26 //	kunda-puzpa-akzatEH dUrvEH lAjayA paQcaratnakEH // Avc-_26 //
   kṣīraiḥ śaṃkhasupuṣpārghaṃ pradadyāc caityapuṃgave /	kzIrEH SaMKa-su-puzpa-arGam pradadyAt cEtya-puMgave /
   dhāraṇīṃ caiva stotraṃ ca paṭhed gītaṃ ca gāyayet // Avk_27 //	DAraNIm ca-eva stotram ca paWet gItam ca gAyayet // Avc-_27 //
   pradakṣiṇāsahasraṃ ca yāvat kuryāt pramoditaḥ /	pradakziNA-sahasram ca yAvat kuryAt pramoditaH /
   rātriṃ divā susaṃpūrṇaṃ pracarec ca pradakṣiṇām // Avk_28 //	rAtrim divA su-saMpUrNam pracaret ca pradakziNAm // Avc-_28 //
   yatra devālaye tīrthe sarvān devān prapūjayet /	yatra devAlaye tIrTe sarvAn devAn prapUjayet /
   hīnajātiprasaṅgaṃ ca sparśanaṃ naiva kārayet // Avk_29 /	hIna-jAti-prasaFgam ca sparSanam na-eva kArayet // Avc-_29 /
   sparśite saṃcaret snātvā pañcagavyena śodhayet /	sparSite saMcaret snAtvA paQcagavyena SoDayet /
   asparśe 'pi caret snānaṃ trisaṃdhyaṃ saṃcared vratī // Avk_30 //	asparSe api caret snAnam trisaMDyam saMcaret vratI // Avc-_30 //
   {CD add the following after 'śodhayet' :	{CD adt Te fa-ullowing afteH aSoDayet-a :
   śucikrama tathā dharmam uttamam ahorātravrataṃ //	Suci-krama taTA Darmam uttamam ahorAtra-vratam //
   vāravṛddhau na kartavyaṃ samarthenāpi kārayet //	vAra-vRdDO na kartavyam samarTena-api kArayet //
   nidrāsevitaṃ nidrāṃ kṛtvā viśrāmasevitaṃ viśrāmaṃ kṛtvā rājan	nidrA-sevitam nidrAm kRtvA viSrAma-sevitam viSrAmam kRtvA rAjan
   tathā vrataṃ kārayed doṣakam 'sti tasmān na kārayet // Avk_30* //}	taTA vratam kArayet dozakam asti tasmAt na kArayet // Avc-_30* //}
   ahorātraṃ susaṃpūrṇaṃ na nidrāṃ kārayed vratī /	ahorAtram su-saMpUrNam na nidrAm kArayet vratI /
   caityadhyānasamāyuktaḥ japan stotraṃ paṭhaṃś caret // Avk_31 //	cEtya-DyAna-samAyuktaH japan stotram paWan caret // Avc-_31 //
   nānāgītamahotsāhair nṛtyair vādyaiḥ sughoṣakaiḥ /	nAnA-gIta-mahA-utsAhEH nRtyEH vAdyEH su-GozakEH /
