   Prajñāpāramitā-hṛdaya-sūtra	PrajQApAramitA--hRdaya--sUtra
   Oṃ Namo Bhagavatyai Ārya-prajāpāramitāyai!	Om NamaH BhagavatyE Ārya--prajA-pAramitAyE!
   Ārya Āvalokiteśvaro bodhisattvo gambhīraṃ	ĀryaH Āvalokita-ISvaraH boDisattvaH gamBIram
   prajñāpāramitā-cāryāṃ caramāṇo	prajQApAramitA-a-cAryAm caramANaH-
   vyavalokayati sma, pañca-skandhās tāṃś ca	vyavalokayati sma, paQca-skanDAH tAn ca
   svabhāva-śūnyān paśyati sma.	svaBAva--SUnyAn paSyati sma.
   Iha Śāriputra rūpaṃ śūnyatā, śūnyat'aiva rūpaṃ,	i-iha ŚAriputra rUpam SUnyatA, SUnyat-aA-eva rUpaM,
   rūpān na pṛthak śūnyatā,	rUpAt na pRTak SUnyatA,
   śūnyatāyā na pṛthag rūpaṃ,	SUnyatAyAH na pRTak rUpaM,
   yad rūpaṃ sā śūnyatā,	yat rUpam sA SUnyatA,
   yā śūnyatā tad rūpaṃ.	yA SUnyatA tat rUpaM.
   Evam eva vedanā-saṃjñā-saṃskārā-vijñānam.	Evam eva vedanA--saMjQA--saMskArA--vijQAnam.
   Iha Śāriputra sarva-dharmāḥ śūnyatā-lakṣaṇā	i-iha ŚAriputra sarva--DarmAH SUnyatA-lakzaNA
   anutpannā aniruddhā amalā avimalā anūnā aparipūrṇāḥ.	anutpannAH anirudDAH amalAH avimalAH anUnAH aparipUrNAH.
   Tasmāc Chāriputra śūnyatāyāṃ na rūpaṃ	TasmAt ShAriputra SUnyatAyAm na rUpam
   na vedanā na saṃjñā na saṃskārāḥ na vijñānaṃ,	na vedanA na saMjQA na saMskArAH na vijQAnaM,
   na cakṣuḥ-śrotra-ghrāṇa-jihvā-kāya-manāṃsi,	na cakzuH--Srotra--GrANa--jihvA-kAya-manAMsi,
   na rūpa-śabda-gandha-rasa-spraṣṭavya-dharmāḥ,	na rUpa--Sabda--ganDa--rasa-sprazwavya--DarmAH,
   na cakṣur-dhātur yāvan na mano-vijñāna-dhātuḥ,	na cakzuH--DAtuH yAvat na mano-vijQAna-DAtuH,
   n'āvidyā n'āvidyā-kṣayo yāvan na jarā-maraṇaṃ	n-aAvidyA naAvidyA--kzayaH yAvat na jarA-maraNam
   na jarā-maraṇa-kṣayo na duḥkha-samudaya-nirodha-mārgā	na jarA-maraNa--kzayaH na duHKa--samudaya--niroDa--mArgA
   na jñānaṃ na prāptir n'āprāptiḥ.	na jQAnam na prAptiH n-aAprAptiH.
   Tasmāc Chāriputra aprāptitvād bodhisattvo	TasmAt ShAriputra aprApti-tvAt boDisattvaH-
   prajñā-pāramitām āśritya viharaty acitt'āvaraṇaḥ.	prajQA--pAramitAm ASritya viharati acitt-aAvaraNaH.
   Citt'āvaraṇa-nāstitvād atrasto	CittaA-AvaraNa-nAsti-tvAt atrastaH-
   viparyās'ātikrānto niṣṭhā-nirvāṇaḥ.	viparyAsaAtikrAntaH nizWA--nirvANaH.
   Tradhva-vyavasthitāḥ sarva-buddhāḥ	Tra-Dva--vyavasTitAH sarva--budDAH
   prajñāpāramitām āśritya anuttarāṃ	prajQApAramitAm ASritya anuttarAm
   samyak-sambodhim abhisambuddhāḥ.	samyak--samboDim aBisambudDAH.
   Tasmāj jñātavyaṃ prajñāpāramitā mahā-mantro	TasmAt jQAtavyam prajQApAramitA mahA-mantraH-
   mahā-vidyā-mantro'nuttara-mantro	mahA--vidyA-mantraH-anuttara--mantraH-
   samasama-mantraḥ sarva-duḥkha-praśamanaḥ satyam amithyatvāt.	sama-sama-mantraH sarva--duHKa--praSamanaH satyam amiTya-tva-at.
   Prajñāpāramitāyām ukto mantraḥ, tadyathā -	PrajQApAramitAyAm uktaH mantraH, tat-yaTA -
   Oṃ gate gate pāragate pārasaṃgate bodhi svāhā.	Om gate gate pAra-gate pAra-saMgate boDi svAhA.
   Ity ārya-prajñāpāramitā-hṛdayaṃ samāptam.	Iti Arya--prajQApAramitA--hRdayam samAptam.
