   sāṃkhyatattvavivecanam	sAMKya-tattva-vivecanam
   śrīṣimānandaviracitam /	SrI-zimAnanda-viracitam /
   raghunandanasutenedamiṣṭikāpuravāsinā /	raGunandana-sutena-idam-izwikA-pura-vAsinA /
   kānyakubjadvijāgryeṇa ṣimānandena tanyate // 1 //	kAnyakubja-dvijAgryeNa zima-Anandena tanyate // 1 //
   sāṃkhyopajña namastubhyaṃ kapilāya mahātmane /	sAMKya-upajQa namaH-tuByam kapilAya mahAtmane /
   pañcaviṃśatitattvānāṃ tattvajñānapravartakaḥ // 2 //	paQcaviMSati-tattvAnAm tattva-jQAna-pravartakaH // 2 //
   duḥkhatrayābhibhūtasya śāntirme syāt kutastviha /	duHKa-traya-aBiBUtasya SAntiH-me syAt kutas-tu-iha /
   tathopadiśa janmādi yathā na syāt kṛpānidhe // 3 //	taTA-upadiSa janma-Adi yaTA na syAt kRpA-niDe // 3 //
   evaṃ pṛṣṭo muniḥ prāha nirviṇṇāya kṛpānidhiḥ /	evam pRzwaH muniH prAha nirviNNAya kRpA-niDiH /
   pañcaviṃśatisūtrāṇi vyākhyātāni mahātmabhiḥ // 4 //	paQcaviMSati-sUtrANi vyAKyAtAni mahAtmaBiH // 4 //
   babandhuḥ kavayaḥ kāvye vyācikhyuḥ kavayaḥ pare /	babanDuH kavayaH kAvye vyAciKyuH kavayaH pare /
   sāṃkhyaśāstrasya yāthārthyaṃ tadevedaṃ vivicyate //	sAMKya-SAstrasya yATArTyam tat-eva-idam vivicyate //
   ṣimānandena mandena kukṣimbhariśatādinā // 5 //	zimAnandena mandena kukzimBari-Sata-AdinA // 5 //
   aṣṭau prakṛtayaḥ || Tats_1 ||	azwO prakRtayaH || Tats_1 ||
        prakṛtirbuddhyahaṃkārau tanmātraikādaśendriyam /	prakRtiH-budDi-ahaMkArO tanmAtra-ekAdaSa-indriyam /
        bhūtāni ceti sāmānyāccaturviṃśatireva te //	BUtAni ca-iti sAmAnyAt-caturviMSatiH-eva te //
   eteṣveva dharmadharmyabhedena guṇakarmasāmānyānāmantarbhāvaḥ |	etezu-eva Darma-Darmya-Bedena guNa-karma-sAmAnyAnAm-antarBAvaH |
   prakṛtitvaṃ ca sākṣātparamparayākhilavikāropādānatvam |	prakRti-tvam ca sAkzAt-paramparayA-aKila-vikAra-upAdAna-tvam |
   vyutpattistu prakṛṣṭā pariṇāmarūpā ākṛtirasyā iti |	vyutpattiH-tu prakRzwA pariNAma-rUpAH AkRtiH-asyAH iti |
   sā ca sāmyāvasthayopalakṣitasattvādidravyatrayarūpā |	sA ca sAmya-avasTayA-upalakzita-sattva-Adi-dravya-traya-rUpAH |
   sāmyāvasthā ca śāntaghoramūḍhādirūpāṇāmapi asamudāyavadrūpatvepi atiśayaiḥ	sAmya-avasTA ca SAnta-Gora-mUXa-Adi-rUpANAm-api asamudAya-vat-rUpa-tvepi atiSayEH
   samudāyavadbhiravirodhena vartamānatvaṃ sāmānyātmanā guṇabhāvo	samudAya-vadBiH-aviroDena vartamAna-tvam sAmAnya-AtmanA guNa-BAvaH-
   'tiśayātmanā prādhānyaṃ viśeṣātmanā vaiṣamyamityato	atiSaya-AtmanA prADAnyam viSeza-AtmanA vEzamyam-iti-atas-
   nyūnādhikabhāvenāsaṃhatāvasthā 'kāryāvastheti yāvat |	nyUna-aDika-BAvena-asaMhata-avasTA akArya-avasTA-iti yAvat |
   mahadādikaṃ tu kāryasattvādikaṃ na kadāpyakāryāvasthaṃ bhavatīti	mahat-Adikam tu kArya-sattva-Adikam na kadApi-akArya-avasTam Bavati-iti
   tadvyāvṛttiḥ |	tad-vyAvRttiH |
   vaiṣamyāvasthāyāmapi prakṛtitvasiddhaye upalakṣitamityuktaṃ	vEzamya-avasTAyAm-api prakRti-tva-sidDaye upalakzitam-iti-uktam
   sattvādiguṇavatī prakṛtiḥ sattvādyanatiriktatvāt tathā ca sūtraṃ	sattva-Adi-guNavatI prakRtiH sattva-Adi-anatirikta-tvAt taTA ca sUtram
   sattvādīnāmataddharmatvaṃ tadrūpatvāditi sattvādīnāṃ prakṛtisvarūpatvaṃ na	sattva-AdInAm-atad-Darma-tvam tad-rUpa-tvAt-iti sattva-AdInAm prakRti-svarUpa-tvam na
   tu prakṛtidharmatvam |	tu prakRti-Darma-tvam |
   guṇebhya eva sarvakāryopapattau tadanyaprakṛtikalpanāvaiyarthyāt |	guNeByaH eva sarva-kArya-upapattO tad-anya-prakRti-kalpanA-vEyarTyAt |
   sūtrabhāṣyābhyāmapi tathoktatvāt |	sUtra-BAzyAByAm-api taTA-ukta-tvAt |
