   śrī-bhāgavata-sandarbhe prathamaḥ	SrI--BAgavata--sandarBe praTamaH
   tattva-sandarbhaḥ	tattva-sandarBaH
   śrī-kṛṣṇo jayati |	SrI-kRzNaH jayati |
   kṛṣṇa-varṇaṃ tviṣākṛṣṇaṃ sāṅgopāṅgāstra-pārṣadam |	kRzNa--varNam tvizA-kRzNam sa-aFga-upAFga-astra--pArzadam |
   yajñaiḥ saṅkīrtana-prāyair yajanti hi sumedhasaḥ ||1|| [BhP 11.5.32]	yajQEH saFkIrtana--prAyEH yajanti hi sumeDasaH ||1|| [Bhj 11.5.32]
   BD: śrīkṛṣṇo jayati |	BD: SrI-kRzNaH jayati |
   bhaktyābhāsenāpi toṣaṃ dadhāne	BaktyA-ABAsena-api tozam daDAne
   dharmādhyakṣe viśva-nistāri-nāmni |	Darma-aDyakze viSva-nistAri--nAmni |
   nityānandādvaita-caitanya-rūpe	nitya-Ananda-advEta--cEtanya--rUpe
   tattve tasmin nityam āstāṃ ratir naḥ ||	tattve tasmin nityam AstAm ratiH naH ||
   māyāvādaṃ yas tamaḥ-stomam	mAyA-vAdam yaH tamaH-stomam
   uccair nāśaṃ ninye veda-vāg-aṃśu-jālaiḥ |	uccEs nASam ninye veda-vAc--aMSu--jAlEH |
   bhaktir viṣṇor darśitā yena loke	BaktiH vizNoH darSitAH yena loke
   jīyāt so'yaṃ bhānur ānanda-tīrthaḥ ||	jIyAt saH-ayam BAnuH Ananda-tIrTaH ||
   govindābhidham indirāśrita-padaṃ hasta-stha-ratnādivat |	govinda-aBiDam indirASrita-padam hasta-sTa--ratna-Adi-vat |
   tattvaṃ tattva-vid uttamau kṣiti-tale yau darśayāñcakratuḥ ||	tattvam tattva-vid uttamO kziti-tale yO darSayAn-cakratuH ||
   māyāvāda-mahāndhakāra-paṭalī-sat-puṣpavantau sadā	mAyA-vAda--mahA-anDakAra--pawalI--sat-puzpavantO sadA
   tau śrī-rūpa-sanātanau viracitāścaryau suvaryau stumaḥ ||	tO SrI--rUpa-sanAtanO viracita-AScaryO suvaryO stumaH ||
   yaḥ sāṅkhya-paṅkena kutarka-pāṃśunā	yaH sAFKya-paFkena ku-tarka--pAMSunA
   vivarta-gartena ca lupta-dīdhitim |	vivarta--gartena ca lupta--dIDitim |
   śuddhaṃ vyadhād vāk-sudhayā maheśvaraṃ	SudDam vyaDAt vAk-suDayA maheSvaram
   kṛṣṇaṃ sa jīvaḥ prabhur astu no gatiḥ ||	kRzNam sa jIvaH praBuH astu naH gatiH ||
   ālasyā apravṛttiḥ syāt puṃsāṃ yad grantha-vistare |	AlasyAH apravRttiH syAt puMsAm yat granTa--vistare |
   ato'tra gūḍhe sandarbhe ṭippany alpā prakāśyate ||	atas-atra gUXe sandarBe wippanI alpA prakASyate ||
   śrīmaj-jīvena ye pāṭhāḥ sandarbhe'smin pariṣkṛtāḥ |	SrImaj-jIvena ye pAWAH sandarBe-asmin parizkRtAH |
   vyākhyāyante ta evāmī nānye ye tena helitāḥ ||	vyAKyAyante te eva-amI na-anye ye tena helitAH ||
   śrī-bādarāyaṇo bhagavān vyāso brahma-sūtrāṇi prakāśya tad-bhāṣya-bhūtaṃ	SrI-bAdarAyaNaH BagavAn vyAsaH brahma-sUtrANi prakASya tad--BAzya--BUtam
   śrī-bhāgavatam āvirbhāvya śukaṃ tad-adhyāpitavān | tad-arthaṃ nirṇetu-	SrI--BAgavatam AvirBAvya Sukam tat--aDyApitavAn | tad--arTam nirNetu-
   kāmaḥ śrī-jīvaḥ pratyūha-kulācala-kuliśaṃ vāñchita-pīyūṣa-balāhaka-	kAmaH SrI-jIvaH pratyUha-kula-acala-kuliSam vAQCita--pIyUza--balAhaka-
