   folios 1-4 are missing	folioH 1-4 are missing
   I.	I.
   pāpikāṃ dṛṣṭiṃ grāhayeyaṃ //	pApikAm dRzwim grAhayeyam //
   atha tena kṣaṇena māraḥ pāpīmāñ chīghram eva svabhavanād antarhāyāyuṣmato	aTa tena kzaNena mAraH pApImAn SIGram eva sva-BavanAt antarhAya-AyuzmataH-
   'śvajito veṣaliṃgeryāpathena tayoḥ satpuruṣayoḥ purato 'ntarmārge	aSva-jitaH veza-liMgeryApaTena tayoH sat-puruzayoH puratas antar-mArge
   sthitvaivam āha //	sTitvA-evam Aha //
   uktaṃ pūrvam idaṃ mayā hi vitathaṃ hetūpamaṃ kāraṇaṃ	uktam pUrvam idam mayA hi vitaTam hetu-upamam kAraNam
   yuvayor eva manaḥpracāraniyamaṃ vijñāyatuṃ kiṃ yuvāṃ /	yuvayoH eva manaH-pracAra-niyamam vijQAyatum kim yuvAm /
   sarvaṃ caitad apārthakaṃ hi kathitaṃ nāsty atra hetuḥ punaḥ	sarvam ca-etat apArTakam hi kaTitam na-asti atra hetuH punar-
   kṛṣṇasyāsya śubhasya karmaṇa iha prāptiḥ phalaṃ vā kutaḥ // RKP_1.9	kRzNasya-asya SuBasya karmaNaH iha prAptiH Palam vA kutas // RKc-_1.9
   (Kurumiya 2)	(Kurum-iya 2)
   kṣipraṃ kāmaguṇeṣv atīva carataṃ krīḍāṃ yuvāṃ vindataṃ	kzipram kAma-guNezu atIva caratam krIxAm yuvAm vindatam
   mṛtyur nāsti na janma nārtijarase lokaḥ paro nāsti vā /	mRtyuH na-asti na janma na-Arti-ja-rase lokaH paraH na-asti vA /
   puṇyāpuṇyaphalaṃ ca karmajanitaṃ nāsty atra hetukriyā	puNya-apuNya-Palam ca karma-janitam na-asti atra hetu-kriyA
   lābhāye vadatīha śākyatanayo mā śraddhayā gacchathaḥ // RKP_1.10	lABAye vadati-iha SAkya-tanayaH mA SradDayA gacCaTaH // RKc-_1.10
   athopatiṣyakaulitayor etad abhūt / māro vatāyaṃ pāpīmān upasaṃkrānta	aTa-upatizya-kOlitayoH etat aBUt / mAraH vata-ayam pApi-imAn upasaMkrAnta
   āvayoḥ	AvayoH
   pravrajyāvicchandanārthaṃ / athopatiṣyaḥ parāṅmukhaḥ svapariṣadam	pravrajyA-vicCandana-arTam / aTa-upatizyaH parAFmuKaH sva-parizadam
   āhūyaivam āha / śruṇata yūyaṃ māṇavakāḥ smarata saṃsāradoṣān /	AhUya-evam Aha / SruNata yUyam mANavakAH smarata saMsAra-dozAn /
   jarayā pīḍito loko mṛtyunā parivāritaḥ /	jarayA pIxitaH lokaH mRtyunA parivAritaH /
   ubhayos tatprahāṇāya pravrajyāṃ sādhu gṛhṇatha // RKP_1.11	uBayoH tad-prahANAya pravrajyAm sADu gRhNaTaH // RKc-_1.11
   atha kaulito māraṃ provāca //	aTa kOlitaH mAram provAca //
   ājñātaḥ pravaraḥ satāṃ matidharo dharmas triduḥkhāntakṛt	AjQAtaH pravaraH satAm matiDaraH DarmaH tri-duHKa-anta-kRt-
   kaścin nāsti yadāvayor matim imāṃ vyuccālayet sarvathā /	kaScid na-asti yadA-AvayoH matim imAm vyuccAlayet sarvaTA /
   tṛṣṇāyāḥ praśamāya dhīramanasāv āvāṃ sadā vyutthitau	tRzNAyAH praSamAya DIra-manasO AvAm sadA vyutTitO
   mā siṃhākṛtinā sṛgālavacanair āvāṃ mater bhrāmaya // RKP_1.12	mA siMha-AkRtinA sRgAla-vacanEH AvAm mateH BrAmayaH // RKc-_1.12
   yāś ca devatā dṛṣṭasatyās tā gaganasthitās tābhyāṃ satpuruṣābhyāṃ	yAH ca devatAH dRzwa-satyAH tAH gagana-sTitAH tAByAm sat-puruzAByAm
   sādhukāraṃ (Kurumiya 3) pradaduḥ / sādhu sādhu satpuruṣau sarvalokaviśiṣṭa	sADu-kAram (Kurum-iya 3) pradaduH / sADu sADu sat-puruzO sarva-loka-viSizwa
   eṣa mārgo yad uta pravrajyāniṣkramaḥ / sarvaduḥkhopaśānta eṣa mārgaḥ /	eza mArgaH yat uta pravrajyA-nizkramaH / sarva-duHKa-upaSAntaH eza mArgaH /
   sarvatathāgatagocarāvatāra eṣa mārgaḥ / sarvabuddhair bhagavadbhir	sarva-taTAgata-gocara-avatAraH eza mArgaH / sarva-budDEH BagavadBiH-
   varṇitaḥ praśasta eṣa mārgo yad uta pravrajyāniṣkrama iti / atha khalu	varNitaH praSastaH eza mArgaH yat uta pravrajyA-nizkramaH iti / aTa Kalu
   māraḥ pāpīmān duḥkhito durmanā vipratisārī tatraivāntardhānaṃ jagamā //	mAraH pApi-imAn duHKitaH durmanAH vipratisArI tatra-eva-antarDAnam jagamAH //
   atha khalūpatiṣyakaulitau parivrājakau svapariṣadam avalokayaivaivam	aTa Ka-lu-upatizya-kOlitO parivrAjakO sva-parizadam avalokayA-eva-evam
   ūcatuḥ / yat khalu māṇavakā yūyaṃ jānīdhvam āvāṃ	UcatuH / yat Kalu mANavakAH yUyam jAnIDvam AvAm
   jarāmaraṇasāgarapāraṃgamāya tathāgatam uddiśya pravrajyāṃ saṃprasthitau /	jarA-maraNa-sAgara-pAraMgamAya taTAgatam uddiSya pravrajyAm saMprasTitO /
