   <B1> śrīḥ /	<B1> SrIH /
   bhāṭṭadīpikā /	BAwwa-dIpikA /
   - - - // / - - - prabhāvalīvyākhyāsaṃvalitā /	   // /    praBAvalI-vyAKyA-saMvalitA /
   tatra dvitīyādhyāyasya prathamaḥ pādaḥ /	tatra dvitIya-aDyAyasya praTamaH pAdaH /
   (1 adhikaraṇam / ) (a.2 pā.1 adhi.1)	(1 aDikaraNam / ) (a.2 pA.1 aDi.1)
   bhāvārthāḥ karmaśabdās tebhyaḥ kriyā pratīyetaiṣa hy artho vidhīyate /	BAva-arTAH karma-SabdAH teByaH kriyA pratIyeta-eza hi arTaH viDIyate /
   Jaim_2,1.1 /	JEm_2,1.1 /
   evaṃ dharmādharmapramāṇeṣu nirūpiteṣu adhunā tatsvarūpaṃ nirūpyate /	evam Darma-aDarma-pramANezu nirUpitezu aDunA tad-svarUpam nirUpyate /
   yadyapi ca tadapi etāvatpramāṇapratipādyatvena rūpeṇa buddhameva; tathāpi	yadi-api ca tat-api etAvat-pramANa-pratipAdya-tvena rUpeNa budDam-eva; taTA-api
   ekatvānekatvādirūpeṇābuddhatvādiha tena rūpeṇa nirūpyate /	eka-tva-aneka-tva-Adi-rUpeNa-abudDa-tvAt-iha tena rUpeNa nirUpyate /
   atra ca śabdāntarādiṣaṭpramāṇakabhāvanābheda evādhyāyārthaḥ /	atra ca Sabda-antara-Adi-zaz-pramANaka-BAvanA-BedaH eva-aDyAya-arTaH /
   dhātvarthabhedastu tatsiddhyarthaḥ kvācitko nirūpyate, apūrvabhedo 'pi	DAtvarTa-BedaH-tu tad-sidDi-arTaH kvAcid-kaH nirUpyate, apUrva-BedaH api
   phalatveneti na tāvadhyāyārthau /	Pala-tvena-iti na tO=-aDyAya-arTO /
   phalībhūtāpūrvabhedo 'pi apūrvasādhanabhedādhīna iti tatsādhanajijñāsāyāṃ	PalIBUta-apUrva-BedaH api apUrva-sADana-Beda-aDInaH iti tad-sADana-jijQAsAyAm
   svargādisādhanasyaivāvāntaravyāpārarūpāpūrvaṃ prati sādhanatvāt	svarga-Adi-sADanasya-eva-avAntara-vyApAra-rUpA-pUrvam prati sADana-tvAt-
   svargādiphalaṃ prati kiṃ dhātvarthasya karaṇatvaṃ utopapadārthasya	svarga-Adi-Palam prati kim DAtvarTasya karaNa-tvam uta-upapadArTasya
   somāderapīti cintāyāṃ, prāthamikabhāvanānvayasya tāvat siddhāntino 'pi	soma-AdeH-api-iti cintAyAn, prATamika-BAvanA-anvayasya tAvat sidDAntinaH api
   saṃmatatvādauttarakālikaḥ phalānvayo 'pi sarveṣāmeveti prāpte /	saMmata-tvAt-OttarakAlikaH Pala-anvayaH api sarvezAm-eva-iti prApte /
   sarveṣāṃ karaṇatve anekādṛṣṭakalpanāprasaṅgādekasyaiva phalanirūpitā	sarvezAm karaNa-tve aneka-adRzwa-kalpanA-prasaFgAt-ekasya-eva Pala-nirUpitA
   karaṇatā, anyeṣāntu dṛṣṭavidhayaiva karaṇārthatvam /	karaNa-tA, anyezAn-tu dRzwa-viDayA-eva karaNa-arTa-tvam /
   tadatra dhātvarthasyaiva karaṇatve ca dhātvarthasyāśrayavidhayaiva	tat-atra DAtu-arTasya-eva karaNa-tve ca DAtu-arTasya-ASraya-viDayA-eva
   dṛṣṭārthateti nānekādṛṣṭakalpanā //	dRzwa-arTa-tA-iti na-aneka-adRzwa-kalpanA //
   iti prathamaṃ pratipadādhikaraṇam //	iti praTamam pratipadA-aDikaraNam //
   <B2> (maṅgalācaraṇam) ajñānatimiradhvaṃsi satyajñānaprakāśakam /	<B2> (maFgala-AcaraNam) ajQAna-timira-DvaMsi satya-jQAna-prakASakam /
   sarvābhīṣṭapradaṃ naumi śrīrūpaṃ sundaraṃ mahaḥ // 1 // yo	sarva-aBIzwa-pradam nOmi SrI-rUpam sundaram mahaH // 1 // yaH-
   vedaśāstrārṇavapāradṛśvā yajñādikarmācaraṇe 'tidakṣaḥ /	veda-SAstra-arNava-pAradRSvA yajQa-Adi-karma-AcaraNe ati-dakzaH /
   sadāśivārādhanaśuddhacittastaṃ bālakṛṣṇaṃ pitaraṃ namāmi // 2 //	sadASiva-ArADana-SudDa-cittaH-tam bAla-kRzNam pitaram namAmi // 2 //
   śrīkhaṇḍadevaṃ praṇipatya sadguruṃ mīmāṃsakasvāntasarojabhāskaram /	SrIKaNxa-devam praNipatya sat-gurum mImAMsaka-sva-anta-saroja-BAskaram /
