   (PSP_6 8:1)	(PSu _6 8:1)
   pañcaviṃśatisāhasrikā prajñāpāramitā VI	paQcaviMSati sAhasrikA prajQApAramitA VI
   evam ukte āyuṣman subhūtir bhagavantam etad avocat: yadi bhagavan	evam ukte Ayuzman suBUtiH Bagavantam etat avocat: yadi Bagavan
   bodhisattvo mahāsattvo 'bhāvasvabhāvaiḥ sarvadharmaiḥ pañcabhir	boDisattvaH mahAsattvaH aBAva svaBAvEH sarva DarmEH paQcaBiH 
   abhijñābhir anuttarāṃ samyaksaṃbodhim abhisaṃbudhyate, tat kathaṃ	aBijQABiH anuttarAm samyaksaMboDim aBisaMbuDyate, tat kaTam
   bhagavann abhāvasvabhāveṣu sarvadharmeṣu bodhisattvasya	Bagavan aBAva svaBAvezu sarva Darmezu boDisattvasya
   mahāsattvasyānupūrvakriyā prajñāyate 'nupūrvaśikṣānupūrvapratipat	mahAsattvasya anupUrva kriyA prajQAyate anupUrva SikzA anupUrva pratipad 
   prajñāyate yayānupūrvakriyayānupūrvaśikṣayānupūrvapratipadānuttarāṃ	prajQAyate yayAnu pUrva kriyayA AnupUrva SikzayA anupUrva pratipadA anuttarAm
   samyaksaṃbodhim abhisaṃbudhyate?	samyaksaMboDim aBisaMbuDyate?
   evam ukte bhagavān āyuṣmantaṃ subhūtim etad avocat: iha subhūte	evam ukte BagavAn Ayuzmantam suBUtim etat avocat: iha suBUte
   bodhisattvena mahāsattvena prathamam evaivaṃ śrutaṃ bhavati. buddhānāṃ	boDisattvena mahAsattvena praTamam eva evam Srutam Bavati. budDAnAm
   bhagavatām antike bodhisattvānāṃ mahāsattvānāṃ buddhadharmaparyupāsitānāṃ	BagavatAm antike boDisattvAnAm mahAsattvAnAm budDa Darma paryupAsitAnAm
   pratyekabuddhānām vārhatāṃ vānāgāmināṃ vā sakṛdāgāmināṃ vā srotaāpannānāṃ	pratyekabudDAnAm vArhatAm vA anAgAminAm vA sakRdAgAminAm vA srotaApannAnAm
