   oṃ namo maṅgalamūrtaye |	om namaH maFgala-mUrtaye |
   atha pratyabhijñāhṛdayam || [1]	aTa pratyaBijQA-hRdayam || [1]
   namaḥ śivāya satataṃ pañcakṛtyavidhāyine |	namaH SivAya satatam paQca-kRtya-viDAyine |
   cidānandaghanasvātmaparamārthāvabhāsine || [2]	cit-Ananda-Gana-sva-Atma-parama-arTa-avaBAsine || [2]
   śāṅkaropaniṣatsārapratyabhijñāmahodadheḥ |	SAFkara-upanizad-sAra-pratyaBijQA-mahodaDeH |
   kṣemeṇoddhṛyate sāraḥ saṃsāraviṣaśāntaye ||	kzemeNa-udDRyate sAraH saMsAra-viza-SAntaye ||
   iha ye sukumāramatayo 'kṛtatīkṣṇatarkaśāstrapariśramāḥ	iha ye sukumAra-matayaH akRta-tIkzNa-tarka-SAstra-pariSramAH
   śaktipātonmiṣitapārameśvarasamāveśābhilāṣiṇaḥ katicit bhaktibhājaḥ	SaktipAta-unmizita-pArameSvara-samAveSa-aBilAziNaH katicid Bakti-BAjaH
   teṣām īśvarapratyabhijñopadeśatattvaṃ manāk unmīlyate | tatra	tezAm ISvara-pratyaBijQa-upadeSa-tattvam manAk unmIlyate | tatra
   svātmadevatāyā eva sarvatra kāraṇatvaṃ sukhopāyaprāpyatvaṃ mahāphalatva.=	sva-Atma-devatAyAH eva sarvatra kAraNa-tvam suKa-upAya-prApya-tvam mahA-Pala-tva.=
   m	m
   ca abhivyaṅktum āha	ca aBivyaFktum Aha
   citiḥ svatantrā viśvasiddhihetuḥ || 1 ||	citiH svatantrAH viSva-sidDi-hetuH || 1 ||
   viśvasya sadāśivādeḥ bhūmyantasya siddhau niṣpattau prakāśane	viSvasya sadASiva-AdeH BUmi-antasya sidDO nizpattO prakASane
   sthityātmani parapramātṛviśrāntyātmani ca saṃhāre parāśaktirūpā citir	sTiti-Atmani para-pramAtR-viSrAnti-Atmani ca saMhAre parASakti-rUpA citiH-
   eva bhagavatī svatantrā anuttaravimarśamayī śivabhaṭṭārakābhinnā hetuḥ	eva BagavatI svatantrA anuttara-vimarSa-mayI Siva-BawwAraka-aBinnAH hetuH
   kāraṇam | asyāṃ hi prasarantyāṃ jagat unmiṣati vyavatiṣṭhate ca	kAraNam | asyAm hi prasarantyAm jagat unmizati vyavatizWate ca
   nivṛttaprasarāyāṃ ca nimiṣati iti svānubhava eva atra sākṣī |	nivRtta-prasarAyAm ca nimizati iti sva-anuBavaH eva atra sAkzI |
   anyasya tu māyāprakṛtyādeḥ citprakāśabhinnasya aprakāśamānatvena	anyasya tu mAyA-prakRti-AdeH cit-prakASa-Binnasya aprakASa-mAna-tvena
   asattvān na kvacid api hetutvam prakāśamānatve tu prakāśaikātmyāt	asattvAt na kvacid api hetu-tvam prakASamAna-tve tu prakASa-EkAtmyAt-
   prakāśarūpā citir eva hetuḥ na tv asau kaścit |	prakASa-rUpA citiH eva hetuH na tu asO kaScid |
   ata eva deśakālākārā etatsṛṣṭā etadanuprāṇitāś ca naitatsvarūpaṃ	atas eva deSa-kAla-AkArAH etat-sRzwAH etad-anuprANitAH ca na-etat-svarUpam
   bhettum alam iti vyāpakanityoditaparipūrṇarūpā iyam ity arthalabhyam eva	Bettum alam iti vyApaka-nitya-udita-paripUrNa-rUpAH iyam iti arTa-laByam eva
   etat | nanu jagad api cito bhinnaṃ naiva kiṃcit abhede ca kathaṃ	etat | nanu jagat api citaH Binnam na-eva kiMcid aBede ca kaTam
   hetuhetumadbhāvaḥ ucyate | cid eva bhagavatī svacchasvatantrarūpā	hetu-hetum-at-BAvaH ucyate | cit eva BagavatI svacCa-svatantra-rUpA
   tattadanantajagadātmanā sphurati ity etāvat paramārtho 'yaṃ	tad-tad-ananta-jagat-AtmanA sPurati iti etAvat parama-arTaH ayam
   kāryakāraṇabhāvaḥ | yataś ca iyam eva pramātṛpramāṇaprameyamayasya	kArya-kAraNa-BAvaH | yatas ca iyam eva pramAtR-pramANa-prameya-mayasya
