   śrīrastu	SrIH astu
   bharatamunipraṇītaṃ nāṭyaśāstram	Baratam uni praNItam nAwya SAstram
   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   praṇamya śirasā devau pitāmahamaheśvarau /	praNamya SirasA devO pitAmaha maheSvarO /
   nāṭyaśāstraṃ pravakṣyāmi brahmaṇā yadudāhṛtam // BhN_1.1 //	nAwya SAstram pravakzyAmi brahmaNA yat udAhRtam // Bhz _1.1 //
   samāptajapyaṃ vratinaṃ svasutaiḥ parivāritam /	samApta japyam vratinam sva sutEH parivAritam /
   anadhyāye kadācittu bharataṃ nāṭyakovidam // BhN_1.2 //	anaDyAye kadAcid tu Baratam nAwya kovidam // Bhz _1.2 //
   munayaḥ paryupāsyainamātreyapramukhāḥ purā /	munayaH paryupAsya enam Atreya pramuKAH purA /
   papracchuste mahātmāno niyatendriyabuddhayaḥ // BhN_1.3 //	papracCuH te mahAtmAnaH niyata indriya budDayaH // Bhz _1.3 //
   yo 'yaṃ bhagavatā samyaggrathito vedasammitaḥ /	yaH ayam BagavatA samyak graTitaH veda sammitaH /
   nāṭyavedaṃ kathaṃ brahmannutpannaḥ kasya vā kṛte // BhN_1.4 //	nAwya vedam kaTam brahman= utpannaH kasya vA kRte // Bhz _1.4 //
   katyaṅgaḥ kiṃpramāṇaśca prayogaścāsya kīdṛśaḥ /	kati aFgaH kiMpramANaH ca prayogaH ca asya kIdRSaH /
   sarvametadyathātattvaṃ bhagavanvaktumarhasi // BhN_1.5 //	sarvam etat yaTAtattvam Bagavan vaktum arhasi // Bhz _1.5 //
   teṣāṃ tu vacanaṃ śrutvā munīnāṃ bharato muniḥ /	tezAm tu vacanam SrutvA munInAm BarataH muniH /
   pratyuvāca tato vākyaṃ nāṭyavedakathāṃ prati // BhN_1.6 //	pratyuvAca tatas vAkyam nAwya veda kaTAm prati // Bhz _1.6 //
   bhavadbhiḥ śucibhirbhūtvā tathā'vahitamānasaiḥ /	BavadBiH SuciBiH BUtvA taTA avahita mAnasEH /
   śrūyatāṃ nāṭyavedasya sambhavo brahmanirmitaḥ // BhN_1.7 //	SrUyatAm nAwya vedasya samBavaH brahma nirmitaH // Bhz _1.7 //
   pūrvaṃ kṛtayuge viprā vṛtte svāyaṃbhuve 'ntare /	pUrvam kRta yuge viprAH vRtte svAyaMBuve antare /
   tretāyuge 'tha samprāpte manorvaivasvatasya tu // BhN_1.8 //	tretA yuge aTa samprApte manoH vEvasvatasya tu // Bhz _1.8 //
   grāmyadharmapravṛtte tu kāmalobhavaśaṃ gate /	grAmyaDarma pravRtte tu kAma loBa vaSam gate /
   īrṣyākrodhādisaṃmūḍhe loke sukhitaduḥkhite // BhN_1.9 //	IrzyA kroDa Adi saMmUXe loke suKita duHKite // Bhz _1.9 //
   devadānavagandharvayakṣarakṣomahoragaiḥ /	deva dAnava ganDarva yakza rakzaH mahoragEH /
   jambudvīpe samākrānte lokapālapratiṣṭhite // BhN_1.10 //	jambudvIpe samAkrAnte lokapAla pratizWite // Bhz _1.10 //
   mahendrapramukhairdevairuktaḥ kila pitāmahaḥ /	mahA indra pramuKEH devEH uktaH kila pitAmahaH /
   krīḍanīyakamicchāmo dṛṣyaṃ śravyaṃ ca yadbhavet // BhN_1.11 //	krIxanIyakam icCAmaH dRzyam Sravyam ca yat Bavet // Bhz _1.11 //
   na vedavyavahāro 'yaṃ saṃśrāvyaḥ śūdrajātiṣu /	na veda vyavahAraH ayam saMSrAvyaH SUdra jAtizu /
   tasmātsṛjāparaṃ vedaṃ pañcamaṃ sārvavarṇikam // BhN_1.12 //	tasmAt sRja aparam vedam paQcamam sArvavarNikam // Bhz _1.12 //
   evamastviti tānuktvā devarājaṃ visṛjya ca /	evam astu iti tAn uktvA devarAjam visRjya ca /
   sasmāra caturo vedānyogamāsthāya tattvavit // BhN_1.13 //	sasmAra caturaH vedAn yogam AsTAya tattva vid // Bhz _1.13 //
   neme vedā yataḥ śrāvyāḥ strīśūdrādyāsu jātiṣu /	na ime vedAH yatas SrAvyAH strI SUdra AdyAsu jAtizu /
   vedamanyattataḥ srakṣye sarvaśrāvyaṃ tu pañcamam // BhN_1.13* //	vedam anyat tatas srakzye sarva SrAvyam tu paQcamam // Bhz _1.13* //
   dharmyamarthyaṃ yaśasyaṃ ca sopadeśyaṃ sasaṅgraham /	Darmyam arTyam yaSasyam ca sa upadeSyam sa saFgraham /
   bhaviṣyataśca lokasya sarvakarmānudarśakam // BhN_1.14 //	BavizyataH ca lokasya sarva karma anudarSakam // Bhz _1.14 //
   sarvaśātrārthasampannaṃ sarvaśilpapravartakam /	sarva SAtra arTa sampannam sarva Silpa pravartakam /
   nāṭyākhyaṃ pañcamaṃ vedaṃ setihāsaṃ karomyaham // BhN_1.15 //	nAwya AKyam paQcamam vedam sa itihAsam karomi aham // Bhz _1.15 //
   evaṃ saṅkalpya bhagavān sarvavedānanusmaran /	evam saFkalpya BagavAn sarva vedAn anusmaran /
   nāṭyavedaṃ tataścakre caturvedāṅgasambhavam // BhN_1.16 //	nAwya vedam tatas cakre catur vedAFga samBavam // Bhz _1.16 //
   jagrāha pāṭhyamṛgvedātsāmabhyo gītameva ca /	jagrAha pAWyam RgvedAt sAmaByaH gItam eva ca /
   yajurvedādabhinayān rasānātharvaṇādapi // BhN_1.17 //	yajurvedAt aBinayAn rasAn ATarvaNAt api // Bhz _1.17 //
   vedopavedaiḥ sambaddho nāṭyavedo mahātmanā /	veda upavedEH sambadDaH nAwya vedaH mahAtmanA /
   evaṃ bhagavatā sṛṣṭo brahmaṇā sarvavedinā // BhN_1.18 //	evam BagavatA sRzwaH brahmaNA sarva vedinA // Bhz _1.18 //
   utpādya nāṭyavedaṃ tu brahmovāca sureśvaram /	utpAdya nAwya vedam tu brahmA uvAca sureSvaram /
   itihāso mayā sṛṣṭaḥ sa sureṣu niyujyatām // BhN_1.19 //	itihAsaH mayA sRzwaH sa surezu niyujyatAm // Bhz _1.19 //
   kuśalā ye vidagdhāśca pragalbhāśca jitaśramāḥ /	kuSalAH ye vidagDAH ca pragalBAH ca jita SramAH /
   teṣvayaṃ nāṭyasaṃjño hi vedaḥ saṃkrāmyatāṃ tvayā // BhN_1.20 //	tezu ayam nAwya saMjQaH hi vedaH saMkrAmyatAm tvayA // Bhz _1.20 //
   tacchṛtvā vacanaṃ śakro brahmaṇā yadudāhṛtam /	tat SRtvA vacanam SakraH brahmaNA yat udAhRtam /
