   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   advayaparamārthā nāmasaṃgīti	advaya-paramArTA nAma-saMgi-iti
   oṃ namaḥ śrīmahāmañjunāthāya	om namaH SrI-mahA-maQjunATAya
   atha vajradharaḥ śrīmān $ durdāntadamakaḥ paraḥ &	aTa vajraDaraH SrImAn $ durdAnta-damakaH paraH &
   trilokavijayī vīro % guhyarāṭ kuliśeśvaraḥ // Mns_1 //	triloka-vijayI vIraH % guhya-rAj kuliSa-ISvaraH // Mns_1 //
   vibuddhapuṇḍarīkākṣaḥ $ protphullakamalānanaḥ &	vibudDa-puNxarIkAkzaH $ protPulla-kamala-AnanaH &
   prollālayan vajravaraṃ % svakareṇa muhurmuhuḥ // Mns_2 //	prollAlayan vajra-varam % sva-kareNa muhur-muhur // Mns_2 //
   bhṛkuṭītaraṅgapramukhair $ anantair vajrapāṇibhiḥ &	BRkuwI-taraFga-pramuKEH $ anantEH vajrapANiBiH &
   durdāntadamakair vīrair % vīrabībhatsarūpibhiḥ // Mns_3 //	durdAnta-damakEH vIrEH % vIra-bIBatsa-rUpiBiH // Mns_3 //
   ullālayadbhiḥ svakaraiḥ $ prasphuradvajrakoṭibhiḥ &	ullAlayadBiH sva-karEH $ prasPurat-vajra-kowiBiH &
   prajñopāyamahākaruṇā- % jagadarthakaraiḥ paraḥ // Mns_4 //	prajQA-upAya-mahA-karuNA % jagat-arTa-karEH paraH // Mns_4 //
   hṛṣṭatuṣṭāśayair muditaiḥ $ krodhavigraharūpibhiḥ &	hRzwa-tuzwa-ASayEH muditEH $ kroDa-vigraha-rUpiBiH &
   buddhakṛtyakarair nāthaiḥ % sārddhaṃ praṇatavigrahaiḥ // Mns_5 //	budDa-kRtya-karEH nATEH % sArdDam praNata-vigrahEH // Mns_5 //
   praṇamya nāthaṃ saṃbuddhaṃ $ bhagavantaṃ tathāgatam &	praNamya nATam saMbudDam $ Bagavantam taTAgatam &
   kṛtāñjalipuṭo bhūtvā % idam āha sthito 'grataḥ // Mns_6 //	kRta-aQjali-puwaH BUtvA % idam Aha sTitaH agratas // Mns_6 //
   maddhitāya mamārthāya $ anukampāya me vibho &	mad-hitAya mama-arTAya $ anukampAya me viBo &
   māyājālābhisaṃbodhiṃ % yathā lābhī bhavāmy aham // Mns_7 //	mAyA-jAlA-aBisaMboDim % yaTA lABI BavAmi aham // Mns_7 //
   ajñānapaṅkamagnānāṃ $ kleśavyākulacetasām &	ajQAna-paFka-magnAnAm $ kleSa-vyAkula-cetasAm &
   hitāya sarvasattvānām % anuttaraphalāptaye // Mns_8 //	hitAya sarva-sattvAnAm % anuttara-Pala-Aptaye // Mns_8 //
   prakāśayatu saṃbuddho $ bhagavāñ śāstā jagadguruḥ &	prakASayatu saMbudDaH $ BagavAn SAstA jagadguruH &
   mahāsamayatattvajña % indrayāśayavit paraḥ // Mns_9 //	mahA-samaya-tattva-jQa % indraya-ASaya-vid paraH // Mns_9 //
   bhagavajjñānakāyasya $ mahoṣṇīṣasya gīṣpateh &	Bagavat-jQAna-kAyasya $ mahA-uzNIzasya gIzpateh &
   mañjuśrījñānasattvasya % jñānamūrteḥ svayambhuvaḥ // Mns_10 //	maQjuSrI-jQAna-sattvasya % jQAna-mUrteH svayamBuvaH // Mns_10 //
   gambhīrārthām udārārthaṃ $ mahārthām asamāṃ śivām &	gamBIra-arTAm udAra-arTam $ mahArTAm asamAm SivAm &
   ādimadhyāntakalyāṇīṃ % nāmasaṃgītim uttamām // Mns_11 //	Adi-maDya-anta-kalyANIm % nAma-saMgItim uttamAm // Mns_11 //
   yātītair bhāṣitā buddhair $ bhāṣiṣyante hy anāgatāḥ &	yAtItEH BAzitAH budDEH $ BAzizyante hi anAgatAH &
   pratyutpannāś ca saṃbuddhā % yāṃ bhāṣante punaḥ punaḥ // Mns_12 //	pratyutpannAH ca saMbudDAH % yAm BAzante punar punar // Mns_12 //
   māyājāle mahātantre $ yā cāsmin saṃpragīyate &	mAyA-jAle mahAtantre $ yA ca-asmin saMpragIyate &
   mahāvajradharair hṛṣṭair % ameyair mantradhāribhiḥ // Mns_13 //	mahA-vajraDarEH hRzwEH % ameyEH mantra-DAriBiH // Mns_13 //
   ahaṃ caināṃ dhārayiṣyāmy $ ā niryāṇāṃ dṛḍhāśayaḥ &	aham ca-enAm DArayizyAmi $ A niryANAm dRXa-ASayaH &
   yathā bhavāmy ahaṃ nātha % sarvasaṃbuddhaguhyadhṛk // Mns_14 //	yaTA BavAmi aham nATa % sarva-saMbudDa-guhya-DRk // Mns_14 //
   prakāśayiṣye sattvānāṃ $ yathāśayaviśeṣataḥ &	prakASayizye sattvAnAm $ yaTASaya-viSezataH &
   aśeṣakleśanāśāya % aśeṣājñānahānaye // Mns_15 //	aSeza-kleSa-nASAya % aSeza-ajQAna-hAnaye // Mns_15 //
   evam adhyeṣya guhyendro $ vajrapāṇis tathāgatam &	evam aDyezya guhya-indraH $ vajrapANiH taTAgatam &
   kṛtāñjalipuṭo bhūtvā % prahvakāyaḥ sthito 'grataḥ // Mns_16 //	kRta-aQjali-puwaH BUtvA % prahva-kAyaH sTitaH agratas // Mns_16 //
   iti adhyeṣaṇajñānagāthāḥ ṣoḍaśa |	iti aDyezaNa-jQAna-gATAH zoxaSa |
   atha śākyamunir bhagavān $ saṃbuddho dvipadottamaḥ &	aTa SAkya-muniH BagavAn $ saMbudDaH dvipada-uttamaH &
   nirṇamayyāyatāṃ sphītaṃ % svajihvāṃ svamukhāc chubhām // Mns_17 //	nirNamayya-AyatAm sPItam % sva-jihvAm sva-muKAt SuBAm // Mns_17 //
   smitaṃ saṃdarśya lokānām $ apāyatrayaśodhanam &	smitam saMdarSya lokAnAm $ apAya-traya-SoDanam &
   trilokābhāsakaraṇaṃ % caturmārāriśāsanam // Mns_18 //	triloka-ABAsa-karaNam % catur-mAra-ari-SAsanam // Mns_18 //
   trilokam āpūrayantyā $ brāhmyā madhurayā girā &	trilokam ApUrayantyA $ brAhmyA maDurayA girA &
   pratyabhāṣata guhyendraṃ % vajrapāṇiṃ mahābalam // Mns_19 //	pratyaBAzata guhya-indram % vajrapANim mahA-balam // Mns_19 //
   sādhu vajradhara śrīman $ sādhu te vajrapāṇaye &	sADu vajraDara SrIman $ sADu te vajrapANaye &
   yas taṃ jagaddhitārthāya % mahākaruṇayānvitaḥ // Mns_20 //	yaH tam jagat-hita-arTAya % mahA-karuNayA-anvitaH // Mns_20 //
   mahārthāṃ nāmasaṃgītiṃ $ pavitrām aghanāśinīm &	mahArTAm nAma-saMgItim $ pavitrAm aGa-nASinIm &
   mañjuśrījñānakāyasya % mattaḥ śrotuṃ samudyataḥ // Mns_21 //	maQjuSrI-jQAna-kAyasya % mattaH Srotum samudyataH // Mns_21 //
   tat sādhu deśayāmy eṣaḥ $ ahaṃ te guhyakādhipa &	tat sADu deSayAmi ezaH $ aham te guhyaka-aDipa &
   śṛṇu tvam ekāgramanās % tat sādhu bhagavann iti // Mns_22 //	SRNu tvam ekAgra-manAH % tat sADu Bagavan iti // Mns_22 //
   iti prativacanajñānagāthāḥ ṣaṭ |	iti prativacana-jQAna-gATAH zaw |
   atha śākyamunir bhagavān $ sakalaṃ mantrakulaṃ mahat &	aTa SAkya-muniH BagavAn $ sakalam mantra-kulam mahat &
   mantravidyādharakulaṃ % vyavalokya kulatrayam // Mns_23 //	mantra-vidyADara-kulam % vyavalokya kula-trayam // Mns_23 //
   lokalokottarakulaṃ $ lokālokakulaṃ mahat &	loka-loka-uttara-kulam $ lokAloka-kulam mahat &
   mahāmudrākulaṃ cāgryaṃ % mahoṣṇīṣakulaṃ mahat // Mns_24 //	mahAmudrA-Akulam ca-agryam % mahA-uzNIza-kulam mahat // Mns_24 //
   iti ṣaṭkulāvalokanajñānagāthe dve |	iti zaz-kula-avalokana-jQAna-gATe dve |
