   (PSP_2 3:1)	(PSu _2 3:1)
   Pañcaviṃśatisāhasrikā Prajñāpāramitā II	PaQcaviMSati sAhasrikA PrajQApAramitA II
   atha khalu ye 'smiṃs trisāhasramahāsāhasre lokadhātau mahārājānas te sarve	aTa Kalu ye asmin tri sAhasra mahA sAhasre lokaDAtO mahA rAjAnaH te sarve
   'nekair devaputrasahasraiḥ sārdhaṃ tatraiva pariṣadi saṃnipatitā abhūvan,	anekEH deva putra sahasrEH sArDam tatra eva parizadi saMnipatitAH aBUvan,
   evaṃ śakro devānām indro yāmās tuṣitā nirmāṇaratayaḥ	evam SakraH devAnAm indraH yAmAH tuzitAH nirmANaratayaH
   paranirmitavaśavartino brahmapārṣadyā yāvan mahābrahmāṇo ye ceha	paranirmitavaSavartinaH brahmapArzadyAH yAvat mahA brahmANaH ye ca iha
   trisāhasramahāsāhasre lokadhātau parīttābhā yāvac chuddhāvāsakāyikāś ca	tri sAhasra mahA sAhasre lokaDAtO parItta ABAH yAvat SudDAvAsa kAyikAH ca
   devaputrā anekaiḥ śuddhāvāsakāyikair devaputrakoṭīniyutaśatasahasraiḥ	deva putrAH anekEH SudDAvAsa kAyikEH deva putra kowI niyuta Sata sahasrEH
   sārdhaṃ tatraiva pariṣadi saṃnipatitā. yaś ca teṣāṃ cāturmahārājakāyikānāṃ	sArDam tatra eva parizadi saMnipatitA. yaH ca tezAm cAturmahArAja kAyikAnAm
   devaputrāṇāṃ karmavipākajaḥ. kāyāvabhāsaḥ, yaś ca trayastriṃśānāṃ yāmānāṃ	deva putrANAm karma vipAka jaH. kAya avaBAsaH, yaH ca trayastriMSAnAm yAmAnAm
   tuṣitānāṃ nirmāṇaratīnāṃ paranirmitavaśavartināṃ yāvac	tuzitAnAm nirmANa ratInAm paranirmita vaSavartinAm yAvat 
   chuddhāvāsakāyikānāṃ devaputrāṇāṃ karmavipākajaḥ kāyāvabhāsaḥ, sa	CudDAvAsa kAyikAnAm deva putrANAm karma vipAka jaH kAya avaBAsaH, sa
   tathāgataprakṛtiprabhāyāḥ śatatamīm api kalāṃ nopaiti sahasratamīm api	taTAgata prakRti praBAyAH SatatamIm api kalAm na upEti sahasratamIm api
   śatasahasratamīm api koṭīśatasahasratamīm api saṃkhyām api kalām api	Sata sahasratamIm api kowI Sata sahasratamIm api saMKyAm api kalAm api
   gaṇanām apy upamām apy upaniṣadam api nopaiti, na kṣamate	gaNanAm api upamAm api upanizadam api na upEti, na kzamate
   tathāgataprabhāyāḥ purataḥ sā devānāṃ prabhā. tathāgataprabhaivāgrākhyate	taTAgata praBAyAH puratas sA devAnAm praBA. taTAgata praBA eva agra AKyate
   jyeṣṭhā śreṣṭhā varā pravarā praṇītā anuttarā niruttarā uttarottarā	jyezWA SrezWA varA pravarA praNItA anuttarA niruttarA uttarottarA
   cākhyāyate. tadyathāpi nāma jambūnadasya suvarṇasya purataḥ kṛṣṇalauhaṃ na	ca AKyAyate. tat yaTA api nAma jambUnadasya suvarNasya puratas kRzNa lOham na
   bhrājate na tapati na virocate, evam eva tathāgatasya prakṛtiprabhāyāḥ	BrAjate na tapati na virocate, evam eva taTAgatasya prakRti praBAyAH
   purataḥ sā devānāṃ karmavipākajaprabhā na bhrājate na tapati na virocate.	puratas sA devAnAm karma vipAka ja praBA na BrAjate na tapati na virocate.
   tathāgataprabhaiva teṣām agrākhyāyate jyeṣṭhākhyāyate śreṣṭhā varā pravarā	taTAgata praBA eva tezAm agra AKyAyate jyezWa AKyAyate SrezWA varA pravarA
   (PSP_2 3:2) praṇītā anuttarā niruttarā uttarottarā cākhāyate.	(PSu _2 3:2) praNItA anuttarA niruttarA uttarottarA ca AKAyate.
   iti dhyāmīkaraṇabhā deyānām	iti DyAmIkaraNa BA deyAnAm
   atha khalu śakro devānām indra āyuṣmantaṃ subhūtim etad avocat: ete	aTa Kalu SakraH devAnAm indraH Ayuzmantam suBUtim etat avocat: ete
   bhadanta subhūte trisāhasramahāsāhasre lokadhātau ye cāturmahārājakāyikā	Badanta suBUte tri sAhasra mahA sAhasre lokaDAtO ye cAturmahArAja kAyikA
   devās trayastriṃśā yāmās tuṣitā nirmāṇaratayaḥ paranirmitavaśavartino devā	devAH trayastriMSAH yAmAH tuzitAH nirmANaratayaH paranirmitavaSavartinaH devA
   yāvac chuddhāvāsakāyikā devaputrās te sarve saṃnipatitā āyuṣmataḥ subhūteḥ	yAvat SudDAvAsa kAyikAH deva putrAH te sarve saMnipatitAH AyuzmataH suBUteH
   prajñāpāramitānirdeśaśravaṇāya prajñāpāramitopadeśaṃ śrotukāmāḥ. kathaṃ ca	prajQApAramitA nirdeSa SravaNAya prajQApAramitA upadeSam Srotu kAmAH. kaTam ca
   bhadanta subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ sthātavyam?	Badanta suBUte boDisattvena mahAsattvena prajQApAramitAyAm sTAtavyam?
   katamā ca bodhisattvasya mahāsattvasya prajñāpāramitā? iti yogyatā	katamA ca boDisattvasya mahAsattvasya prajQApAramitA? iti yogyatA
   evam ukte, āyuṣmān subhūtiḥ śakraṃ devānām indram etad avocat: tena hi	evam ukte, AyuzmAn suBUtiH Sakram devAnAm indram etat avocat: tena hi
   kauśika upadekṣyāmi buddhānubhāvena buddhādhiṣṭhānena bodhisattvānāṃ	kOSikaH upadekzyAmi budDa anuBAvena budDa aDizWAnena boDisattvAnAm
   mahāsattvānāṃ prajñāpāramitāṃ yathā bodhisattvena mahāsattvena	mahAsattvAnAm prajQApAramitAm yaTA boDisattvena mahAsattvena
   prajñāpāramitāyāṃ sthātavyaṃ, yaiś ca devaputrair anuttarāyāṃ	prajQApAramitAyAm sTAtavyan, yEH ca deva putrEH anuttarAyAm
   samyaksaṃbodhau cittaṃ notpāditaṃ tair anuttarāyāṃ samyaksaṃbodhau cittam	samyaksaMboDO cittam na utpAditam tEH anuttarAyAm samyaksaMboDO cittam
   utpādayitavyam. ye punar avakrāntaniyāmās te 'pratibalā anuttarāyāṃ	utpAdayitavyam. ye punar avakrAnta niyAmAH te apratibalA anuttarAyAm
   samyaksaṃbodhau cittam utpādayituṃ. tat kasya hetor? baddhasīmāno hi te	samyaksaMboDO cittam utpAdayituM. tat kasya hetor? badDa sImAnaH hi te
   saṃsārasrotasaḥ.	saMsAra srotasaH.
   iti viṣayapratiniyamaḥ	iti vizaya pratiniyamaH
   api tu khalu punas teṣām apy anumode te ced anuttarāyāṃ samyaksaṃbodhau	api tu Kalu punar tezAm api anumode te ced anuttarAyAm samyaksaMboDO
   cittam utpādayeyuḥ. iti vyāptiḥ	cittam utpAdayeyuH. iti vyAptiH
   nāhaṃ teṣāṃ kuśalapakṣasyāntarāyaṃ karomi.iti svabhāvaḥ	na aham tezAm kuSala pakzasya antarAyam karomi. iti svaBAvaH
   viśiṣṭebhyo dharmebhyo viśiṣṭatamā dharmā adhyālambitavyāḥ.	viSizweByaH DarmeByaH viSizwatamAH DarmAH aDyAlambitavyAH.
   iti kāritram ity uktāni dhyāmīkaraṇādīni	iti kAritram iti uktAni DyAmIkaraNa AdIni
   tatra kauśika bodhisattvasya mahāsattvasya katamā prajñāpāramitā, iha	tatra kOSika boDisattvasya mahAsattvasya katamA prajQApAramitA, iha
   bodhisattvo mahāsattvaḥ sarvajñatāpratisaṃyuktaiś cittotpādaiḥ rūpam	boDisattvaH mahAsattvaH sarvajQa tA pratisaMyuktEH citta utpAdEH rUpam
   anityato manasikaroti duḥkhato 'nātmataḥ śāntato rogato gaṇḍataḥ śalyato	anityataH manasikaroti duHKataH anAtmataH SAntataH rogataH gaNxataH SalyataH 
   'ghataḥ parataḥ pralopadharmataś calataḥ prabhaṅgurato bhayata upasargata	aGataH paratas pralopa DarmataH calataH praBaFguH atas BayataH upasargata
   upadravato manasikaroti tac cānupalambhayogena, vedanā saṃjñā saṃskārā	upadravataH manasikaroti tat ca anupalamBa yogena, vedanA saMjQA saMskArA
   vijñānam. evaṃ cakṣuḥ śrotraṃ ghrāṇaṃ jihvā kāyo manaḥ, evaṃ pṛthivīdhātur	vijQAnam. evam cakzuH Srotram GrANam jihvA kAyaH manaH, evam pRTivI DAtuH 
   abdhātus tejodhātur vāyudhātur ākāśadhātur vijñānadhātum anityato	abDAtuH tejaH DAtuH vAyuDAtuH AkASa DAtuH vijQAna DAtum anityataH 
   manasikaroti duḥkhato (PSP_2 3:3) 'nātmataḥ śāntato rogato gaṇḍataḥ	manasikaroti duHKataH (PSu _2 3:3) anAtmataH SAntataH rogataH gaNxataH
   śalyato 'ghataḥ parataḥ pralopadharmataś calataḥ prabhaṅgurato bhayata	SalyataH aGataH paratas pralopa DarmataH calataH praBaFguH atas Bayata
   upasargata upadravato manasikaroti tac cānupalambhayogena	upasargataH upadravataH manasikaroti tat ca anupalamBa yogena
   sarvajñatāpratisaṃyuktena cittotpādena. evam avidyāpratyayān saṃskārān	sarvajQa tA pratisaMyuktena citta utpAdena. evam avidyA pratyayAn saMskArAn
