   akasmāj jāyate yatra ST_2.49a	akasmAt jAyate yatra ST_2.49a
   akāṇḍe yatra huṃkāro ST_2.15a	akANxe yatra huMkAraH ST_2.15a
   agny-ākāraṃ kalayasi puraś cakravākīva candraṃ ST_2.11aa	agni--AkAram kalayasi puras cakravAkI-iva candram ST_2.11aa
   aṅga-bhaṅgaiḥ śubhair yathā ST_1.56d	aFga-BaFgEH SuBEH yaTA ST_1.56d
   aṅgulyā pracalat-karāgra-valaya-svānopahūta-smaraṃ ST_1.56dc	aFgulyA pracalat--kara-agra--valaya--svAna-upahUta-smaram ST_1.56dc
   ajananir astu dṛśos tava kucayor abhava-niralaṃ bhavatu ST_1.51fa	ajananiH astu dRSoH tava kucayoH aBava--niralam Bavatu ST_1.51fa
   atiraktatayā nāryā sadā tyakta-parāṅganaḥ ST_1.25a	ati-rakta-tayA nAryA sadA tyakta-para-aFganaH ST_1.25a
   atisūkṣmatayā bhedaḥ ST_1.46c	ati-sUkzma-tayA BedaH ST_1.46c
   atyadbhutaṃ narādhipa tava kīrtir dhavalayanty api jaganti ST_3.43ca	ati-adButam narADipa tava kIrtiH Davalayanti api jaganti ST_3.43ca
   atha kila valal-līlālokaṃ sa eṣa tathekṣitaḥ ST_1.56ac	aTa kila valal--lIlA-lokam saH eza taTA-IkzitaH ST_1.56ac
   adbhutaś ca tathā vīrād ST_3.22c	adButaH ca taTA vIrAt ST_3.22c
   adyaiva yat pratipad-udgata-candra-lekhā- ST_2.58aa	adya-eva yat pratipad--udgata--candra--leKA ST_2.58aa
   adhīrā paruṣaṃ yathā ST_1.41d	aDIrA paruzam yaTA ST_1.41d
   adhīrā puruṣair hanti ST_1.45c	aDIrA puruzEH hanti ST_1.45c
   ananya-śaraṇā svīyā ST_1.61a	ananya-SaraNA svIyA ST_1.61a
   animittaṃ yad vihasati niṣkāraṇam eva yat sakhīṃ vadati ST_1.56ca	animittam yat vihasati nizkAraNam eva yat saKIm vadati ST_1.56ca
   anunītā ca tuṣyati ST_1.38d	anunItA ca tuzyati ST_1.38d
   [a]nunītā ca prasīdati ST_1.89b	[a]nunItA ca prasIdati ST_1.89b
   anurakto bhaved yasyāṃ ST_2.23a	anuraktaH Bavet yasyAm ST_2.23a
   anena mārgeṇa viśeṣa-ramyaṃ ST_1.96a	anena mArgeNa viSeza--ramyam ST_1.96a
   anena rahitaṃ kāvyaṃ ST_2.69c	anena rahitam kAvyam ST_2.69c
   anyathāpi na doṣaḥ syād ST_2.21a	anyaTA-api na dozaH syAt ST_2.21a
   anyathā śāstra-vid goṣṭhyāṃ ST_1.8c	anyaTA SAstra-vid gozWyAm ST_1.8c
   anyadīyā dvidhā proktā ST_1.50a	anyadIyA dviDA proktA ST_1.50a
   anyayā saha jalpati ST_2.35b	anyayA saha jalpati ST_2.35b
   anyāṃ niṣevamāṇe'pi ST_1.38a	anyAm nizevamANe-api ST_1.38a
   anye tad api badhnanti ST_2.18a	anye tat api baDnanti ST_2.18a
   anyeṣv api raseṣv ete ST_3.53a	anyezu api rasezu ete ST_3.53a
   anyoḍhāpi karoty eva ST_1.58a	anyoXA-api karoti eva ST_1.58a
   apaśyantaṃ ca sā kāntaṃ ST_1.54a	apaSyantam ca sA kAntam ST_1.54a
   apasmāro viṣādaś ca ST_3.35a	apasmAraH vizAdaH ca ST_3.35a
   apaharati yadāsyaṃ cumbane śliṣyamāṇā ST_1.36aa	apaharati yadA-Asyam cumbane SlizyamANA ST_1.36aa
   apūrvā iva muñcanti ST_1.67c	apUrvAH iva muQcanti ST_1.67c
   abhinava-doṣāvasāre tathaiva vanitā-janasya yathā ST_2.41b	aBinava--doza-avasAre taTA-eva vanitA-a-janasya yaTA ST_2.41b
   abhiniveśatā premādhikyaṃ cirāt prakaṭīkṛtam ST_2.67db	aBiniveSa-tA prema-ADikyam cirAt prakawIkRtam ST_2.67db
   abhimata-mukhaṃ vīkṣāṃ cakre navāṅganayā tathā ST_1.50ac	aBimata-muKam vIkzAm cakre nava-aFganayA taTA ST_1.50ac
   abhimukha-gate yasminn eva priye bahuśo vada- ST_1.56aa	aBimuKa--gate yasmin eva priye bahuSas vada ST_1.56aa
   abhiyāti priyaṃ sābhi- ST_1.80c	aBiyAti priyam sABi ST_1.80c
   abhiyuṅkte svayaṃ yathā ST_1.58d	aBiyuFkte svayam yaTA ST_1.58d
   abhilāṣo'tha cintā syāt ST_2.5a	aBilAzaH-aTa cintA syAt ST_2.5a
   abhīṣṭā sā bhṛśaṃ strīṇāṃ ST_2.48c	aBIzwA sA BRSam strINAm ST_2.48c
   amarṣaḥ pratibodhaś ca ST_3.33a	amarzaH pratiboDaH ca ST_3.33a
