   // śrīḥ //	// SrIH //
   alaṅkārasarvasvam	alaFkAra-sarvasvam
   namaskṛtya parāṃ vācaṃ devīṃ trividhavigrahām /	namaskRtya parAm vAcam devIm triviDa-vigrahAm /
   gurvalaṅkārasūtrāṇāṃ vṛttyā tātparyamucyate // RuAss_0 //	guru-alaFkAra-sUtrANAm vRttyA tAtparyam-ucyate // RuAsH-_0 //
   START Bhūmikā	START BhUmikA
   iha hi tāvad bhāmahodbhaṭaprabhṛtayaścirantanālaṅkārakārāḥ	iha hi tAvat BAmaha-udBawa-praBRtayaH-cirantana-alaFkAra-kArAH
   pratīyamānamarthe vācyopaskārakatayālaṅkārapakṣanikṣitpaṃ manyante /	pratIyamAnam-arTe vAcya-upaskAraka-tayA-alaFkAra-pakza-nikzitpam manyante /
   tathāhi-paryāyoktāprastutapraśaṃsāsamāsoktyākṣepavyājastutyupameyopamānanvayādau	taTA-hi-paryAya-uktA-prastuta-praSaMsA-samAsa-ukti-Akzepa-vyAjastuti-upameya-upamAn-anvaya-AdO
   vastumātraṃ gamyamānaṃ vācyopaskārakatvena 'svasiddhaye parākṣepaḥparārthe	vastu-mAtram gamyamAnam vAcya-upaskAraka-tvena asva-sidDaye parAkzepaH-para-arTe
   svasamarpaṇam' iti yathāyogaṃ dvividhayā bhaṅgyā pratipāditaṃ taiḥ /	sva-samarpaNam-a iti yaTAyogam dviviDayA BaFgyA pratipAditam tEH /
   rudraṭenāpi bhāvālaṅkāro dvidhoktaḥ /	rudrawena-api BAva-alaFkAraH dviDA-uktaH /
   rūpakadīpakāpahnutitulyayogitādāvupamādyalaṅkāro vācyopaskārakatvenoktaḥ /	rUpa-kadIpaka-apahnuti-tulya-yogitAH-dO=-upama-Adi-alaFkAraH vAcya-upaskAraka-tvena-uktaH /
   utprekṣā tu svayameva pratīyamānā kathitā /	utprekzA tu svayam-eva pratIyamAnA kaTitAH /
