   śrīvyāsatīrtharacitam	SrI vyAsa tIrTa racitam
   tarkatāṇḍavam	tarka tANxavam
   śrīrāghavendratīrthakṛtanyāyadīpākhyavyākhyāsamalaṅkṛtam	SrI rAGava indra tIrTa kRta nyAya dIpa AKya vyAKyAsam alaFkRtam
   dvitīyaṃ sampuṭam	dvitIyam sampuwam
   prakaraṇasūcīpatram	prakaraNa sUcI patram
   pra. saṃkhyā prakaraṇanāma pu. saṃkhyā	pra. saMKyA prakaraNa nAma pu. saMKyA
   1 ākāṅkṣā 1	1 AkAFkzA 1
   2 āsattiḥ 24	2 AsattiH 24
   3 yogyatā 33	3 yogyatA 33
   śaktivādaḥ	SaktivAdaH
   4 līlāvatyādyuktaśaktyapalāpaprakārabhaṅgaḥ 47	4 lIlAvati Adi ukta Sakti apalApa prakAra BaFgaH 47
   5 śaktau śrutyādinirūpaṇam 52	5 SaktO Sruti Adi nirUpaNam 52
   6 śaktāvarthāpattipañcakam 57	6 SaktO= arTa Apatti paQcakam 57
   7 pratibandhakābhāvasya hetutve prakāracaduṣṭayabhaṅgaḥ 71	7 pratibanDaka aBAvasya hetu tve prakAra caduzwaya BaFgaH 71
   8 tṛṇāraṇimaṇīnāmekaśaktimatvasādhanam 83	8 tRNa araNi maNInAm eka Saktimatva sADanam 83
   9 sahajaśaktiḥ 90	9 sahaja SaktiH 90
   10 ādheyaśaktiḥ 97	10 ADeya SaktiH 97
   11 tamaso dravyatvasamarthanam 108	11 tamasaH dravya tva samarTanam 108
   12 parābhimatesuvarṇasya yogyānupalabdhibādhaḥ 126	12 para aBimatesuvarNasya yogyA anupalabDi bADaH 126
   13 suvarṇasyodayanādyaktārthāpatteḥ pañcadhānyathopa 	13 suvarNasya udayanAt yakta arTApatteH paQcaDAnyaTA upa 
   pattisamarthanam 132	patti samarTanam 132
   14 suvarṇasya taijasatve maṇyādyuktaprakāradvayabhaṅgaḥ 146	14 suvarNasya tEjasa tve maNyAdi ukta prakAra dvaya BaFgaH 146
   15 suvarṇasya pārthivatvasamarthanam 156	15 suvarNasya pArTiva tva samarTanam 156
   16 anvitābhidhāne udayanādyuktabādhakadaśakoddhāraḥ 171	16 anvita aBiDAne udayana Adi ukta bADaka daSaka udDAraH 171
   17 anvitābhidhāne yuktidaśakam 186	17 anvita aBiDAne yukti daSakam 186
   pra. saṃkhyā prakaraṇanāma pu. saṃkhyā	pra. saMKyA prakaraNa nAma pu. saMKyA
   19 vyaktipratibandyā duṣpariharatvam 193	19 vyakti pratibandyAH duzparihara tvam 193
