   ṣaṭ-sandarbha-nāmaka-	zaw-sandarBa-nAmaka-
   śrī-bhāgavata-sandarbhe tṛtīyaḥ	SrI--BAgavata--sandarBe tRtIyaH
   paramātma-sandarbhaḥ	paramAtma-sandarBaH
   tau santoṣayatā santau śrīla-rūpa-sanātanau |	tO santozayatA santO SrIla--rUpa-sanAtanO |
   dākṣiṇātyena bhaṭṭena pnuar etad vivicyate ||i||	dAkziNAtyena Bawwena pnuar etat vivicyate ||i||
   tasyādyaṃ granthanālekhaṃ krāntam utkrānta-khaṇḍitam |	tasya-Adyam granTanAleKam krAntam utkrAnta---KaNxitam |
   paryālocyātha paryāyaṃ kṛtvā likhati jīvakaḥ ||ii||	paryAlocya-aTa paryAyam kRtvA liKati jIvakaH ||ii||
   atha paramātmā vivriyate | atra taṃ jagad-gata-jīva-nirūpaṇa-pūrvakaṃ	aTa paramAtmA vivriyate | atra tam jagat--gata-jIva--nirUpaNa--pUrvakam
   nirūpayati dvābhyām -	nirUpayati dvAByAm -
   kṣetrajña etā manaso vibhūtīr	kzetrajQaH etAH manasaH viBUtIH-
   jīvasya māyā-racitasya nityāḥ |	jIvasya mAyA-racitasya nityAH |
   āvirhitāḥ kvāpi tirohitāś ca	AvirhitAH kvApi tirohitAH ca
   śuddho vicaṣṭe hy aviśuddha-kartuḥ || [BhP 5.11.12]	SudDaH vicazwe hi aviSudDa-kartuH || [Bhj 5.11.12]
   kṣetrajña ātmā puruṣaḥ purāṇaḥ	kzetrajQaH AtmA puruzaH purANaH
   sākṣāt svayaṃ jyotir ajaḥ pareśaḥ |	sAkzAt svayam jyotiH ajaH para-ISaH |
   nārāyaṇo bhagavān vāsudevaḥ	nArAyaNaH BagavAn vAsudevaH
   sva-māyayātmany avadhīyamānaḥ || [BhP 5.11.13]	sva--mAyayA-Atmani avaDIyamAnaH || [Bhj 5.11.13]
   yaḥ śuddho'pi māyātaḥ paro'pi māyā-racitasya vakṣyamāṇasya sarva-	yaH SudDaH-api mAyAtaH paraH-api mAyA-racitasya vakzyamANasya sarva-
   kṣetrasya māyayā kalpitasya manaso'ntaḥ-karaṇasyaitāḥ vibhūtīr vṛttīr	kzetrasya mAyayA kalpitasya manasaH-antaH-karaNasya-etAH viBUtIH vRttIH-
