   (KauśS_1,1.1) atha vidhiṃ vakṣyāmaḥ	(KOSS_1,1.1) aTa viDim vakzyAmaH
   (KauśS_1,1.2) sa punar āmnāyapratyayaḥ	(KOSS_1,1.2) sa punar AmnAya pratyayaH
   (KauśS_1,1.3) āmnāyaḥ punar mantrāś ca brāhmaṇāni ca	(KOSS_1,1.3) AmnAyaH punar mantrAH ca brAhmaNAni ca
   (KauśS_1,1.4) tad yathābrāhmaṇaṃ vidhir evaṃ karmaliṅgā mantrāḥ	(KOSS_1,1.4) tat yaTAbrAhmaNam viDiH evam karma liFgAH mantrAH
   (KauśS_1,1.5) tathānyārthaḥ	(KOSH _1,1.5) taTA anya arTaH
   (KauśS_1,1.6) tathā brāhmaṇaliṅgā mantrāḥ	(KOSH _1,1.6) taTA brAhmaNa liFgAH mantrAH
   (KauśS_1,1.7) tadabhāve saṃpradāyaḥ	(KOSH _1,1.7) tad aBAve saMpradAyaH
   (KauśS_1,1.8) pramuktatvād brāhmaṇānām	(KOSS_1,1.8) pramukta tvAt brAhmaNAnAm
   (KauśS_1,1.9) yajñaṃ vyākhyāsyāmaḥ	(KOSS_1,1.9) yajQam vyAKyAsyAmaH
   (KauśS_1,1.10) devānāṃ pitṝṇāṃ ca	(KOSS_1,1.10) devAnAm pitLNAm ca
   (KauśS_1,1.11) prāṅmukha upāṃśu karoti	(KOSS_1,1.11) prAFmuKaH upAMSu karoti
   (KauśS_1,1.12) yajñopavītī devānām	(KOSS_1,1.12) yajQa upavItI devAnAm
   (KauśS_1,1.13) prācīnavītī pitṝṇām	(KOSS_1,1.13) prAcInavItI pitLNAm
   (KauśS_1,1.14) prāg udag vā devānām	(KOSS_1,1.14) prAk udak vA devAnAm
   (KauśS_1,1.15) dakṣiṇā pitṝṇām	(KOSS_1,1.15) dakziNA pitLNAm
   (KauśS_1,1.16) prāgudag apavargaṃ devānām	(KOSS_1,1.16) prAc udak apavargam devAnAm
   (KauśS_1,1.17) dakṣiṇāpratyag apavargaṃ pitṝṇām	(KOSH _1,1.17) dakziNA pratyak apavargam pitLNAm
   (KauśS_1,1.18) sakṛt karma pitṝṇām	(KOSS_1,1.18) sakRt karma pitLNAm
   (KauśS_1,1.19) tryavarārdhaṃ devānām	(KOSH _1,1.19) tri avara arDam devAnAm
   (KauśS_1,1.20) yathādiṣṭaṃ vā	(KOSS_1,1.20) yaTA Adizwam vA
   (KauśS_1,1.21) abhidakṣiṇam ācāro devānām	(KOSS_1,1.21) aBidakziNam AcAraH devAnAm
   (KauśS_1,1.22) prasavyaṃ pitṝṇām	(KOSS_1,1.22) prasavyam pitLNAm
   (KauśS_1,1.23) svāhākāravaṣṭkārapradānā devāḥ	(KOSH _1,1.23) svAhAkAra vazwkAra pradAnAH devAH
   (KauśS_1,1.24) svadhākāranamaskārapradānā pitaraḥ	(KOSS_1,1.24) svaDA AkAra namaskAra pradAnA pitaraH
   (KauśS_1,1.25) upamūlalūnaṃ barhiḥ pitṝṇām	(KOSH _1,1.25) upamUla lUnam barhiH pitLNAm
   (KauśS_1,1.26) parvasu devānām	(KOSS_1,1.26) parvasu devAnAm
   (KauśS_1,1.27) <pra yacha parśum [12.3.31a]> iti darbhāhārāya dātraṃ	(KOSS_1,1.27) <pra yaCa parSum [12.3.31a]> iti darBa AhArAya dAtram
   prayachati	prayaCati
   (KauśS_1,1.28) <oṣadhīr dāntu parvan [12.3.31b part]> iti_upari parvaṇāṃ	(KOSH _1,1.28) <ozaDIH dAntu parvan [12.3.31b part]> iti_upari parvaNAm
   lūtvā tūṣṇīm āhṛtya_uttarato_agner upasādayati	lUtvA tUzNIm AhRtya_uttaratas _agneH upasAdayati
   (KauśS_1,1.29) nāgniṃ viparyāvarteta	(KOSS_1,1.29) na agnim viparyAvarteta
   (KauśS_1,1.30) nāntarā yajñāṅgāni vyaveyāt	(KOSH _1,1.30) na antarA yajQa aFgAni vyaveyAt 
   (KauśS_1,1.31) dakṣiṇaṃ jānu prabhujya juhoti	(KOSH _1,1.31) dakziNam jAnu praBujya juhoti
   (KauśS_1,1.32) yā pūrvā paurṇamāsī sānumatir yā_uttarā sā rākā [cf. AitB	(KOSS_1,1.32) yA pUrvA pOrNamAsI sa anumatiH yA_uttarA sA rAkA [cf. AitB
   (KauśS_1,1.33) yā pūrvāmāvāsyā sā sinīvālī yā_uttarā sā kuhūḥ [cf. AitB	(KOSS_1,1.33) yA pUrvA amAvAsyA sA sinIvAlI yA_uttarA sA kuhUH [cf. AitB
   (KauśS_1,1.34) adya_upavasatha iti_upavatsyadbhaktam aśnāti	(KOSH _1,1.34) adya_upavasaTaH iti_upavatsyat Baktam aSnAti
   (KauśS_1,1.35) madhulavaṇamāṃsamāṣavarjam	(KOSH _1,1.35) maDu lavaNa mAMsa mAza varjam
   (KauśS_1,1.36) <mamāgne varcaḥ [5.3.1]> iti samidha ādhāya vratam upaiti	(KOSH _1,1.36) <mama agne varcaH [5.3.1]> iti samiDaH ADAya vratam upEti
   (KauśS_1,1.37) <vratena tvāṃ vratapate [7.74.4]> iti vā	(KOSS_1,1.37) <vratena tvAm vratapate [7.74.4]> iti vA
   (KauśS_1,1.38) brahmacārī vratī	(KOSS_1,1.38) brahmacArI vratI
