   Vādivāgīśvara: Mānamanohara	VAdi-vAc-ISvara: MAna-manohara
   namastasyai mahābhūtabaddhān amṛtasevanāt /	namaH-tasyE mahABUta-badDAn amRta-sevanAt /
   mocayatyakulasthāpi yā śaktiścitsvarūpiṇī // 1 //	mocayati-akula-sTA-api yA SaktiH-cit-svarUpiNI // 1 //
   vāgīśvarācāryasutena vādivāgīśvareṇa kriyate gabhīraḥ /	vAc-ISvara-AcArya-sutena vAdivAgISvareNa kriyate gaBIraH /
   kathāsu garjatprativādigarvapraśāntaye mānamanoharo 'yam // 2 //	kaTAsu garjat-prativAdi-garva-praSAntaye mAna-manoharaH ayam // 2 //
   siddhiprakaraṇam	sidDi-prakaraNam
   [īśvarasiddhiḥ]	[ISvara-sidDiH]
   1) vivādādhyāsitaṃ karma prayatnādhārajaṃ karmatvāt, yatkarma tat	1) vivAda-aDyAsitam karma prayatna-ADAra-jam karma-tvAt, yat-karma tat-
   prayatnādhārajaṃ yathā - sampratipannaṃ karma, tathā vivādādhyāsitaṃ	prayatna-ADAra-jam yaTA  sampratipannam karma, taTA vivAda-aDyAsitam
   karma, tasmātprayatnādhārajam /	karma, tasmAt-prayatna-ADAra-jam /
   2) vivādādhyāsitaṃ mūrtaṃ prayatnādhārajam, paramāṇuvyatiriktatve sati	2) vivAda-aDyAsitam mUrtam prayatna-ADAra-jam, paramANu-vyatirikta-tve sati
   mūrtatvāt /	mUrta-tvAt /
   3) gandhaḥ prayatnajaḥ, gandhatvāt, ghaṭavattadgatagandhavacca /	3) ganDaH prayatna-jaH, ganDa-tvAt, Gawa-vat-tadgata-ganDa-vat-ca /
   na ca śarīriṇājanyatvādityanena prakaraṇasamatvam, nāpi	na ca SarIriNA-janya-tvAt-iti-anena prakaraNa-sama-tvam, na-api
   tajjanyatvamupādhiḥ, akāryatvasyoprādheḥ, vyarthaviśeṣaṇatvācca /	tad-janya-tvam-upADiH, akArya-tvasya-uprADeH, vyarTa-viSezaNa-tvAt-ca /
   etena vyāptidarśanakāle karmatvakāryatvāderaṅkaratajjananādau kevalasyāpi	etena vyApti-darSana-kAle karma-tva-kArya-tvAdeH-aFkara-tad-janana-AdO kevalasya-api
   darśanād vyāptaniścaya iti parākṛtam, upādhisadbhāvasyā 'nirūpitatvāt /	darSanAt vyApta-niScayaH iti parAkRtam, upADi-sadBAvasyAH anirUpita-tvAt /
   yāvadupādhirna nirūpyate, tāvadekasminnapi piṇḍenayoḥ sambandhaniyame	yAvat-upADiH-na nirUpyate, tAvat-ekasmin=-api piNxenayoH sambanDa-niyame
   prayojakatvaṃ vācyam /	prayojaka-tvam vAcyam /
   anyāprayuktasambandhasyāpi sādhyaparityāge svabhāvaparityāgaprasaṅgāt,	anyA-prayukta-sambanDasya-api sADya-parityAge svaBAva-parityAga-prasaFgAt,
   nirūpādhikasambandhatvācca vyāpteḥ /	nirUpa-aDika-sambanDa-tvAt-ca vyApteH /
   4) kiṃ ca vivādhyāsite pṛthivyudake prayatnavatā ghṛte, gurutve	4) kim ca vivADya-asite pRTivI-udake prayatnavatA GRte, guru-tve
   satyapātitvāt karatalāmalakavat /	satya-pAti-tvAt kara-tala-Amalaka-vat /
   5) īśvarajñānaṃ nityam, dviṣṭhavyatiriktatve sati īśvaraniṣṭhatvāt,	5) ISvara-jQAnam nityam, dvizWa-vyatirikta-tve sati ISvara-nizWa-tvAt,
   tadgatamahatvavat /	tad-gata-mahatva-vat /
   na ca jñānatvādityanena prakaraṇasamatvam, kāraṇasadbhāvasyopādheḥ /	na ca jQAna-tvAt-iti-anena prakaraNa-sama-tvam, kAraNa-sadBAvasya-upADeH /
   tasyāpi sādhane bādhaḥ --- na hi draṣṭurddaṣṭerviparilopo vidyate (bṛha	tasya-api sADane bADaH -- na hi drazwuH-ddazweH-viparilopaH vidyate (bRha
   4.3.23) ityāgamabādhaḥ /	4.3.23) iti-Agama-bADaH /
   anyathā jalaparamāṇurūpamanityam, rūpatvādityapi syāt /	anyaTA jala-paramANu-rUpam-anityam, rUpa-tvAt-iti-api syAt /
   na ca tatrāpi kāraṇasadbhāva upādhiḥ, tasyāpi sādhanādbādhāyā abhāvāt /	na ca tatra-api kAraNa-sadBAvaH upADiH, tasya-api sADanAt-bADAyAH aBAvAt /
   6) vivādādhyāsitam nityaviśeṣaguṇādhārajam kāryatvādāpyadvayṇukavat /	6) vivAda-aDyAsitam nitya-viSeza-guNa-ADAra-jam kArya-tvAt-ApyadvayNuka-vat /
   yaśca nityaviśeṣaguṇādhāraḥ, sa eveśvaraḥ /	yaH-ca nitya-viSeza-guNa-ADAraH, saH eva-ISvaraH /
   7) bauddhaṃ prati īśvarasādhanam --- vivādādhyāsito vikalpaḥ tadatirikte	7) bOdDam prati ISvara-sADanam -- vivAda-aDyAsitaH vikalpaH tad-atirikte
   pramā, pramātvāt, nirvikalpakapramāvat /	pramA, pramAtvA-at, nirvikalpaka-pramAvat /
   na cāśrayāsiddhisvarūpāsiddhī, īśvarādiṣu bhaktānāṃ taddhetulyādikalpanā /	na ca-ASrayA-sidDi-svarUpa-asidDI, ISvara-Adizu BaktAnAm tad-hetulya-Adi-kalpanA /
   vāsanāmātrabhāvinyo jāyante vividhāḥ sphuṭam //	vAsanA-mAtra-BAvinyaH jAyante viviDAH sPuwam //
   (ta saṃ 282) iti tvayaivābhyupagateḥ, mama sutarāmiṣṭatvāt, tvanmate	(ta sam 282) iti tvayA-eva-aByupagateH, mama sutarAm-izwa-tva-at, tvad-mate
   svaprakāśatvena sarvajñānānāṃ pramātvāt, mama tu prakṛte 'vipratipatteśca	sva-prakASa-tvena sarva-jQAnAnAm pramAtvAt, mama tu prakRte avipratipatteH-ca
   8) etajjñānam, etadutpādakānityavyatiriktajñānajam, kāryatvāt,	8) etat-jQAnam, etad-utpAdaka-anitya-vyatirikta-jQAna-jam, kArya-tvAt,
   sampratipannavat /	sampratipanna-vat /
   na cātraitadvyatiriktatvamupādhiḥ, tava vyarthaviśeṣaṇatvāt, mama	na ca-atra-etat-vyatirikta-tvam-upADiH, tava vyarTa-viSezaNa-tvAt, mama
   nityeṣvapi sambhavāt /	nityezu-api samBavAt /
   kāryatve satīti viśeṣaṇe pūrvadoṣānuṣaṅgaḥ /	kAryatve sati-iti viSezaNe pUrva-doza-anuzaFgaH /
   nityajñānādhāra īśvara itīśvaralakṣaṇam /	nitya-jQAna-ADAraH ISvaraH iti-ISvara-lakzaNam /
   tadevaṃ kāryatvādibhirhetubhiḥ siddha īśvaraḥ //	tat-evam kArya-tva-AdiBiH-hetuBiH sidDaH ISvaraH //
   [avayavisiddhiḥ]	[avayavi-sidDiH]
   1) savikalpakaṃ savikalpakavyatirikte pramā, pramātvāt,	1) sa-vikalpakam sa-vikalpaka-vyatirikte pramA, pramAtvA-at,
   nirvikalpakapramāvat /	nirvikalpaka-pramAvat /
   2) etatkāryam, etadutpādakajñānavyatiriktajanyam, kāryatvāt /	2) etat-kAryam, etad-utpAdaka-jQAna-vyatirikta-janyam, kAryatvAt /
   3) nirvikalpakam, nirvikalpakotpādakajñānavyatiriktajanyam, kāryatvād,	3) nirvikalpa-kam, nirvikalpaka-utpAdaka-jQAna-vyatirikta-janyam, kArya-tvAt-,
   jñānāntaravat, savikalpakavacca /	jQAna-antaravat, sa-vikalpaka-vat-ca /
   na ca nirvikalpakatvamupādhiḥ vaiyarthādviśeṣaṇasya /	na ca nirvikalpaka-tvam-upADiH vEyarTAt-viSezaNasya /
   yatprakāśate tajjñānam, yathā sampratipannam /	yat-prakASate tat-jQAnam, yaTA sampratipannam /
   prakāśate vivādapadamiti nātra prakaraṇasamatvam, ubhayavādisiddhāśrayasya	prakASate vivAda-padam-iti na-atra prakaraNa-sama-tvam, uBaya-vAdi-sidDa-ASrayasya
   durnirūpatvāt /	durnirUpa-tvAt /
   etena vastutvādayo nirastāḥ /	etena vastu-tva-AdayaH nirastAH /
   vimataṃ jñānātmakam, vastutvāt sattvāt, sampratipannavaditi /	vimatam jQAna-Atmakam, vastu-tvAt sattva-at, sampratipanna-vat-iti /
   4) sthūlavikalpo bāhye 'rthe pramā, pramātvād,	4) sTUla-vikalpaH bAhye arTe pramA, pramAtvAd,
   rūpadarśanavadityavayavisiddhiḥ /	rUpa-darSana-vat-iti-avayavi-sidDiH /
   na ca vṛttivikalpādibādhitatvādyutthānam, teṣāmeva pratyakṣabādhitatvāt /	na ca vRtti-vikalpa-Adi-bADita-tva-Adi-utTAnam, tezAm-eva pratyakza-bADita-tvAt /
   indriyaṃ dravyagrāhakaṃ na bhavati, indriyatvād, rasanavaditi tu	indriyam dravya-grAhakam na Bavati, indriya-tvAt-, rasana-vat-iti tu
   vyāptyasiddhisvarūpāsiddhidṛṣṭāntāsiddhiduṣṭatvādasādhanam /	vyAptyasidDi-svarUpA-sidDi-dRzwAnta-asidDi-duzwa-tvAt-asADanam /
   pratiyogino 'jñāne vyatirekasya jñātumaśakyatvād indriyasvarūpasya	pratiyoginaH ajQAne vyatirekasya jQAtum-aSakyatvAt indriya-svarUpasya
   dravyaviśeṣaṇatvācca /	dravya-viSezaNa-tvAt-ca /
   apare tu gandho 'gandhopādānaḥ, kāryatvādrūpavadityavayavisiddhiṃ bruvate	apare tu ganDaH aganDA-upAdAnaH, kArya-tvAt-rUpa-vat-iti-avayavi-sidDim bruvate
   tatra copādānaśabdasya samavāyikāraṇavācakatve dṛṣṭāntābhāvaḥ,	tatra ca-upAdAna-Sabdasya samavAyi-kAraNa-vAcaka-tve dRzwAnta-aBAvaH,
   sajātīyamātravācakatve siddhasādhanatā, atyantasajātīyavācakatve	sajAtIya-mAtra-vAcaka-tve sidDa-sADana-tA, atyanta-sajAtIya-vAcaka-tve
   pratijñāpadayorvyāghātaḥ /	pratijQA-padayoH-vyAGAtaH /
   kāryatve sati sparśavadavayavītyavayavilakṣaṇam /	kAryatve sati sparSavat-avayavI-iti-avayavi-lakzaNam /
   [paramāṇusiddhiḥ]	[paramANu-sidDiH]
   1) vivādādhyāsito gandha etadgandhakāraṇena janyate gandhatvāt,	1) vivAda-aDyAsitaH ganDaH etat-ganDa-kAraNena janyate ganDa-tvAt,
   kāryatvādetadvat /	kAryatvAt-etadvat /
   na ca piṇḍasyevopādhitvam, tatsamānakṣaṇānāṃ rūpādīnāmapi	na ca piNxasya-iva-upADi-tvam, tad-samAna-kzaNAnAm rUpa-AdInAm-api
   tathābhāvaprasaṅgāt /	taTA-aBAva-prasaFgAt /
   2) vipratipannaṃ kāryam, etannīlakāraṇajam, kāryatvāt, gṛhyamāṇanīlavat /	2) vipratipannam kAryam, etat-nIla-kAraNa-jam, kArya-tvAt, gRhyamANa-nIla-vat /
   na cānugrāhakatarkābhāvaḥ, ante 'pi sthirapadārthānabhyupagame	na ca-anugrAhaka-tarka-aBAvaH, ante api sTira-padArTa-anaByupagame
   kāryakāraṇabhāvanirvāhāt, anvayavyatirekaprayojakābhāvāt /	kArya-kAraNa-BAva-nirvAhAt, anvaya-vyatireka-prayojaka-aBAvAt /
   kalpanayā tatsiddhyabhyupagame vastuno 'sattvena tanmūlasya	kalpanayA tad-sidDi-aByupagame vastunaH asattvena tad-mUlasya
   kāryakāraṇabhāvasyāsattvaprāptau viśvāsattvaprasaṅgaḥ /	kArya-kAraNa-BAvasya-asattva-prAptO viSvAsattva-prasaFgaH /
   arthakriyākāritvasya sattvātsamarthasya kṣepāyogādityādi	arTa-kriyA-kAritvasya sattvAt-samarTasya kzepA-yogAt-ityAdi
   sahakārisadasadbhāvaprayuktatvena pariharaṇīyam /	sahakAri-sat-asat-BAva-prayukta-tvena pariharaNIyam /
   sahakāriṇāmeva hetutvamastviti (cenna) teṣāmeva caramatvaniyame	sahakAriNAm-eva hetu-tvam-astu-iti (ced-na) tezAm-eva carama-tva-niyame
   tadupayogaḥ syāt /	tad-upayogaH syAt /
   atyantatantusaṃyogādiṣvapyavacchedakatvena tantūnāmupayogāt /	atyanta-tantu-saMyoga-Adizu-api-avacCedaka-tvena tantUnAm-upayogAt /
   teṣāṃ cāniyāmakatve 'nyatrāpi paṭotpattiprasaṅgaḥ /	tezAm ca-aniyAmaka-tve anyatra-api pawa-utpatti-prasaFgaH /
   krameṇa kāryakaraṇārhaṃ sthiraṃ tadviparītaṃ kṣaṇikamiti	krameNa kArya-karaNa-arham sTiram tad-viparItam kzaNikam-iti
   vipratipatterviṣaya udghāṭanīyaḥ /	vipratipatteH-vizayaH udGAwanIyaH /
   3) vivādādhyāsitā gandhādayaḥ pṛthivyārambhakā na saṃbhavanti,	3) vivAda-aDyAsitAH ganDa-AdayaH pRTivI-AramBakAH na saMBavanti,
   saṃyogavyatiriktatve sati bhūtaguṇatvād, vibhāgavat /	saMyoga-vyatirikta-tve sati BUta-guNa-tvAd, viBAga-vat /
   rasa udakārambhako na bhavati, rūpaṃ teja ārambhakaṃ na bhavati, sparśo	rasaH udaka-AramBakaH na Bavati, rUpam tejaH AramBakam na Bavati, sparSaH-
   vāyujanako na bhavati, śabdo dravyārambhako na bhavati,	vAyujanakaH na Bavati, SabdaH dravya-AramBakaH na Bavati,
   bhūtaviśeṣaṇaguṇattvādbāhyaikaikendriyagrāhyaguṇatvādvā gandhavat /	BUta-viSezaNa-guNattvAt-bAhya-ekEka-indriya-grAhya-guNa-tvAt-vA ganDa-vat /
   na cātraupādhikaśaṅkā 'pyasti gandhatvasya, tasyābhāve 'pi gurutvādiṣu	na ca-atra-OpADika-SaFkA api-asti ganDa-tvasya, tasya-aBAve api guru-tva-Adizu
   sādhyasya darśanāt /	sADyasya darSanAt /
   na ca śabdavyatiriktamupādhi caramasyānumānasya, nāpi prathamasya	na ca Sabda-vyatiriktam-upADi caramasya-anumAnasya, na-api praTamasya
   rasavyatiriktatvaṃ prayojakam, tadvyatiriktasyāpi	rasa-vyatirikta-tvam prayojakam, tad-vyatiriktasya-api
   saṃyogāderudakārambhakatvadarśanāt /	saMyoga-AdeH-udaka-AramBaka-tva-darSanAt /
   etena madhyamayorupādhiśaṅkā nirākṛtā /	etena maDyamayoH-upADi-SaFkA nirAkRtAH /
   ato gandhādivyatiriktopādānasiddhiḥ /	atas ganDa-Adi-vyatirikta-upAdAna-sidDiH /
   4) vivādādhyāsitaṃ kāryaṃ samavāyikāraṇakaṃ bhāvakāryatvādghaṭavat /	4) vivAda-aDyAsitam kAryam samavAyi-kAraNakam BAva-kArya-tvAt-Gawa-vat /
   na ca vyarthaviśeṣaṇatvam, kāryatvamātrasya dhvaṃsādiṣu vyabhicārāt /	na ca vyarTa-viSezaNa-tvam, kAryatva-mAtrasya DvaMsa-Adizu vyaBicArAt /
   5) vivādādhyāsitaṃ kāryaṃ samavāyikāraṇakaṃ kāryatvāt,	5) vivAda-aDyAsitam kAryam samavAyi-kAraNakam kArya-tvAt,
   mahāmūrtatvādvāghaṭavaditi kecit /	mahA-mUrta-tvAt-vAGawa-vat-iti kecid /
   vivādādhyāsitaṃ kāryaṃ mahat, samavāyikāraṇatvāditi bruvate /	vivAda-aDyAsitam kAryam mahat, samavAyi-kAraNa-tvAt-iti bruvate /
   taistu yogipratyakṣaṃ samadhigamya	tEH-tu yogi-pratyakzam samaDigamya
   paramāṇuṣvanaikāntikatvaparihārārthamasmadādīti viśeṣaṇīyam /	paramANuzu-anEkAntika-tva-parihAra-arTam-asmad-Adi-iti viSezaNIyam /
   tathā ca vyarthaviśeṣaṇatvam, prativādino vyāvṛttyabhāvāt, manasi	taTA ca vyarTa-viSezaNa-tvam, prativAdinaH vyAvRtti-aBAvAt, manasi
   vyabhicāraśca /	vyaBicAraH-ca /
   tasmāt tryaṇukaparamāṇusiddhiḥ /	tasmAt tri-aNuka-paramANu-sidDiH /
   kāryadravyājanyaṃ mūrttamaṇuḥ /	kArya-dravyA-janyam mUrttamaNuH /
   nityo mūrttaḥ paramāṇuḥ /	nityaH mUrttaH paramANuH /
   [dravyaprakaraṇam]	[dravya-prakaraNam]
   [pṛthivyā nirūpaṇam]	[pRTivyAH nirUpaNam]
   1) vivādādhyāsitaṃ pṛthivīsamavāyikāraṇakam, kāryatve sati gandhatvāt,	1) vivAda-aDyAsitam pRTivI-samavAyi-kAraNa-kam, kAryatve sati ganDa-tvAt,
   sampratipannavat /	sampratipanna-vat /
   na ca sopādhikatvaṃ syāt, mahāpṛthivītvasya rūpādau sādhyāvyāpakatvāt /	na ca sa-upADika-tvam syAt, mahA-pRTivI-tvasya rUpa-AdO sADya-avyApaka-tvAt /
   nityamūrttārambhātiriktatve sati kāryatvasyodakādiṣvapi sambhavāt /	nitya-mUrtta-AramBa-atirikta-tve sati kAryatvasya-udaka-Adizu-api samBavAt /
   pārthivatvena viśeṣaṇe viśeṣyavaiyarthyāt /	pArTiva-tvena viSezaNe viSezya-vEyarTyAt /
   nirupādhikasya sādhyaparityāge svabhāvaparityāgaprasaṅgāt /	nirupADikasya sADya-parityAge svaBAva-parityAga-prasaFgAt /
   tasmātpārthivena paramāṇunā pārthivamevārabhyata iti niyamaḥ /	tasmAt-pArTivena paramANunA pArTivam-eva-AraByate iti niyamaH /
   nityatve sati gandhavān pārthivaḥ paramāṇuriti pārthivaparamāṇulakṣaṇam /	nitya-tve sati ganDavAn pArTivaH paramANuH-iti pArTiva-paramANu-lakzaNam /
   2) devaśarīramayonijaṃ na bhavati, śarīratvādityanaikāntikaṃ	2) deva-SarIram-ayonijam na Bavati, SarIra-tvAt-iti-anEkAntikam
   śalabhādiśarīre /	SalaBa-Adi-SarIre /
