   Sarvajñatākāradhāraṇī	SarvajQa-tA-AkAra-DAraNI
   oṃ namaḥ sarvabuddhabodhisattvebhyaḥ /	om namaH sarva-budDa-boDisattveByaH /
   evaṃ mayā śrutam / ekasmiṃ samaye bhagavān rājagṛhe viharati sma,	evam mayA Srutam / ekasmim samaye BagavAn rAjagRhe viharati sma,
   gṛdhrakūṭe mahatā bhikṣusaṃghena sārdhaṃ dvādaśabhir bhikṣuśatair evaṃ	gRDrakUwe mahatA Bikzu-saMGena sArDam dvAdaSaBiH Bikzu-SatEH evam
   pramukhaiś	pramuKa-EH-
   cānekamahāśrāvakādibodhisattvabhikṣubhikṣuṇyupāsikopāsikādevanāgayakṣagandharvāsuragaruḍakinnaramahoragamanuṣyāmanuṣyarājāmātyapaurajānapadaparivāraiḥ	ca-aneka-mahA-SrAvaka-Adi-boDisattva-Bikzu-BikzuNI-upAsikopAsikA-deva-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahA-uraga-manuzya-amanuzya-rAja-amAtya-pOra
   tena khalu punaḥ samayena bhagavāṃś catasṛbhiḥ parṣadbhiḥ parivṛtaḥ	tena Kalu punar samayena BagavAn catasRBiH parzadBiH parivRtaH
   puraskṛtaḥ arcanādisaṃskṛtas tadā	puraskRtaH arcanA-Adi-saMskRtaH tadA
   bodhisattvaviṣayasandarśanapraṇidhānavyūhasamādhiviṣayadhāraṇīsukhavyūhasamādhānanirdeśacaryāvaiśāradyamahāvaipulyabodhisattvānugatasarvabuddhaparigraha	boDisattva-vizaya-sandarSana-praNiDAna-vyUha-samADi-vizaya-DAraNI-suKa-vyUha-samADAna-nirdeSa-caryA-vESAradya-mahA-vEpulya-boDisattva-anugata-sarv
   nāma dharmaparyāyasūtrāntaṃ bhāṣitum ārabdhavān / tadā nānāvarṇaraśmayo	nAma Darma-paryAya-sUtra-antam BAzitum ArabDavAn / tadA nAnA-varNa-raSmayaH-
   niścaritāyan prabhābhirayaṃ trisāhasramahāsāhasralokadhātun	niScaritAyan praBABiH-ayam tri-sAhasra-mahA-sAhasra-lokaDAtun
   mahatāvabhāsena sphuṭo 'bhūt //	mahatA-avaBAsena sPuwaH aBUt //
   [Page 7]	[Page 7]
   atha ratnavairocano nāma bodhisattvo mahāsattvas taṃ mahānimittaṃ	aTa ratnavErocanaH nAma boDisattvaH mahAsattvaH tam mahA-nimittam
   prātihāryaṃ dṛṣṭvā sahasā sthāyaikāṃśam uttarāsaṅgaṃ kṛtvā	prAtihAryam dRzwvA sahasA sTAya-eka-aMSam uttarAsaFgam kRtvA
   dakṣiṇajānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃs tenāñjaliṃ	dakziNa-jAnu-maNxalam pRTivyAm pratizWApya yena BagavAn tena-aQjalim
   praṇamya bhagavantam etad avocat / paramāścaryābhūt tatprāpto 'haṃ	praNamya Bagavantam etat avocat / paramAH-caryA-aBUt tad-prAptaH aham
   bhagavan kuta ime raśmaya āgatāḥ? kasyaiṣa viṣayaprabhāvaḥ? ko 'tra	Bagavan kutas ime raSmayaH AgatAH? kasya-eza vizaya-praBAvaH? kaH atra
   hetupratyayo bhaviṣyati?	hetu-pratyayaH Bavizyati?
   bhagavān āha / asti kulaputra pūrvadakṣiṇasyāṃ diśi, ito	BagavAn Aha / asti kula-putra pUrva-dakziNasyAm diSi, itas-
   buddhakṣetrakoṭīśatasahasragaṅgānadīvālukāsamān buddhakṣetrān atikramya	budDa-kzetra-kowI-Sata-sahasragaFgA-nadI-vAlukA-samAn budDa-kzetrAn atikramya
   padmā nāma lokadhātu nānāguṇaratnavibhūṣitā	padmA nAma lokaDAtu nAnA-guNa-ratna-viBUzitA
   nānāratnakūṭāgārādivṛkṣapuṣpakariṇyupaśobhitā / yatraikajātipratibaddhā	nAnA-ratna-kUwa-AgAra-Adi-vRkza-puzpa-kariNI-upaSoBitA / yatra-eka-jAti-pratibadDA
   bodhisattvāḥ padmottaratathāgataḥ sakāśad dharmaṃ śṛṇvanti / tatra	boDisattvAH padma-uttara-taTA-gataH sakASat Darmam SRNvanti / tatra
   lokadhātau indro nāma mahābodhivṛkṣaratnamayāny asti / tasya mūle	lokaDAtO indraH nAma mahA-boDi-vRkza-ratna-mayAni asti / tasya mUle
   koṭīśatasahasrasuvarṇapatraratnamayapadmo 'sti / tatrādyarātrau	kowI-Sata-sahasra-suvarNa-patra-ratna-maya-padmaH asti / tatra-Adya-rAtrO
   padmottareṇārhatā samyaksaṃbuddhenānuttarāṃ samyaksaṃbodhim abhisaṃbuddhaḥ	padma-uttareNa-arha-tA samyaksaMbudDena-anuttarAm samyaksaMboDim aBisaMbudDaH
   / tatra padmāsananiṣaṇṇā bodhisattvāḥ tasya prātihāryāṇi paśyanti / te	/ tatra padmAsana-nizaNNAH boDisattvAH tasya prAtihAryANi paSyanti / te
   sarvalokadhātubhyaḥ āgatā bodhisattvās tāṃ pūjayitvā tatra sthitāḥ /	sarva-loka-DAtuByaH AgatAH boDisattvAH tAm pUjayitvA tatra sTitAH /
   [Page 8]	[Page 8]
   atha padmottaratathāgatas teṣāṃ āśayānuśayaṃ jñātvā bahujanahitāya sukhāya	aTa padma-uttara-taTAgataH tezAm ASaya-anuSayam jQAtvA bahu-jana-hitAya suKAya
   lokānukampāya devamanuṣyāṇāñ ca hitāya mahāyānasya paripūraṇārtham	loka-anukampAya deva-manuzyANAn ca hitAya mahAyAnasya paripUraNa-arTam
   avaivartikadharmacakraṃ pravartitavān / bodhisattva āha / bhagavan kiyac	avEvartika-Darma-cakram pravartitavAn / boDisattvaH Aha / Bagavan kiyat-
   ciraṃ sā lokadhātuḥ padmottaras tathāgatas tiṣṭhati saddharmaṃ vā /	ciram sA lokaDAtuH padma-uttaraH taTAgataH tizWati sadDarmam vA /
   bhagavān āha / bhaviṣyati kulaputra padmottarasya tathāgatasyāyuṣpramāṇaṃ	BagavAn Aha / Bavizyati kula-putra padma-uttarasya taTAgatasya-AyuzpramANam
   triṃśadantarakalpāni, saddharmaṃ daśāntarakalpāṇ sthāsyati, ye yatra jātā	triMSat-antara-kalpAni, sadDarmam daSa-antara-kalpAN sTAsyati, ye yatra jAtA
   bodhisattvās teṣāṃ catvāriṃśadantarakalpāyuṣpramāṇaṃ / pūrvañ ca kulaputra	boDisattvAH tezAm catvAriMSat-antara-kalpa-AyuzpramANam / pUrvan ca kula-putra
   sā lokadhātuś candanā nāma babhūva / na tv evaṃ pariśuddhā	sA lokaDAtuH candanAH nAma baBUva / na tu evam pariSudDA
   nākīrṇaśuddhasattvā yathaitarhi sā lokadhātuḥ / kulaputra candanāyāṃ	na-AkIrNa-SudDa-sattvAH yaTA-etarhi sA lokaDAtuH / kula-putra candanAyAm
   lokadhātau candrottamo nāmābhūt tathāgato 'rhan samyaksaṃbuddho yāvat sa	lokaDAtO candrottamaH nAma-aBUt taTAgataH arhan samyaksaMbudDaH yAvat sa
   cāpi viṃśatyantarakalpān dharmaṃ deśayitavān / tasya parinirvāṇakālasamaye	ca-api viMSati-antara-kalpAn Darmam deSayitavAn / tasya parinirvANa-kAla-samaye
   cāpy ekatyā bodhisattvāḥ praṇidhānavaśenānyadbuddhakṣetraṃ saṃkrāntāḥ / ye	ca-api ekatyAH boDisattvAH praNiDAna-vaSena-anyat-budDa-kzetram saMkrAntAH / ye
   cāvaśiṣṭā bodhisattvānām etad abhavat / adyarātrau madhyame yāme	ca-avaSizwAH boDisattvAnAm etat aBavat / adyarAtrO maDyame yAme
   candrottamas tathāgataḥ parinirvāsyati tasya daśāntarakalpān saddharmaḥ	candra-uttamaH taTAgataH parinirvAsyati tasya daSa-antara-kalpAn sadDarmaH
