   // śrīḥ //	// SrIH //
   mattavilāsaprahasanaṃ	matta-vilAsa-prahasanam
   śrīmahendravikramavarmapraṇītam /	SrI-mahA-indra-vikrama-varma-praNItam /
   (nāndyante tataḥ praviśati sūtradhāraḥ /)	(nAndyante tatas praviSati sUtraDAraH /)
   Sūtradhāraḥ - bhāṣāveṣavapuḥkriyāguṇakṛtān āśritya bhedān gataṃ	SUtra-DAraH  BAzA-veza-vapuH-kriyA-guNa-kRtAn ASritya BedAn gatam
   bhāvāveśavaśād anekarasatāṃ trailokyayātrāmayam /	BAva-AveSa-vaSAt aneka-rasa-tAm trElokya-yAtrA-m-ayam /
   nṛttaṃ niṣpratibaddhabodhamahimā yaḥ (1) prekṣakaś ca svayaṃ	nRttam nizpratibadDa-boDa-mahimA yaH (1) prekzakaH ca svayam
   sa vyāptāvanibhājanaṃ diśatu vo divyaḥ kapālī yaśaḥ // 1 //	sa vyApta-avaniBAjanam diSatu vaH divyaH kapAlI yaSaH // 1 //
   bhoḥ ! samāsāditaḥ khalu mayā yavīyasīṃ bhāryāṃ adhikṛtya	BoH ! samAsAditaH Kalu mayA yavIyasIm BAryAm aDikRtya
   samutpannavyalīkāyāṃ jyeṣṭhāyāṃ me kuṭumbinyāṃ yuktataraḥ prasādanopāyaḥ,	samutpanna-vyalIkAyAm jyezWAyAm me kuwumbinyAm yuktataraH prasAdana-upAyaH,
   yac cirasyādya vayaṃ prekṣādhikāre pariṣadā niyuktāḥ smaḥ / tad yāvad enām	yat cirasya-adya vayam prekza-aDikAre parizadAH niyuktAH smaH / tat yAvat enAm
   upasarpāmi / ({parikramya CDEH} nepathyābhimukham avalokya) ārye ! itas	upasarpAmi / ({-parikramya CDEH} nepaTya-aBimuKam avalokya) Arye ! itas
   tāvat /	tAvat /
   (praviśya)	(praviSya)
   Naṭī - (saroṣam) ayya! kiṃ cirassa kālassa jovvaṇa{guṇa : guṇṇa	NawI  (sarozam) ayya! kim cirassa kAlassa jovvaNa{guNaH : guNNa
   H}bharamattavilāsappahasaṇaṃ (o?daṃ)seduṃ (2) āado si /	H}Bara-matta-vilAsappahasaNam (o?daM)sedum (2) AadaH si /
   [ārya! kiṃ cirasya kālasya yauvanaguṇabharamattavilāsaprahasanaṃ	[Arya! kim cirasya kAlasya yOvana-guNa-Bara-matta-vilAsa-prahasanam
   darśayitum āgato 'si /]	darSayitum AgataH asi /]
   Sūtradhāraḥ - yathāha bhavatī /	SUtra-DAraH  yaTA-Aha BavatI /
   Naṭī - tāe eva {dāva : dāṇiṃ D} daṃsehi, jā tue ramaidavvā /	NawI  tAe eva {dAvaH : dANim D} daMsehi, jA tue ramEdavvA /
   [tayaiva tāvad darśaya, yā tvayā ramayitavyā /]	[tayA-eva tAvat darSaya, yA tvayA ramayitavyA /]
   Sūtradhāraḥ - tvayā saha darśayiṣyāmīti /	SUtra-DAraH  tvayA saha darSayizyAmi-iti /
