   śivopaniṣad	Siva-upanizad-
   kailāsaśikharāsīnam aśeṣāmarapūjitam /	kElAsa-SiKara-AsInam aSeza-amara-pUjitam /
   kālaghnaṃ śrīmahākālam īśvaraṃ jñānapāragam // 1.1 //	kAla-Gnam SrI-mahAkAlam ISvaram jQAna-pAragam // 1.1 //
   saṃpūjya vidhivad bhaktyā ṛṣyātreyaḥ susaṃyataḥ /	saMpUjya viDivat BaktyA RzyAtreyaH su-saMyataH /
   sarvabhūtahitārthāya papracchedaṃ mahāmuniḥ // 1.2 //	sarva-BUta-hita-arTAya papracCa-idam mahA-muniH // 1.2 //
   jñānayogaṃ na vindanti ye narā mandabuddhayaḥ /	jQAna-yogam na vindanti ye narAH manda-budDayaH /
   te mucyante kathaṃ ghorād bhagavan bhavasāgarāt // 1.3 //	te mucyante kaTam GorAt Bagavan Bava-sAgarAt // 1.3 //
   evaṃ pṛṣṭaḥ prasannātmā ṛṣy ātreyeṇa dhīmatā /	evam pRzwaH prasanna-AtmA Rzi AtreyeNa DImatA /
   mandabuddhivimuktyarthaṃ mahākālaḥ prabhāṣate // 1.4 //	manda-budDi-vimukti-arTam mahAkAlaH praBAzate // 1.4 //
   mahādeva uvāca	mahAdevaH uvAca
   purā rudreṇa gaditāḥ śivadharmāḥ sanātanāḥ /	purA rudreNa gaditAH Siva-DarmAH sanAtanAH /
   devyāḥ sarvagaṇānāṃ ca saṃkṣepād granthakoṭibhiḥ // 1.5 //	devyAH sarva-gaNAnAm ca saMkzepAt granTa-kowiBiH // 1.5 //
   āyuḥ prajñāṃ tathā śaktiṃ prasamīkṣya nṝṇām iha /	AyuH prajQAm taTA Saktim prasamIkzya nLNAm iha /
   tāpatrayaprapīḍāṃ ca bhogatṛṣṇāvimohinīm // 1.6 //	tApa-traya-prapIxAm ca Boga-tRzNA-vimohinIm // 1.6 //
   te dharmāḥ skandanandibhyām anyaiś ca munisattamaiḥ /	te DarmAH skanda-nandiByAm anyEH ca muni-sattamEH /
   sāramādāya nirdiṣṭāḥ samyakprakaraṇāntaraiḥ // 1.7 //	sAram-AdAya nirdizwAH samyak-prakaraNa-antarEH // 1.7 //
   sārād api mahāsāraṃ śivopaniṣadaṃ param /	sArAt api mahA-sAram Siva-upanizadam param /
   alpagranthaṃ mahārthaṃ ca pravakṣyāmi jagaddhitam // 1.8 //	alpa-granTam mahA-arTam ca pravakzyAmi jagat-hitam // 1.8 //
   śivaḥ śiva ime śānta- nāma cādyaṃ muhurmuhuḥ /	SivaH SivaH ime SAnta nAma ca-Adyam muhur-muhur /
   uccārayanti tad bhaktyā te śivā nātra saṃśayaḥ // 1.9 //	uccArayanti tat BaktyA te SivA na-atra saMSayaH // 1.9 //
   aśivāḥ pāśasaṃyuktāḥ paśavaḥ sarvacetanāḥ /	aSivAH pASa-saMyuktAH paSavaH sarva-cetanAH /
   yasmād vilakṣaṇās tebhyas tasmād īśaḥ śivaḥ smṛtaḥ // 1.10 //	yasmAt vilakzaNAH teByaH tasmAt ISaH SivaH smRtaH // 1.10 //
   guṇo buddhir ahaṃkāras tanmātrāṇīndriyāni ca /	guNaH budDiH ahaMkAraH tanmAtrANi-indriyAni ca /
   bhūtāni ca caturviṃśad iti pāśāḥ prakīrtitāḥ // 1.11 //	BUtAni ca caturviMSat iti pASAH prakIrtitAH // 1.11 //
   pañcaviṃśakam ajñānaṃ sahajaṃ sarvadehinām /	paQcaviMSakam ajQAnam sahajam sarva-dehinAm /
   pāśājālasya tan mūlaṃ prakṛtiḥ kāraṇāya naḥ // 1.12 //	pASAjAlasya tat mUlam prakRtiH kAraNAya naH // 1.12 //
   satyajñāne nibadhyante puruṣāḥ pāśabandhanaiḥ /	satya-jQAne nibaDyante puruzAH pASa-banDanEH /
   madbhāvāc ca vimucyante jñāninaḥ pāśapañjarāt // 1.13 //	mad-BAvAt ca vimucyante jQAninaH pASa-paQjarAt // 1.13 //
   ṣaḍviṃśakaś ca puruṣaḥ paśur ajñaḥ śivāgame /	zaxviMSakaH ca puruzaH paSuH ajQaH Siva-Agame /
   saptaviṃśa iti proktaḥ śivaḥ sarvajagatpatiḥ // 1.14 //	saptaviMSaH iti proktaH SivaH sarva-jagat-patiH // 1.14 //
   yasmāc chivaḥ susaṃpūrṇaḥ sarvajñaḥ sarvagaḥ prabhuḥ /	yasmAt SivaH su-saMpUrNaH sarvajQaH sarvagaH praBuH /
   tasmāt sa pāśaharitaḥ sa viśuddhaḥ svabhāvataḥ // 1.15 //	tasmAt sa pASa-haritaH sa viSudDaH svaBAvataH // 1.15 //
   paśupāśaparaḥ śāntaḥ paramajñānadeśikaḥ /	paSu-pASa-paraH SAntaH parama-jQAna-deSikaH /
