   akartā nityayajñānāṃ YSS_2.9a	akartA nitya-yajQAnAm YSH-_2.9a
   akṛtvā vapanaṃ teṣāṃ YS99v_56c	akRtvA vapanam tezAm YS99u-_56c
   agamyāgamane vipro YS99v_30a	agamyA-gamane vipraH YS99u-_30a
   agniṃ praviśya śudhyanti YSS_1.25c	agnim praviSya SuDyanti YSH-_1.25c
   agniṃ praviśya śudhyanti YS99v_31c	agnim praviSya SuDyanti YS99u-_31c
   agre māhiṣakaṃ dṛṣṭvā YS182v_3.16a	agre mAhizakam dRzwvA YS182u-_3.16a
   agre māhiṣikaṃ dṛṣṭvā YS78v_35a	agre mAhizikam dRzwvA YS78u-_35a
   aghamarṣaṇasūktaṃ vā YS99v_32c	aGa-marzaNa-sUktam vA YS99u-_32c
   aṅgapratyaṅgasaṃpūrṇe YS99v_44a	aFga-pratyaFga-saMpUrNe YS99u-_44a
   aṅgulyāṃ yaḥ pavitrāṇi YS182v_3.32a	aFgulyAm yaH pavitrANi YS182u-_3.32a
   aṅguṣṭhamātrasthūlas tu YS99v_41a	aFguzWa-mAtra-sTUlaH tu YS99u-_41a
   aṅgeṣu vyaktadeśeṣu YSS_2.55a	aFgezu vyakta-deSezu YSH-_2.55a
   acodito hanti narastriyaṃ vā YSS_1.50c	acoditaH hanti nara-striyam vA YSH-_1.50c
   ajadantaṃ suśobhanaṃ YSS_2.66b	ajadantam su-SoBanam YSH-_2.66b
   ajāviko māhiṣaś ca YS182v_3.26a	ajAvikaH mAhizaH ca YS182u-_3.26a
   ajñātena kṛtaṃ yadā YS182v_5.10b	ajQAtena kRtam yadA YS182u-_5.10b
   ajñātvā dharmaśāstrāṇi YS182v_4.29a	ajQAtvA Darma-SAstrANi YS182u-_4.29a
   ajñānāc ca kṛtaṃ sarvaṃ YS182v_5.12a	ajQAnAt ca kRtam sarvam YS182u-_5.12a
   ajñānāt kṛcchram uddiṣṭaṃ YS182v_2.2c	ajQAnAt kRcCram uddizwam YS182u-_2.2c
   ajñānāt tu dvijaśreṣṭha YS78v_78a	ajQAnAt tu dvijaSrezWa YS78u-_78a
   ajñānād avicakṣaṇaḥ YS99v_65b	ajQAnAt avicakzaNaH YS99u-_65b
   ajñānād aindavadvayam YSS_1.14d	ajQAnAt Endava-dvayam YSS_1.14d
   ajñānād aindavadvayam YS99v_28d	ajQAnAt Endava-dvayam YS99u-_28d
   ajñānād aindavadvayam YS99v_29d	ajQAnAt Endava-dvayam YS99u-_29d
   ajñānād aindavadvayam YS99v_34d	ajQAnAt Endava-dvayam YS99u-_34d
   ajñānād aindavaṃ smṛtaṃ YSS_1.33d	ajQAnAt Endavam smRtam YSH-_1.33d
   ajñānād brāhmaṇo bhuktvā YS99v_26a	ajQAnAt brAhmaNaH BuktvA YS99u-_26a
   ata ūrdhvaṃ rajasvalā YS182v_3.21d	atas UrDvam rajasvalAH YS182u-_3.21d
   ataḥ paraṃ pravakṣyāmi YS182v_5.1a	atas param pravakzyAmi YS182u-_5.1a
   ato bālatarasyāpi YS182v_3.2a	atas bAlatarasya-api YS182u-_3.2a
   ato bālatarasyāpi YS78v_16a	atas bAlatarasya-api YS78u-_16a
   ato bālatarasyāsya YSS_1.21a	atas bAlatarasya-asya YSH-_1.21a
   atyarthaṃ vedayaṃś caiva YSS_2.57a	atyarTam vedayan ca-eva YSH-_2.57a
   atha cen matra[ntra]vidyukto YS182v_3.39a	aTa ced matra-[ntra]-vidyuktaH YS182u-_3.39a
   atha bhavaty eva pāpam YSS_2.74c	aTa Bavati eva pApam YSH-_2.74c
   atha vased yadā rātrāv YS99v_65a	aTa vaset yadA rAtrO YS99u-_65a
