   BhP_06.01.001/0 śrīparīkṣiduvāca	Bhu-_06.01.001/0 SrIparIkzit-uvAca
   BhP_06.01.001/1 nivṛttimārgaḥ kathita ādau bhagavatā yathā	Bhu-_06.01.001/1 nivRtti-mArgaH kaTitaH AdO BagavatA yaTA
   BhP_06.01.001/2 kramayogopalabdhena brahmaṇā yadasaṃsṛtiḥ	BhP_06.01.001/2 krama-yoga-upalabDena brahmaNA yat-asaMsRtiH
   BhP_06.01.002/1 pravṛttilakṣaṇaścaiva traiguṇyaviṣayo mune	Bhu-_06.01.002/1 pravRtti-lakzaNaH-ca-eva trEguNya-vizayaH mune
   BhP_06.01.002/2 yo 'sāvalīnaprakṛterguṇasargaḥ punaḥ punaḥ	Bhu-_06.01.002/2 yaH asO=-alIna-prakRteH-guNa-sargaH punar punar-
   BhP_06.01.003/1 adharmalakṣaṇā nānā narakāścānuvarṇitāḥ	Bhu-_06.01.003/1 aDarma-lakzaNAH nAnA narakAH-ca-anuvarNitAH
   BhP_06.01.003/2 manvantaraśca vyākhyāta ādyaḥ svāyambhuvo yataḥ	Bhu-_06.01.003/2 manvantaraH-ca vyAKyAtaH AdyaH svAyamBuvaH yatas-
   BhP_06.01.004/1 priyavratottānapadorvaṃśastaccaritāni ca	Bhu-_06.01.004/1 priyavrata-uttAnapadoH-vaMSaH-tad-caritAni ca
   BhP_06.01.004/2 dvīpavarṣasamudrādri nadyudyānavanaspatīn	Bhu-_06.01.004/2 dvIpa-varza-samudra-adri nadI-udyAna-vanaspatIn
   BhP_06.01.005/1 dharāmaṇḍalasaṃsthānaṃ bhāgalakṣaṇamānataḥ	Bhu-_06.01.005/1 DarA-maNxala-saMsTAnam BAga-lakzaNa-mAnataH
   BhP_06.01.005/2 jyotiṣāṃ vivarāṇāṃ ca yathedamasṛjadvibhuḥ	Bhu-_06.01.005/2 jyotizAm vivarANAm ca yaTA-idam-asRjat-viBuH
   BhP_06.01.006/1 adhuneha mahābhāga yathaiva narakān naraḥ	Bhu-_06.01.006/1 aDunA-iha mahABAga yaTA-eva narakAn naraH
   BhP_06.01.006/2 nānograyātanān neyāt tan me vyākhyātumarhasi	Bhu-_06.01.006/2 nAnA-ugra-yAtanAt na-iyAt tat me vyAKyAtum-arhasi
   BhP_06.01.007/0 śrīśuka uvāca	BhP_06.01.007/0 SrI-SukaH uvAca
   BhP_06.01.007/1 na cedihaivāpacitiṃ yathāṃhasaḥ kṛtasya kuryān	Bhu-_06.01.007/1 na ced-iha-eva-apacitim yaTA-aMhasaH kRtasya kuryAt-
   manauktapāṇibhiḥ	manOkta-pANiBiH
   BhP_06.01.007/2 dhruvaṃ sa vai pretya narakān upaiti ye kīrtitā me	Bhu-_06.01.007/2 Druvam sa vE pretya narakAn upEti ye kIrtitA me
   bhavatastigmayātanāḥ	BavataH-tigma-yAtanAH
