   kṛtirmaitreyanāthasya //	kRtiH-mEtreya-nATasya //
   Oṃ namo maitreyanāthāya //	Om namaH mEtreya-nATAya //
   yā sarvajñatayā nayatyupaśamaṃ śāntaiṣiṇaḥ śravakān	yA sarvajQa-tayA nayati-upaSamam SAnta-eziNaH SravakAn
   yā mārgajñatayā jagaddhitakritāṃ lokārthasaṃpādikā /	yA mArga-jQa-tayA jagat-hita-kritAm loka-arTa-saMpAdikA /
   savārkāramidaṃ vadanti munayo viśvaṃ yayā saṃgatā	sa-vArkAram-idam vadanti munayaH viSvam yayA saMgatA
   stasyai śrāvakabodhisattvagaṇino buddhasya manne namaḥ //	stasyE SrAvaka-boDisattva-gaNinaH budDasya manne namaH //
   sarvākārajñatāmārgaḥ śāsitrā yo 'tra deśita /	sarva-AkAra-jQa-tA-mArgaH SAsitrAH yaH atra deSitaH /
   dhīmantī vīkṣīṣīraṃstamanālīḍhaṃ parairiti // Abhs_1.1 //	DImantI vIkzIzI-ran=-tam-anAlIXam parEH-iti // ABH-_1.1 //
   smṛtau cādhāya sūtrārthaṃ dharmacaryā daśātmikā /	smRtO ca-ADAya sUtra-arTam Darma-caryA daSa-AtmikA /
   sūkhena pratipatsīrannityārambhaprayojanam // Abhs_1.2 //	sUKena pratipatsIrat-=-iti-AramBa-prayojanam // ABH-_1.2 //
   prajñāpāramitāṣṭābhīḥ padārthaiḥ samudīritā /	prajQApAramitA-azwABIH padArTEH samudIritA /
   sarvākārajñatā mārgajñatā sarvajñatā tataḥ // Abhs_1.3 //	sarva-AkAra-jQa-tA mArga-jQa-tA sarvajQa-tA tatas // ABH-_1.3 //
   sarvākārābhisaṃbodho murdhaprārpto 'nupūrvikaḥ /	sarva-AkAra-aBisaMboDaH murDa-prArptaH anupUrvikaH /
   ekakṣaṇabhisaṃbodho dharmakāyaśca te 'ṣṭadhā // Abhs_1.4 //	eka-kzaNa-BisaMboDaH Darma-kAyaH-ca te azwaDA // ABH-_1.4 //
   cittotpādo 'vavādaśca nirvedhāṅgaṃ caturvidhaṃ /	citta-utpAdaH avavAdaH-ca nirveDa-aFgam caturviDam /
   ādhāraḥ pratipatteśca dharmadhātusvabhāvakaḥ // Abhs_1.5 //	ADAraH pratipatteH-ca DarmaDAtu-svaBAvakaH // ABH-_1.5 //
   ālambanaṃ samuddeśaḥ saṃnāhaprasthitikriye /	Alambanam samuddeSaH saMnAha-prasTiti-kriye /
   saṃbhārāśca saniryāṇāḥ sarvākārajñatā muneḥ // Abhs_1.6 //	saMBArAH-ca sa-niryANAH sarva-AkAra-jQa-tA muneH // ABH-_1.6 //
   dhyāmīkaraṇatādīni śiṣyakhaṅgapathau ca yau /	DyAmIkaraNa-tA-AdIni Sizya-KaFga-paTO ca yO /
   mahānuśaṃso dṛṅmārga aihikāmutrikairguṇaiḥ // Abhs_1.7 //	mahA-anuSaMsaH dRS-mArgaH EhikAmutrikEH-guNEH // ABH-_1.7 //
   kāritramadhimuktiśca stutastobhitaśaṃsitāḥ /	kAritram-aDimuktiH-ca stuta-stoBita-SaMsitAH /
   pariṇāme 'numode ca manaskārāvanuttamau // Abhs_1.8 //	pariNAme anumode ca manaskArO=-anuttamO // ABH-_1.8 //
   nirhāraḥ śuddhiratyantāmityayaṃ bhāvanāpathaḥ /	nirhAraH SudDiH-atyantAm-iti-ayam BAvanApaTaH /
   vijñānāṃ bodhisattvānāmiti mārgajñatoditā // Abhs_1.9 //	vijQAnAm boDisattvAnAm-iti mArga-jQa-toditA // ABH-_1.9 //
   prajñayā na bhave sthānaṃ kṛpayā na śame sthitiḥ /	prajQayA na Bave sTAnam kRpayA na Same sTitiH /
   anupāyena dūratvamupāyenāvidūratā // Abhs_1.10 //	anupAyena dUra-tvam-upAyena-avidUra-tA // ABH-_1.10 //
   vipakṣapratipakṣau ca prayogaḥ samatāsya ca /	vipakza-pratipakzO ca prayogaH sama-tA-asya ca /
   dṛṅmārgaḥ śrāvakādīnāmiti sarvajñateṣyate // Abhs_1.11 //	dRS-mArgaH SrAvaka-AdInAm-iti sarvajQa-tA-izyate // ABH-_1.11 //
   ākārāḥ saprayogāśca guṇā doṣāḥ salakṣaṇāḥ /	AkArAH sa-prayogAH-ca guNAH dozAH sa-lakzaNAH /
   mokṣanirvedhabhāgīye śaikṣo 'vaivartiko gaṇaḥ // Abhs_1.12 //	mokza-nirveDa-BAgIye SEkzaH avEvartikaH gaNaH // ABH-_1.12 //
   samatābhavaśāntyośca kṣetraśuddhiranuttarā /	samatA-Bava-SAntyoH-ca kzetra-SudDiH-anuttarA /
   sarvākārābhisaṃbodha eṣa sopāyakauśalaḥ // Abhs_1.13 //	sarva-AkAra-aBisaMboDaH eza sa-upAya-kOSalaH // ABH-_1.13 //
