   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   Rāhulabhadra: Prajñāpāramitāstotra	RAhulaBadra: PrajQApAramitA-stotra
   nirvikalpe namas tubhyaṃ $ prajñāpāramite 'mite &	nirvikalpe namaH tuByam $ prajQApAramite amite &
   yā tvaṃ sarvānavadyāṅgi % niravadyair nirīkṣyase // RahPps_1 //	yA tvam sarva-anavadya-aFgi % niravadyEH nirIkzyase // RahPpH-_1 //
   ākāśam iva nirlepāṃ $ niṣprapañcāṃ nirakṣarām &	AkASam iva nirlepAm $ nizprapaQcAm nirakzarAm &
   yas tvāṃ paśyati bhāvena % sa paśyati tathāgatam // RahPps_2 //	yaH tvAm paSyati BAvena % sa paSyati taTAgatam // RahPpH-_2 //
   tava cārye guṇāḍhyāyā $ buddhasya ca jagadguroḥ &	tava ca-Arye guNa-AXyAyAH $ budDasya ca jagadguroH &
   na paśyanty antaraṃ santaś % candracandrikayor iva // RahPps_3 //	na paSyanti antaram santaH % candra-candrikayoH iva // RahPpH-_3 //
   kṛpātmakāḥ prapadya tvāṃ $ buddhadharmapuraḥsarīm &	kRpA-AtmakAH prapadya tvAm $ budDa-Darma-puraHsarIm &
   sukhenāyānti māhātmyam % atulaṃ bhaktivatsale // RahPps_4 //	suKena-AyAnti mAhAtmyam % atulam Bakti-vatsale // RahPpH-_4 //
   sakṛd apy āśaye śuddhe $ yas tvāṃ vidhivad īkṣate &	sakRt api ASaye SudDe $ yaH tvAm viDivat Ikzate &
   tenāpi niyataṃ siddhiḥ % prāpyate 'moghadarśane // RahPps_5 //	tena-api niyatam sidDiH % prApyate amoGa-darSane // RahPpH-_5 //
   sarveṣām api vīrāṇāṃ $ parārthaniratātmanām &	sarvezAm api vIrANAm $ para-arTa-nirata-AtmanAm &
   poṣikā janayitrī ca % mātā tvam asi vatsalā // RahPps_6 //	pozikA janayitrI ca % mAtA tvam asi vatsalAH // RahPpH-_6 //
   yad buddhā lokaguravaḥ $ putrās tava kṛpālavaḥ &	yat budDAH loka-guravaH $ putrAH tava kRpA-lavaH &
   tena tvam api kalyāṇi % sarvasattvapitāmahī // RahPps_7 //	tena tvam api kalyANi % sarva-sattva-pitAmahI // RahPpH-_7 //
   sarvapāramitābhis tvaṃ $ nirmalābhir anindite &	sarva-pAramitABiH tvam $ nirmalABiH anindite &
   candralekheva tārābhir % anuyātāsi sarvadā // RahPps_8 //	candra-leKA-iva tArABiH % anuyAtA-asi sarvadA // RahPpH-_8 //
   vineyaṃ janam āsādya $ tatra tatra tathāgataiḥ &	vineyam janam AsAdya $ tatra tatra taTAgatEH &
   bahurūpā tvam evaikā % nānānāmabhir īḍyase // RahPps_9 //	bahu-rUpA tvam eva-ekA % nAnA-nAmaBiH Ixyase // RahPpH-_9 //
   prabhāṃ prāpyeva dīptāṃśor $ avaśyāyodabindavaḥ &	praBAm prApya-iva dIpta-aMSoH $ avaSyAya-uda-bindavaH &
   tvāṃ prāpya pralayaṃ yānti % doṣā vādāś ca vādinām // RahPps_10 //	tvAm prApya pralayam yAnti % dozAH vAdAH ca vAdinAm // RahPpH-_10 //
   tvam eva trāsajananī $ bālānāṃ bhīmadarśanā &	tvam eva trAsa-jananI $ bAlAnAm BIma-darSanAH &
   āśvāsajananī cāsi % viduṣāṃ saumyadarśanā // RahPps_11 //	ASvAsa-jananI ca-asi % viduzAm sOmya-darSanAH // RahPpH-_11 //
   yasya tvayy apy abhiṣvaṅgas $ tvannāthasya na vidyate &	yasya tvayi api aBizvaFgaH $ tvad-nATasya na vidyate &
   tasyāmba katham anyatra % rāgadveṣau bhaviṣyataḥ // RahPps_12 //	tasya-amba kaTam anyatra % rAga-dvezO BavizyataH // RahPpH-_12 //
   nāgacchasi kutaś cit tvaṃ $ na ca kva cana gacchasi &	na-AgacCasi kutas cit tvam $ na ca kva cana gacCasi &
   sthāneṣv api ca sarveṣu % vidvadbhir nopalabhyase // RahPps_13 //	sTAnezu api ca sarvezu % vidvadBiH na-upalaByase // RahPpH-_13 //
   ye tvām evaṃ na paśyanti $ prapadyante ca bhāvataḥ &	ye tvAm evam na paSyanti $ prapadyante ca BAvataH &
   prapadya ca vimucyante % tad idaṃ mahad adbhutam // RahPps_14 //	prapadya ca vimucyante % tat idam mahat adButam // RahPpH-_14 //
   tvām eva badhyate paśyann $ apaśyann api badhyate &	tvAm eva baDyate paSyan $ apaSyan api baDyate &
   tvām eva mucyate paśyann % apaśyann api mucyate // RahPps_15 //	tvAm eva mucyate paSyan % apaSyan api mucyate // RahPpH-_15 //
   aho vismayanīyāsi $ gambhīrāsi yaśasvini &	aho vismayanIyA-asi $ gamBIrA-asi yaSasvini &
   sudurbodhāsi māyeva % dṛśyase na ca dṛśyase // RahPps_16 //	su-durboDA-asi mAyA-iva % dRSyase na ca dRSyase // RahPpH-_16 //
   buddhaiḥ pratyekabuddhaiś ca $ śrāvakaiś ca niṣevitā &	budDEH pratyekabudDEH ca $ SrAvakEH ca nizevitA &
   mārgas tvam ekā mokṣasya % nāsty anya iti niścayaḥ // RahPps_17 //	mArgaH tvam ekA mokzasya % na-asti anyaH iti niScayaH // RahPpH-_17 //
   vyavahāraṃ puraskṛtya $ prajñaptyarthaṃ śarīriṇām &	vyavahAram puraskRtya $ prajQapti-arTam SarIriNAm &
   kṛpayā lokanāthais tvam % ucyase ca na cocyase // RahPps_18 //	kRpayA lokanATEH tvam % ucyase ca na ca-ucyase // RahPpH-_18 //
   śaktaḥ kas tvām iha stotuṃ $ nirnimittāṃ nirañjanām &	SaktaH kaH tvAm iha stotum $ nirnimittAm niraQjanAm &
   sarvavāgviśayātītāṃ % yā tvaṃ kva cid aniśritā // RahPps_19 //	sarva-vAc-viSaya-atItAm % yA tvam kva cit aniSritA // RahPpH-_19 //
   saty evam api saṃvṛtyā $ vākpathair vayam īdṛśaiḥ &	sati evam api saMvRtyA $ vAc-paTEH vayam IdRSEH &
   tvām astutyām api satīṃ % tuṣṭūṣantaḥ sunirvṛtāḥ // RahPps_20 //	tvAm astutyAm api satIm % tuzwUzantaH su-nirvRtAH // RahPpH-_20 //
   prajñāpāramitāṃ stutvā $ yan mayopacitaṃ śubham &	prajQApAramitAm stutvA $ yat mayA-upacitam SuBam &
   tenāstv āśu jagat kṛtsnaṃ % prajñāpāraparāyaṇam // RahPps_21 //	tena-astu ASu jagat kRtsnam % prajQApAra-parAyaNam // RahPpH-_21 //
