   atha prathamaḥ paṭalaḥ	aTa praTamaH pawalaH
   prathamaḥ khaṇḍaḥ	praTamaH KaNxaH
   1. sāmānyaparibhāṣāḥ	1. sAmAnya pariBAzAH
   1 pratijñāsūtram /	1 pratijQA sUtram /
   atha karmāṇyācārādyāni gṛhyante // ĀpGs_1.1 //	aTa karmANi AcAra AdyAni gRhyante // ĀpGs_1.1 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_1.1:	ĀpGs AnAH _1.1:
   namo rudrāya yadgṛhyamāpastambena nirmitam /	namaH rudrAya yat gRhyam Apastambena nirmitam /
   kriyate haradattena tasya vṛttiranākulā //	kriyate haradattena tasya vRttiH anAkulAH //
   dviprakārāṇi karmāṇi śrutilakṣamāni ācāralakṣamāni ca /	dvi prakArANi karma aNi  Srutila kzamAni AcAra lakzamAni ca /
   tatra śrutilakṣaṇāni vyākhyātāni /	tatra Sruti lakzaNAni vyAKyAtAni /
   athedānīṃ yāni karmāṇi vivāhaprabhṛtīni ācārāt prayogāt gṛhyante jñāyante,	aTa idAnIm yAni karmANi vivAha praBRtIni AcArAt prayogAt gRhyante jQAyante,
   na pratyakṣaśruteḥ, tāni vyākhyāsyāmaḥ /	na pratyakza SruteH, tAni vyAKyAsyAmaH /
   kiṃ prayojanaṃ sūtrasya?smārtānāṃ karmaṇāṃ adhikāraḥ /	kim prayojanam sUtrasi a?smArtAnAm karmaNAm aDikAraH /
   tena	tena
   udagayanādiniyamaḥ."sarvatra svayaṃ prajvalite 'gnā"(āpa.gṛ.8 5)	udagayana Adi niyamaH." sarvatra svayam prajvalite agnA"(Apa.gR.8 5)
   vityevamādīni ca gārhyeṣveva karmasu bhavanti, na śrauteṣi /	viti evamAdIni ca gArhyezu eva karmasu Bavanti, na SrOtezi /
   atrāthaśabdena	atra aTa Sabdena
   śrautopadeśānantaraṃ smārtopadeśaṃ kariṣyāmīti vadan tadapekṣāmasya	SrOta upadeSa anantaram smArta upadeSam karizyAmi iti vadan tad apekzAm asya
   darśayati /	darSayati /
   tatra yāḥ paribhāṣāḥ"sa trayāṇāṃ varmānāṃ'(āpa.pari1 2) "mantrāntaiḥ	tatra yAH pariBAzAH"sa trayANAm varmAnAM a(Apa. pari1 2) "mantra antEH
   karmādīn sannipātayet"(āpa.pari.2 1.)"raudra,	karma AdIn sannipAtayet "(Apa.pari.2 1.)"rOdra,
   rākṣasa'(āpa.pari2 9)"tadidaṃ sa4vaprāyaścitta'mityevamādyāstā ihāpi	rAkzasa a(Apa. pari2 9)"tat idam sa4vaprAyaScitta am iti evamAdyAH tAH iha api
   bhavanti(idaṃkāryāṇi) //	Bavanti (idaMkAryANi) //
   ĀpGs Tāt_1.1:	ĀpGs TAt _1.1:
   yo varṇairijyate nityaiḥ karmabhiścoditairnijaiḥ /	yaH varNEH ijyate nityEH karmaBiH ca uditEH nijEH /
   tebhyo '(1) pavargado yaśca taṃ namāmyadvayaṃ harim(2) //1//	teByaH a(1) pavarga daH yaH ca tam namAmya dvayam harim(2) //1//
   āpastambamuniṃ vande mandadhīhitakāmyayā /	Apastamba munim vande mandaDIhita kAmyayA /
   yo 'nuṣṭheyapadārtānāṃ kramakalpayat //2//	yaH anuzWeya pada ArtAnAm krama kalpayat //2//
   yatkṛtaṃ vedavadbhāṣyamādriyante vipaścitaḥ /	yat kRtam veda vat BAzyam Adriyante vipaScitaH /
   sa kapardī ciraṃ jīyādvedavedārthatattvavit //3//	sa kapardI ciram jIyAt veda veda arTa tattva vid //3//
   sudarśanāryaḥ(3)kurute gṛhyatātparyanirṇayam(4) /	sudarSa nAryaH (3)kurute gRhyatAtparyanirNayam(4) /
   kevalaṃ vaidikaśraddhāprerito mandadhīrapi //4//	kevalam vEdika SradDA preritaH manda DIH api //4//
   athaśabda ānantaryārthaḥ /	aTaSabdaH Anantarya arTaH /
   tadartha pūrvavṛttamucyate /	tad arTa pUrva vRttam ucyate /
   iha hi yajñā ekaviṃśatibhedāḥ /	iha hi yajQAH ekaviMSati BedAH /
   tatra ca sapta pākayajñasaṃsthāḥ 	tatra ca sapta pAkayajQa saMsTAH 
   aupāsanahomo, vaiśvadevaṃ, pārvaṇa, maṣṭakā, māsiśrāddhaṃ, sarpabaliṃ,	OpAsana homo, vESvadevan, pArvaNa, mazwakA, mAsi SrAdDaM, sarpa baliM,
   rīśānabaliriti /	rISAna baliH iti /
   sapta ca haviryajñasaṃsthāḥ agnihotraṃ, darśapūrṇamāsā, vāgrayaṇaṃ,	sapta ca haviH yajQa saMsTAH  agni hotraM, darSa pUrNamAsA, vAc rayaNaM,
   cāturmāsyāni, nirūḍhapaśubandhas, sautrāmaṇiḥ, piṇḍapitṛyajñādayo	cAturmAsyAni, nirUXa paSubanDas, sOtrAmaNiH, piNxa pitR yajQa AdayaH 
   darvīhomā iti /	darvIhomA iti /
   (5)saptaiva ca somasaṃsthāḥ agniṣṭomo,'tyāgniṣṭoma, ukthya, ṣyoḍaśī,	(5)sapta eva ca soma saMsTAH  agnizwomo, atya agnizwoma, ukTya, zyoxaSI,
   vājapeyo, 'tirātro 'ptoryāma iti /	vAjapeyaH , atirAtraH aptoryAmaH iti /
   ete ca nityāḥ niyatapradikālīnajīvananimittakā ityarthaḥ /	ete ca nityAH niyata pradikA lIna jIvana nimittakAH iti arTaH /
   kuta ete ca nityāḥ?'jāyamāno vai brāhmaṇastribhiṛṇavā jāyate	kutas ete ca nityAH? ajAyamAnaH vE brAhmaNaH tri BiRNavA jAyate
   brahmacaryeṇarṣibhyo yajñena'devebhyaḥ prajayā pitṛbhyaḥ,(tai.saṃ.6 3 10)	brahmacaryeNa RziByaH yajQena adeveByaH prajayA pitRByaH ,(tE. saM.6 3 10)
   ityatra 'yajñena'ityakavacanaṃ 'yajñaṃ vyākhyāsyāmaḥ'(āpa.pari.1 1) itivat	iti atra ayajQena aityakavacanam ayajQam vyAKyAsyAmaH a(Apa. pari.1 1) iti vat 
   jātyabhiprāyaṃ manyamānasya bhagavato vasiṣṭhasya	jAti aBiprAyam manyamAnasya BagavataH vasizWasya
   'naiyamikaṃhyetadṛṇatrayaṃ saṃstutam'(va.saṃ.11 47) iti	anEyamikaMhi etat RNa trayam saMstutam a(va.saM.11 47) iti
   vacanena eṣāmavaśyānuṣṭheyatvāvagamāt /	vacanena ezAm avaSya anuzWeya tva avagamAt /
