   Adhyāya 1, Adhikaraṇa 1:	ADyAyaH 1, ADikaraNa 1:
   <B1> śrīḥ /	<B1> SrIH /
   śrīmatkhaṇḍadevaviracitā bhāṭṭadīpikā /	SrImat-KaNxa-deva-viracitA BAwwa-dIpikA /
   śrīkhaṇḍadevāntevāsikavimaṇḍanaśaṃbhubhaṭṭaviracitaprabhāvalīvyākhyāsaṃvalitā	SrIKaNxa-deva-antevAsika-vimaNxana-SaMBu-Bawwa-viracita-praBAvalI-vyAKyA-saMvalitA
   tatra prathamādhyāyasya dvitīyaḥ pādaḥ /	tatra praTama-aDyAyasya dvitIyaH pAdaH /
   (1 adhikaraṇam /) viśveśvaraṃ namaskṛtya khaṇḍadevaḥ satāṃ mude /	(1 aDikaraNam /) viSveSvaram namaskRtya KaNxa-devaH satAm mude /
   tanute tatprasādena saṃkṣiptāṃbhāṭṭadīpikām // 1 /	tanute tad-prasAdena saMkzipta-aMBAwwa-dIpikAm // 1 /
   <B2> prabhāvalī /	<B2> praBAvalI /
   (maṅgalācaraṇam) ajñānatimiradhvaṃsi satyajñānaprakāśakam /	(maFgala-AcaraNam) ajQAna-timira-DvaMsi satya-jQAna-prakASakam /
   sarvābhīṣṭapradaṃ naumi śrīrūpaṃ sundaraṃ mahaḥ // 1 //	sarva-aBIzwa-pradam nOmi SrI-rUpam sundaram mahaH // 1 //
   yo vedaśāstrārṇavapāradṛśrvā yajñādikarmācaraṇe 'tidakṣaḥ /	yaH veda-SAstra-arNava-pAradRSrvA yajQa-Adi-karma-AcaraNe ati-dakzaH /
   sadāśivārādhanaśuddhacittastaṃ pitaraṃ namāmi // 2 //	sadASiva-ArADana-SudDa-cittaH-tam pitaram namAmi // 2 //
   śrīkhaṇḍadevaṃ praṇipatya sadguruṃ mīmāṃsakasvāntasarojabhāskaram /	SrIKaNxa-devam praNipatya sat-gurum mImAMsaka-sva-anta-saroja-BAskaram /
   atyantasaṃkṣiptapadārthatatkṛtau prabhāvalīṭippaṇamātanomyaham // 3 //	atyanta-saMkzipta-padArTa-tad-kRtO praBAvalI-wippaNa-mAtanomi-aham // 3 //
   yadyapyatra guroḥ kṛtāvapi mayāpyudbhāvyate kācanā - saṃbhūtistadapi	yadi-api-atra guroH kRtO=-api mayA-api-udBAvyate kAcanA  saMBUtiH-tat-api
   pracāracaturo naiṣā purobhāgitā /	pracAra-caturaH na-ezA puroBAgitAH /
