   Pātañjalayogaśāstram	PAtaQjala-yoga-SAstram
        yas tyaktvā rūpam ādyaṃ prabhavati jagato 'nekadhānugrahāya	yaH tyaktvA rUpam Adyam praBavati jagataH anekaDA-anugrahAya
   prakṣīṇakleśarāśir viṣamaviṣadharo 'nekavaktraḥ subhogī /	prakzINa-kleSa-rASiH vizama-viza-DaraH aneka-vaktraH su-BogI /
        sarvajñānaprasūtir bhujagaparikaraḥ prītaye yasya nityaṃ devo 'hīśaḥ	sarva-jQAna-prasUtiH Bujaga-parikaraH prItaye yasya nityam devaH ahISaH
   sa vo 'vyāt sitavimalatanur yogado yogayuktaḥ //1//	sa vaH avyAt sita-vimala-tanuH yoga-daH yoga-yuktaH //1//
   atha yogānuśāsanam || YS_1.1 ||	aTa yoga-anuSAsanam || YH-_1.1 ||
        athety ayam adhikārārthaḥ. yogānuśāsanaṃ śāstram adhikṛtaṃ	aTa-iti ayam aDikAra-arTaH. yoga-anuSAsanam SAstram aDikRtam
   veditavyam. yogaḥ samādhiḥ. sa ca sārvabhaumaś cittasya dharmaḥ. kṣiptaṃ	veditavyam. yogaH samADiH. sa ca sArvaBOmaH cittasya DarmaH. kziptam
   mūḍhaṃ vikṣiptam ekāgraṃ niruddham iti cittabhūmayaḥ. tatra vikṣipte	mUXam vikziptam ekAgram nirudDam iti citta-BUmayaH. tatra vikzipte
   cetasi vikṣepopasarjanībhūtaḥ samādhir na yogapakṣe vartate. yas tv ekāgre	cetasi vikzepa-upasarjanIBUtaH samADiH na yoga-pakze vartate. yaH tu ekAgre
   cetasi sadbhūtam arthaṃ pradyotayati kṣiṇoti ca kleśān karmabandhanāni	cetasi sadBUtam arTam pradyotayati kziNoti ca kleSAn karma-banDanAni
   ślathayati nirodham abhimukhaṃ karoti sa saṃprajñāto yoga ity ākhyāyate.	SlaTayati niroDam aBimuKam karoti sa saMprajQAtaH yogaH iti AKyAyate.
   sa ca vitarkānugato vicārānugata ānandānugato 'smitānugata ity upariṣṭān	sa ca vitarka-anugataH vicAra-anugataH Ananda-anugataH asmitA-anugataH iti uparizwAn
   nivedayiṣyāmaḥ. sarvavṛttinirodhe tv asaṃprajñātaḥ samādhiḥ. 1.1	nivedayizyAmaH. sarva-vRtti-niroDe tu asaMprajQAtaH samADiH. 1.1
   tasya lakṣaṇābhidhitsayedaṃ sūtraṃ pravavṛte ---	tasya lakzaNa-aBiDitsayA-idam sUtram pravavRte ---
        yogaś cittavṛttinirodhaḥ || YS_1.2 ||	yogaH citta-vRtti-niroDaH || YH-_1.2 ||
   sarvaśabdāgrahaṇāt saṃprajñāto 'pi yoga ity ākhyāyate. cittaṃ hi	sarva-Sabda-agrahaNAt saMprajQAtaH api yogaH iti AKyAyate. cittam hi
   prakhyāpravṛttisthitiśīlatvāt triguṇam.	praKyA-pravRtti-sTiti-SIla-tvAt triguNam.
        prakhyārūpaṃ hi cittasattvaṃ rajastamobhyāṃ saṃsṛṣṭam	praKyA-rUpam hi citta-sattvam rajaH-tamoByAm saMsRzwam
   aiśvaryaviṣayapriyaṃ bhavati. tad eva tamasānuviddham	ESvarya-vizaya-priyam Bavati. tat eva tamasA-anuvidDam
   adharmājñānāvairāgyānaiśvaryopagaṃ bhavati. tad eva prakṣīṇamohāvaraṇaṃ	aDarma-ajQAna-avErAgya-anESvarya-upagam Bavati. tat eva prakzINa-moha-AvaraNam
   sarvataḥ pradyotamānam anuviddhaṃ rajomātrayā	sarvatas pradyotamAnam anuvidDam rajaH-mAtrayA
   dharmajñānavairāgyaiśvaryopagaṃ bhavati.	Darma-jQAna-vErAgya-ESvarya-upagam Bavati.
        tad eva rajoleśamalāpetaṃ svarūpapratiṣṭhaṃ	tat eva rajaH-leSa-mala-apetam svarUpa-pratizWam
   sattvapuruṣānyatākhyātimātraṃ dharmameghadhyānopagaṃ bhavati. tat paraṃ	sattva-puruza-anya-tA-KyAti-mAtram Darma-meGa-DyAna-upagam Bavati. tat param
   prasaṃkhyānam ity ācakṣate dhyāyinaḥ. citiśaktir apariṇāminy	prasaMKyAnam iti Acakzate DyAyinaH. citi-SaktiH apariNAminI-
   apratisaṃkramā darśitaviṣayā śuddhā cānantā ca sattvaguṇātmikā ceyam ato	apratisaMkramA darSita-vizayA SudDA ca-anantA ca sattva-guNa-AtmikA ca-iyam atas-
   viparītā vivekakhyātir iti. atas tasyāṃ viraktaṃ cittaṃ tām api khyātiṃ	viparItA viveka-KyAtiH iti. atas tasyAm viraktam cittam tAm api KyAtim
   niruṇaddhi. tadavasthaṃ saṃskāropagaṃ bhavati. sa nirbījaḥ samādhiḥ. na	niruNadDi. tad-avasTam saMskAra-upagam Bavati. sa nirbIjaH samADiH. na
   tatra kiṃcit saṃprajñāyata ity asaṃprajñātaḥ. dvividhaḥ sa yogaś	tatra kiMcid saMprajQAyate iti asaMprajQAtaH. dviviDaH sa yogaH-
   cittavṛttinirodha iti. 1.2	citta-vRtti-niroDaH iti. 1.2
   tadavasthe cetasi viṣayābhāvād buddhibodhātmā puruṣaḥ kiṃsvabhāva iti ---	tad-avasTe cetasi vizaya-aBAvAt budDi-boDa-AtmA puruzaH kiMsvaBAvaH iti ---
        tadā draṣṭuḥ svarūpe 'vasthānam || YS_1.3 ||	tadA drazwuH svarUpe avasTAnam || YH-_1.3 ||
   svarūpapratiṣṭhā tadānīṃ citiśaktir yathā kaivalye. vyutthānacitte tu sati	svarUpa-pratizWA tadAnIm citi-SaktiH yaTA kEvalye. vyutTAna-citte tu sati
   tathāpi bhavantī na tathā. 1.3	taTA-api BavantI na taTA. 1.3
   kathaṃ tarhi, darśitaviṣayatvāt ---	kaTam tarhi, darSita-vizaya-tvAt ---
        vṛttisārūpyam itaratra || YS_1.4 ||	vRtti-sArUpyam itaratra || YH-_1.4 ||
   vyutthāne yāś cittavṛttayas tadaviśiṣṭavṛttiḥ puruṣaḥ. tathā ca sūtram	vyutTAne yAH citta-vRttayaH tad-aviSizwa-vRttiH puruzaH. taTA ca sUtram
   ekam eva darśanaṃ khyātir eva darśanam iti. cittam ayaskāntamaṇikalpaṃ	ekam eva darSanam KyAtiH eva darSanam iti. cittam ayaskAnta-maNi-kalpam
   saṃnidhimātropakāri dṛśyatvena svaṃ bhavati puruṣasya svāminaḥ. tasmāc	saMniDi-mAtra-upakAri dRSya-tvena svam Bavati puruzasya svAminaH. tasmAt-
   cittavṛttibodhe puruṣasyānādiḥ saṃbandho hetuḥ. 1.4	citta-vRtti-boDe puruzasya-anAdiH saMbanDaH hetuH. 1.4
   tāḥ punar niroddhavyā bahutve sati cittasya ---	tAH punar nirodDavyAH bahu-tve sati cittasya ---
        vṛttayaḥ pañcatayyaḥ kliṣṭākliṣṭāḥ || YS_1.5 ||	vRttayaH paQcatayyaH klizwa-aklizwAH || YH-_1.5 ||
   kleśahetukāḥ karmāśayapracaye kṣetrībhūtāḥ kliṣṭāḥ. khyātiviṣayā	kleSa-hetukAH karma-ASaya-pracaye kzetrIBUtAH klizwAH. KyAti-vizayA
   guṇādhikāravirodhinyo 'kliṣṭāḥ. kliṣṭapravāhapatitā apy akliṣṭāḥ.	guNa-aDikAra-viroDinyaH aklizwAH. klizwa-pravAha-patitAH api aklizwAH.
   kliṣṭacchidreṣv apy akliṣṭā bhavanti. akliṣṭacchideṣu kliṣṭā iti.	klizwa=-Cidrezu api aklizwAH Bavanti. aklizwa=-Cidezu klizwAH iti.
   tathājātīyakāḥ saṃskārā vṛttibhir eva kriyante. saṃskāraiś ca vṛttaya iti.	taTAjAtIyakAH saMskArAH vRttiBiH eva kriyante. saMskArEH ca vRttayaH iti.
   evaṃ vṛttisaṃskāracakram aniśam āvartate. tad evaṃbhūtaṃ cittam	evam vRtti-saMskAra-cakram aniSam Avartate. tat evaMBUtam cittam
   avasitādhikāram ātmakalpena vyavatiṣṭhate pralayaṃ vā gacchatīti. tāḥ	avasita-aDikAram Atma-kalpena vyavatizWate pralayam vA gacCati-iti. tAH
   kliṣṭāś cākliṣṭāś ca pañcadhā vṛttayaḥ. 1.5	klizwAH ca-aklizwAH ca paQcaDA vRttayaH. 1.5
   pramāṇaviparyayavikalpanidrāsmṛtayaḥ || YS_1.6 ||	pramANa-viparyaya-vikalpa-nidrA-smRtayaH || YH-_1.6 ||
   pratyakṣānumānāgamāḥ pramāṇāni || YS_1.7 ||	pratyakza-anumAna-AgamAH pramANAni || YH-_1.7 ||
        indriyapraṇālikayā cittasya bāhyavastūparāgāt tadviṣayā	indriya-praNAlikayA cittasya bAhya-vastu-uparAgAt tad-vizayA
   sāmānyaviśeṣātmano 'rthasya viśeṣāvadhāraṇapradhānā vṛttiḥ pratyakṣaṃ	sAmAnya-viSeza-AtmanaH arTasya viSeza-avaDAraNa-praDAnA vRttiH pratyakzam
   pramāṇam. phalam aviśiṣṭaḥ pauruṣeyaś cittavṛttibodhaḥ. pratisaṃvedī	pramANam. Palam aviSizwaH pOruzeyaH citta-vRtti-boDaH. pratisaMvedI
   puruṣa ity upariṣṭād upapādayiṣyāmaḥ.	puruzaH iti uparizwAt upapAdayizyAmaH.
