   Samādhisaṃbhāraparivartaḥ	Sama aDi saMBAra parivartaH
   lokanāthāya namaḥ	lokanATAya namaH
   bodhicittaṃ dṛḍhaṃ kuryāt pūrva kāruṇyaśaktijam /	boDi cittam dRXam kuryAt pUrva kAruNya Sakti jam /
   bhavabhogasukhe 'saktaḥ parigrahaparāṅmukhaḥ // 1 //	Bava Boga suKe asaktaH parigraha parAFmuKaH // 1 //
   śraddhādidhanasampanno guruṃ buddhasamaṃ bhajet /	SradDA Adi Dana sampannaH gurum budDa samam Bajet /
   taddiṣṭasamayācāraṃ paripālitumudyataḥ // 2 //	tat dizwa samaya AcAram paripAlitum udyataH // 2 //
   kumbhaguhyābheṣekaṃ tu prasādāllabhate guroḥ /	kumBa guhya aBa izekam tu prasAdAt laBate guroH /
   kāyavāk cittasaṃśuddhaḥ siddhipātraṃ sa sādhakaḥ // 3 //	kAya vAc citta saMSudDaH sidDipAtram sa sADakaH // 3 //
   samādhyaṅgasamudbhūtasaṃbhārapāripūritaḥ /	samADi aFga samudBUta saMBAra pAripUritaH /
   śīghraṃ siddhyāptirevaṃ ca guhyamantranayasthitiḥ // 4 //	SIGram sidDi AptiH evam ca guhya mantra naya sTitiH // 4 //
   samādhyaṅgacyutau tasya vipakṣasthititastathā /	samADi aFga cyutO tasya vipakza sTititaH taTA /
   janmakoṭisahasraiśca samādhirna prasidhyati // 5 //	janma kowi sahasrEH ca samADiH na prasiDyati // 5 //
   tatsamādhiprasidhyartha guhyavṛttasthayogavit /	tad samADi prasiDi arTa guhya vRtta sTa yoga vid /
   tad bhinnaṃ cintanaṃ tyaktvā dṛḍhavīryeṇa codyamet // 6 //	tat Binnam cintanam tyaktvA dRXa vIryeNa ca udyamet // 6 //
   samādheryāni cāṅgāni vipakṣastadviniścaye /	samADeH yAni ca aFgAni vipakzaH tad viniScaye /
   samādhyaṅgaṃ vipakṣaśca saṃkṣepeṇa samucyate // 7 //	samADi aFgam vipakzaH ca saMkzepeNa samucyate // 7 //
   śīlasampattiyuktatvaṃ bhogeṣu nirapekṣatā /	SIla sampatti yukta tvam Bogezu nirapekzatA /
   kṣāntirdṛḍhapratijñā ca janasaṃsargavarjanam // 8 //	kzAntiH dRXa pratijQA ca jana saMsarga varjanam // 8 //
   kāyavāk cittakāryeṣu samprajanyasamanvayaḥ /	kAya vAc citta kAryezu samprajanya samanvayaH /
   buddhakāyastutismṛtyā kāyānusmṛtisaṃyutiḥ // 9 //	budDa kAya stuti smRtyA kAya anusmRti saMyutiH // 9 //
   yasmin kāle tu yatkārya dārḍhrya tasya hyanusmṛtau /	yasmin kAle tu yat kArya dArXrya tasya hi anusmRtO /
   pañcāvaraṇahāniśca yuktakṛd bhaktamānatā // 10 //	paQca AvaraNa hAniH ca yukta kRt Baktam AnatA // 10 //
   samastalokadharmeṣu cittopekṣā sadā tathā /	samasta loka Darmezu citta upekzA sadA taTA /
   saṃlekho 'ṅgāni cemāni vipakṣastadviparyayaḥ // 11 //	saMleKaH aFgAni ca imAni vipakzaH tad viparyayaH // 11 //
   samādhisambhārakṛtairhi puṇyaiḥ samādhiṃ vajropamametu lokaḥ / 12, a ba /	samADi samBAra kRtEH hi puNyEH samADim vajra upamam etu lokaH / 12, a baH /
   samādhisambhāraparivarto mahāpaṇḍitācāryadīpaṅkaraśrījñānapādaviracitaḥ	samADi samBAra parivartaH mahA paNxita AcArya dIpaFkara SrI jQAna pAda viracitaH
   samāptaḥ //	samAptaH //
   tenaiva bhāratīyopādhyāyena mahāsaṃśodhakalokacakṣuṣā bhikṣu śākyamatinā	tena eva BAratIya upADyAyena mahA saMSoDaka loka cakzuzA Bikzu  SAkya matinA
   ca anūdya nirṇītaḥ //	ca anUdya nirNItaH //
