   Ratnākaraśāntiviracitā	RatnAkara SAnti viracitA
   āryāṣṭasāhasrikāyāḥ prajñāpāramitāyāḥ sāratamākhyā pañjikā	Arya azwa sAhasrikAyAH prajQApAramitAyAH sAratam AKyA paQjikA
   1. sarvākārajñatācaryāparivarto nāma prathamaḥ //	1. sarva AkAra jQa tA caryA parivartaH nAma praTamaH //
   namaḥ sarvabuddhabodhisattvebhyaḥ /	namaH sarva budDa boDisattveByaH /
   bhavati bahutarārke kevalaṃ yasya loke	Bavati bahutara arke kevalam yasya loke
   dinamudayasamṛddhyā rātrirastaṅgamena /	dinam udaya samRdDyA rAtriH aH taFgamena /
   prativiṣayavisārī śuddhimānastu vaṃśaḥ (?)	prativizaya visArI SudDimAnaH tu vaMSaH (?)
   sa guruguṇanidhervo jāyatāṃ buddhabodhaḥ //	sa guru guNa niDeH vaH jAyatAm budDa boDaH //
   .............namaḥ śaraṇaṃ daśabalāste vā (?) //	.............namaH SaraNam daSa balAH te vA (?) //
   yasyāḥ katipayavarṇā dhṛtāḥ karṇapuṭairapi /	yasyAH katipaya varNAH DRtAH karNa puwEH api /
   bodherbhavanti bījāni jinamātā pyatyasau /	boDeH Bavanti bIjAni jina mAtA pyati asO /
   maitreyasya vibhoralaṃkṛtimayaḥ poto yadarthārṇave	mEtreyasya viBoH alaMkRti mayaH potaH yad arTa arNave
   nirṇītaṃ bahuvistarākṛtisamairyasyā nijāṃśerapi /	nirNItam bahu vistara AkRti samEH yasyAH nija aMSeH api /
   vyācaṣṭe vacasā sphuṭena laghunā mando 'pi ratnākāraḥ	vyAcazwe vacasA sPuwena laGunA mandaH api ratna AkAraH
   prajñāpāramitāṃ.......na mahatāṃ (tīṃ) tāmaṣṭasāhasrikām //	prajQApAramitAM.......na mahatAm (tIM) tAm azwa sAhasrikAm //
   (RSt_2) atha kasmādiyaṃ vyākhyāyate?	(RSt _2) aTa kasmAt iyam vyAKyAyate?
   sūtraṃ geyaṃ vyākaraṇaṃ gāthā udānaṃ nidānaṃ avadānaṃ itivṛttakaṃ jātakaṃ	sUtram geyam vyAkaraNam gATAH udAnam nidAnam avadAnam iti vRttakam jAtakam
   vaipulyaṃ adbhutā dharmāḥ upadeśāśceti /	vEpulyam adButAH DarmAH upadeSAH ca iti /
   tatra sūtraṃ katamat? yatra gambhīrapadairarthasūcanam / geyaṃ katamat?	tatra sUtram katamat? yatra gamBIra padEH arTa sUcanam / geyam katamat?
   sūtrameva [yadgīyate] / yacca neyārthaṃ sūtraṃ tadapi geyaṃ gamyatvāt /	sUtram eva [yat gIyate] / yat ca neya arTam sUtram tat api geyam gamya tvAt /
   vyākaraṇaṃ [katamat? yatra] śrāvako 'bhyatītaḥ kālagata upapattau	vyAkaraNam [katamat? yatra] SrAvakaH aByatItaH kAlagate upapattO
