   atha gauḍapādīyakārikāḥ	aTa gOxapAdIya-kArikAH
   (bahiṣ[S:]bahiḥ)prajño vibhur viśvo hy antaḥprajñas tu taijasaḥ /	(bahiz[-S:]-bahis-)prajQaH viBuH viSvaH hi antar-prajQaH tu tEjasaH /
   ghanaprajñas tathā prājña eka eva tridhā (smṛtaḥ [B:]sthitaḥ) // 1.1 //	GanaprajQaH taTA prAjQaH ekaH eva triDA (smRtaH [B:]-sTitaH) // 1.1 //
   dakṣiṇākṣimukhe viśvo manasy antas tu taijasaḥ /	dakziNa-akzi-muKe viSvaH manasi antar tu tEjasaH /
   ākāśe ca hṛdi prājñas tridhā dehe vyavasthitaḥ // 1.2 //	AkASe ca hRdi prAjQaH triDA dehe vyavasTitaH // 1.2 //
   viśvo hi sthūlabhuṅ nityaṃ taijasaḥ praviviktabhuk /	viSvaH hi sTUla-Buj nityam tEjasaH pravivikta-Buj /
   ānandabhuk tathā prājñas tridhā bhogaṃ nibodhata // 1.3 //	Ananda-Buj taTA prAjQaH triDA Bogam niboData // 1.3 //
   sthūlaṃ tarpayate viśvaṃ praviviktaṃ tu taijasam /	sTUlam tarpayate viSvam praviviktam tu tEjasam /
   ānandaś ca tathā prājñaṃ tridhā tṛptiṃ nibodhata // 1.4 //	AnandaH ca taTA prAjQam triDA tRptim niboData // 1.4 //
   triṣu dhāmasu yad bhojyaṃ bhoktā yaś ca prakīrtitaḥ /	trizu DAmasu yat Bojyam BoktA yaH ca prakIrtitaH /
   vedaitad ubhayaṃ yas tu sa bhuñjāno na lipyate // 1.5 //	veda-etat uBayam yaH tu sa BuQjAnaH na lipyate // 1.5 //
   prabhavaḥ sarva(bhāvānāṃ [B:]bhūtānāṃ) satām iti viniścayaḥ /	praBavaH sarva-(BAvAnAm [B:]BUtAnAM) satAm iti viniScayaH /
   sarvaṃ janayati prāṇaś cetoaṃśūn puruṣaḥ pṛthak // 1.6 //	sarvam janayati prANaH cetaH-aMSUn puruzaH pRTak // 1.6 //
   vibhūtiṃ prasavaṃ tv anye manyante sṛṣṭicintakāḥ /	viBUtim prasavam tu anye manyante sRzwi-cintakAH /
   svapnamāyā(sa[B:]sva)rūpeti sṛṣṭir anyair vikalpitā // 1.7 //	svapna-mAyA(sa[B:]sva)rUpA-iti sRzwiH anyEH vikalpitAH // 1.7 //
   icchāmātraṃ prabhoḥ sṛṣṭir iti sṛṣṭau viniścitāḥ /	icCA-mAtram praBoH sRzwiH iti sRzwO viniScitAH /
   kālāt prasūtiṃ bhūtānāṃ manyante kālacintakāḥ // 1.8 //	kAlAt prasUtim BUtAnAm manyante kAla-cintakAH // 1.8 //
   bhogārthaṃ sṛṣtir ity anye krīḍārtham iti cāpare /	Boga-arTam sRztiH iti anye krIxA-arTam iti ca-apare /
   devasyaiṣa svabhāvo 'yam āptakāmasya kā spṛhā // 1.9 //	devasya-eza svaBAvaH ayam Apta-kAmasya kA spRhA // 1.9 //
   nivṛtteḥ sarvaduḥkhānām īśānaḥ prabhur avyayaḥ /	nivRtteH sarva-duHKAnAm ISAnaH praBuH avyayaH /
   advaitaḥ sarvabhāvānāṃ devas turyo vibhuḥ smṛtaḥ // 1.10 //	advEtaH sarva-BAvAnAm devaH turyaH viBuH smRtaH // 1.10 //
   kāryakāraṇabaddhau tāv iṣyete viśvataijasau /	kArya-kAraNa-badDO tO izyete viSva-tEjasO /
   prājñaḥ kāraṇabaddhas tu (dvau tau [B:]dve tu) turye na sidhyataḥ // 1.11	prAjQaH kAraNa-badDaH tu (dvO tO [B:]dve tu) turye na siDyataH // 1.11
   nātmānaṃ na (parāṃś [S:]paraṃ) caiva na satyaṃ nāpi cānṛtam /	na-AtmAnam na (parAn [S:]-paraM) ca-eva na satyam na-api ca-anRtam /
   prājñaḥ kiṃcana saṃvetti (turyaṃ tat [B:]turīyaḥ) sarvadṛk sadā // 1.12 //	prAjQaH kiMcana saMvetti (turyam tat [B:]turIyaH) sarva-dRS sadA // 1.12 //
   dvaitasyāgrahaṇaṃ tulyam ubhayoḥ prājñaturyayoḥ /	dvEtasya-agrahaNam tulyam uBayoH prAjQa-turyayoH /
   bījanidrāyutaḥ prājñaḥ sā ca turye na vidyate // 1.13 //	bIja-nidrA-yutaH prAjQaH sA ca turye na vidyate // 1.13 //
