   Bhūti(rāja): Svabodhasiddhi	BhUti(rAja): Sva-boDa-sidDi
   namaḥ sakalakalyāṇamayakaivalyadāyine /	namaH sakala-kalyANa-maya-kEvalya-dAyine /
   śivāya śamitāśeṣabhavādhvadhvāntabhānave //1//	SivAya Samita-aSeza-Bava-aDva-Dva-anta-BAnave //1//
   aśeṣadarśanāveśaviśeṣādhivivarjitam /	aSeza-darSana-AveSa-viSeza-aDi-vivarjitam /
   svasaṃvedanasaṃvedyaṃ svasthaṃ vande paraṃ śivam //2//	sva-saMvedana-saMvedyam svasTam vande param Sivam //2//
   nirastakalpanājālavikalpaughavighātine /	nirasta-kalpanA-jAla-vikalpa-oGa-viGAtine /
   namo 'stu paramānandapadātītāya śambhave //3//	namaH astu parama-Ananda-padAtItAya SamBave //3//
   jayanty apārasaṃsārasārāsāravibhāgadāḥ /	jayanti apAra-saMsAra-sAra-asAra-viBAga-dAH /
   kaivalyajñānasaṃbodhahetavaś śambhavāṅghrayaḥ //4//	kEvalya-jQAna-saMboDa-hetavaH SamBava-aFGrayaH //4//
   mano buddhir ahaṃ prāṇās tanmātrendriyajīvanam /	manaH budDiH aham prANAH tanmAtra-indriya-jIvanam /
   yaṃ dṛṣṭvā vinivartante tam upāsyam upāsmahe //5//	yam dRzwvA vinivartante tam upAsyam upAsmahe //5//
   mamāham iti hṛdgranthicchedanaikakṛpāṇikām /	mama-aham iti hRd-granTi=-Cedana-eka-kRpANikAm /
   spandāspandakṛtagrāsāṃ naumy ahaṃ śuddhasaṃvidam //6//	spandA-spanda-kRta-grAsAm nOmi aham SudDa-saMvidam //6//
   vyapadeśavihīnasya tattvasya kathanaṃ katham /	vyapadeSa-vihInasya tattvasya kaTanam kaTam /
   svasaṃvedanasadyuktyā gamyate yadi kenacit //7//	sva-saMvedana-sadyuktyA gamyate yadi kenacid //7//
   jñānayogopadeśena yasya nāśvāsa āntaraḥ /	jQAna-yoga-upadeSena yasya na-ASvAsaH AntaraH /
   samāśvāsavihīnatvāt kathaṃ naiḥśreyasaṃ phalam //8//	samASvAsa-vihIna-tvAt kaTam nEHSreyasam Palam //8//
   upeyaprāptyupāyo 'yaṃ svabodhe jāgarūkatā /	upeya-prApti-upAyaH ayam sva-boDe jAgarUka-tA /
   svabodhajāgarūkatvān nirvibhāgā sthitir muneḥ //9//	sva-boDa-jAgarUka-tvAt nirviBAgA sTitiH muneH //9//
   upāyo nāparaḥ kaścit svasattānugamād ṛte /	upAyaH na-aparaH kaScid sva-sattA-anugamAt Rte /
   tām evānusaran yogī svastho yaḥ sa sukhī bhavet //10//	tAm eva-anusaran yogI svasTaH yaH sa suKI Bavet //10//
   svasaṃkalpaparāmarśād viśuddhajñānasaṃśrayāt /	sva-saMkalpa-parAmarSAt viSudDa-jQAna-saMSrayAt /
   paramāhlādalābhāc ca bodhaikaghanatā muneḥ //11//	parama-AhlAda-lABAt ca boDa-eka-Gana-tA muneH //11//
   nigṛhīte svasaṃkalpe śakteḥ śaktimati sthitiḥ /	nigRhIte sva-saMkalpe SakteH Saktimati sTitiH /
   śaktiśaktimator aikyam ity upeyaṃ ca yoginām //12//	Sakti-SaktimatoH Ekyam iti upeyam ca yoginAm //12//
   prāpte svarūpavijñāne santyakte tattvakañcuke /	prApte svarUpa-vijQAne santyakte tattva-kaQcuke /
   udyogakāraṇe kīrṇe muktaḥ sa kila kathyate //13//	udyoga-kAraNe kIrNe muktaH sa kila kaTyate //13//
   bodhamātre grahaḥ kāryaḥ suprabuddhena cetasā /	boDa-mAtre grahaH kAryaH suprabudDena cetasA /
   tāvad yāvat svasāmarthyāt svaniṣṭhaḥ kevalo bhavet //14//	tAvat yAvat sva-sAmarTyAt sva-nizWaH kevalaH Bavet //14//
   sarvadā suprabuddhas san paśyaty ātmānam ātmanā /	sarvadA suprabudDaH san paSyati AtmAnam AtmanA /
   draṣṭuḥ svarūpasaṃsthasya kim anyad avaśiṣyate //15//	drazwuH svarUpa-saMsTasya kim anyat avaSizyate //15//
   sadaiva suprabuddhatvam etāvan manasaḥ kṣayaḥ /	sadA-eva suprabudDa-tvam etAvat manasaH kzayaH /
   tatkṣayād yogināṃ samyaksākṣātkāro bhavaty alam //16//	tad-kzayAt yoginAm samyak-sAkzAtkAraH Bavati alam //16//
   paryāvṛttaḥ svasaṃvittau vartate yas tv abhedataḥ /	paryAvRttaH sva-saMvittO vartate yaH tu aBedataH /
   sa samrāḍ yogayuktānām ajñānadhvāntabhāskaraḥ //17//	sa samrAj yoga-yuktAnAm ajQAna-DvAnta-BAskaraH //17//
   svarūpānubhavāhlādadaśātītendusaṃsthitiḥ /	svarUpa-anuBava-AhlAda-daSA-atIta-indu-saMsTitiH /
   avāptavyaṃ kim astīha kṣīṇāntaḥkaraṇasya me //18//	avAptavyam kim asti-iha kzINa-antaHkaraNasya me //18//
   svaparijñaptiviśrāntī sudṛḍhe yasya susphuṭe /	sva-parijQapti-viSrAntI su-dRXe yasya su-sPuwe /
   tasya vṛttivimuktasya bhavet kevalatācirāt //19//	tasya vRtti-vimuktasya Bavet kevala-tA-cirAt //19//
   grāhyagrahaṇasaṃskāratiraskāraikacetasām /	grAhya-grahaNa-saMskAra-tiraskAra-eka-cetasAm /
   yogināṃ svātmaniṣṭhānāṃ mokṣalakṣmīr na durlabhā //20//	yoginAm sva-Atma-nizWAnAm mokza-lakzmIH na durlaBA //20//
   labdhā svarūpaviśrāntir nirvṛttā kleśasantatiḥ /	labDA sva-rUpa-viSrAntiH nirvRttA kleSa-santatiH /
   grāhyagrāhakatā bhagnā svarūpastho' smi saṃsthitaḥ //21//	grAhya-grAhaka-tA BagnA svarUpa-sTaH-a smi saMsTitaH //21//
   abhedabodhasaṃbodhasvarūpānubhavasthitim /	aBeda-boDa-saMboDa-svarUpa-anuBava-sTitim /
   vyutthitaḥ sanniruddho vā labhate yaḥ sa tattvavit //22//	vyutTitaH sannirudDaH vA laBate yaH sa tattva-vid //22//
   yasya sarvāsv avasthāsu svasthitir naiva lupyate /	yasya sarvAsu avasTAsu sva-sTitiH na-eva lupyate /
   tasya kiṃ nāma kurvanti śāstrabhramaṇavibhramāḥ //23//	tasya kim nAma kurvanti SAstra-BramaNa-viBramAH //23//
   vigalitasadasadvikalpasadasadbhramajanitamohamuktātmā /	vigalita-sadasat-vikalpa-sat-asat-Brama-janita-moha-mukta-AtmA /
   jīvann api janamadhye vigatabhayaḥ sarvadā yogī //24//	jIvan api jana-maDye vigata-BayaH sarvadA yogI //24//
   nirastakaraṇo yena samādhiḥ sevitaḥ sakṛt /	nirasta-karaNaH yena samADiH sevitaH sakRt /
   paraḥ sākṣātkṛtas tena caritārthena yoginā //25//	paraH sAkzAtkRtaH tena caritArTena yoginA //25//
   ahamātmany asambhinnaḥ saṃgṛhya svaprayatnataḥ /	aham-Atmani asamBinnaH saMgRhya sva-prayatnataH /
   prabuddhaḥ syāt svaniṣṭhaḥ san yāvat sādāśivadyutiḥ //26//	prabudDaH syAt sva-nizWaH san yAvat sAdASiva-dyutiH //26//
   nirastasarvārthaniraṃśavṛttir jñānī sakṛt svātmani labdhalābhaḥ /	nirasta-sarva-arTa-niraMSa-vRttiH jQAnI sakRt sva-Atmani labDa-lABaH /
   samyaṅnibodhaikaparaḥ svaniṣṭhaḥ svakañcukaṃ hanta jahāti yogī //27//	samyak-niboDa-eka-paraH sva-nizWaH sva-kaQcukam hanta jahAti yogI //27//
   vāganubhavasadyuktir yasyāsti nirantaraṃ svasaṃvittau /	vAc-anuBava-sat-yuktiH yasya-asti nirantaram sva-saMvittO /
   tasyopadeśakaraṇaṃ yuktaṃ śiṣyeṣu bodhanaṃ samyak //28//	tasya-upadeSa-karaNam yuktam Sizyezu boDanam samyak //28//
   nairvāsanyāt svasaṃbodhāt tyāgād āśābhimānayoḥ /	nErvAsanyAt sva-saMboDAt tyAgAt ASa-aBimAnayoH /
   sadasatpadavicchedān na punar vigrahagrahaḥ //29//	sat-asat-pada-vicCedAt na punar vigraha-grahaH //29//
   āśvastāntaḥkaraṇaḥ kṣīṇavikalpaḥ svarūpalābharataḥ /	ASvasta-antaHkaraNaH kzINa-vikalpaH sva-rUpa-lABa-rataH /
   svānubhavāmṛtatṛptaḥ kaivalyaṃ yāti caritārthaḥ //30//	sva-anuBava-amRta-tRptaH kEvalyam yAti caritArTaH //30//
   ittham upeyaprāptau vigatamalā citprakāśikā satyā /	itTam upeya-prAptO vigata-malA cit-prakASikA satyA /
   kaivalyabhūtijananī svabodhasiddhir mayā gaditā //31//	kEvalya-BUti-jananI sva-boDa-sidDiH mayA gaditA //31//
   yenopadeśena nalabdhalābho bhavaty alaṃ saṃśayadoṣamuktaḥ /	yena-upadeSena na-labDa-lABaH Bavati alam saMSaya-doza-muktaH /
