   agre māhiṣakaṃ dṛṣṭvā YS182v_3.16a	agre mAhizakam dRzwvA YS182u-_3.16a
   aṅgulyāṃ yaḥ pavitrāṇi YS182v_3.32a	aFgulyAm yaH pavitrANi YS182u-_3.32a
   ajāviko māhiṣaś ca YS182v_3.26a	ajAvikaH mAhizaH ca YS182u-_3.26a
   ajñātena kṛtaṃ yadā YS182v_5.10b	ajQAtena kRtam yadA YS182u-_5.10b
   ajñātvā dharmaśāstrāṇi YS182v_4.29a	ajQAtvA Darma-SAstrANi YS182u-_4.29a
   ajñānāc ca kṛtaṃ sarvaṃ YS182v_5.12a	ajQAnAt ca kRtam sarvam YS182u-_5.12a
   ajñānāt kṛcchram uddiṣṭaṃ YS182v_2.2c	ajQAnAt kRcCram uddizwam YS182u-_2.2c
   ata ūrdhvaṃ rajasvalā YS182v_3.21d	atas UrDvam rajasvalAH YS182u-_3.21d
   ataḥ paraṃ pravakṣyāmi YS182v_5.1a	atas param pravakzyAmi YS182u-_5.1a
   ato bālatarasyāpi YS182v_3.2a	atas bAlatarasya-api YS182u-_3.2a
   atha cen matra[ntra]vidyukto YS182v_3.39a	aTa ced matra-[ntra]-vidyuktaH YS182u-_3.39a
   athāto yamadharmasya YS182v_1.1a	aTa-atas yama-Darmasya YS182u-_1.1a
   adūṣyaṃ caiva viprendraṃ YS182v_3.40c	adUzyam ca-eva vipra-indram YS182u-_3.40c
   adhikasya ca bhāgau dvau YS182v_5.23a	aDikasya ca BAgO dvO YS182u-_5.23a
   anantaṃ nātra saṃśayaḥ YS182v_3.43f	anantam na-atra saMSayaH YS182u-_3.43f
   anarcayitvā yo bhuṅkte YS182v_3.25c	anarcayitvA yaH BuFkte YS182u-_3.25c
   anutāparatasya ca YS182v_4.40b	anutApa-ratasya ca YS182u-_4.40b
   anutāpādya[po ya]dā puṃsāṃ[so] YS182v_4.28a	anutApa-Adi-a[paH ya]dA puMsAM[so] YS182u-_4.28a
   aneke yasya ye putrāḥ YS182v_5.14a	aneke yasya ye putrAH YS182u-_5.14a
   ante vārdhuṣikaṃ dṛṣṭvā YS182v_3.16c	ante vArDuzikam dRzwvA YS182u-_3.16c
   annadānahiraṇyakaiḥ YS182v_3.59d	anna-dAna-hiraNyakEH YS182u-_3.59d
   anyathābhāvadoṣeṇa YS182v_2.5c	anyaTA-BAva-dozeNa YS182u-_2.5c
   apāṅktās te ca vijñeyāḥ YS182v_4.62c	apAFktAH te ca vijQeyAH YS182u-_4.62c
   aputrasya ca putrāḥ syuḥ YS182v_5.16c	aputrasya ca putrAH syuH YS182u-_5.16c
   aputrasya ca vijñeyā YS182v_5.19a	aputrasya ca vijQeyAH YS182u-_5.19a
   aputrebhyo na saṃśayaḥ YS182v_5.21d	aputreByaH na saMSayaH YS182u-_5.21d
   apraśastā na te spṛśyās YS182v_2.8c	apraSastAH na te spRSyAH YS182u-_2.8c
   abhakṣyāṇām apeyānām YS182v_3.62a	aBakzyANAm apeyAnAm YS182u-_3.62a
   abhiṣikto yadā bhavet YS182v_4.46b	aBiziktaH yadA Bavet YS182u-_4.46b
   abhojyāś cāpratigrāhyā YS182v_2.9a	aBojyAH ca-apratigrAhyAH YS182u-_2.9a
   amāyāṃ tu na bhuñjīta YS182v_2.6c	amAyAm tu na BuQjIta YS182u-_2.6c
   ayājyānāṃ ca yājakaḥ YS182v_3.35d	ayAjyAnAm ca yAjakaH YS182u-_3.35d
   ayājyānāṃ ca yājakāḥ YS182v_4.62b	ayAjyAnAm ca yAjakAH YS182u-_4.62b
   ardhakṛcchraṃ caret pūrvā YS182v_3.66c	arDa-kRcCram caret pUrvAH YS182u-_3.66c
   alubdho veda tat paraḥ YS182v_3.43b	alubDaH veda tat paraH YS182u-_3.43b
   alubhdāhlādaniṣpāpā YS182v_4.54a	aluBda-AhlAda-nizpApAH YS182u-_4.54a
   alehyānāṃ ca bhakṣaṇe YS182v_3.62b	alehyAnAm ca BakzaNe YS182u-_3.62b
   aśītyadhikavarṣāṇi YS182v_3.3a	aSIti-aDika-varzANi YS182u-_3.3a
   aśubhaṃ kāritāḥ karma YS182v_5.6a	aSuBam kAritAH karma YS182u-_5.6a
   aṣṭavarṣā bhaved gaurī YS182v_3.21a	azwa-varzA Bavet gOrI YS182u-_3.21a
   aṣṭaśālyāṃ mṛtā ye ca YS182v_4.30c	azwa-SAlyAm mRtAH ye ca YS182u-_4.30c
   aṣṭaśālyāṃ mṛto vipraḥ YS182v_4.31c	azwa-SAlyAm mRtaH vipraH YS182u-_4.31c
   asakṛc ca yadā jñātvā YS182v_4.43c	asakRt ca yadA jQAtvA YS182u-_4.43c
   asakṛd gamanāc caiva YS182v_4.44a	asakRt gamanAt ca-eva YS182u-_4.44a
   asac chūdreṣu annādyaṃ YS182v_3.11a	asat SUdrezu annAdyam YS182u-_3.11a
   asadālāpakas tathā YS182v_3.36d	asat-AlApakaH taTA YS182u-_3.36d
   asaṃpaṅktyāvivāhikāḥ YS182v_2.9b	asaMpaFktyAvivAhikAH YS182u-_2.9b
   asaṃbhaṣyo hy apāṅkteyaḥ YS182v_3.19c	asaMBazyaH hi apAFkteyaH YS182u-_3.19c
   asākṣivyavahāreṣu YS182v_5.26c	asAkzi-vyavahArezu YS182u-_5.26c
   asevyāsevino viprā YS182v_4.62a	asevya-AsevinaH viprAH YS182u-_4.62a
   astaṃ gate yadā sūrye YS182v_3.8a	astam gate yadA sUrye YS182u-_3.8a
   ahorātreṇa śudhyati YS182v_3.49b	ahorAtreNa SuDyati YS182u-_3.49b
   ādhau pratigrahe krānte YS182v_5.23c	ADO pratigrahe krAnte YS182u-_5.23c
   āpo hiṣṭḥety ṛgabhiṣiktā YS182v_3.58a	ApaH hizwHA-iti Rc-aBiziktAH YS182u-_3.58a
   ābdikaṃ caiva śūdrasya YS182v_4.13c	Abdikam ca-eva SUdrasya YS182u-_4.13c
   āśā[śai]vālakuḍe[ṇḍe] vā 'pi YS182v_4.3c	ASA[-SE]vAla-kuxe[Nxe] vA api YS182u-_4.3c
   āśaucaṃ na bhavaty eva YS182v_5.9a	ASOcam na Bavati eva YS182u-_5.9a
   āsane pādam ārūḍho YS182v_3.31a	Asane pAdam ArUXaH YS182u-_3.31a
   āsaneśv āsanaṃ dadyān YS182v_3.30a	AsaneSu Asanam dadyAn YS182u-_3.30a
   itarebhyaḥ(?) samāsataḥ YS182v_5.23b	itareByaH(?) samAsatas YS182u-_5.23b
   iti prāha svayaṃ yamaḥ YS182v_3.39d	iti prAha svayam yamaH YS182u-_3.39d
   iti prāha svayaṃ yamaḥ YS182v_4.21b	iti prAha svayam yamaH YS182u-_4.21b
   iti prāha svayaṃ yamaḥ YS182v_4.34d	iti prAha svayam yamaH YS182u-_4.34d
   iti śātātapo 'bravīt YS182v_5.17b	iti SAtAtapaH abravIt YS182u-_5.17b
   ity āha bhagavān yamaḥ YS182v_3.49d	iti Aha BagavAn yamaH YS182u-_3.49d
   ity āha bhagavān yamaḥ YS182v_4.28d	iti Aha BagavAn yamaH YS182u-_4.28d
   ity āha bhagavān yamaḥ YS182v_4.32d	iti Aha BagavAn yamaH YS182u-_4.32d
   ity āha bhagavān yamaḥ YS182v_4.55b	iti Aha BagavAn yamaH YS182u-_4.55b
   ity āha bhagavān yamaḥ YS182v_4.58d	iti Aha BagavAn yamaH YS182u-_4.58d
   idānīṃ bhāganirṇayam YS182v_5.20c	idAnIm BAga-nirNayam YS182u-_5.20c
   indudvayena śudhyanti YS182v_1.5c	indu-dvayena SuDyanti YS182u-_1.5c
   iha janmani śūdratvaṃ YS182v_3.14c	iha janmani SUdra-tvam YS182u-_3.14c
   iha loke paratra ca YS182v_2.7d	iha loke paratra ca YS182u-_2.7d
   uktaś caiva viśeṣataḥ YS182v_5.4d	uktaH ca-eva viSezataH YS182u-_5.4d
   ucchiṣṭabhājanaṃ yena YS182v_3.45a	ucCizwa-BAjanam yena YS182u-_3.45a
   ucchiṣṭaṃ taṃ dvijaṃ yas tu YS182v_3.49a	ucCizwam tam dvijam yaH tu YS182u-_3.49a
   ucchiṣṭocchiṣṭasaṃspṛṣṭaḥ YS182v_3.44a	ucCizwa-ucCizwa-saMspRzwaH YS182u-_3.44a
   ucchiṣṭocchiṣṭasaṃspṛṣṭaḥ YS182v_3.47a	ucCizwa-ucCizwa-saMspRzwaH YS182u-_3.47a
   ucchiṣṭocchiṣṭasaṃspṛṣṭo YS182v_3.46a	ucCizwa-ucCizwa-saMspRzwaH YS182u-_3.46a
   u([turu])pāsanaparo hi saḥ YS182v_4.52d	u([turu])pAsana-paraH hi saH YS182u-_4.52d
   utkṛṣṭenāpi gohantā YS182v_4.9c	utkRzwena-api go-hantA YS182u-_4.9c
   uttaraḥ syāc caturvidhaḥ YS182v_5.25b	uttaraH syAt caturviDaH YS182u-_5.25b
   udakyā dṛṣṭipātena YS182v_3.51a	udakyAH dRzwi-pAtena YS182u-_3.51a
   udakyāḥ sparśane caiva YS182v_3.54a	udakyAH sparSane ca-eva YS182u-_3.54a
   udite grahanakṣatre YS182v_1.2c	udite graha-nakzatre YS182u-_1.2c
   uddiśya pitṛpākaṃ ca YS182v_5.8c	uddiSya pitR-pAkam ca YS182u-_5.8c
   upapātakināṃ caiva YS182v_4.24c	upapAtakinAm ca-eva YS182u-_4.24c
   upavāsam athāpi vā YS182v_4.25d	upavAsam aTa-api vA YS182u-_4.25d
   upādhyāyasya yoṣitaḥ YS182v_3.5b	upADyAyasya yozitaH YS182u-_3.5b
   upāsyām e[sītai]va yatnataḥ YS182v_4.50b	upAsyAm e[sItE]va yatnataH YS182u-_4.50b
   upoṣya dvijasaṃskāraṃ YS182v_3.50c	upozya dvija-saMskAram YS182u-_3.50c
   upoṣya rajanīm ekāṃ YS182v_3.44c	upozya rajanIm ekAm YS182u-_3.44c
   upoṣya rajanīm ekāṃ YS182v_3.48a	upozya rajanIm ekAm YS182u-_3.48a
   ubhayāvasitāḥ pāpā YS182v_1.5a	uBaya-avasitAH pApAH YS182u-_1.5a
   ūnaikādaśavarṣasya YS182v_3.1a	Una-ekAdaSa-varzasya YS182u-_3.1a
   ṛṣiḥ śātātapo 'bravīt YS182v_5.20d	RziH SAtAtapaH abravIt YS182u-_5.20d
   ekabhaktaṃ tathā naktam YS182v_4.25c	eka-Baktam taTA naktam YS182u-_4.25c
   ekarātropavāsaś ca YS182v_1.13c	eka-rAtra-upavAsaH ca YS182u-_1.13c
   ekaikaṃ vardhayed grāsaṃ YS182v_2.6a	ekEkam varDayet grAsam YS182u-_2.6a
   etat te kathitaṃ sarvaṃ YS182v_4.11a	etat te kaTitam sarvam YS182u-_4.11a
   etad dinacatuṣkeṇa YS182v_4.26a	etat dina-catuzkeNa YS182u-_4.26a
   etā gatvā striyo mohāt YS182v_3.5c	etAH gatvA striyaH mohAt YS182u-_3.5c
   ete brāhmaṇakutsāḥ syus YS182v_5.3c	ete brAhmaNa-kutsAH syuH YS182u-_5.3c
   ete varjyāḥ prayatnena YS182v_3.38a	ete varjyAH prayatnena YS182u-_3.38a
   ete śūdrās tu bhojyānnā YS182v_3.10c	ete SUdrAH tu Bojya-annAH YS182u-_3.10c
   ete śrāddhe ca dāne ca YS182v_3.37a	ete SrAdDe ca dAne ca YS182u-_3.37a
   eteṣām udakaṃ pītvā YS182v_3.63c	etezAm udakam pItvA YS182u-_3.63c
   eteṣāṃ sparśanāt pāpaṃ YS182v_3.53a	etezAm sparSanAt pApam YS182u-_3.53a
   eteṣu dvādaśābdaṃ ca YS182v_4.23c	etezu dvAdaSa-abdam ca YS182u-_4.23c
   edhyena liptaṃ tu bhavet kadācit YS182v_3.61b	eDyena liptam tu Bavet kadAcid YS182u-_3.61b
   evam ukto hi bhagavān YS182v_4.19c	evam uktaH hi BagavAn YS182u-_4.19c
   evam eva yamo 'bravīt YS182v_3.38b	evam eva yamaH abravIt YS182u-_3.38b
   eṣa e[vame]va tu nārīṇāṃ YS182v_4.17c	ezaH e[vam-e]va tu nArINAm YS182u-_4.17c
   eṣa cāndrāyaṇo vidhiḥ YS182v_2.6d	eza cAndrAyaNaH viDiH YS182u-_2.6d
   aurasena samā jñeyā YS182v_5.20a	Orasena samAH jQeyAH YS182u-_5.20a
   kathayasva yathā tatham YS182v_4.19b	kaTayasva yaTA taTam YS182u-_4.19b
   kathaṃ śuddhir bhavet tāsāṃ YS182v_4.35c	kaTam SudDiH Bavet tAsAm YS182u-_4.35c
   kanyādānaṃ ca tat kāryaṃ YS182v_5.11a	kanyA-dAnam ca tat kAryam YS182u-_5.11a
   kanyā pradānasamaye YS182v_5.10c	kanyA pradAna-samaye YS182u-_5.10c
   kanyā sā vṛṣalī smṛtā YS182v_3.18d	kanyA sA vRzalI smRtAH YS182u-_3.18d
   kanyāṃ yo na prayacchati YS182v_3.20b	kanyAm yaH na prayacCati YS182u-_3.20b
   kapilāyā vadhe tathā YS182v_4.8b	kapilAyAH vaDe taTA YS182u-_4.8b
   kapilā vā tathetarā YS182v_4.7d	kapilA vA taTA-itarAH YS182u-_4.7d
   kartā yadi vipadyate YS182v_2.7b	kartA yadi vipadyate YS182u-_2.7b
   kartāraḥ sāṃparāyaṇāḥ YS182v_5.16d	kartAraH sAMparAyaNAH YS182u-_5.16d
   kaṣṭena vartamāno 'pi YS182v_4.15a	kazwena vartamAnaH api YS182u-_4.15a
   kāko vā spṛśate yadi YS182v_3.48d	kAkaH vA spRSate yadi YS182u-_3.48d
   kāpālikānnabhoktṝṇāṃ YS182v_2.2a	kApAlika-anna-BoktLNAm YS182u-_2.2a
   kāmād akāmato vā 'pi YS182v_3.65c	kAmAt akAmatas vA api YS182u-_3.65c
   kāyikaṃ pātakaṃ smṛtam YS182v_4.49b	kAyikam pAtakam smRtam YS182u-_4.49b
   kāryaṃ tu ābdikaṃ caiva YS182v_4.32a	kAryam tu Abdikam ca-eva YS182u-_4.32a
   kāryaṃ paitṛkam eva tat YS182v_5.8d	kAryam pEtRkam eva tat YS182u-_5.8d
   kārye caivam upasthite YS182v_3.56d	kArye ca-evam upasTite YS182u-_3.56d
   kārye caiva viśeṣeṇa YS182v_5.5a	kArye ca-eva viSezeNa YS182u-_5.5a
   kālenaiva śucir bhavet YS182v_4.15b	kAlena-eva SuciH Bavet YS182u-_4.15b
