   oṃ	om
   śrīmatprabhākaragurutantradhurandhareṇa	SrImat-praBA-kara-guru-tantra-DuranDareNa
   mahāmahopādhyāya-śālikanāthamiśreṇa praṇītā prakaraṇapañcikā	mahA-mahA-upADyAya--SAlika-nATa-miSreNa praNItA prakaraNa-paQcikA
   nyāyasiddhyākhyayā vyākhyayā viṣamasthalaṭipparāyā	nyAya-sidDi-AKyayA vyAKyayA vizama-sTalawipparAyA
   ca samalaṅkṛtā	ca samalaFkRtA
   tattvāloko nāmāṣṭamaṃ prakaraṇam /	tattvAlokaH nAma-azwamam prakaraNam /
   prakaraṇārthapratijñā /	prakaraNa-arTa-pratijQA /
   746ātmatattve 747bahuvidhā vivādassanti vādinām /	746Atma-tattve 747bahuviDAH vivAdaH-santi vAdinAm /
   vayaṃ prābhākarāstattvanirṇayāya748 yatāmahe // 1 //	vayam prABAkarAH-tattva-nirNayAya748 yatAmahe // 1 //
   iti /	iti /
   749kecidbuddhimevā'tmānamicchanti, 750anye tu 751punarindriyāṇyeva,	749kecid-budDim-evA-atmAnam-icCanti, 750anye tu 751punar-indriyANi-eva,
   752dehamevāpare /	752deham-eva-apare /
   753tathaike buddhīndriyaśarīravyatirekiṇamanumeyamāhuḥ, 754kecittu	753taTA-eke budDIndriya-SarIra-vyatirekiNam-anumeyam-AhuH, 754kecid-tu
   mānasapratyakṣagamyam, 755svayamprakāśañca /	mAnasa-pratyakza-gamyam, 755-svayamprakASaQca /
   kecit, 756sakalapratītisiddhaṃ tvanye manyante /	kecit, 756sakala-pratIti-sidDam tu-anye manyante /
   757kṣaṇikañca kecidāhuḥ, kūṭasthanityamityapare /	757kzaNi-kaQca kecid-AhuH, kUwasTa-nityam-iti-apare /
   758aṇuparimāṇaḥ, 759śarīraparimāṇaḥ, sarvagata ityādivādino vivadante /	758aNu-parimANaH, 759SarIra-parimANaH, sarva-gataH iti-Adi-vAdinaH vivadante /
   tathā 761sarvakṣetreṣvekameke762, 763pratikṣetrañca nānābhūtamityapare /	taTA 761-sarva-kzetrezu-ekam-eke762, 763pratikzetraQca nAnA-BUtam-iti-apare /
   tatra tattvanirṇayārthamidamārabhyate /	tatra tattva-nirNaya-arTam-idam-AraByate /
   siddhāntaḥ /	sidDAntaH /
   764buddhīndriyaśarīrebhyo bhinna ātmā vibhurdhruvaḥ /	764budDIndriya-SarIreByaH BinnaH AtmA viBuH-DruvaH /
   nānābhūtaḥ pratikṣetramarthavittiṣu bhāsate // 2 //	nAnA-BUtaH pratikzetram-arTa-vittizu BAsate // 2 //
   iti /	iti /
   vijñānavādimatena śaṅkā /	vijQAna-vAdi-matena SaFkA /
   765nanu na buddherbodhduśca bhedamupalabhāmahe /	765nanu na budDeH-boDduH-ca Bedam-upalaBAmahe /
   katham /	kaTam /
   yato"ghaṭamahaṃ budhye" iti buddherboddhāro766 bhinnamātmānaṃ	yato"-Gawam-aham buDye" iti budDeH-bodDAraH-766 Binnam-AtmAnam
   pratipadyante /	pratipadyante /
   satyama, 767dvicandrādibodhavat, bimbapratibimbajñānavaccāyaṃ bhrama iti	satyam-a, 767dvi-candra-Adi-boDavat, bimba-pratibimba-jQAna-vat-ca-ayam BramaH iti
   prāmāṇikāḥ /	prAmANikAH /
   sahopalambhaniyamena ca buddherbodhduśca bhedo nirākriyate,	saha-upalamBa-niyamena ca budDeH-boDduH-ca BedaH nirAkriyate,
   bhedasyāniyamavyāptatvāt /	Bedasya-aniyama-vyApta-tvAt /
   768vyāpakaviruddhopalambhena bādhyamānatvāt /	768vyApaka-virudDa-upalamBena bADyamAna-tvAt /
   tadāhuḥ---" /	tat-AhuH---" /
   avibhāgo hi buddhyātmaviparyāsitadarśanaiḥ /	aviBAgaH hi budDi-Atma-viparyAsita-darSanEH /
   grāhyagrāhakasaṃvittibhedavāniva lakṣyate //	grAhya-grAhaka-saMvitti-BedavAn-iva lakzyate //
   pra. vā. pari. 2. ślo. 354 iti /	pra. vA. pari. 2. Slo. 354 iti /
   769tathā ye 'pi buddheranyaṃ boddhāramicchanti, te 'pi satyāmeva buddhau	769taTA ye api budDeH-anyam bodDAram-icCanti, te api satyAm-eva budDO
   tasya 770viṣaye boddhṛtāmāhuḥ /	tasya 770-vizaye bodDR-tAm-AhuH /
   evañca saiva paraṃ boddhrī bhavatu, kṛtamanyena boddhrā /	evaQca sA-eva param bodDrI Bavatu, kRtam-anyena bodDrA /
   boddhā cā'tmā bhavatīti, buddhirevā'tmā /	bodDA cA-atmA Bavati-iti, budDiH-evA-atmA /
   sā ca svayamprakāśā kāryakāraṇabhāvenānādisantānavāhinī	sA ca svayamprakASA kArya-kAraNa-BAvena-anAdi-santAna-vAhinI
   svāpa-mada-mūrcchādiṣvabhibhūtatayā punaḥ punaranusandhānapathaṃ	svApa-mada--mUrcCA-Adizu-aBiBUta-tayA punar punar-anusanDAna-paTam
   771nā'yāti /	771nA-ayAti /
   vahati tvasau tāsvapi daśāsu, anyathā jāgradidādiṣu	vahati tu-asO tAsu-api daSa-asu, anyaTA jAgrat-idAdizu
   buddhyudayāsambhavāpatteḥ /	budDi-udayA-samBava-ApatteH /
   sa cāyamanādibuddhisantāno	sa ca-ayam-anAdi-budDi-santAnaH-
   'nādivāsanā772nibandhanassaṃskāryadarśanādhyavasitabhedassamudayavaśavartī	anAdi-vAsanA772nibanDana-ssaMskArya-darSana-aDya-vasita-Bedassamudaya-vaSa-vartI
   saṃsarati /	saMsarati /
   773mārgarūpasākṣātkāronmūlitasakalasattvadṛṣṭivāsanānubaddhastūcchinnassamudayaḥ	773-mArga-rUpa-sAkzAtkAra-unmUlita-sakala-sattva-dRzwi-vAsana-anubadDaH-tu-ucCinnassamudayaH
