   Suvarṇavarṇāvadāna	SuvarNa-varNa-avadAna
   Sva Roy 1,1	Svas Roy 1,1
   om namo buddhāya ||	om namaH budDAya ||
   Sva Roy 1,1 - 5	Svas RoI 1,1  5
   [1] evam anuśrūyate sthavira mahākāśyape parinirvṛte sthavirānando mahātmā	[1] evam anuSrUyate sTavira mahAkASyape parinirvRte sTavirAnandaH mahAtmA
   śāradvatīputrasamanuprajñayā samanvāgatas tathāgata iva kāruṇyāt teṣu teṣu	SAradvatI-putra-samanuprajQayA samanvAgataH taTAgataH iva kAruNyAt tezu tezu
   grāmanagaranigamapallīpattanādiṣu tāṃs tān vaineyāṃs tais tair	grAma-nagara-nigama-pallI-pattana-Adizu tAn tAn vEneyAn tEH tEH-
   upāyaviśeṣair vinayati sma | yāvad apareṇa samayena vineyavaśād anekāni	upAya-viSezEH vinayati sma | yAvat apareNa samayena vineya-vaSAt anekAni
   sattvakoṭiniyutaśatasahastrāṇi saddharmmadeśanāmṛtavarṣābhiṣekeṇa	sattva-kowi-niyuta-Sata-sahastrANi sat-Darmma-deSana-amRta-varza-aBizekeNa
   santarpayan vaiśālyām viharaty āmrapālīvane |	santarpayan vESAlyAm viharati Amra-pAlI-vane |
   Sva Roy 1,5 - 3,2	Svas Roy 1,5  3,2
   [2] tena khalu punaḥ samayena rājagṛhe nagare divākaro nāma sārthavāhaḥ	[2] tena Kalu punar samayena rAja-gRhe nagare divAkaraH nAma sArTavAhaH
   prativasaty āḍhyo mahādhano mahābhogo vistīrṇaviśālaparigraho	prativasati AXyaH mahADanaH mahA-BogaH vistIrNa-viSAla-parigrahaH-
   vaiśravaṇadhanasamudito vaiśravaṇadhanapratisparddhī | tena sadṛśāt kulāt	vESravaNa-Dana-samuditaH vESravaNa-Dana-pratispardDI | tena sadRSAt kulAt-
   kalatram ānītam | sa tayā sārddha krīḍati ramate paricārayati sma | tasya	kalatram AnItam | sa tayA sArdDa krIxati ramate paricArayati sma | tasya
   krīḍato ramamāṇasya paricārayato na putro na duhitā | so 'putraḥ	krIxataH ramamANasya paricArayataH na putraH na duhitA | saH aputraH
   putrahetor utkaṇṭhitaḥ paritapyate | deveṣu trayastriṃśeṣv anyatamasya	putra-hetoH utkaNWitaH paritapyate | devezu trayastriMSezu anyatamasya
   puṇyamaheśākhyasya devaputrasya pañcapūrvanimittāni prādurbhūtāni | sa	puNya-maheSa-AKyasya deva-putrasya paQca-pUrva-nimittAni prAdurBUtAni | sa
   buddhotpādavibhūṣitaṃ lokam avalokya nirvāṇābhilāṣīcchati manuṣyeṣu	budDa-utpAda-viBUzitam lokam avalokya nirvANa-aBilAzi-icCati manuzyezu
   pratisaṃdhiṃ grahītum |	pratisaMDim grahItum |
   Sva Roy 3,2 - 4,5	Svas Roy 3,2  4,5
   [3] adrākṣīc chakro devendras taṃ devaputraṃ cyavanadharmmāṇaṃ	[3] adrAkzIt SakraH deva-indraH tam deva-putram cyavana-DarmmANam
   buddhotpādavibhūṣitaṃ lokam avalokya nirvāṇābhilāṣī icchati manuṣyeṣu	budDa-utpAda-viBUzitam lokam avalokya nirvANa-aBilAzI icCati manuzyezu
   pratisaṃdhiṃ grahītum iti dṛṣṭvā ca punas taṃ devaputram upasaṃkramyovāca	pratisaMDim grahItum iti dRzwvA ca punar tam deva-putram upasaMkramya-uvAca
   | sa cet tvaṃ mārṣa icchasi manuṣyeṣu pratisaṃdhiṃ grahītum | rājagṛhe	| sa ced tvam mArzaH icCasi manuzyezu pratisaMDim grahItum | rAjagRhe
   nagare divākarasya sārthavāhasya patnyāḥ kukṣau pratisaṃdhiṃ gṛhāṇeti | sa	nagare divAkarasya sArTavAhasya patnyAH kukzO pratisaMDim gRhANa-iti | sa
   kathayati kauśikaṃ aśrāddho 'sau sārthavāhas tasya buddhe prasādo nāstīti	kaTayati kOSikam aSrAdDaH asO sArTavAhaH tasya budDe prasAdaH na-asti-iti
   | śakraḥ kathayati | mārṣa gṛhāṇa tvaṃ ahan tathā kariṣyāmi yathāsau	| SakraH kaTayati | mArza gRhANa tvam ahan taTA karizyAmi yaTA-asO
   sārthavāho buddhaśāsane 'bhiprasīdatīti | devaputraḥ kathayati | kauśika	sArTavAhaH budDa-SAsane aBiprasIdati-iti | deva-putraH kaTayati | kOSika
   sa ced asau sārthavāhaḥ sapatnīko yāvajjīvaṃ ratnatrayaṃ śaraṇaṅ gacched	sa ced asO sArTavAhaH sa-patnIkaH yAvajjIvam ratna-trayam SaraNaF gacCet-
   evam ahaṃ tasya sārthavāhasya patnyāḥ kukṣau pratisandhiṃ grahīṣyāmīti |	evam aham tasya sArTavAhasya patnyAH kukzO pratisanDim grahIzyAmi-iti |
   Sva Roy 5,1 - 7,3	Svas Roy 5,1  7,3
   [4] tataḥ śakro devendro devebhyas trayastriṃśebhya antarīkṣe rājagṛhe	[4] tatas SakraH deva-indraH deveByaH trayastriMSeBya antarIkze rAjagRhe
   nagare divākarasya sārthavāhasya gṛhe uparime talake pratyasthāt |	nagare divAkarasya sArTavAhasya gRhe uparime talake pratyasTAt |
   śakrasya devendrasya varṇānubhāvena sarvatra gṛhaṃ	Sakrasya deva-indrasya varNa-anuBAvena sarvatra gRham
   divyenāvabhāsenāvabhāsitam adrākṣīd divākaraḥ sārthavāhas tu divyam	divyena-avaBAsena-avaBAsitam adrAkzIt divAkaraH sArTavAhaH tu divyam
   avabhāsaṃ dṛṣṭvā ca punar vismayotphullalocanaś caturdiśam avalokayitum	avaBAsam dRzwvA ca punar vismaya-utPulla-locanaH caturdiSam avalokayitum
   ārabdhaḥ yāvat paśyati śakraṃ devendraṃ dṛṣṭvā ca punaḥ sahasaiva tasya	ArabDaH yAvat paSyati Sakram deva-indram dRzwvA ca punar sahasA-eva tasya
   padayor praṇipatyovāca devendra lābhā me sulabdhā me tvaṃ gṛham āyātaḥ	padayoH praNipatya-uvAca deva-indra lABA me su-labDA me tvam gRham AyAtaH
   pavitrīkṛtañ cedaṃ gṛhaṃ yuṣmad āgamanena | tadājñāpyatāṃ kim	pavitrIkRtan ca-idam gRham yuzmat Agamanena | tad-AjQApyatAm kim
   āgamanaprayojanam iti | śakro devendraḥ kathayati | sārthavāha tvam	Agamana-prayojanam iti | SakraH deva-indraH kaTayati | sArTavAha tvam
