   //āśramavāsikaṃ parva//	//ASrama-vAsikam parva//
   nārāyaṇaṃ namaskṛtya naraṃ caiva narottamam /	nArAyaNam namaskRtya naram ca-eva narottamam /
   devīṃ sarasvatīṃ vyāsaṃ tato jayamudīrayet // Bhmj_15.1 //	devIm sarasvatIm vyAsam tatas jayam-udIrayet // Bhmd-_15.1 //
   ekacchatrāṃ mahīṃ rājñi praśāsati yudhiṣṭhire /	eka=-CatrAm mahIm rAjQi praSAsati yuDizWire /
   nāśrūyatārtijaḥ śabdo na cādṛśyata yācakaḥ // Bhmj_15.2 //	na-aSrUyata-Arti-jaH SabdaH na ca-adRSyata yAcakaH // Bhmd-_15.2 //
   yaśasā dharmavīrasya tasya vyāpte jagattraye /	yaSasA Darma-vIrasya tasya vyApte jagattraye /
   rāghavādikathābandheṣvabhūnmandācaro janaḥ // Bhmj_15.3 //	rAGava-Adi-kaTA-banDezu-aBUt-mandAcaraH janaH // Bhmd-_15.3 //
   dhṛtarāṣṭraḥ saviduro gāndhārī ca pativratā /	DRtarAzwraH sa-viduraH gAnDArI ca pativratA /
   satataṃ daivataṃ tasya babhūvuḥ pratimāṃ vinā // Bhmj_15.4 //	satatam dEvatam tasya baBUvuH pratimAm vinA // Bhmd-_15.4 //
   rāja(jñaḥ) ṣaḍrasavaicitryaveśavāravidhāyinaḥ /	rAja(-jQaH) zaz-rasa-vEcitrya-veSa-vAra-viDAyinaH /
   bhojane dhṛtarāṣṭrasya sa sūdānsvayamaikṣata // Bhmj_15.5 //	Bojane DRtarAzwrasya sa sUdAn-svayam-Ekzata // Bhmd-_15.5 //
   tacchāsanānnāpriyāṇi kuruvṛddhasya pāṇḍavāḥ /	tad-SAsanAt-na-apriyANi kuruvRdDasya pANxavAH /
   aślīlaṃ dadataḥ sarve prativādaṃ pracakrire // Bhmj_15.6 //	aSlIlam dadataH sarve prativAdam pracakrire // Bhmd-_15.6 //
   rājārhaṃ bhojanaṃ bhuṅkte sarvamevāmbikāsutaḥ /	rAja-arham Bojanam BuFkte sarvam-eva-ambikAsutaH /
   iti viśrāvya gūḍhaṃ tu so 'bhavatphalabhojanaḥ // Bhmj_15.7 //	iti viSrAvya gUXam tu saH aBavat-Pala-BojanaH // Bhmd-_15.7 //
   aho vratavatastasya jāpinaḥ kṣitiśāyinaḥ /	aho vratavataH-tasya jApinaH kziti-SAyinaH /
   jāyāsakhasya vairāgyaṃ bubudhe na yudhiṣṭhiraḥ // Bhmj_15.8 //	jAyA-saKasya vErAgyam bubuDe na yuDizWiraH // Bhmd-_15.8 //
   evaṃ nivasatāṃ teṣāṃ mithaḥ praṇayaśālinām /	evam nivasatAm tezAm miTas praNaya-SAlinAm /
   kāle pravāhini yayuḥ samaḥ pañcādhikā daśa // Bhmj_15.9 //	kAle pravAhini yayuH samaH paQca-aDikAH daSa // Bhmd-_15.9 //
   kadācidatha saṃsmṛtya bhīmaḥ kauravadurnayān /	kadAcid-aTa saMsmRtya BImaH kOrava-durnayAn /
