   // śalyaparva //	// Salyaparva //
   nārāyaṇaṃ namaskṛtya naraṃ caiva narottamam /	nArAyaNam namaskRtya naram ca-eva narottamam /
   devīṃ sarasvatīṃ vyāsaṃ tato jayamudīrayet // Bhmj_9.1 //	devIm sarasvatIm vyAsam tatas jayam-udIrayet // Bhmd-_9.1 //
   evaṃ jambha ivendreṇa hate karṇe kirīṭinā /	evam jamBaH iva-indreNa hate karNe kirIwinA /
   yuddhaṃ nyavedayadrājñe punarabhyetya saṃjayaḥ // Bhmj_9.2 //	yudDam nyavedayat-rAjQe punar-aByetya saMjayaH // Bhmd-_9.2 //
   śekhare sarvavīrāṇāmarthināṃ kalpapādape /	SeKare sarva-vIrANAm-arTinAm kalpa-pAdape /
   hate vaikartane rājansarvāśārajanīkṛti // Bhmj_9.3 //	hate vEkartane rAjan-sarva-ASA-rajanI-kRti // Bhmd-_9.3 //
   tadātmanā gate kvāpi nijajīva ivākulaḥ /	tad-AtmanA gate kvApi nija-jIvaH iva-AkulaH /
   duryodhano nirucchvāso mene śūnyā diśo daśa // Bhmj_9.4 //	duryoDanaH nirucCvAsaH mene SUnyAH diSaH daSa // Bhmd-_9.4 //
   cacāra rathināṃ madhye pāṇḍavānyoddhumudyataḥ /	cacAra raTinAm maDye pANxavAn-yodDum-udyataH /
   pareṇaiva śarīreṇa paralokagato naraḥ // Bhmj_9.5 //	pareNa-eva SarIreNa para-loka-gataH naraH // Bhmd-_9.5 //
   tato drauṇigirā kṛtvā śalyaṃ senāpatiṃ nṛpaḥ /	tatas drONi-girA kRtvA Salyam senApatim nRpaH /
   raṇaṃ vitara(?)rājyārthe viveśa tridaśālayam // Bhmj_9.6 //	raNam vitara-(?)rAjya-arTe viveSa tridaSAlayam // Bhmd-_9.6 //
   rathānāmayutaṃ sāgraṃ tāvadeva ca dantinām /	raTAnAm-ayutam sAgram tAvat-eva ca dantinAm /
   lakṣyadvayaṃ dvayānāṃ ca tisraḥ koṭyaḥ padātinām // Bhmj_9.7 //	lakzya-dvayam dvayAnAm ca tisraH kowyaH padAtinAm // Bhmd-_9.7 //
   sainyaśeṣamabhūdetatkururājasya saṃgare /	sEnya-Sezam-aBUt-etat-kuru-rAjasya saMgare /
   ator'dhaṃ pāṇḍavānāṃ ca hataśeṣamabhūdbalam // Bhmj_9.8 //	atoraDam pANxavAnAm ca hata-Sezam-aBUt-balam // Bhmd-_9.8 //
   asminnāyodhane ghore rājñāṃ saṃhāramaṇḍale /	asmin=-AyoDane Gore rAjQAm saMhAra-maNxale /
   mastiṣkakardamaluṭhatpattisyandanakuñjare // Bhmj_9.9 //	mastizka-kardama-luWat-patti-syandana-kuQjare // Bhmd-_9.9 //
   ākīrṇavaktrakamale raṅgodbhaṅgarathāṅgake /	AkIrNa-vaktra-kamale raFga-udBaFga-raTa-aFgake /
   visrastārājaṃsaughe khaṅgakhaṇḍotpalākule // Bhmj_9.10 //	visrasta-ArAjaMsa-oGe KaFga-KaNxa-utpala-Akule // Bhmd-_9.10 //
   keśaśevālajambālaśeṣakīlālapicchile /	keSa-SevAla-jambAla-Seza-kIlAla-picCile /
   akālakālakariṇā sarasīva viloḍite // Bhmj_9.11 //	akAla-kAla-kariNA sarasi-iva viloxite // Bhmd-_9.11 //
   srastavarāśvakarṇāṅke bhagnabāṇāsanāvṛte /	srasta-vara-aSvakarNa-aFke Bagna-bANAsana-AvRte /
   kadalīśakalālole vane vajrairivāhate // Bhmj_9.12 //	kadalI-Sakala-Alole vane vajrEH-iva-Ahate // Bhmd-_9.12 //
   utpalāvayavāpūrṇavyaktaśaktyāsavodite /	utpala-avayava-ApUrNa-vyakta-Sakti-Asava-udite /
   udyāna iva kālasya kapālacaṣakākule // Bhmj_9.13 //	udyAnaH iva kAlasya kapAla-cazaka-Akule // Bhmd-_9.13 //
   punaḥ pravṛtte samare śalyahārdikyasauvalāḥ /	punar pravRtte samare Salya-hArdikya-sOvalAH /
   viviśuḥ pāṇḍavacamūṃ kṛpadrauṇisuyodhanāḥ // Bhmj_9.14 //	viviSuH pANxava-camUm kRpa-drONi-suyoDanAH // Bhmd-_9.14 //
   pārthapārṣataśaineyadraupadeyaśikhaṇḍinaḥ /	pArTa-pArzata-SEneya-drOpadeya-SiKaNxinaH /
   jaghnustrigartagāndhārakapināthavarūthinīḥ // Bhmj_9.15 //	jaGnuH-trigarta-gAnDAra-kapi-nATa-varUTinIH // Bhmd-_9.15 //
   amaryāde raṇe tasminkṣībā iva mahārathāḥ /	amaryAde raNe tasmin-kzIbAH iva mahA-raTAH /
   kruddhā yuyudhire ghoraṃ hatabandhusuhṛdgaṇāḥ // Bhmj_9.16 //	krudDAH yuyuDire Goram hata-banDu-suhRd-gaNAH // Bhmd-_9.16 //
   satyasenaṃ suṣeṇaṃ ca citrasenaṃ ca karṇajam /	satyasenam suzeNam ca citrasenam ca karNa-jam /
   jaghāna nakulo vīrānkarṇatulyaparākramān // Bhmj_9.17 //	jaGAna nakulaH vIrAn-karNa-tulya-parAkramAn // Bhmd-_9.17 //
   tataḥ śalyena balinā gajeneva sarojinī /	tatas Salyena balinA gajena-iva sarojinI /
   mṛdyamānā sanirghoṣā cakampe pāṇḍuvāhinī // Bhmj_9.18 //	mRdyamAnA sa-nirGozA cakampe pANxu-vAhinI // Bhmd-_9.18 //
   śalyena ripuśalyenā vadhyamānāṃ varūthinīm /	Salyena ripu-SalyenA vaDyamAnAm varUTinIm /
   dṛṣṭvā bhīmo gadāpāṇirbhīmakopastamādravat // Bhmj_9.19 //	dRzwvA BImaH gadA-pANiH-BIma-kopaH-tam-Adravat // Bhmd-_9.19 //
   sa hatvā gadayā tasya rathaṃ rathaśatacchidaḥ /	sa hatvA gadayA tasya raTam raTa-Sata=-CidaH /
   mumūrṣordaṇḍamudyamya tasthau kāla ivāgrataḥ // Bhmj_9.20 //	mumUrzoH-daNxam-udyamya tasTO kAlaH iva-agratas // Bhmd-_9.20 //
   ādāya madrarājo 'pi gadāṃ cāmīkarāṅgadām /	AdAya madra-rAjaH api gadAm cAmIkara-aFgadAm /
   bhīmaṃ bhīmabalaḥ kopāddarpoddhatamayodhayat // Bhmj_9.21 //	BImam BIma-balaH kopAt-darpa-udDatam-ayoDayat // Bhmd-_9.21 //
   maṇḍalāni carantau tāvabhipatya parasparam /	maNxalAni carantO tO=-aBipatya parasparam /
   ghātajātasphuliṅgābhyāṃ gadābhyāmabhijaghnatuḥ // Bhmj_9.22 //	GAta-jAta-sPuliFgAByAm gadAByAm-aBijaGnatuH // Bhmd-_9.22 //
   tayormūrcchitayoḥ kṣipraṃ mohātpatitayorbhuvi /	tayoH-mUrcCitayoH kzipram mohAt-patitayoH-Buvi /
   sānugāstūrṇamājagmuḥ saṃrabdhāḥ kurupāṇḍavāḥ // Bhmj_9.23 //	sa-anugAH-tUrNam-AjagmuH saMrabDAH kuru-pANxavAH // Bhmd-_9.23 //
   saṃjñāmavāpya sahasā yathāvatsthitayostayoḥ /	saMjQAm-avApya sahasA yaTAvat-sTitayoH-tayoH /
   duryodhanamukhā vīrāḥ pārthamukhyānayodhayan // Bhmj_9.24 //	duryoDana-muKAH vIrAH pArTa-muKyAn-ayoDayan // Bhmd-_9.24 //
   brahmalokābhikāmeṣu yudhyamāneṣu rājasu /	brahma-loka-aBikAmezu yuDyamAnezu rAjasu /
   suyodhanaścekitānamavadhīdbhūbhujāṃ varam // Bhmj_9.25 //	suyoDanaH-cekitAnam-avaDIt-BUBujAm varam // Bhmd-_9.25 //
   madrarājastataḥ kruddhaḥ pāṇḍūputrānsahānugān /	madra-rAjaH-tatas krudDaH pANxu-uputrAn-saha-anugAn /
   avārayadbalādekaḥ pūjyamāno nabhaścaraiḥ // Bhmj_9.26 //	avArayat-balAt-ekaH pUjyamAnaH naBaScarEH // Bhmd-_9.26 //
   śastravṛṣṭiṃ tadutsṛṣṭāṃ chittvā bāṇairasaṃbhramaḥ /	Sastra-vRzwim tad-utsRzwAm CittvA bANEH-asaMBramaH /
   muhurtādvidadhe śalyastānadṛśyānpatatribhiḥ // Bhmj_9.27 //	muhur-tAdvidaDe SalyaH-tAn-adRSyAn-patatriBiH // Bhmd-_9.27 //
   chādite śarajālena sainye madramahībhujā /	CAdite Sara-jAlena sEnye madra-mahIBujA /
   kruddho 'vadhītsahasre dve rathānāṃ dharmanandanaḥ // Bhmj_9.28 //	krudDaH avaDIt-sahasre dve raTAnAm DarmanandanaH // Bhmd-_9.28 //
   dṛṣṭvānugānhatānrājñā śalyo yudhi yudhiṣṭhiram /	dRzwvA-anugAn-hatAn-rAjQA SalyaH yuDi yuDizWiram /
   śilīmukhaśataiḥ pūrṇamathāśokamivākarot // Bhmj_9.29 //	SilImuKa-SatEH pUrNam-aTa-aSokam-iva-akarot // Bhmd-_9.29 //
   pīḍite dharmatanaye nakulaḥ kopakampitaḥ /	pIxite Darma-tanaye nakulaH kopa-kampitaH /
   bhīmasātyakimukhyāśca śaraiḥ śalyamavākiran // Bhmj_9.30 //	BIma-sAtyaki-muKyAH-ca SarEH Salyam-avAkiran // Bhmd-_9.30 //
   tataḥ śarāndhakāreṇa sthagayanbhuvanodaram /	tatas Sara-anDakAreNa sTagayan-Buvana-udaram /
   unmamāthaḥ ghanadhvānaḥ śalyaḥ pārthavarūthinīm // Bhmj_9.31 //	unmamATaH Gana-DvAnaH SalyaH pArTa-varUTinIm // Bhmd-_9.31 //
   ākulaḥ samare tasmiñjiṣṇurdraiṇimayodhayat /	AkulaH samare tasmin-jizNuH-drENim-ayoDayat /
   duryodhanaṃ bhīmaseno nakulaḥ subalātmajam // Bhmj_9.32 //	duryoDanam BImasenaH nakulaH subala-Atmajam // Bhmd-_9.32 //
   kṣapitāśeṣanṛpateḥ śalyasyātha yudhiṣṭhiraḥ /	kzapita-aSeza-nRpateH Salyasya-aTa yuDizWiraH /
   chittvāyudhāni sarvāṇi tilaśo vidadhe ratham // Bhmj_9.33 //	CittvA-AyuDAni sarvANi tilaSas vidaDe raTam // Bhmd-_9.33 //
   aparaṃ rathamāsthāya madrarājaḥ krudhā jvalan /	aparam raTam-AsTAya madra-rAjaH kruDA jvalan /
   cakāra dharmatanayaṃ kṛttacāparathadhvajam // Bhmj_9.34 //	cakAra Darma-tanayam kRtta-cApa-raTa-Dvajam // Bhmd-_9.34 //
   bhīmaseno 'tha virathaṃ dṛṣṭvā rājānamākulaḥ /	BImasenaH aTa viraTam dRzwvA rAjAnam-AkulaH /
   cakarta madrarājasya rathaṃ sarvāyudhaiḥ saha // Bhmj_9.35 //	cakarta madra-rAjasya raTam sarva-AyuDEH saha // Bhmd-_9.35 //
   khaḍgahastastataḥ śalyo nighnansyandanakuñjarān /	Kaxga-hastaH-tatas SalyaH niGnan-syandana-kuQjarAn /
   cacārālakṣitatanurmargairgaruḍavikramaḥ // Bhmj_9.36 //	cacAra-alakzita-tanuH-margEH-garuxa-vikramaH // Bhmd-_9.36 //
   atha jvālāyamānena śoṇapaṭṭena guṇṭhitām /	aTa jvAlAyamAnena SoNa-pawwena guNWitAm /
   bhrājiṣṇuratnakhacitāṃ mṛtyordantāvalīmiva // Bhmj_9.37 //	BrAjizNu-ratna-KacitAm mRtyoH-danta-AvalIm-iva // Bhmd-_9.37 //
   etadantaṃ kurubalaṃ yuddhamevaṃvidhaṃ kutaḥ /	etad-antam kuru-balam yudDam-evaMviDam kutas /
   itīva ghaṇṭāpaṭalaiḥ krośantīmaśanisvanām // Bhmj_9.38 //	iti-iva GaNwA-pawalEH kroSantIm-aSani-svanAm // Bhmd-_9.38 //
   yudhiṣṭhiraḥ sahasraghniṃ dīptāṃ ṣaṇmukhavikramaḥ /	yuDizWiraH sahasraGnim dIptAm zaNmuKa-vikramaH /
   prāhiṇonmadrarājāya śaktiṃ śaktimatāṃ varaḥ // Bhmj_9.39 //	prAhiNot-madra-rAjAya Saktim SaktimatAm varaH // Bhmd-_9.39 //
