   śrī-śrī-gopāla-campūḥ	SrI--SrI--gopAla--campUH
   uttara-campūḥ	uttara--campUH
   atha prathamaṃ pūraṇam	aTa praTamam pUraNam
   śrī-śrī-rādhā-kṛṣṇābhyāṃ namaḥ	SrI--SrI--rADA--kRzNAByAm namaH
   maṅgalācaraṇam	maFgala-AcaraNam
   śrī-kṛṣṇa kṛṣṇa-caitanya sa-sanātana-rūpaka |	SrI--kRzNa kRzNa--cEtanya sa-sanAtana--rUpakaH |
   gopāla raghunāthāpta-vraja-vallabha pāhi mām ||GC_2,1.1||	gopAla raGunA-aTa-Apta-vraja-vallaBa pAhi mAm ||GS_2,1.1||
   sampūrṇāsīd āśu gopāla-campūr	sampUrNA-AsIt ASu gopAla--campUr
   eṣāṃ yasmād āśrayād eva pūrvā |	ezAm yasmAt ASrayAt eva pUrvA |
   eṣa tasmād uttarāpy uttarā syād	eza tasmAt uttarA-api uttarA syAt-
   evaṃ devaṃ taṃ kamanyaṃ bhajema ||GC_2,1.2|| [svāgatā]	evam devam tam kam-anyam Bajema ||GC_2,1.2|| [svAgatA]
   [1] athānupūrvyā pūrva-kathānukathanīyā | [2] asti kila	[1] aTa-AnupUrvyA pUrva-kaTA-anukaTanIyAH | [2] asti kila
   kalita-nikhila-vṛndāvanaṃ vṛndāvanaṃ nāma vanam | [3] yatra jyotiścakram	kalita-niKila--vRndAvanam vRndAvanam nAma vanam | [3] yatra jyotiScakram
   iva vyomni, dharma iva dharmiṇi, tattva-nirṇaya iva vede, śukham	iva vyomni, DarmaH iva DarmiNi, tattva--nirNayaH iva vede, SuKam
   ivābhīpsita-lābhe, rasa iva vibhāvādi-varge, ṣaḍguṇyam ivātmani, svayam	iva-aBIpsita--lABe, rasaH iva viBAva-Adi--varge, zaxguNyam iva-Atmani, svayam
   iva sva-premaṇi, nārāyaṇa iva para-vyomni, śarveṣām āśryaḥ sa ca kṛṣṇaḥ	iva sva-premaNi, nArAyaNaH iva para--vyomni, SarvezAm ASryaH sa ca kRzNaH
   sa-tṛṣṇag janānubhavanīyatayā nijāṃ	sa-tRzNaj jana-anuBavanIya-tayA nijAm
   nijāśrayaṇīyatām urīkaroti |	nija-ASrayaNIya-tAm urIkaroti |
   [4] yatra cāntardhāna-vidyayā vidyamānam asmad-ādīnām ālokam atītaṃ dhāma	[4] yatra ca-antarDAna-vidyayA vidyamAnam asmad--AdInAm Alokam atItam DAma
   goloka-nāma samāmananti | yatra ca goloke	goloka--nAma samAmananti | yatra ca goloke
   sakala-cintāmaṇīyamāna-cintā-leśaḥ keśavaḥ sarvānanda-bhāsināṃ tad-vāsināṃ	sakala--cintAmaNIyamAna--cintA-a-leSaH keSavaH sarva-Ananda--BAsinAm tad--vAsinAm
   prema-nāma-pañcama-pumartha-sampat-paryudañcana-prapañca-sañcaya-vyasanam	prema-nAma--paQcama--pumarTa--sampat--paryudaQcana--prapaQca--saQcaya--vyasanam
   amuñcaṃs tad-vaśata eva yathāyathaṃ putrāditayā vilasan na kutrāpi	amuQcan tat--vaSataH eva yaTAyaTam putra-Adi-tayA vilasan na kutra-api
   vyabhicarati |	vyaBicarati |
   [5] tādṛśāt tasmād eva ca niṣkramya ramyatayā taiḥ samam asamaṃ	[5] tAdRSAt tasmAt eva ca nizkramya ramya-tayA tEH samam asamam
   prakāśamānaḥ sa khalu khala-nāśanas tad idaṃ jagad api kadācit	prakASamAnaH sa Kalu Kala-nASanaH tat idam jagat api kadAcid-
   pramadayati, divya-nṛtya-nāyaka iva nepathya-sthānād atha tadvat tatra	pramadayati, divya-nRtya--nAyakaH iva nepaTya--sTAnAt aTa tadvat tatra
   praviśati ca |	praviSati ca |
   [6] tad evaṃ sthite	[6] tat evam sTite
