   Kālidāsa: Raghuvaṃśa	KAli-dAsa: RaGu-vaMSa
   vāgarthāviva sampṛktau vāgarthapratipattaye /	vAc-arTO=-iva sampRktO vAc-arTa-pratipattaye /
   jagataḥ pitarau vande pārvatīparameśvarau // Ragh(K)_1.1 //	jagataH pitarO vande pArvatI-parameSvarO // RaG(K)_1.1 //
   kva sūryaprabhavo vaṃśaḥ kva cālpaviṣayā matiḥ /	kva sUrya-praBavaH vaMSaH kva ca-alpa-vizayA matiH /
   titīrṣurdustaraṃ mohāduḍupenāsmi sāgaram // Ragh(K)_1.2 //	titIrzuH-dustaram mohAt-uxupena-asmi sAgaram // RaG(K)_1.2 //
   mandaḥ kaviyaśaḥprārthī gamiṣyāmyavahāsyatām /	mandaH kavi-yaSaH-prArTI gamizyAmi-avahAsya-tAm /
   prāṃśulabhye phale lobhādudbāhuriva vāmanaḥ // Ragh(K)_1.3 //	prAMSulaBye Pale loBAt-udbAhuH-iva vAmanaH // RaG(K)_1.3 //
   athavā kṛtavāgdvāre vaṃśe 'sminpūrvasūribhiḥ /	aTavA kRta-vAc-dvAre vaMSe asmin-pUrva-sUriBiH /
   maṇau vajrasamutkīrṇe sūtrasyevāsti me gatiḥ // Ragh(K)_1.4 //	maNO vajra-samutkIrNe sUtrasya-iva-asti me gatiH // RaG(K)_1.4 //
   so 'hamājanmaśuddhānāmāphalodayakarmaṇām /	saH aham-Ajanma-SudDAnAm-APala-udaya-karmaNAm /
   āsamudrakṣitīśānāmānākarathavartmanām // Ragh(K)_1.5 //	Asamudra-kziti-ISAnAmAnAka-raTa-vartmanAm // RaG(K)_1.5 //
   yathāvidhihutāgnīnāṃ yathākāmārcitārthinām /	yaTA-viDi-huta-agnInAm yaTAkAma-arcita-arTinAm /
   yathāparādhadaṇḍānāṃ yathākālaprabodhinām // Ragh(K)_1.6 //	yaTA-aparADa-daNxAnAm yaTAkAla-praboDinAm // RaG(K)_1.6 //
   tyāgāya sambhṛtārthānāṃ satyāya mitabhāṣiṇām /	tyAgAya samBRta-arTAnAm satyAya mita-BAziNAm /
   yaśase vijigīṣūṇāṃ prajāyai gṛhamedhinām // Ragh(K)_1.7 //	yaSase vijigIzUNAm prajAyE gRhameDinAm // RaG(K)_1.7 //
   śaiśave 'bhyastavidyānāṃ yauvane viṣayaiṣiṇām /	SESave aByasta-vidyAnAm yOvane vizaya-eziNAm /
   vārddhake munivṛttīnāṃ yogenānte tanutyajām // Ragh(K)_1.8 //	vArdDake muni-vRttInAm yogena-ante tanutyajAm // RaG(K)_1.8 //
   raghūṇāmanvayaṃ vakṣye tanuvāgvibhavo 'pi san /	raGUNAm-anvayam vakzye tanu-vAc-viBavaH api san /
   tadguṇaiḥ karṇamāgatya cāpalāya pratāritaḥ // Ragh(K)_1.9 //	tad-guNEH karNam-Agatya cApalAya pratAritaH // RaG(K)_1.9 //
   taṃ santaḥ śrotumarhanti sadasadvyaktihetavaḥ /	tam santaH Srotum-arhanti sat-asat-vyakti-hetavaH /
   hemnaḥ saṃlakṣyate hyagnau viśuddhiḥ śyāmikāpi vā // Ragh(K)_1.10 //	hemnaH saMlakzyate hi-agnO viSudDiH SyAmikA-api vA // RaG(K)_1.10 //
   vaivasvato manurnāma mānanīyo manīṣiṇām /	vEvasvataH manuH-nAma mAnanIyaH manIziNAm /
   āsīnmahīkṣitāmādyaḥ praṇavaśchandasāmiva // Ragh(K)_1.11 //	AsIt-mahIkzitAm-AdyaH praNavaH-CandasAm-iva // RaG(K)_1.11 //
