   || sūtraprasthānam ||	|| sUtra-prasTAnam ||
   || anuvyākhyānam ||	|| anuvyAKyAnam ||
   nārāyaṇaṃ nikhilapūrṇaguṇaikadehaṃ nirdoṣamāpyatamamapyakhilaiḥ suvākyaiḥ	nArAyaNam niKila-pUrNa-guNa-eka-deham nirdozam-Apyatamam-api-aKilEH su-vAkyEH
   asyodbhavādidamaśeṣaviśeṣato 'pi vandyaṃ sadā priyatamaṃ mama sannamāmi //	asya-udBavAt-idam-aSeza-viSezataH api vandyam sadA priyatamam mama sat-namAmi //
   MAnuv_1,1.1 //	Ma-anuv_1,1.1 //
   tameva śāstraprabhavaṃ praṇamya jagadgurūṇāṃ gurumañjasaiva /	tam-eva SAstra-praBavam praNamya jagadgurUNAm gurum-aQjasA-eva /
   viśeṣato me paramākhyavidyāvyākhyāṃ karomyanvapi cāhameva // MAnuv_1,1.2	viSezataH me parama-AKya-vidyA-vyAKyAm karomi-anu-api ca-aham-eva // Ma-anuv_1,1.2
   prādurbhūto harirvyāso viriñcabhavapūrvakaiḥ /	prAdurBUtaH hariH-vyAsaH viriQca-Bava-pUrvakEH /
   arthitaḥ paravidyākhyaṃ cakre śāstramanuttamam // MAnuv_1,1.3 //	arTitaH paravidyA-AKyam cakre SAstram-anuttamam // Ma-anuv_1,1.3 //
   gururgurūṇāṃ prabhavaḥ śāstrāṇāṃ bādarāyaṇaḥ /	guruH-gurUNAm praBavaH SAstrANAm bAdarAyaNaH /
   yatastaduditaṃ mānamajādibhyastadarthataḥ // MAnuv_1,1.4 //	yatas-tat-uditam mAnam-aja-AdiByaH-tad-arTataH // Ma-anuv_1,1.4 //
   vaktṛśrotṛprasaktīnāṃ yadāptiranukūlatā /	vaktR-SrotR-prasaktInAm yat-A-AptiH-anukUla-tA /
   āptavākyatayā tena śrutimūlatayā tathā // MAnuv_1,1.5 //	Apta-vAkya-tayA tena Sruti-mUla-tayA taTA // Ma-anuv_1,1.5 //
   yuktimūlatayā caiva prāmāṇyaṃ trividhaṃ mahat /	yukti-mUla-tayA ca-eva prAmANyam triviDam mahat /
   dṛśyate brahmasūtrāṇāmekadhānyatra sarvaśaḥ // MAnuv_1,1.6 //	dRSyate brahmasUtrANAm-ekaDA-anyatra sarvaSas // Ma-anuv_1,1.6 //
   ato naitādṛśaṃ kiñcit pramāṇatamamiṣyate /	atas na-etAdRSam kiQcid pramANatamam-izyate /
   svayaṃ kṛtāpi tadvayākhyā kriyate spaṣṭatārthataḥ // MAnuv_1,1.7 //	svayam kRtA-api tadvayA-AKyA kriyate spazwatA-arTataH // Ma-anuv_1,1.7 //
   tatra tārāthamūlatvaṃ sarvaśaśastrasya ceṣyate /	tatra tArATa-mUla-tvam sarva-Sas-astrasya ca-izyate /
   sarvatrānugatatvena pṛthagoṅkriyate 'khilaiḥ // MAnuv_1,1.8 //	sarvatra-anugata-tvena pRTak-oFkriyate aKilEH // Ma-anuv_1,1.8 //
   otatvavācī hyoṅkāro vaktayasau tadguṇotatām /	otatva-vAcI hi-oFkAraH vaktayasO tad-guNa-utatAm /
