   YRps, Adhyāya 1	YRps, ADyAyaH 1
   śaśikalākalitaṃ hi śubhānanaṃ śivanidhānamatho ṛṣipūjitam /	SaSi-kalA-kalitam hi SuBa-Ananam Siva-niDAnam-aTo Rzi-pUjitam /
   jananapālanasaṃharaṇātmakaṃ hariharaṃ prathamaṃ praṇamāmyaham // YRps_1.1	janana-pAlana-saMharaNa-Atmakam hari-haram praTamam praNamAmi-aham // YRpH-_1.1
   kumudakundasitāmbaradhāriṇīṃ vimalamauktikahārasuśobhitām /	kumuda-kunda-sita-ambara-DAriNIm vimala-mOktika-hAra-su-SoBitAm /
   sakalasiddhagaṇair api sevitām aharahaḥ praṇamāmi ca śāradām // YRps_1.2	sakala-sidDa-gaNEH api sevitAm aharahar praNamAmi ca SAradAm // YRpH-_1.2
   vadanakuṃjaram abhradaladyutiṃ trinayanaṃ ca caturbhujavāmanam /	vadana-kuMjaram aBra-dala-dyutim trinayanam ca catur-Buja-vAmanam /
   kanakaratnasuśobhitaśekharaṃ gaṇapatiṃ prathamaṃ praṇamāmyaham // YRps_1.3	kanaka-ratna-su-SoBita-SeKaram gaNapatim praTamam praNamAmi-aham // YRpH-_1.3
   giriśadhāma sadā mahadadbhutaṃ sakalarogavighātakaraṃ param /	giriSa-DAma sadA mahat-adButam sakala-roga-viGAta-karam param /
   sakalasiddhisamūhaviśāradaṃ praṇatapāpaharaṃ bhavapāradam // YRps_1.4 //	sakala-sidDi-samUha-viSAradam praNata-pApa-haram Bava-pAra-dam // YRpH-_1.4 //
   <Inhaltsverzeichnis>	<Inhaltsu-eH-zeiSnis>
   prathamaṃ pāradotpattiṃ kathayāmi yathātatham /	praTamam pArada-utpattim kaTayAmi yaTAtaTam /
   tataḥ śodhanakaṃ tasya tathāṣṭādaśa karma ca // YRps_1.5 //	tatas SoDanakam tasya taTA-azwAdaSa karma ca // YRpH-_1.5 //
   caturdhā baṃdhavijñānaṃ bhasmatvaṃ sūtakasya ca /	caturDA baMDa-vijQAnam Basma-tvam sUtakasya ca /
