   Māgha: Śiśupālavadha	MAGa: ŚiSupAla vaDa
   śriyaḥ pati śrīmati śāsituṃ jagajjagannivāso vasudevasadmani  /	SriyaH pati SrImati SAsitum jagat jagannivAsaH vasudeva sadmani  /
   vasan dadarśāvatarantamambarāddhiraṇyagarbhāṅgabhuvaṃ muniṃ hariḥ  //	vasan dadarSa avatarantam ambarAt hiraNyagarBa aFga Buvam munim hariH  //
   MSpv_1.01 //	MSpu _1.01 //
   gataṃ tiraścīnamanūrusāradheḥ prasiddhamūrdhvajvalanaṃ havirbhujaḥ  /	gatam tiraScIna manUrusAraDeH prasidDam UrDva jvalanam havirBujaH  /
   patatyadho dhāma visāri sarvataḥ kimedatityākulamīkṣitaṃ janaiḥ  //	patati aDas DAma visAri sarvatas kim edatiti Akulam Ikzitam janEH  //
   MSpv_1.02 //	MSpu _1.02 //
   cayastaviṣāmityavadhāritaṃ purā tataḥ śarīrīti vibhāvitākṛtim  /	cayaH tavizAm iti avaDAritam purA tatas SarIrI iti viBAvita AkRtim  /
   vibhurvibhaktāvayavaṃ pumāniti kramādamuṃ nārada ityabodhi saḥ  //	viBuH viBakta avayavam pumAn iti kramAt amum nAradaH iti aboDi saH  //
   MSpv_1.03 //	MSpu _1.03 //
   navānadho 'dho bṛhataḥ payodharān samūḍhakarpūraparāgapāṇḍuram  /	navAn aDas aDas bRhataH payoDarAn sa mUXa karpUra parAga pANxuram  /
   kṣaṇaṃ kṣaṇotkṣiptagajendrakṛttinā sphuṭopamaṃ bhūtisitena śamghunā  //	kzaNam kzaNa utkzipta gaja indra kRttinA sPuwa upamam BUti sitena SamGunA  //
   MSpv_1.04 //	MSpu _1.04 //
   dadhānamambhoruhakesaradyutīrjaṭāḥ śaraccandra marīcirociṣam  /	daDAnam amBoruha kesara dyutIH jawAH Sarad candra marIci rocizam  /
   vipākastuṅgāstuhinasthalīruho dharādarendraṃ vratatītatīriva  // MSpv_1.05	vipAkaH tuFgAH tuhina sTalIruhaH DarA Adara indram vratatItatIH iva  // MSpu _1.05
   piśaṅgamauñjīyujamarjunacchaviṃ vasānameṇājinamañnadyuti  /	piSaFga mOQjIyu jam arjuna= Cavim vasA nameNa ajina maQna dyuti  /
   suvarmasūtrākalitādharāmbarāṃ viḍambayantaṃ śitivāsasastanum  // MSpv_1.06	suvarma sUtrAkalita aDara ambarAm vixambayantam SitivAsasaH tanum  // MSpu _1.06
