   (Vaidya 100)	(VEdyaH 100)
   Śālistambasūtram |	ŚAli-stamba-sUtram |
   evaṃ mayā śrutam | ekasmin samaye bhagavān rājagṛhe viharati sma	evam mayA Srutam | ekasmin samaye BagavAn rAjagRhe viharati sma
   gṛdhrakūṭe parvate mahatā bhikṣusaṃghena	gRDrakUwe parvate mahatA Bikzu-saMGena
   sārdhamardhatrayodaśabhirbhikṣusahasraiḥ saṃbahulaiśca	sArDam-arDa-trayodaSaBiH-Bikzu-sahasrEH saMbahulEH-ca
   bodhisattvamahāsattvaiḥ | athāyuṣmān śāriputro yena maitreyasya	boDisattva-mahA-sattvEH | aTa-AyuzmAn SAriputraH yena mEtreyasya
   bodhisattvasya mahāsattvasya caṃkramaḥ, tenopasamakramīt | upasaṃkramya	boDisattvasya mahAsattvasya caMkramaH, tena-upasamakramIt | upasaMkramya
   anyonyaṃ saṃmodanīyāṃ kathāṃ bahuvidhāṃ vyatisārayitvā ubhau śilātale	anyonyam saMmodanIyAm kaTAm bahuviDAm vyatisArayitvA uBO SilA-tale
   upāviśatām ||	upAviSatAm ||
   athāyuṣmān śāriputro maitreyaṃ bodhisattvaṃ mahāsattvametadavocat -	aTa-AyuzmAn SAriputraH mEtreyam boDisattvam mahAsattvam-etat-avocat -
   adyātra śālistambamavalokya maitreya bhagavatā bhikṣubhyaḥ sūtramidamuktam	adya-atra SAli-stambam-avalokya mEtreya BagavatA BikzuByaH sUtram-idam-uktam
   - yo bhikṣavaḥ pratītyasamutpādaṃ paśyati, sa dharmaṃ paśyati | yo dharmaṃ	 yaH BikzavaH pratItyasamutpAdam paSyati, sa Darmam paSyati | yaH Darmam
   paśyati, sa buddhaṃ paśyati | ityuktvā bhagavāṃstūṣṇīṃ babhūvaṃ | atha	paSyati, sa budDam paSyati | iti-uktvA BagavAn=-tUzNIm baBUvam | aTa
   maitreya sugatoktasūtrāntasya arthaḥ katamaḥ? pratītyasamutpādaḥ katamaḥ?	mEtreya sugata-ukta-sUtra-antasya arTaH katamaH? pratItyasamutpAdaH katamaH?
   dharma katamaḥ? buddhaḥ katamaḥ? kathaṃ pratītyasamutpādaṃ paśyan dharmaṃ	Darma katamaH? budDaH katamaH? kaTam pratItyasamutpAdam paSyan Darmam
   paśyati? kathaṃ dharmaṃ paśyan buddhaṃ paśyati?	paSyati? kaTam Darmam paSyan budDam paSyati?
   evamukte maitreyo bodhisattvo mahāsattvaḥ āyuṣmantaṃ	evam-ukte mEtreyaH boDisattvaH mahAsattvaH Ayuzmantam
   śāradvatīputrametadavocat - atra yaduktaṃ bhadanta śāriputra bhagavatā	SAradvatI-putram-etat-avocat  atra yat-uktam Badanta SAriputra BagavatA
   dharmasvāminā sarvajñena - yo bhikṣavaḥ pratītyasamutpādaṃ paśyati, sa	Darma-svAminA sarvajQena  yaH BikzavaH pratItyasamutpAdam paSyati, sa
   dharmaṃ paśyati | yo dharmaṃ paśyati, sa buddhaṃ paśyati iti, tatra	Darmam paSyati | yaH Darmam paSyati, sa budDam paSyati iti, tatra
   katamaḥ pratītyasamutpādo nāma? pratītyasamutpādo nāma yadidam - asmin	katamaH pratItyasamutpAdaH nAma? pratItyasamutpAdaH nAma yat-idam  asmin
   sati idaṃ bhavati, asyotpādādidamutpadyate | yaduta avidyāpratyayāḥ	sati idam Bavati, asya-utpAdAt-idam-utpadyate | yat-uta avidyA-pratyayAH
   saṃskārāḥ | saṃskārapratyayaṃ vijñānam | vijñānapratyayaṃ nāmarūpam |	saMskArAH | saMskAra-pratyayam vijQAnam | vijQAna-pratyayam nAma-rUpam |
   nāmarūpapratyayaṃ ṣaḍāyatanam | ṣaḍāyatanapratyayaḥ sparśaḥ |	nAma-rUpa-pratyayam zaz-Ayatanam | zaz-Ayatana-pratyayaH sparSaH |
   sparśapratyayā vedanā | vedanāpratyayā tṛṣṇā | tṛṣṇāpratyayamupādānam |	sparSa-pratyayAH vedanA | vedanA-pratyayA tRzNA | tRzNA-pratyayam-upAdAnam |
   upādānapratyayo bhavaḥ | bhavapratyayā jāti | jātipratyayā	upAdAna-pratyayaH BavaH | Bava-pratyayAH jAti | jAti-pratyayA
   jarāmaraṇaśokaparidevaduḥkhadaurmanasyopāyāsāḥ saṃbhavanti | evamasya	jarA-maraNa-Soka-parideva-duHKa-dOrmanasya-upAyAsAH saMBavanti | evam-asya
   kevalasya mahato duḥkhaskandhasya samudayo bhavati | tatra avidyānirodhāt	kevalasya mahataH duHKa-skanDasya samudayaH Bavati | tatra avidyA-niroDAt
   saṃskāranirodhaḥ | saṃskāranirodhādvijñānanirodhaḥ |	saMskAra-niroDaH | saMskAra-niroDAt-vijQAna-niroDaH |
   vijñānanirodhānnāmarūpanirodhaḥ | nāmarūpanirodhāt ṣaḍāyatananirodhaḥ |	vijQAna-niroDAt-nAma-rUpa-niroDaH | nAma-rUpa-niroDAt zaz-Ayatana-niroDaH |
