   athottarabhāgaprāramabhaḥ	aTa uttara BAga prAramaBaH
   śrutvā pādaṃ tṛtīyaṃ tu krāntaṃ sūtena dhīmatā /	SrutvA pAdam tRtIyam tu krAntam sUtena DImatA /
   tataścaturthaṃ papracchuḥ pādaṃ vai ṛṣisattamāḥ // BndP_3,1.1 //	tatas caturTam papracCuH pAdam vE Rzi sattamAH // Bndu _3,1.1 //
   pādaḥ krāntastṛtīyo 'yamanuṣaṅgeṇa nastvayā /	pAdaH krAntaH tRtIyaH ayam anuzaFgeNa naH tvayA /
   caturthaṃ vistarātpādaṃ saṃhāraṃ pārikīrttaya // BndP_3,1.2 //	caturTam vistarAt pAdam saMhAram pArikIrttayaH // Bndu _3,1.2 //
   manvantarāṇi sarvāṇi pūrvāṇyevāparaiḥ saha /	manvantarANi sarvANi pUrvANi eva aparEH saha /
   saptarṣīṇāmathaiteṣāṃ sāṃpratasyāntare manoḥ // BndP_3,1.3 //	saptarzINAm aTa etezAm sAMpratasya antare manoH // Bndu _3,1.3 //
   vistarāvayavaṃ caiva nisargasya mahātmanaḥ /	vistara avayavam ca eva nisargasya mahAtmanaH /
   vistareṇānupūrvyā ca sarvameva bravīhi naḥ // BndP_3,1.4 //	vistareNa AnupUrvyA ca sarvam eva bravIhi naH // Bndu _3,1.4 //
   sūta uvāca	sUtaH uvAca
   bhavatāṃ kathayiṣyāmi sarvametadyathātatham /	BavatAm kaTayizyAmi sarvam etat yaTAtaTam /
   pādaṃ tvimaṃ sasaṃhāraṃ caturthaṃ munisattamāḥ // BndP_3,1.5 //	pAdam tu imam sa saMhAram caturTam muni sattamAH // Bndu _3,1.5 //
   manorvaivasvatasyemaṃ sāṃpratasya mahātmaṃnaḥ /	manoH vEvasvatasya imam sAMpratasya mahAtmaMnaH /
   vistareṇānupūrvyā ca nisargaṃ śṛṇuta dvijāḥ // BndP_3,1.6 //	vistareNa AnupUrvyA ca nisargam SRNuta dvijAH // Bndu _3,1.6 //
   manvantarāṇāṃ saṃkṣepaṃ bhaviṣyaiḥ saha saptabhiḥ /	manvantarANAm saMkzepam BavizyEH saha saptaBiH /
   pralayaṃ caiva lokānāṃ bruvato me nibodhata // BndP_3,1.7 //	pralayam ca eva lokAnAm bruvataH me niboData // Bndu _3,1.7 //
   etānyuktāni vai samyaksaptasaptasu vai prajāḥ /	etAni uktAni vE samyak sapta saptasu vE prajAH /
   manvantarāṇi saṃkṣepācchṛṇutā nāgatāni me // BndP_3,1.8 //	manvantarANi saMkzepAt SRNutA na AgatAni me // Bndu _3,1.8 //
   sāvarṇasya pravakṣyāmi manorvaivasvatasya ha /	sAvarNasya pravakzyAmi manoH vEvasvatasya ha /
   bhaviṣyasya bhaviṣyaṃ tu samāsāttannibodhata // BndP_3,1.9 //	Bavizyasya Bavizyam tu samAsAt tat niboData // Bndu _3,1.9 //
   anāgatāśca saptaiva smṛtāstviha maharṣayaḥ /	anAgatAH ca sapta eva smRtAH tu iha mahA RzayaH /
   kauśiko gālavaścaiva jāmadagnyaśca bhārgavaḥ // BndP_3,1.10 //	kOSikaH gAlavaH ca eva jAmadagnyaH ca BArgavaH // Bndu _3,1.10 //
   dvaipāyano vaśiṣṭaśca kṛpaḥ śāradvatastathā /	dvEpAyanaH vaSizwaH ca kRpaH SAradvataH taTA /
   ātreyo dīptimāṃścaiva ṛṣayaśṛṅgastu kāśyapaḥ // BndP_3,1.11 //	AtreyaH dIptimAn= ca eva RzayaSRFgaH tu kASyapaH // Bndu _3,1.11 //
   bharadvājastathā drauṇiraśvatthāmā mahāyaśāḥ /	BaradvAjaH taTA drONiH aSvatTAmA mahA yaSAH /
   ete sapta mahātmāno bhaviṣyāḥ paramarṣayaḥ /	ete sapta mahAtmAnaH BavizyAH parama RzayaH /
   sutapāścāmitābhāśca sukhāścaiva gaṇāstrayaḥ // BndP_3,1.12 //	sutapAH ca amita ABAH ca suKAH ca eva gaNAH trayaH // Bndu _3,1.12 //
   teṣāṃ gaṇastu devānāmekaiko viṃśakaḥ smṛtaḥ /	tezAm gaNaH tu devAnAm ekEkaH viMSakaH smRtaH /
