   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   tṛtīye sādhanākhyādhyāye prathamapāde	tRtIye sADana AKyADyAye praTama pAde
   gatyāgaticintā vairāgyanirūpaṇavicāraśca	gati Agati cintA  vErAgya nirUpaNa vicAraH ca
   1 tadanantarapratipattyadhikaraṇam / sū. 1 7	1 tad anantara pratipatti aDikaraNam / sU. 1 7
   tadantarapratipattau raṃhati saṃpariṣvaktaḥ praśnanirūpaṇābhyām |	tad antara pratipattO raMhati saMparizvaktaH praSna nirUpaNAByAm |
   BBs_3,1.1 |	BBH _3,1.1 |
   dvitīye 'dhyāye smṛtinyāyavirodho vedāntavihite brahmadarśane parihṛtaḥ /	dvitIye aDyAye smRti nyAya viroDaH vedAnta vihite brahma darSane parihRtaH /
   parapakṣāṇāṃ cānapekṣatvaṃ prapañcitam /	para pakzANAm ca anapekza tvam prapaQcitam /
   śrutivipratiṣedhaśca parihṛtaḥ /	Sruti vipratizeDaH ca parihRtaH /
   tatra ca jīvavyatiriktāni tattvāni jīvopakaraṇāni brahmaṇo jāyanta	tatra ca jIva vyatiriktAni tattvAni jIva upakaraNAni brahmaNaH jAyanta
   ityuktam /	iti uktam /
   athedānīmupakaraṇopahitasya jīvasya saṃsāragatiprakārastadavasthāntarāṇi	aTa idAnIm upakaraNa upahitasya jIvasya saMsAra gati prakAraH tad avasTA antarANi
   brahmasatattvaṃ vidyābhedābhedau guṇopasaṃhārānupasaṃhārau	brahma sa tattvam vidyA Beda aBedO guNa upasaMhAra anupasaMhArO
   samyagdarśanātpuruṣārthasiddhiḥ samyagdarśanopāyavidhiprabhedo	samyak darSanAt puruza arTa sidDiH samyak darSana upAya viDi praBedaH 
   muktiphalāniyamaścetyetadarthajātaṃ tṛtīye 'dhyāye nirūpayiṣyate	mukti Pala aniyamaH ca iti etad arTa jAtam tRtIye aDyAye nirUpayizyate
   prasaṅgāgataṃ ca kimapyanyat /	prasaFga Agatam ca kim api anyat /
   tatra prathame tāvatpāde pañcāgnividyāmāśritya saṃsāragatiprabhedaḥ	tatra praTame tAvat pAde paQca agnividyAm ASritya saMsAra gati praBedaH
   pradarśyate vairāgyahetoḥ /	pradarSyate vErAgya hetoH /
   'tasmājjugupset' iti cānte śravaṇāt /	atasmAt jugupset a iti ca ante SravaNAt /
   jīvomukhyaprāṇasacivaḥ sendriyaḥ samanasko	jIvaH muKya prANa sacivaH sa indriyaH sa manaskaH 
   'vidyākarmapūrvaprajñāparigrahaḥ pūrvadehaṃ vihāya dehāntaraṃ pratipadyata	avidyA karma pUrva prajQA parigrahaH pUrva deham vihAya deha antaram pratipadyata
   ityetadavagatam /	iti etat avagatam /
   'athainamete prāṇā abhisamāyanti' ityevamādeḥ 'anyannavataraṃ kalyāṇataraṃ	aaTa enam ete prANAH aBisamAyanti a iti evamAdeH aanyat navataram kalyANataram
   rūpaṃ kurute' (bṛ. 4.4.1.4) ityevamantātsaṃsāraprakaraṇasthācchabdāt /	rUpam kurute a (bR. 4.4.1.4) iti evam antAt saMsAra prakaraNa sTAt SabdAt /
   dharmādharmaphalopabhogasaṃbhavācca /	Darma aDarma Pala upaBoga saMBavAt ca /
   sa kiṃ dehaḥ bījairbhūtasūkṣmairasaṃpariṣvakto	sa kim dehaH bIjEH BUta sUkzmEH asaMparizvaktaH 
   gacchatyāhosvitsaṃpariṣvakta iti cintyate /	gacCati Ahosvit saMparizvaktaH iti cintyate /
   kiṃ tāvatprāptam /	kim tAvat prAptam /
   asaṃpariṣvakta iti /	asaMparizvaktaH iti /
   kutaḥ karaṇopādānavadbhūtopādānasyāśrutatvāt /	kutas karaNa upAdAna vat BUta upAdAnasya aSruta tvAt /
   'sa etāstejomātrāḥ samabhyādadānaḥ' (bṛ. 4.4.1) iti hyatra	asaH etAH tejaH mAtrAH samaByAda dAnaH a (bR. 4.4.1) iti hi atra
   tejomātrāśabdena karaṇānāmupādānaṃ saṃkīrtayati /	tejaH mAtrA Sabdena karaNAnAm upAdAnam saMkIrtayati /
   vākyaśeṣe cakṣurādisaṃkīrtanāt /	vAkya Seze cakzuH Adi saMkIrtanAt /
   naivaṃ bhūtamātropādānasaṃkīrtanamasti /	na evam BUtamAtra upAdAna saMkIrtanam asti /
   sulabhāśca sarvatra bhūtamātrāḥ /	sulaBAH ca sarvatra BUtamAtrAH /
   yatraiva deha ārabdhavyastatraiva santi tataśca tāsāṃ nayanaṃ	yatra eva dehaH ArabDavyaH tatra eva santi tatas ca tAsAm nayanam
   niṣprayojanam /	nizprayojanam /
   tasmādasaṃpariṣvakto yātīti /	tasmAt asaMparizvaktaH yAti iti /
   evaṃ prāpte paṭhatyācāryaḥ   tadantarapratipattau raṃhati saṃpariṣvakta	evam prApte paWati AcAryaH  tad antara pratipattO raMhati saMparizvakta
   iti /	iti /
   tadantarapratipattau dehāntarapratipattau dehabījabhūtairsūkṣmaiḥ	tad antara pratipattO deha antara pratipattO deha bIja BUtEH sUkzmEH
   saṃpariṣvakto raṃhati gacchatītyavagantavyam /	saMparizvaktaH raMhati gacCati iti avagantavyam /
   kutaḥ   praś nanirūpaṇābhyām /	kutas  praH na nirUpaNAByAm /
   tathāhi praś naḥ   'vettha yathā pañcamyāmāhutāvāpaḥ puruṣavacaso	taTA hi praS naH  avetTa yaTA paQcamyAm AhutAvApaH puruza vacasaH 
   bhavanti' (chā. 5.3.3) iti /	Bavanti a (CA. 5.3.3) iti /
   nirūpaṇaṃ ca prativacanaṃ dyuparjanyapṛthivīpuruṣayoṣitsu pañcasvagniṣu	nirUpaNam ca prativacanam dyuparjanya pRTivI puruza yozitsu paQcasu agnizu
   śraddhāsomavṛṣṭyannaretorūpāḥ pañcāhutirdarśayitvā 'iti tu	SradDA soma vRzwi anna retaH rUpAH paQca AhutiH darSayitvA aiti tu
   pañcamyāmāhutāvāpaḥ puruṣavacaso bhavanti' (chā. 5.9.1) iti /	paQcamyAm AhutAvApaH puruza vacasaH Bavanti a (CA. 5.9.1) iti /
   tasmādadbhiḥ pariveṣṭito jīvo raṃhati vrajatīti gamyate /	tasmAt adBiH parivezwitaH jIvaH raMhati vrajati iti gamyate /
   nanvanyā śrutirjalūkāvatpūrvadehaṃ na muñcati yāvanna dehāntaramākramatīti	nanu anyA SrutiH jalUkA vat pUrva deham na muQcati yAvat na deha antaram Akramati iti
   darśayati  'tadyathā tṛṇajalāyukā' (bṛ. 4.4.3) iti /	darSayati atat yaTA tRNajalAyukA a (bR. 4.4.3) iti /
   tatrāpyappariveṣṭitasyaiva jīvasya	tatra api apparivezwitasya eva jIvasya
   karmopasthāpitapratipattavyadehaviṣayabhāvanādīrghībhāvamātraṃ	karma upasTApita pratipattavya deha vizaya BAvanA dIrGIBAva mAtram
   jalūkasyopamīyata ityavrodhaḥ /	jalUkasya upamIyate iti avroDaH /
   evaṃ śrutyukte dehāntarapratipattiprakāre sati yāḥ puruṣamatiprabhavāḥ	evam Sruti ukte deha antara pratipatti prakAre sati yAH puruzam ati praBavAH
   kalpanā vyāpināṃ karaṇānāmātmanaśca dehāntarapratipattau	kalpanA vyApinAm karaNAnAm AtmanaH ca deha antara pratipattO
   karmalaśādvṛttilābhastatra bhavati /	karma laSAt vRtti lABaH tatra Bavati /
   kevalasyaivātmano vṛttilābhastatra bhavati /	kevalasya eva AtmanaH vRtti lABaH tatra Bavati /
   indriyāṇi tu dehavadabhinavānyeva tatra tatra bhogasthāna utpadyante /	indriyANi tu deha vat aBinavAni eva tatra tatra Boga sTAnaH utpadyante /
   mana eva vā kevalaṃ bhogasthānamabhipratiṣṭheta /	manaH eva vA kevalam Boga sTAnam aBipratizWeta /
   jīva evotplutya dehāddehāntaraṃ pratipadyate śuka iva vṛkṣādvṛkṣāntaram /	jIvaH eva utplutya dehAt deha antaram pratipadyate SukaH iva vRkzAt vRkza antaram /
   ityevamādyāḥ sarvā evānādartavyāḥ śrutivirodhāt // 1 //	iti evamAdyAH sarvAH eva anAdartavyAH Sruti viroDAt // 1 //
   FN: darśanopāyāḥ saṃnyāsādayaḥ /	FN: darSana upAyAH saMnyAsa AdayaH /
   prasaṅgagataṃ dehātmadūṣaṇam /	prasaFga gatam deha Atma dUzaNam /
   pañcasu dyuparjanyapṛthivīpuruṣayoṣitsvagnidhyānaṃ pañcāgnividyā /	paQcasu dyuparjanya pRTivI puruza yozitsu agni DyAnam paQca agni vidyA /
   karma dharmādharmākhyaṃ, pūrvaprajñā janmāntarasaṃskāraḥ /	karma Darma aDarma AKyan, pUrva prajQAH janma antara saMskAraH /
   bhāvanāyā dīrghībhāvo bhāvidehaviṣayatvam /	BAvanAyAH dIrGIBAvaH BAvi deha vizaya tvam /
   kevaleti saugatakalpanam /	kevala iti sOgata kalpanam /
   mana iti vaiśeṣikakalpanam /	manaH iti vESezika kalpanam /
   jīva iti digambarakalpanam /	jIvaH iti digambara kalpanam /
   lokāyatakalpanāmādyagrahaṇena saṃgṛhyati /	lokAyata kalpa nAma Adya grahaNena saMgRhyati /
   nanūdāhṛtābhyāṃ praś naprativacanābhyāṃ kevalābhiradbhiḥ saṃpariṣvakto	nanu udAhRtAByAm praH na prativacanAByAm kevalABiH adBiH saMparizvaktaH 
   raṃhatīti prāpnoti /	raMhati iti prApnoti /
   apaśabdaśravaṇasāmarthyāt /	apaSabda SravaNa sAmarTyAt /
   tatra kathaṃ sāmānyena pratijñāyate sarvaireva bhūtasūkṣmaiḥ saṃpariṣvakto	tatra kaTam sAmAnyena pratijQAyate sarvEH eva BUta sUkzmEH saMparizvaktaH 
   raṃhatīti /	raMhati iti /
   ata uttaraṃ paṭhati 	atas uttaram paWati 
   tryātmakatvāt tu bhūyastvāt | BBs_3,1.2 |	tri Atmaka tvAt tu BUyastvAt | BBH _3,1.2 |
   tuśabdena coditāmāśaṅkamucchinatti /	tuSabdena coditAm ASaFkam ucCinatti /
   tryātmikā hyāpastrivṛtkaraṇaśruteḥ /	tri AtmikAH hi ApaH trivRt karaNa SruteH /
