   akaveḥ śāstravedanam Bh_1.3d	akaveH SAstra-vedanam Bh_1.3d
   akena ca na kurvīta Bh_6.37c	akena ca na kurvIta Bh_6.37c
   akhaṇḍamaṇḍalaḥ kvenduḥ Bh_2.44a	aKaNxa-maNxalaH kva-induH Bh_2.44a
   agrāmyaśabdamarthyaṃ ca Bh_1.19c	agrAmya-Sabdam-arTyam ca Bh_1.19c
   aṅgeṣvambhasi yoṣitām Bh_2.83d	aFgezu-amBasi yozitAm Bh_2.83d
   ajñasyeva pragalbhatvam Bh_1.3c	ajQasya-iva pragalBa-tvam Bh_1.3c
   ajñānasaṃśayajñāna- Bh_5.52c	ajQAna-saMSaya-jQAna Bh_5.52c
   añmahārajanāllākṣā- Bh_6.51c	aQmahArajanAt-lAkzA Bh_6.51c
   aṇantādapi ṅībiṣṭo Bh_6.51a	aNantAt-api FIbizwaH Bh_6.51a
   atadguṇakriyāyogād Bh_2.91c	atad-guNa-kriyA-yogAt Bh_2.91c
   ataḥ paraṃ cāruranekadhāparo Bh_2.96c	atas param cAruH-anekaDA-aparaH Bh_2.96c
   atiśete hyalaṃkāram Bh_6.28c	atiSete hi-alaMkAram Bh_6.28c
   ato nyāyavirodhīṣṭam Bh_4.38c	atas nyAya-viroDi-izwam Bh_4.38c
   ato 'bhivāñchatā kīrtiṃ Bh_1.8a	atas aBivAQCatA kIrtim Bh_1.8a
   atyājayadyathā rāmaḥ Bh_5.44a	atyAjayat-yaTA rAmaH Bh_5.44a
   atrāpi bahu vaktavyaṃ Bh_4.7a	atra-api bahu vaktavyam Bh_4.7a
   atrārthapunaruktaṃ yat Bh_4.15a	atra-arTa-punaruktam yat Bh_4.15a
   atraivāntargatirmatā Bh_2.10b	atra-eva-antargatiH-matA Bh_2.10b
   atha nityāvinābhāvi Bh_5.31a	aTa nitya-avinABAvi Bh_5.31a
   atha pratijñāhetvādi- Bh_5.1a	aTa pratijQA-hetu-Adi Bh_5.1a
   atha liṅgavacobhedāv Bh_2.52a	aTa liFga-vacaH-BedO Bh_2.52a
   athābhyupagamaprāptiḥ Bh_5.45a	aTa-aByupagama-prAptiH Bh_5.45a
   adantaṃ ghubhṛñoḥ śatuḥ Bh_6.59b	adantam GuBRQoH SatuH Bh_6.59b
   adantaṃ nāpyapañcamī Bh_6.34b	adantam na-api-apaQcamI Bh_6.34b
   adya yā mama govinda Bh_3.5c	adya yA mama govinda Bh_3.5c
   adyārabhya nivatsyāmi Bh_5.43a	adya-AraBya nivatsyAmi Bh_5.43a
   adhanasyeva dātṛtvaṃ Bh_1.3a	aDanasya-iva dAtR-tvam Bh_1.3a
   adharo vidrumaccheda- Bh_2.56c	aDaraH vidruma=-Ceda Bh_2.56c
   adhikārādapetasya Bh_3.29a	aDikArAt-apetasya Bh_3.29a
   adhunātiṣṭha kevalam Bh_4.11d	aDunA-atizWa kevalam Bh_4.11d
   anantaraikāntarayor Bh_2.16a	anantara-ekAntarayoH Bh_2.16a
   ananyamanasāmapi Bh_2.53b	ananya-manasAm-api Bh_2.53b
   anayānyad api jñeyaṃ Bh_1.57a	anayA-anyat api jQeyam Bh_1.57a
   anayārtho vibhāvyate Bh_2.85b	anayA-arTaH viBAvyate Bh_2.85b
   analaṅkṛtakāntaṃ te Bh_3.51a	analaFkRta-kAntam te Bh_3.51a
   anibaddhaṃ ca kāvyādi Bh_1.18c	anibadDam ca kAvya-Adi Bh_1.18c
   anibaddhaṃ punargāthā- Bh_1.30a	anibadDam punar-gATA Bh_1.30a
   anuktamapi yatrārthād Bh_5.45c	anuktam-api yatra-arTAt Bh_5.45c
   anuprāsaṃ pracakṣate Bh_2.5b	anuprAsam pracakzate Bh_2.5b
   anuprāsaḥ sayamako Bh_2.4a	anuprAsaH sa-yamakaH Bh_2.4a
   anumānaṃ ca kecana Bh_5.11b	anumAnam ca kecana Bh_5.11b
   anena vāgarthavidāmalaṅkṛtā Bh_3.58c	anena vAc-arTa-vidAm-alaFkRtA Bh_3.58c
   antarāle srajāmiva Bh_1.54d	antarAle srajAm-iva Bh_1.54d
   antareṇa dvijanmanā Bh_4.49b	antareNa dvijanmanA Bh_4.49b
   antaryodhaśatākīrṇaṃ Bh_4.40a	antar-yoDa-Sata-AkIrNam Bh_4.40a
   andakrīḍāgṛhaṃ yathā Bh_3.13b	anda-krIxA-gRham yaTA Bh_3.13b
   anyatve 'pi pratikṣaṇam Bh_4.5d	anya-tve api pratikzaNam Bh_4.5d
   anyathā ghaṭavijñānam Bh_5.10c	anyaTA Gawa-vijQAnam Bh_5.10c
   anyathaivāvagacchati Bh_4.34b	anyaTA-eva-avagacCati Bh_4.34b
   anyadharmo 'pi tatsiddhiṃ Bh_5.49a	anya-DarmaH api tad-sidDim Bh_5.49a
   anyavidyākareṇubhiḥ Bh_6.2d	anya-vidyA-kareNuBiH Bh_6.2d
   anyasārasvatā nāma Bh_6.6c	anyasArasvatA nAma Bh_6.6c
   anyasvapi kalāsvevam Bh_4.34c	anyasu-api kalAsu-evam Bh_4.34c
