   prathamaḥ paricchedaḥ	praTamaH paricCedaH
   granthārambhe nirvinghena prāripsitaparisamāptikāmo vāṅmayādhikṛtatayā	granTa AramBe nirvinGena prAripsita parisamApti kAmaH vAc maya aDikRta tayA
   vāgdevatāyāḥ sāṃmukhyamādhatte  	vAgdevatAyAH sAMmuKyam ADatte  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ka) vīkṣya kaustubhagataṃ nijabimbaṃ hṛdratānyavanitājanabuddhyā	(vi, ka) vIkzya kOstuBa gatam nija bimbam hRdratA anya vanitA jana budDyA
        mānamāśritavatīṃ nijakāntāṃ cintayāmyanunayantamanantam // 1. //	mAnam ASritavatIm nija kAntAm cintayAmi anunayantam anantam // 1. //
        dṛṣṭvā bhūritadhvaniprabhṛtikālaṅkāraśāstraṃ muhu  stanmūlañca	dRzwvA BUrita Dvani praBRtikA alaFkAra SAstram muhu  stad mUlaQca
   visṛṣṭamarthamakhilaṃ kāvyaprakāśasya ca /	visRzwam arTam aKilam kAvya prakASasya ca /
        sāhityottaradarpaṇaṃ viśadayannāndayan sajjanān bhaṭṭācāryyamaheśvaro	sAhitya uttara darpaNam viSadayan= Andayan sat janAn Bawwa AcAryi amaheSvaraH 
   vitanute vijñāpriyāṃ ṭippaṇīm // 2 //	vitanute vijQApriyAm wippaNIm // 2 //
        śaradindvityādi svīyaślokaṃ granthakṛdutthāpayati  granthārambha iti	Sarad indu ityAdi svIyaSlokam granTa kRt utTApayati  granTa AramBaH iti
        granthasya prakṛtagranthasya sāhityadarpaṇākhyasya, ārambhe	granTasya prakRta granTasya sAhitya darpaNa AKyasya, AramBe
   ārambhakāle, vāgdevatāyāḥ sāmmukhyāmānukūlyamādhatte janayatī arthaḥ /	AramBa kAle, vAgdevatAyAH sAmmuKyAm AnukUlyam ADatte janayatI arTaH /
        atra granthakṛdeba karttā bodhyaḥ /	atra granTa kRt eba karttA boDyaH /
        ārambhakālasya sthūlatvād yogyatāvaśāt tatpūrvakāle eva	AramBa kAlasya sTUla tvAt yogyatA vaSAt tad pUrva kAle eva
   sāmmukhyādhānaṃ bodhyam /	sAmmuKya ADAnam boDyam /
        na ca śloke sāmmukhyādhānabodhakābhāvāt kathamidamābhāṣitamiti	na ca Sloke sAmmuKya ADAna boDaka aBAvAt kaTam idam ABAzitam iti
   vācyam, śaradindvityādi tatsaundaryyakathanarūpastutyā svacetasi	vAcyam, Sarad indu ityAdi tad sOndaryya kaTana rUpa stutyA sva cetasi
   tamonāśār'tha prakāśanaprārthanayā ca tallābhāt, stutasyānukūlatvaniyamāt	tamaH nASAr aTa prakASana prArTanayA ca tad lABAt, stutasya anukUla tva niyamAt
   tadānukūlyaṃ pratyevābhīṣṭhaprārthanācca cetasyarthaprakāśe satyapi	tad AnukUlyam pratyeva aBIzWa prArTanAt ca cetasi arTa prakASe sati api
   vighnād granthasya samāptirna bhavatītyate /	viGnAt granTasya samAptiH na Bavati ityate /
        nirvighnaparisamāptirapi tatsāmmukhyāt kāmanīyetyata āha 	nirviGna parisamAptiH api tad sAmmuKyAt kAmanIyA iti atas Aha 
   nirvighneneti /	nirviGnena iti /
        samāptimātrasya laukikāraṇādhīnatve 'pi tadvighnavighāto	samApti mAtrasya lOkikAraNa aDIna tve api tad viGna viGAtaH 
   devatānukūlyādeveti vighnābhāvaviśiṣṭhasamāpti kāmanayāpi	devatA AnukUlyAt eva iti viGna aBAva viSizWa samApti kAmanayA api
   vighnābhāvarūpaviśeṣaṇāṃśo viṣayīkriyate ahaṃ sukhī syāmiti kāmanayā	viGna aBAva rUpa viSezaNa aMSaH vizayIkriyate aham suKI syAm iti kAmanayA
   sukhaṃśā iva /	suKaMSAH iva /
        prāripsitagranthaparisamāptirūpe phale 'nyadevatāpekṣayā tasyāḥ	prAripsita granTa parisamApti rUpe Pale anya devatA apekzayA tasyAH
   śīghnakāritvapratipādanāya tadviśeṣaṇamāha  vāṅmayeti  svārthe mayaṭ /	SIGna kAri tva pratipAdanAya tad viSezaNam Aha  vAc mayA iti  sva arTe mayaw /
        vāgadhikṛtāyā ityarthaḥ /	vAc aDikRtAyAH iti arTaH /
        vastutastu vāṅmayādhikṛtatayeti prāmāṇikaḥ pāṭhaḥ /	vastutas tu vAc mayA aDikRta tayA iti prAmANikaH pAWaH /
        tathā ca vāgātmakasya granthasya nirvighnaparisamāptirūpaṃ phalaṃ	taTA ca vAc Atmakasya granTasya nirviGna parisamApti rUpam Palam
   vāgadhikāriṇyā śīghraṃ dātuṃ śakyameveti darśitam /	vAgaDi kAriNyA SIGram dAtum Sakyam eva iti darSitam /
        Locanā:	LocanA:
        (lo, a) praṇamāmi parāṃ devīṃ mūlādhāradhṛtodayām /	(lo, a) praNamAmi parAm devIm mUlADAra DRta udayAm /
        yādvivarttamimaṃ kṛtsnnaṃ prapañcaṃ paricakṣate // 1 //	yAt vivarttam imam kRtsnnam prapaQcam paricakzate // 1 //
        āsīt kapiñjalakulakṣīrākūpāracandramāḥ	AsIt kapiQjala kula kzIra akUpAra candramAH
   trikaliṅgadhipadharādhāmadhīsacivaḥ kṛtī // 2 //	tri kaliFga Dipa DarADAma DI sacivaH kRtI // 2 //
        aśeṣabhāṣāramaṇībhujaṅgaḥ sāhityavidyarṇavakarṇadhāraḥ /	aSeza BAzA ramaNIBujaFgaH sAhitya vidyarNava karNa DAraH /
        dhvanyadhvaniprauḍhadhiyāṃ purogaḥ śrīvaśvanāthaḥ kavicakavartto // 3	Dvani aDvani prOXa DiyAm purogaH SrIvaSvanATaH kavicaka varttaH // 3
        svalpākṣaraḥ subodhārthaḥ pradhvastāśeṣaḍhūṣaṇaḥ /	su alpa akzaraH su boDa arTaH praDvasta aSeza Xu UzaNaH /
        sāhityadarpaṇo nāma granthastena vinirmitaḥ // 4 //	sA ahityadarpaNaH nAma granTaH tena vinirmitaH // 4 //
        pāraṃ sāhityavidyābdhergantuṃ vāñchanti ye kṣitau kṛtireṣā taristeṣāṃ	pAram sAhitya vidyA abDeH gantum vAQCanti ye kzitO kRtiH ezA tariH tezAm
   viśvanāthamahākaveḥ // 5 //	viSva nATa mahA kaveH // 5 //
        śravyābhineyālaṅkāratattvaṃ satkavisammatam /	Sravya aBineya alaFkAra tattvam sat kavi sammatam /
        yadihāsti tadanyatra yannehāsti na tat kvacit // 6 //	yat iha asti tat anyatra yat na iha asti na tat kvacid // 6 //
        asya satkavivāggumphajīvātoḥ kṛtināṃ mude /	asya satka vivAc gumPa jIvAtoH kRtinAm mude /
        mayā vidhīyate ṭīkā durbodhārtha vebodhainī // 7 //	mayA viDIyate wIkA durboDa arTa  veboDa enI // 7 //
        iha khalu sūtrāṇāmevārthaṃ vṛttyā viśadīkurvan granthādau	iha Kalu sUtrANAm eva arTam vRttyA viSadIkurvan granTa AdO
   vighnavighātāya avigītasadācāraparamparāprāptatayā	viGna viGAtAya avigIta sadAcAra paramparA prApta tayA
   svābhīṣṭadevatārādhanena sammukhīkaraṇasūcikāṃ	sva aBIzwa devatA ArADanena sammuKIkaraNa sUcikAm
   kārikāmavatārayati grantheti /	kArikAm avatArayati granTa iti /
        vinghaḥ pratibandhakaduritasadbhāvaḥ pravarttakasukṛtaviraho vā,	vinGaH pratibanDaka durita sadBAvaH pravarttaka su kRta virahaH vA,
   tasya abhāvaḥ nirvingham, avyayībhāvaḥ /	tasya aBAvaH  nirvinGam, avyayIBAvaH /
