   BhP_04.01.001/0 maitreya uvāca	Bhu-_04.01.001/0 mEtreyaH uvAca
   BhP_04.01.001/1 manos tu śatarūpāyāṃ tisraḥ kanyāś ca jajñire	Bhu-_04.01.001/1 manoH tu SatarUpAyAm tisraH kanyAH ca jajQire
   BhP_04.01.001/2 ākūtir devahūtiś ca prasūtir iti viśrutāḥ	Bhu-_04.01.001/2 AkUtiH devahUtiH ca prasUtiH iti viSrutAH
   BhP_04.01.002/1 ākūtiṃ rucaye prādād api bhrātṛmatīṃ nṛpaḥ	Bhu-_04.01.002/1 AkUtim rucaye prAdAt api BrAtRmatIm nRpaH
   BhP_04.01.002/2 putrikā-dharmam āśritya śatarūpānumoditaḥ	Bhu-_04.01.002/2 putrikA--Darmam ASritya SatarUpa-anumoditaH
   BhP_04.01.003/1 prajāpatiḥ sa bhagavān rucis tasyām ajījanat	Bhu-_04.01.003/1 prajApatiH sa BagavAn ruciH tasyAm ajIjanat-
   BhP_04.01.003/2 mithunaṃ brahma-varcasvī parameṇa samādhinā	Bhu-_04.01.003/2 miTunam brahma-varcasvI parameNa samADinA
   BhP_04.01.004/1 yas tayoḥ puruṣaḥ sākṣād viṣṇur yajña-svarūpa-dhṛk	Bhu-_04.01.004/1 yaH tayoH puruzaH sAkzAt vizNuH yajQa--svarUpa--DRk-
   BhP_04.01.004/2 yā strī sā dakṣiṇā bhūter aṃśa-bhūtānapāyinī	BhP_04.01.004/2 yA strI sA dakziNA BUteH aMSa--BUtA-anapAyinI
   BhP_04.01.005/1 āninye sva-gṛhaṃ putryāḥ putraṃ vitata-rociṣam	Bhu-_04.01.005/1 Aninye sva--gRham putryAH putram vitata-rocizam
   BhP_04.01.005/2 svāyambhuvo mudā yukto rucir jagrāha dakṣiṇām	BhP_04.01.005/2 svAyamBuvaH mudA yuktaH ruciH jagrAha dakziNAm
   BhP_04.01.006/1 tāṃ kāmayānāṃ bhagavān uvāha yajuṣāṃ patiḥ	Bhu-_04.01.006/1 tAm kAmayAnAm BagavAn uvAha yajuzAm patiH
   BhP_04.01.006/2 tuṣṭāyāṃ toṣam āpanno ' janayad dvādaśātmajān	Bhu-_04.01.006/2 tuzwAyAm tozam ApannaH a janayat dvAdaSa-AtmajAn
   BhP_04.01.007/1 toṣaḥ pratoṣaḥ santoṣo bhadraḥ śāntir iḍaspatiḥ	BhP_04.01.007/1 tozaH pratozaH santozaH BadraH SAntiH ixaspatiH
   BhP_04.01.007/2 idhmaḥ kavir vibhuḥ svahnaḥ sudevo rocano dvi-ṣaṭ	BhP_04.01.007/2 iDmaH kaviH viBuH svahnaH sudevaH rocanaH dvi-zaz-
   BhP_04.01.008/1 tuṣitā nāma te devā āsan svāyambhuvāntare	Bhu-_04.01.008/1 tuzitAH nAma te devAH Asan svAyamBuva-antare
   BhP_04.01.008/2 marīci-miśrā ṛṣayo yajñaḥ sura-gaṇeśvaraḥ	Bhu-_04.01.008/2 marIci--miSrAH RzayaH yajQaH sura--gaNeSvaraH
   BhP_04.01.009/1 priyavratottānapādau manu-putrau mahaujasau	Bhu-_04.01.009/1 priyavrata-uttAnapAdO manu--putrO mahA-ojasO
   BhP_04.01.009/2 tat-putra-pautra-naptṝṇām anuvṛttaṃ tad-antaram	Bhu-_04.01.009/2 tat-putra--pOtra--naptLNAm anuvRttam tad--antaram
