   %Chapter 1: introduction,	%ChapteH 1: intra-uductiA-Un,
   %visualisation of 5-faced, 16-armed Bhairava	%visuali-sation of 5-faced, 16-armet BhEH-ava
   [[fol.26r2]]\orn oṃ namo mahābhairavāya //	[[fol.26r2]]\orn om namaH mahABEravAya //
   TiUdgh1.1ab: kailāsaśikhare ramye & siddhacāraṇasevite	Tiu-udG1.1ab: kElAsa-SiKare ramye & sidDa-cAraNa-sevite
   TiUdgh1.1cd: siddhayogīsamākīrṇṇe & nānādrumasamanvite	Tiu-udG1.1cd: sidDa-yogI-samAkIrNNe & nAnA-druma-samanvite
   TiUdgh1.2ab: apsarogaṇasaṅkīrṇe & yakṣagandharvasevite	Tiu-udG1.2ab: apsaraH-gaNa-saFkIrNe & yakza-ganDarva-sevite
   TiUdgh1.2cd: nānā**samākīrṇṇe & nānādhātuvicitrite	Tiu-udG1.2cd: nAnA-**samAkIrNNe & nAnA-DAtu-vicitrite
   TiUdgh1.3ab: anekaśikharākīrṇe & gaṇagandharvasevite	Tiu-udG1.3ab: aneka-SiKara-AkIrNe & gaNa-ganDarva-sevite
   TiUdgh1.3cd: sahasrakiraṇopeta&taptakāṃcanasaprabhaḥ %em.: -prabhe	Tiu-udG1.3cd: sahasra-kiraNa-upeta&-tapta-kAMcanasapraBaH %em.: -praBe
   TiUdgh1.4ab: riṣibhiś caiva sevit[e] & siddhagaṇaniṣevite	Tiu-udG1.4ab: riziBiH ca-eva sevit[e] & sidDa-gaNa-nizevite
   TiUdgh1.4cd: karṇṇikāravanāntaraṃ & puṣpitacampakādibhiḥ %em.: -āntare	Tiu-udG1.4cd: karNNikAra-vana-antaram & puzpita-campaka-AdiBiH %em.: -a-antare
   TiUdgh1.5ab: sarjārjunakadambaiś ca & pāṭalyāśokaśobhitā %em.: -śobhite	Tiu-udG1.5ab: sarja-arjuna-kadambEH ca & pAwalya-aSoka-SoBitA %em.: -SoBite
   TiUdgh1.5cd: tatra tasmiṃ gire ramye & sthitaḥ sa**yā saha % sa-umayā	Tiu-udG1.5cd: tatra tasmim gire ramye & sTitaH sa**yA saha % sa--umayA
   saha?	saha?
   TiUdgh1.6ab: vicitre ratnakhacita{ṃ} & āsanākāñcanāmaye	Tiu-udG1.6ab: vicitre ratna-Kacita-{M} & AsanA-kAQcana-Amaye
   TiUdgh1.6cd: kapālamālinaṃ deva<ṃ> & pañcavaktrañ ca sevitam \testim{\Cf	Tiu-udG1.6cd: kapAla-mAlinam deva<M> & paQcavaktran ca sevitam \teH-tim{\Sf
   \SvaTa 2.88ff.}%aiśa subj./obj. confusion	\SvaTa 2.88ff.}%ESa subj./obj. ca-unfusion
   TiUdgh1.7ab: bhujaṣoḍaśasaṃyuktaṃ & kale dvau da* [[fol26v]]locane	Tiu-udG1.7ab: Buja-zoxaSa-saMyuktam & kale dvO da* [[fol26v]]locane
   TiUdgh1.7cd: jaṭābaddhordhvamakuṭaṃ & śaśāṅkakṛtaśekharaṃ	Tiu-udG1.7cd: jawA-badDa-UrDvam-akuwam & SaSAFka-kRta-SeKaram
   TiUdgh1.8ab: piṅgakeśamahāghoraṃ & jvalantam iva pāvakam	Tiu-udG1.8ab: piFga-keSa-mahA-Goram & jvalantam iva pAvakam
   TiUdgh1.8cd: nāgayajñopavītī ca & mahāghonāsakuṇḍala[ṃ] %em.: -opavītinam	Tiu-udG1.8cd: nAga-yajQa-upavItI ca & mahA-GonAsa-kuNxala[M] %em.: -a-upavItinam
