   // om namo buddhāya //	// om namaH budDAya //
   Saundaranandaṃ Mahākāvyam	SOndara-nandam MahAkAvyam
   prathamaḥ sargaḥ	praTamaH sargaH
   kapilavastu varṇana	kapilavastu varNana
   gautamaḥ kapilo nāma munirdharmabhṛtāṃ varaḥ /	gOtamaH kapilaH nAma muniH-Darma-BRtAm varaH /
   babhūva tapasi śrāntaḥ kākṣīvāniva gautamaḥ // Saund_1.1 //	baBUva tapasi SrAntaH kAkzIvAn-iva gOtamaH // SOnd-_1.1 //
   aśiśriyadyaḥ satataṃ dīptaṃ kāśyapavattapaḥ /	aSiSriyat-yaH satatam dIptam kASyapa-vat-tapaH /
   āśiśrāya ca tadvṛddhau siddhiṃ kāśyapavat parām // Saund_1.2 //	ASiSrAya ca tad-vRdDO sidDim kASyapa-vat parAm // SOnd-_1.2 //
   haviḥṣu yaśca svātmārthaṃ gāmadhukṣad vasiṣṭhavat /	haviHzu yaH-ca sva-Atma-arTam gAm-aDukzat vasizWa-vat /
   tapaḥśiṣṭeṣu ca śiṣyeṣu gāmadhukṣad vasiṣṭhavat // Saund_1.3 //	tapaH-Sizwezu ca Sizyezu gAm-aDukzat vasizWa-vat // SOnd-_1.3 //
   māhātmyāddīrghatapaso yo dvitīya ivābhavat /	mAhAtmyAt-dIrGa-tapasaH yaH dvitIyaH iva-aBavat /
   tṛtīya iva yaścābhūt kāvyāṅgirasayordhiyā // Saund_1.4 //	tRtIyaH iva yaH-ca-aBUt kAvya-AFgirasayoH-DiyA // SOnd-_1.4 //
   tasya vistīrṇatapasaḥ pārśve himavataḥ śubhe /	tasya vistIrNa-tapasaH pArSve himavataH SuBe /
   kṣetraṃ cāyatanaṃ caiva tapasāmāśramo 'bhavat // Saund_1.5 //	kzetram ca-Ayatanam ca-eva tapasAm-ASramaH aBavat // SOnd-_1.5 //
   cāruvīruttaruvanaḥ prasnigdhamṛduśādvalaḥ /	cAru-vIruttaru-vanaH prasnigDa-mRdu-SAdvalaH /
   havirdhūmavitānena yaḥ sadābhra ivābabhau // Saund_1.6 //	haviH-DUma-vitAnena yaH sadA-aBraH iva-AbaBO // SOnd-_1.6 //
   mṛdubhiḥ saikataiḥ snigdhaiḥ kesarāstarapāṇḍubhiḥ /	mRduBiH sEkatEH snigDEH kesara-Astara-pANxuBiH /
   bhūmibhāgairasaṃkīrṇaiḥ sāṅgarāga ivābhavat // Saund_1.7 //	BUmi-BAgEH-asaMkIrNEH sa-aFgarAgaH iva-aBavat // SOnd-_1.7 //
   śucibhistīrthasaṃkhyātaiḥ pāvanairbhāvanairapi /	SuciBiH-tIrTa-saMKyAtEH pAvanEH-BAvanEH-api /
