   Suvarṇaprabhāsasūtram	SuvarNa-praBAsa-sUtram
   // suvarṇaprabhāsottamasūtrendrarājaḥ //	// suvarNa-praBAsa-uttama-sUtrendra-rAjaH //
   // nidānaparivartaḥ //	// nidAna-parivartaH //
   om namaḥ śrīsarvabuddhabodhisattvebhyaḥ /	om namaH SrI-sarva-budDa-boDisattveByaH /
   om namaḥ śrībhagavatyai āryaprajñāpāramitāyai // tadyathā /	om namaH SrI-BagavatyE Arya-prajQApAramitAyE // tat-yaTA /
   om śrutismṛtigativijaye svāhā //	om Sruti-smRti-gati-vijaye svAhA //
   yasmin pāramitā daśottamaguṇāstaistairnayaiḥ sūcitāḥ	yasmin pAramitAH daSa-uttama-guNAH-tEH-tEH-nayEH sUcitAH
   sarvajñena jagaddhitāya daśa ca prakhyāpitā bhūmayaḥ /	sarvajQena jagat-hitAya daSa ca praKyApitA BUmayaH /
   ucchedadhruvavarjitā ca vimalā proktā gatirmadhyamā	ucCeda-Druva-varjitA ca vimalA proktA gatiH-maDyamA
   tatsūtraṃ svarṇaprabhānigaditaṃ śṛṇvantu bodhyarthinaḥ //	tat-sUtram svarNa-praBA-nigaditam SRNvantu boDi-arTinaH //
   śrutaṃ mayaikasamaye gṛdhrakūṭe tathāgataḥ //	Srutam mayA-eka-samaye gRDrakUwe taTAgataH //
   vijahāra dharmadhātau gambhīre buddhagocare // Suv_1.1 //	vijahAra DarmaDAtO gamBIre budDa-gocare // Suu-_1.1 //
   bodhisattvasamuccayayā mahākuladevatayā, sarasvatyā ca mahādevatayā, śriyā	boDisattva-samuccayayA mahA-kula-devatayA, sarasvatyA ca mahAdevatayA, SriyA
   ca mahādevatayā, dṛḍhayā ca mahāpṛthivīdevatayā, hārītyā ca mahādevatayā,	ca mahAdevatayA, dRXayA ca mahA-pRTivI-devatayA, hArItyA ca mahAdeva-tayA,
   evaṃ	evam
   pramukhābhirmahādevatābhiranekadevanāgayakṣarākṣasagandharvāsuragaruḍakinnaramahoragamanuṣyāmanuṣyaiḥ	pramuKABiH-mahAdevatABiH-aneka-deva-nAga-yakza-rAkzasa-ganDarva-asura-garuxa-kinnara-mahA-uraga-manuzya-amanuzyEH
   sārdham / athāyuṣmānānando bhagavantametadavocat / kiṃ tāsāṃ	sArDam / aTa-AyuzmAn-AnandaH Bagavantam-etat-avocat / kim tAsAm
   bhagavandharmavinayaṃ bhaviṣyatīti?	Bagavan-Darma-vinayam Bavizyati-iti?
   bhagavānāha gāthābhiḥ / bhāvanaṃ ca na duḥpṛcchayā virajaskaṃ samādhiṃ	BagavAn-Aha gATABiH / BAvanam ca na duHpRcCayA virajaskam samADim
   dharmasāraṃ pratiṣṭhitam /	DarmasAram pratizWitam /
