   (atha prathamaḥ adhyāyaḥ)	(aTa praTamaH aDyAyaH)
   [anubandhacatuṣṭayaprakaraṇam]	[anubanDa-catuzwaya-prakaraNam]
   pramāṇa-prameya-saṃśaya-prayojana-dṛṣṭānta-siddhāntāvayava-tarka-nirṇaya-vāda-jalpa-vitaṇḍāhetvābhāsa-cchala-jāti-nigrahasthānānāmtattvajñānāt	pramANa--prameya--saMSaya--prayojana-dRzwa-anta--sidDAnta-avayava--tarka--nirNaya--vAda--jalpa-vitaNxA-hetvABAsa-=-Cala--jAti-nigraha-sTAnAnAm-t
   niḥśreyasādhigamaḥ	niHSreyasa-aDigamaH
   {padārthoddeśasūtram}	{padArTa-uddeSa-sUtram}
   1.1.2: duḥkhajanmapravṛttidoṣamithyājñānānām uttarottarāpāye tadanantarā	1.1.2: duHKa-janma-pravRtti-doza-miTyA-jQAnAnAm uttarottara-apAye tad-anantarA
   pāyāt apavargaḥ	pAyAt apavargaH
   {padārthoddeśasūtram}	{padArTa-uddeSa-sUtram}
   [pramāṇaprakaraṇam]	[pramANa-prakaraNam]
   1.1.3: pratyakṣānumānopamānaśabdāḥ pramāṇāni	1.1.3: pratyakza-anumAna-upamAna-SabdAH pramANAni
   {pramāṇa-uddeśa-sūtram}	{pramANa--uddeSa--sUtram}
   1.1.4: indriyārthasannikarṣotpannam jñānam avyapadeśyam avyabhicāri	1.1.4: indriya-arTa-sannikarza-utpannam jQAnam avyapadeSyam avyaBicAri
   vyavasāyātmakam pratyakṣam	vyavasAya-Atmakam pratyakzam
   {pratyakṣalakṣaṇam}	{pratyakza-lakzaNam}
   1.1.5: atha tatpūrvakaṃ trividham anumānaṃ pūrvavat śeṣavat	1.1.5: aTa tad-pUrvakam triviDam anumAnam pUrvavat Sezavat-
   sāmānyatodṛṣṭaṃ ca	sAmAnyatodRzwam ca
   {anumānalakṣaṇam}	{anumAna-lakzaNam}
   1.1.6: prasiddhasādharmyāt sādhyasādhanam upamānam	1.1.6: prasidDa-sADarmyAt sADya-sADanam upamAnam
   {upamānalakṣaṇam}	{upamAna-lakzaNam}
   1.1.7: āptopadeśaḥ śabdaḥ	1.1.7: Apta-upadeSaH SabdaH
   {śabdalakṣaṇam}	{Sabda-lakzaNam}
   1.1.8: saḥ dvividhaḥ dṛṣṭādṛṣṭārthatvāt	1.1.8: saH dviviDaH dRzwa-adRzwa-arTa-tvAt
   {śabdabhedaḥ}	{Sabda-BedaH}
   [prameyaprakaraṇam]	[prameya-prakaraNam]
   ātmaśarīrendriyārthabuddhimanaḥpravṛttidoṣapretyabhāvaphaladuḥkhāpavargāḥ	Atma-SarIra-indriya-arTa-budDi-manaH-pravRtti-doza-pretya-BAva-Pala-duHKa-apavargAH
   tu prameyam	tu prameyam
   {prameya-uddeśa-sūtram}	{prameya--uddeSa--sUtram}
   1.1.10: icchādveṣaprayatnasukhaduḥkhajñānāni ātmanaḥ liṅgam iti	1.1.10: icCA-dveza-prayatna-suKa-duHKa-jQAnAni AtmanaH liFgam iti
   {ātmalakṣaṇam}	{a-Atma-lakzaNam}
   1.1.11: ceṣṭendriyārthāśrayaḥ śarīram	1.1.11: cezwa-indriya-arTa-ASrayaH SarIram
   {śarīralakṣaṇam}	{SarIra-lakzaNam}
   1.1.12: ghrāṇarasanacakṣustvakśrotrāṇi indriyāṇi bhūtebhyaḥ	1.1.12: GrANa-rasana-cakzuH-tvac-SrotrANi indriyANi BUteByaH
   {indriyalakṣaṇam}	{indriya-lakzaNam}
   1.1.13: pṛthivī āpaḥ tejaḥ vāyuḥ ākāśam iti bhūtāni	1.1.13: pRTivI ApaH tejaH vAyuH AkASam iti BUtAni
   {bhūtalakṣaṇam}	{BUta-lakzaNam}
   1.1.14: gandharasarūpasparśaśabdāḥ pṛthivyādiguṇāḥ tadarthāḥ	1.1.14: ganDa-rasa-rUpa-sparSa-SabdAH pRTivI-Adi-guNAH tad-arTAH
   {artha(viṣaya)lakṣaṇam}	{arTa(-vizaya)-lakzaNam}
   1.1.15: buddhiḥ upalabdhiḥ jñānam iti anarthāntaram	1.1.15: budDiH upalabDiH jQAnam iti anarTa-antaram
   {buddhilakṣaṇam}	{budDi-lakzaNam}
   1.1.16: yugapat jñānānutpattiḥ manasaḥ liṅgam	1.1.16: yugapad jQAna-anutpattiH manasaH liFgam
   {manolakṣaṇam}	{manaH-lakzaNam}
   1.1.17: pravṛttiḥ vāgbuddhiśarīrārambhaḥ	1.1.17: pravRttiH vAc-budDi-SarIra-AramBaH
   {pravṛttilakṣaṇam}	{pravRtti-lakzaNam}
   1.1.18: pravarttanālakṣaṇāḥ doṣāḥ	1.1.18: pravarttanA-lakzaNAH dozAH
   {doṣalakṣaṇam}	{doza-lakzaNam}
   1.1.19: punarutpattiḥ pretyabhāvaḥ	1.1.19: punar-utpattiH pretyaBAvaH
   {pretyabhāvalakṣaṇam}	{pretyaBAva-lakzaNam}
   1.1.20: pravṛttidoṣajanitaḥ arthaḥ phalam	1.1.20: pravRtti-doza-janitaH arTaH Palam
   {phalalakṣaṇam}	{Pala-lakzaNam}
   1.1.21: bādhanālakṣaṇam duḥkham	1.1.21: bADanA-lakzaNam duHKam
   {duḥkhalakṣaṇam}	{duHKa-lakzaNam}
   1.1.22: tadatyantavimokṣaḥ apavargaḥ	1.1.22: tad-atyanta-vimokzaH apavargaH
   {apavargalakṣaṇam}	{apavarga-lakzaNam}
   [nyāyapūrvāṅgalakṣaṇaprakaraṇam]	[nyAya-pUrva-aFga-lakzaNa-prakaraNam]
   1.1.23: samānānekadharmopapatteḥ vipratipatteḥ	1.1.23: samAna-aneka-Darma-upapatteH vipratipatteH
   upalabdhyanupalabdhyavyavasthātaḥ ca viśeṣāpekṣaḥ vimarśaḥ saṃśayaḥ	upalabDi-anupalabDi-avyavasTAtaH ca viSeza-apekzaH vimarSaH saMSayaH
   {saṃśayalakṣaṇam}	{saMSaya-lakzaNam}
   1.1.24: yam artham adhikṛtya pravartate tat prayojanam	1.1.24: yam arTam aDikRtya pravartate tat prayojanam
   {prayojanalakṣaṇam}	{prayojana-lakzaNam}
   1.1.25: laukikaparīkṣakāṇāṃ yasmin arthe buddhisāmyam saḥ dṛṣṭāntaḥ	1.1.25: lOkika-parIkzakANAm yasmin arTe budDi-sAmyam saH dRzwAntaH
   {dṛṣṭāntalakṣaṇam}	{dRzwAnta-lakzaNam}
   [nyāyāśrayasiddhāntalakṣaṇaprakaraṇam]	[nyAya-ASraya-sidDAnta-lakzaNa-prakaraNam]
   1.1.26: tantrādhikaraṇābhyupagamasaṃsthitiḥ siddhāntaḥ	1.1.26: tantra-aDikaraNa-aByupagama-saMsTitiH sidDAntaH
   {abhyupagamasiddhāntalakṣaṇam}	{aByupagama-sidDAnta-lakzaNam}
   1.1.27: saḥ caturvidhaḥ	1.1.27: saH caturviDaH
   sarvatantrapratitantrādhikaraṇābhyupagamasaṃsthityarthāntarabhāvāt	sarva-tantra-pratitantra-aDikaraNa-aByupagama-saMsTiti-arTa-antara-BAvAt-
   {tantrabheda-uddeśasūtram}	{tantra-Beda--uddeSa-sUtram}
   1.1.28: sarvatantrāviruddhaḥ tantre adhikṛtaḥ arthaḥ sarvatantrasiddhāntaḥ	1.1.28: sarva-tantra-avirudDaH tantre aDikRtaH arTaH sarva-tantra-sidDAntaH
   {sarvatantrasiddhānta-lakṣaṇam}	{sarva-tantra-sidDAnta--lakzaNam}
   1.1.29: samānatantrasiddhaḥ paratantrāsiddhaḥ pratitantrasiddhāntaḥ	1.1.29: samAna-tantra-sidDaH paratantra-asidDaH prati-tantra-sidDAntaH
   {pratitantrasiddhānta-lakṣaṇam}	{pratitantra-sidDAnta--lakzaNam}
   1.1.30: yatsiddhau anyaprakaraṇasiddhiḥ saḥ adhikaraṇasiddhāntaḥ	1.1.30: yad-sidDO anya-prakaraNa-sidDiH saH aDikaraNa-sidDAntaH
   {adhikaraṇasiddhānta-lakṣaṇam}	{aDikaraNa-sidDAnta--lakzaNam}
   1.1.31: aparīkṣitābhyupagamāt tadviśeṣaparīkṣaṇam abhyupagamasiddhāntaḥ	1.1.31: aparIkzita-aByupagamAt tad-viSeza-parIkzaNam aByupagama-sidDAntaH
   {abhyupagamasiddhānta-lakṣaṇam}	{aByupagama-sidDAnta--lakzaNam}
   [nyāyaprakaraṇam]	[nyAya-prakaraNam]
   1.1.32: pratijñāhetūdāharaṇopanayanigamanāni avayavāḥ	1.1.32: pratijQA-hetu-udAharaNa-upanaya-nigamanAni avayavAH
   {avayava-uddeśasūtram}	{ava-yava--uddeSa-sUtram}
   1.1.33: sādhyanirdeśaḥ pratijñā	1.1.33: sADya-nirdeSaH pratijQA
   {pratijñā-lakṣaṇam}	{pratijQA--lakzaNam}
   1.1.34: udāharaṇasādharmyāt sādhyasādhanaṃ hetuḥ	1.1.34: udAharaNa-sADarmyAt sADya-sADanam hetuH
   {hetu-lakṣaṇam}	{hetu--lakzaNam}
   1.1.35: tathā vaidharmyāt	1.1.35: taTA vEDarmyAt-
   {hetu-lakṣaṇam}	{hetu--lakzaNam}
   1.1.36: sādhyasādharmyāt taddharmabhāvī dṛṣṭāntaḥ udāharaṇam	1.1.36: sADya-sADarmyAt tad-Darma-BAvI dRzwAntaH udAharaNam
