   Paṇḍitāśokaracitam	PaNxita aSoka racitam
   Avayavinirākaraṇam /	Avaya vi nirAkaraNam /
   namaḥ samantabhadrāya //	namaH samantaBadrAya //
   abhyāsātiśayastathā na vihitastādṛk śrutaṃ nārjjitaṃ /	aByAsa atiSayaH taTA na vihitaH tAdRS Srutam na arjjitam /
   tanme cāpalamarthaleśamadhunānirmmātumīhe yadi /	tat me cApalam arTa leSa maDunA anirmmAtum Ihe yadi /
   etat sarvvamavekṣyayannigaditaṃ tatpaṇḍitairdṛśyatām /	etat sarvvam avekzyayat nigaditam tad paNxitEH dRSyatAm /
   prīṇantyeva vi + + + + hi śiśoḥ prāyaḥ pitṛṇāṃ manaḥ //	prINanti eva vi + + + + hi SiSoH prAyas pitRNAm manaH //
   yo virudvadharmmādhyāsavān nāsāvekaḥ / yathā ghaṭādirarthaḥ /	yaH virudva Darmma aDyAsavAn na asO= ekaH / yaTA Gawa AdiH arTaH /
   virudvadharmmādhyāsavāṃśca sthūlonīlādirartha iti vyāpakavirudvopalabdhiḥ	virudva Darmma aDyAsavAn= ca sTUlaH nIlAdiH arTaH iti vyApaka virudvA upalabDiH
   / iha dṛśyamānasthūlonīlādirartho dharmmī, sa cānubhavāvasito 'sati	/ iha dRSyamAna sTUlaH nIla AdiH arTaH DarmmI, sa ca anuBavOvasitaH asati
   bādhake pratyakṣasidvo hetorāśrayāsidviṃ nihanti / nanu	bADake pratyakza sidvaH hetoH ASraya asi dvim nihanti / nanu
   bhavadbhirasannevāvayavī pratijñāyate sa kathaṃ pratyakṣasidvaḥ /	BavadBiH asan= eva avayavI pratijQAyate sa kaTam pratyakza sidvaH /
   nāvayavinamiha dharmmiṇaṃ pratipannāḥ smaḥ kintu pratibhāsamānasthūla	na avayavinam iha DarmmiNam pratipannAH smaH kintu pratiBAsamAna sTUla
   nīlādikamartham / na tarhi virudvadharmmasaṃsargādavayavina ekatvaṃ	nIla Adikam arTam / na tarhi virudva Darmma saMsargAt avayavinaH eka tvam
   niṣidvaṃ syāt / yadyevaṃ kastarhi bhavato 'vayavī / eko	nizidvam syAt / yadi evam kaH tarhi BavataH avayavI / ekaH 
   'nekāvayavasamavetārtha iti cet / sa kiṃ pratibhāsamānāt sthūlanīlāderanyo	aneka avayava samaveta arTaH iti ced / sa kim pratiBAsamAnAt sTUla nIla AdeH anyaH 
   'nanyo vā / na tāvaṃdanyaḥ, dṛśyatvenābhyupagamāt / na ca	ananyaH vA / na tAvaMdanyaH, dRSya tvena aByupagamAt / na ca
   pratibhāsamānasthūlanīlārthavyatirekeṇāparaḥ pratibhāti / ananyaścet /	pratiBAsamAna sTUla nIla arTa vyatirekeNa aparaH pratiBAti / ananyaH ced /
   tasyaikatvapratikṣepe kathamapratiṣidvamekatvamavayavinaḥ /	tasya ekatva pratikzepe kaTam apratizidvam eka tvam avayavinaH /
   nanu ca pratibhāsamānaścedarthonāvayavirūpodharmmī / kintarhi	nanu ca pratiBAsamAnaH ced arTa Una avaya vi rUpa uDarmmI / kintarhi
   rūpamasyāvaśiṣṭaprasidvaṃ bhaviṣyatīti / ucyate, pratibhāsamānaḥ	rUpam asya avaSizwa prasidvam Bavizyati iti / ucyate, pratiBAsamAnaH
   sthūlonīlākāraḥ pratyakṣasidvaṃ rūpaṃ, avayavitvānabhyupagame	sTUlaH nIla AkAraH pratyakza sidvam rUpaM, avayavi tva anaByupagame
   'pyavaśiṣyate / na caivaṃ mantavyaṃ / na paramāṇusañcayavādināṃ	api avaSizyate / na ca evam mantavyam / na paramANu saQcaya vAdinAm
   sthūlākāraḥ kaścidartho 'sti yaḥ prasidvo dharmmī syāditi /	sTUla AkAraH kaScid arTaH asti yaH prasidvaH DarmmI syAt iti /
   avayavyanabhyupagame 'pi hi niravayavānekātmakaḥ sthūlo	avayavi anaByupagame api hi niravayavAn eka AtmakaH sTUlaH 
   'rthobhyupagamyamānaḥ kena niṣidvaḥ / syānmataṃ niravayavāḥ paramāṇavaḥ	arTa uByupagamyamAnaH kena nizidvaH / syAt matam niravayavAH paramANavaH
   kathaṃ pratyakṣe sthūlenā kāreṇāvabhāseran, sthūlasūkṣmayorvirodhāditi /	kaTam pratyakze sTUlenA kAreNa avaBAseran, sTUla sUkzmayoH viroDAt iti /
   tadapi na yuktaṃ / paramāṇava eva hi pararūpadeśaparihāreṇotpannāḥ	tat api na yuktam / paramANavaH eva hi para rUpa deSa parihAreNa utpannAH
   parasparasahitā avabhāsamānā deśavitānavanto bhāsante / vitatadeśatvañca	paraspara sahitAH avaBAsamAnAH deSa vitAnavantaH BAsante / vitata deSa tvaQca
   sthūlatvaṃ, yattuktaṃ sthūlasūkṣmayorvirodha iti tat kiṃ	sTUla tvan, yat tuktam sTUla sUkzmayoH viroDaH iti tat kim
   pararūpadeśaparihāravatī niravayavānāmutpattiḥ /	para rUpa deSa parihAravatI niravayavAnAm utpattiH /
   parasparasahitānāmekavijñānāvabhāsitvaṃ vā virudvamiti vaktumadhyavasitaṃ	paraspara sahitAnAm eka vijQAna avaBAsi tvam vA virudvam iti vaktum aDyavasitam
   / idañcedvirudvaṃ sthūlākāraḥ kiṃ virudvaḥ / ataeva niravayaveṣu	/ idaQcet virudvam sTUla AkAraH kim virudvaH / ataeva niravayavezu
   bahuṣvekasmin vijñāne pratibhāsa māneṣu bhavan pratibhāsakālabhāvī	bahuzu ekasmin vijQAne pratiBAsa mAnezu Bavan pratiBAsa kAla BAvI
   pratibhāsadharmmaḥ sthūlākāro na tu vāstavaḥ pratyekamabhāvāt /	pratiBAsa DarmmaH sTUla AkAraH na tu vAstavaH pratyekam aBAvAt /
   pratibhāsāt prāgūrdvaṃ vā na tarhi sthūlo 'rtha iti cet / na tadāpi	pratiBAsAt prAgUrdvam vA na tarhi sTUlaH arTaH iti ced / na tadA api
   pratibhāsayogyatāsambhavāt yadaiva hi sañcitā bhaveyustadaiva	pratiBAsa yogya tA samBavAt yadA eva hi saQcitAH BaveyuH tadA eva
   pratibhāsayogyāḥ paramāṇavaḥ / yadā ca pratibhāsayogyā stadā sthūlāḥ /	pratiBAsa yogyAH paramANavaH / yadA ca pratiBAsa yogyA stadA sTUlAH /
   yastvāha niravayaveṣu bahuṣu pratibhāsamāneṣvavaśyamantareṇāpi	yaH tu Aha niravayavezu bahuzu pratiBAsamAnezu avaSyam antareNa api
   pratibhāsitavyaṃ / antarānavabhāse parasparaviviktā eva nāvabhāsitāḥ syuḥ	pratiBAsitavyam / antara anavaBAse paraspara viviktAH eva na avaBAsitAH syuH
   / viviktānavabhāse cāṇumātrakaṃ piṇḍo bhavet / na	/ vivikta anavaBAse ca aNu mAtrakam piNxaH Bavet / na
   cāntaramavabhāsamānamutpaśyāmaḥ / tadayaṃ nirantara eka eva sthalo	ca antaram avaBAsamAnam utpaSyAmaH / tat ayam nirantaraH ekaH eva sTalaH 
   niravayavānekātmako bhavitumarhati, api tvekaḥ sthūlātmaka eveti / so	niravayavAn eka AtmakaH Bavitum arhati, api tu ekaH sTUla AtmakaH eva iti / saH 
   'pyevaṃ vācyaḥ / kiṃ vijātīyaparamāṇvantaramantaraṃ / āhosvit	api evam vAcyaH / kim vijAtIya paramANu antaram antaram / Ahosvit 
   śūnyākāśayogaḥ / tatra śūnyākāśayogastāvadavastutayā	SUnya AkASa yogaH / tatra SUnya AkASa yogaH tAvat avastu tayA
   nendriyapratyakṣagocaraḥ / arthasāmarthyabhāvini tātrārthasyaiva	na indriya pratyakza gocaraH / arTa sAmarTya BAvini tAtra arTasya eva
   pratibhāsopapatteḥ / vijātīyantvindriyāntaragrāhyaṃ	pratiBAsa upapatteH / vijAtIyantu indriya antara grAhyam
   kathamindriyāntarajñāne 'vabhāsetāviṣayatvāt / tat	kaTam indriya antara jQAne avaBAseta avizaya tvAt / tat 
   kenāntareṇāvabhāsitavyamiti na vidmaḥ / yat punarucyate /	kena antareNa avaBAsitavyam iti na vidmaH / yat punar ucyate /
   antarālānavabhāse viviktā nāvabhāseranniti /	antarAla anavaBAse viviktAH na avaBAseran= iti /
   tatrāpi kimeṣāmantaraṃ vivekaḥ pararūpaśūnyatā veti cintyaṃ /	tatra api kim ezAm antaram vivekaH para rUpa SUnyatA vA iti cintyam /
   nirūpayantastu pararūpaśūnyatāmeva vivekaṃ vastūnāṃ paśyāmaḥ /	nirUpayantaH tu para rUpa SUnyatAm eva vivekam vastUnAm paSyAmaH /
   pararūpaśūnyāśceme bhāsamānāḥ kathaṃ viviktā nāvabhāseranniti / nanu ca na	para rUpa SUnyAH ca ime BAsamAnAH kaTam viviktAH na avaBAseran= iti / nanu ca na
   pratyekaṃ paramāṇūnāṃ sthūlākāraḥ / tataḥ samuditānāmeṣṭavyaḥ / yathā ca	pratyekam paramANUnAm sTUla AkAraH / tatas samuditAnAm ezwavyaH / yaTA ca
   nīlaparamāṇūnāṃ pratyekamasambhavan pītākāro bahuṣvapi na dṛśyate / tathā	nIla paramANUnAm pratyekam asamBavan pIta AkAraH bahuzu api na dRSyate / taTA
   pratyekamasambhavan sthūlākāraḥ kathaṃ bahuṣu syāditi /	pratyekam asamBavan sTUla AkAraH kaTam bahuzu syAt iti /
   uktamatra / avirudvo niravayavāṇāṃ sthūlākāra iti / nīlavirudvastu	uktam atra / avirudvaH niravayavANAm sTUla AkAraH iti / nIla virudvaH tu
   pītākāraḥ / tataḥ pītavirudvaṃ nīlākāraṃ vibhrāṇeṣu bahuṣvapi kathaṃ	pIta AkAraH / tatas pIta virudvam nIla AkAram viBrANezu bahuzu api kaTam
   pītākāro bhavet / naivaṃ niravayavatvavirudvaḥ sthūlākāraḥ yathoktānyāyāt	pIta AkAraH Bavet / na evam niravayava tva virudvaH sTUla AkAraH yaTA ukta anyAyAt 
   / tadevaṃ pratyakṣasidvaḥ sthūlo 'rtha iha dharmmīti vyavasthitaṃ /	/ tat evam pratyakza sidvaH sTUlaH arTaH iha Darmmi iti vyavasTitam /
   tadevamavasthite dharmmiṇi hetoḥ sattvamasattvaṃ vā nirūpyaṃ / tatra	tat evam avasTite DarmmiNi hetoH sattvam asat tvam vA nirUpyam / tatra
   pāṇyādāvekasmin kampamāne sthūlo 'rthaḥ sakampaniḥkampe rūpe yugapat	pANi AdO= ekasmin kampamAne sTUlaH arTaH sa kampa niHkampe rUpe yugapad 
   pratipadyamānaḥ kathaṃ virudvadharmmasaṃsargavānna syāt /	pratipadyamAnaH kaTam virudva Darmma saMsargavAn na syAt /
   sakampaniḥkampayorhi rūpayoḥ parasparābhāvāvyabhicāranimittako 'sti	sa kampa niHkampayoH hi rUpayoH paraspara aBAva avyaBicAra nimittakaH asti
   virodhaḥ / bhāvābhāvayoreva hi parasparaparihārātmako virodhaḥ /	viroDaH / BAva aBAvayoH eva hi paraspara parihAra AtmakaH viroDaH /
   vastunostu tadabhāvāvyabhicāreṇaiva / iha ca sakampaniḥkampe rūpe gṛhṇat	vastunoH tu tad aBAva avyaBicAreNa eva / iha ca sa kampa niHkampe rUpe gRhNat 
   pratyakṣameva sāmarthyāt parasparābhāvaṃ sādhayati / vyavahārayati tu	pratyakzam eva sAmarTyAt paraspara aBAvam sADayati / vyavahArayati tu
   nirvviśeṣaṇaivānupalabdhiḥ / syādetat pāṇyādāvekasminnavayave kampamāne	nirvviSezaNA eva anupalabDiH / syAt etat pANi AdO= ekasmin= avayave kampamAne
   nāvayavinaḥ kampa rūpamabhyupeyaṃ / avayava eva hi tadā kriyāvān dṛśyate /	na avayavinaH kampa rUpam aByupeyam / avayavaH eva hi tadA kriyAvAn dRSyate /
   na cedaṃ mantavyaṃ / avayave kriyāvati tadādheyenāvayavināpi kriyāvatā	na ca idam mantavyam / avayave kriyAvati tad ADeyena avayavinA api kriyAvatA
   bhavitavyaṃ, yathā rathe calati tadā rūḍho 'pi calatīti /	Bavitavyan, yaTA raTe calati tadA rUXaH api calati iti /
   avayavāvayavikarmmaṇorbhinnanimittatvāt / nimittāyaugapadyācca / yadā hi	avayava avayavi karmmaNoH Binna nimitta tvAt / nimitta ayOgapadyAt ca / yadA hi
   ātmanaḥ pāṇikampanecchā bhavati / tataḥ prayatnaḥ / tadā	AtmanaH pANi kampana icCA Bavati / tatas prayatnaH / tadA
