   Abkürzungsverzeichnis	AbkürzungsveH-zeiCnis
   AgniP: Agnipurāṇam.	AgniP: Agni-purANam.
   ĀpastambaDhS: Āpastambīyadharmasūtram.	Āpastamba-DhS: ĀpastambIya-Darma-sUtram.
   ĀpastambaGṛS: Āpastambagṛhyasūtram.	Āpastamba-GRS: Āpastamba-gRhya-sUtram.
   ĀS: Ānandasaṃhitā.	ĀS: Ānanda-saMhitA.
   Aṣṭadhyāyī: Pānini's Acht Bücher grammatischer Regeln.	AzwaDyAyI: PAnini-as ACt BüCeH grammatisCeH Regeln.
   ĀśvalāyanaGṛS: Āśvalāyanagṛhyasūtra.	ĀSvalAyana-GRS: ĀSvalAyana-gRhya-sUtra.
   AV: Atharvasaṃhitā.	AV: ATarva-saMhitA.
   BhāgavataP: Śrīmad Bhāgavata Mahāpurāṇam.	BhAgavata-P: ŚrImat Bha-agavata MahApurANam.
   BaudhDhS: Das Baudhāyana-Dharmasūtra.	BODDhS: Das BODAyana-Dharma-sUtra.
   BaudhGṛS: The Bodhāyana Gṛhyasūtra.	BODGRS: The BoDAyana GRhi-asUtra.
   BaudhGṛŚeṣS: pp. 177-376 in BaudhGṛS.	BODGRŚezS: pp. 177-376 id BODGRS.
   BhGī: Bhagavadgītā. s. MBh (6.23.1-40.78).	BhGI: BhagavadgItA. s. MBh (6.23.1-40.78).
   BrahmakaivartaP: Śrībrahmavaivartapurāṇam.	Brahma-kEva-rtaP: ŚrI-brahmavEvarta-purANam.
   BrahmāṇḍaP: Brahmāṇḍapurāṇa of Kṛṣṇa Dvaipāyana Vyāsa.	BrahmANxaP: BrahmANxapurANaH of KRzNa DvEpAyanaH VyAsa.
   BrahmaP: Sanskrit indices and text of the Brahmapurāṇa.	Brahma-P: Sanskrit indiceH and text of Te BrahmapurANa-.
   BṛhadbrahmaS: Bṛhadbrahmasaṃhitā.	BRhat-brahmaS: BRhat-brahma-saMhitA.
   ChāndogyaBr: Chāndogyabrāhmaṇa.	ChAn-dogyaBr: ShAn-dogya-brAhmaNa.
   ChāndogyaU: Khândojopanishad.	ChAndogyaU: Khândoja-upanishad.
   DHN[D]: Daśavidhahetunirūpaṇa by Śrīnivāsa Dīkṣita.	DHN[D]: DaSaviDa-hetu-nirUpaNa bi ŚrIn-ivAsa DIkzita.
   DHN[T]: Daśavidhahetunirūpaṇa by Śrīnivāsa Dīkṣita [Telugu characters]	DHN[T]: DaSaviDa-hetu-nirUpaNa bi ŚrIn-ivAsa DIkzitaH [Telugu CaracteH-s]
   DHNV: Daśavidhahetunirūpaṇavyākhyāna	DHNV: DaSaviDa-hetu-nirUpaNa-vyAKyAna
   GarbhaU: Garbhopaniṣad.	GarBaU: GarBa-upanizad.
   GaruḍaP: Śrīgaruḍamahāpurāṇam.	GaruxaP: ŚrI-garuxa-mahApurANam.
   GautamaDhS: The Institutes of Gautama.	GOtam-aDhS: The InstituteH of GOtama.
   GobhilaGṛS: Gobhilīyagṛhyasūtra.	GoBilaGRS: GoBilIya-gRhya-sUtra.
   GṛhyapariśiṣṭaS: Vaikhānasagṛhyapariśiṣṭasūtra.	GRhya-pariSizwa-S: VEKAnasa-gRhya-pariSizwa-sUtra.
   HariV: The Harivaṃśa (Suppl. to MBh).	HariV: The HarivaMSa (Suppl. taH MBh).
   HirGṛS: Hiraṇyakeśigṛhyasūtram.	HiH-GRS: HiraNya-keSi-gRhya-sUtram.
   ĪśvaraS: Īśvarasaṃhitā.	ĪSvaraS: ĪSvara-saMhitA.
   JayākhyaS: Jayākhyasaṃhitā.	Jaya-AKya-S: Jaya-AKya-saMhitA.
   KaivalyaU: Kaivalyopaniṣad.	KEvalI-aU: KEvalya-upanizad.
   KapiñjalaS: Kapiñjalasaṃhitā.	Ka-piQjalaS: KapiQjala-saMhitA.
   KāṭhakaGṛS: The Kāṭhakagṛhyasūtra.	KAWaka-GRS: The KAWaka-gRhya-sUtra.
   KhA: Khilādhikāra (Khilatantra)	KhA: Khila-aDikAraH (Khila-tantra)
   KhādiraGṛS: Khādiragṛhyasūtram.	KhAdiH-aGRS: KhAdiH-agRhya-sUtram.
   KJK: Jñānakāṇḍa (Kāśyapasaṃhitā).	KJK: JQAna-kANxaH (Ka-ASyapa-saMhitA).
   KrA: Kriyādhikāra.	KrA: Kriya-aDikAra.
   KūrmaP: Śrī-Kūrmamahāpurāṇam.	KUrmaP: ŚrI--Ku-Urma-mahApurANam.
   LiṅgaP: Liṅgamahāpurāṇam.	LiFgaP: LiFga-mahApurANam.
   MahāU: Mahopaniṣad.	MahAU: Maha-upanizad.
   ManuDhŚ: The Manu Smṛti.	ManuDhŚ: The Manu SmRti.
   ManuGṛS: Mānavagṛhyasūtra of the Maitrāyaṇīya śākhā.	ManuGRS: MAn-avagRhya-sUtraH of Te MEtrAyaNIya SAKA.
   MarkaṇḍeyaP: Śrī-Mārkaṇḍeyamahāpurāṇam.	MarkaNxeya-P: ŚrI-MArkaNxeya-mahApurANam.
   MatsyaP: Matsyamahāpurāṇam.	Matsya-P: Matsya-mahApurANam.
   MBh: Mahābhārata.	MBh: Maha-aBArata.
   MOP: Mokṣopāyapradīpikā by Raghupatibhaṭṭācārya.	MOP: MA-ukza-upAya-pradIpikA bi RaGu-pati-Bawwa-AcArya.
   MudgalaU: Mudgalopaniṣad.	MudgalaU: Mudgala-upanizad.
   MuṇḍakaU: Muṇḍakopaniṣad.	MuNxa-kaU: MuNxaka-upanizad.
   NāradaP: Nāradapurāṇa.	NAradaP: NArada-purANa.
   NarasiṃhaP: Nṛsiṃhapurāṇa.	Nara-siMha-P: NRsiMhapurANa.
   Nirukta: [Yāska] The Nighantu and the Nirukta.	NiH-ukta: [YAska] The NiGantu and Te NiH-ukta.
