   tṛtīya uddyotaḥ	tRtIyaH uddyotaH
   tṛtīya uddyotaḥ       evaṃ vyaṅgyamukhenaiva dhvaneḥ pradarśite saprabhede	tRtIyaH uddyotaH    evam vyaFgya muKena eva DvaneH pradarSite sa praBede
   svarūpe punarvyañjakamukhenaitatprakāśyate    locanam tṛtīya uddyotaḥ	svarUpe punar vyaQjaka muKena etat prakASyate   locanam tRtIyaH uddyotaH
   smarāmi smarasaṃhāralīlāpāṭavaśālinaḥ /	smarAmi smara saMhAra lIlA pAwava SAlinaH /
   prasahya śambhordehārdhe harantīṃ parameśvarīm //	prasahya SamBoH deha arDe harantIm parameSvarIm //
   udyotāntarasaṅgatiṃ kartumāha vṛttikāraḥ   evamityādi /	udyota antara saFgatim kartum Aha vRtti kAraH   evam ityAdi /
   tatra vācyamukhena tāvadavivakṣitavācyādayo bhedāḥ, vācyaśca yadyapi	tatra vAcya muKena tAvat avivakzita vAci AdayaH BedAH, vAcyaH ca yadi api
   vyañjaka eva /	vyaQjakaH eva /
   yathoktam  'yatrārthaḥ śabdo vā' iti /	yaTA uktam   ayatra arTaH SabdaH vA a iti /
   tataśca vyañjakamukhenāpi bheda uktaḥ, tathāpi sa vācyo 'rtho	tatas ca vyaQjaka muKena api BedaH uktaH, taTA api sa vAcyaH arTaH 
   vyaṅgyamukhenaiva bhidyate /	vyaFgya muKena eva Bidyate /
   tathā hyavivakṣito vācyo vyaṅgyena nyagbhāvitaḥ, vivakṣitānyaparo vācya	taTA hi avivakzitaH vAcyaH vyaFgyena nyagBAvitaH, vivakzitAni aparaH vAcya
   iti vyaṅgyārthapravaṇa evocyate ityevaṃ mūlabhedayoreva	iti vyaFgya arTa pravaNaH eva ucyate iti evam mUla BedayoH eva
   yathāsvamavāntarabhedasahitayorvyañjakarūpo bālapriyā atha	yaTAsvam avAntara Beda sahitayoH vyaQjaka rUpaH bAla priyAH aTa
   tṛtīyodyotaṭippaṇī prārabhyate athāhaṃ prauḍhamudyotaṃ tṛtīyañca yathāmati	tRtIya udyota wippaNI prAraByate aTa aham prOXam udyotam tRtIyaQca yaTAmati
   kimapi vyākariṣyāmi prasīdantvatra me budhāḥ //	kim api vyAkarizyAmi prasIdantu atra me buDAH //
   smarāmīti /	smarAmi iti /
   smarasya kāmasya saṃhāra eva līlā, tatra yatpāṭavaṃ sāmarthyaṃ tacchālinaḥ	smarasya kAmasya saMhAraH eva lIlA, tatra yat pAwavam sAmarTyam tad SAlinaH
   śambhoḥ dehārdhaṃ prasahya harantīmityanena parameśvaryāḥ tathāvidhāt	SamBoH deha arDam prasahya harantIm iti anena parameSvaryAH taTAviDAt 
   parameśvarādapyatiśayitaṃ pāṭavaṃ dyotyate /	parameSvarAt api atiSayitam pAwavam dyotyate /
   udyoteti /	udyotA iti /
   anya udyotaḥ uddyotāntaraṃ tṛtīyodyotaḥ, tasya saṅgāta dvitīyoyotena saha	anyaH udyotaH uddyota antaram tRtIya udyotaH, tasya saFgAta dvitIya uyotena saha
   prasaṅgarūpāṃ saṅgatimityarthaḥ /	prasaFga rUpAm saFgatim iti arTaH /
   kartuṃ sampādayitum /	kartum sampAdayitum /
   vyaṅgyamukhena pradarśita ityuktyā vyañjakamukhenāpradarśanaṃ labhyate,	vyaFgya muKena pradarSitaH iti uktyA vyaQjaka muKena apradarSanam laByate,
   tadanupapannamityāśaṅkāmudbhāvya tadukterabhiprāyaṃ	tad anupapannam iti ASaFkAm udBAvya tad ukteH aBiprAyam
   darśayannavatārayati   tatretyādi /	darSayan= avatArayati   tatra ityAdi /
   yadyapītyādau yojyam /	yadi api ityAdO yojyam /
   tatra dhvanau /	tatra DvanO /
   vācyamukhenetyādi /	vAcya muKena ityAdi /
   avivakṣitatvādiviśiṣṭavācyaṃ bhedakamavalambyaiva	avivakzita tva Adi viSizwa vAcyam Bedakam avalambya eva
   dhvaneravivakṣitavācyatvādayaḥ prabhedāssambhavantītyarthaḥ /	DvaneH avivakzita vAcya tva AdayaH praBedAssamBavanti iti arTaH /
   tataḥ kimata āha  vācyaścetyādi /	tatas kim atas Aha  vAcyaH ca ityAdi /
   yathoktamiti /	yaTA uktam iti /
   vācyasya vyañjakatvamastītyuktamityarthaḥ /	vAcyasya vyaQjaka tvam asti iti uktam iti arTaH /
   etāvatāpi kimāyātamityata āha   tataścetyādi /	etAvatA api kim AyAtam iti atas Aha   tataH ca ityAdi /
   sa iti /	saH iti /
   vyañjaka ityarthaḥ /	vyaQjakaH iti arTaH /
   vyaṅgyena nyagbhāvita iti /	vyaFgyena nyagBAvitaH iti /
   vācyasyāvivakṣitatvoktyā vyaṅgyenāpradhānīkṛtatvaṃ siddhyatīti bhāvaḥ /	vAcyasya avivakzita tva uktyA vyaFgyena apraDAnIkRta tvam sidDyati iti BAvaH /
   vyaṅgyārthapravaṇaḥ vyaṅgyaparatantraḥ /	vyaFgya arTa pravaNaH vyaFgya paratantraH /
   upasaṃharati   itītyādi /	upasaMharati   iti ityAdi /
   mūlabhedayoriti /	mUlaBedayoH iti /
   avivakṣitavācyavivakṣitānyaparavācyayorityarthaḥ /	avivakzita vAcya vivakzitAni aparavAcyayoH iti arTaH /
   vyaṅgyamukhatyādi /	vyaFgya muKatyAdi /
   vyaṅgyapāratantryeṇaivetyarthaḥ /	vyaFgya pAratantryeNa eva iti arTaH /
   ata eva uktābhiprāyādeva /	atas eva ukta aBiprAyAt eva /
   kiñceti /	kiQca iti /
   vyaṅgyamukhena	vyaFgya muKena
   avivakṣita vācyasya pada vākya prakāśatā /	avivakzita vAcyasya pada  vAkya  prakASa tA /
   tad anyasyānuraṇana rūpa vyaṅgyasya ca dhvaneḥ // DhvK_3.1 //	tad  anyasya anuraNa na  rUpa vyaFgyasya ca DvaneH // DhvK_3.1 //
   avivakṣitavācyasya padavākyaprakāśatā /	avivakzita vAcyasya pada vAkya prakASa tA /
   tadanyasyānuraṇanarūpavyaṅgyasya ca dhvaneḥ // 1 //	tad anyasya anuraNana rUpa vyaFgyasya ca DvaneH // 1 //
   avivakṣitavācyasyātyantatiraskṛtavācye prabhede padaprakāśatā yathā	avivakzita vAcyasya atyanta tiraskRta vAcye praBede pada prakASa tA yaTA
   maharṣervyāsasya   'saptaitāḥ samidhaḥ śriyaḥ', yathā vā	mahA RzeH vyAsasi a    asapta etAH samiDaH SriyaH a, yaTA vA
   kālidāsasya   'kaḥ sannaddhe virahavidhurāṃ tvayyupekṣeta jāyām', yathā	kAlidAsasya     akaH sannadDe viraha viDurAm tvayi upekzeta jAyAm a, yaTA
   vā  'kimiva hi madhurāṇāṃ maṇḍanaṃ nākṛtīnām', eteṣūdāharaṇeṣu 'samidha'	vA   akim iva hi maDurANAm maNxanam na AkRtInAm a, etezu udAharaNezu asamiDa a
   iti sannaddha' iti 'madhurāṇā'miti ca padāni vyañjakatvābhiprāyeṇaiva	iti sannadDa a iti amaDurANA am iti ca padAni vyaQjaka tva aBiprAyeNa eva
   kṛtāni /	kRtAni /
   locanam yo 'rthaḥ sa vyaṅgyamukhaprekṣitāśaraṇatayaiva bhedamāsādayati /	locanam yaH arTaH sa vyaFgya muKa prekzitA SaraNa tayA eva Bedam AsAdayati /
   ata evāha   vyaṅgyamukheneti /	atas eva aha   vyaFgya muKena iti /
   kiṃ ca yadyapyartho vyañjakastathāpi vyaṅgyatāyogyo 'pyasau bhavatīti,	kim ca yadi api arTaH vyaQjakaH taTA api vyaFgyatA yogyaH api asO Bavati iti,
   śabdastu na kadācidyvaṅgyaḥ api tu vyañjaka eveti /	SabdaH tu na kadAcid yvaFgyaH api tu vyaQjakaH eva iti /
   tadāha   vyañjakamukheneti /	tad Aha    vyaQjaka muKena iti /
   na ca vācyasyāvivakṣitādirūpeṇa yo bhedastatra sarvathaiva na na	na ca vAcyasya avivakzita Adi rUpeNa yaH BedaH tatra sarvaTA eva na na
   prakāśitaḥ kintu prakāśito 'pyadhunā punaḥ śuddhavyañjakamukhena /	prakASitaH kintu prakASitaH api aDunA punar SudDa vyaQjaka muKena /
   tathāhi vyaṅgyamukhaprekṣitayā vinā padaṃ vākyaṃ varṇāḥ padabhāgaḥ	taTA hi vyaFgya muKa prekzitayA vinA padam vAkyam varNAH pada BAgaH
   saṅghaṭanā mahāvākyamiti svarūpata eva v.yañjakānāṃ bhedaḥ, na	saFGawanA mahA vAkyam iti svarUpataH eva v.yaQjakAnAm BedaH, na
   caiṣāmarthavatkadācidapi vyaṅgyatā sambhavatīti vyañjakaikaniyataṃ	ca ezAm arTavat kadAcid api vyaFgyatA samBavati iti vyaQjaka eka niyatam
   svarūpaṃ yattanmukhena bhedaḥ prakāśyata iti tātparyam /	svarUpam yat tad muKena BedaH prakASyate iti tAtparyam /
   yastu vyācaṣṭe   'vyaṅgyānāṃ vastvalaṅkārarasānāṃ mukhena' iti, sa evaṃ	yaH tu vyAcazwe    avyaFgyAnAm vastu alaFkAra rasAnAm muKena a iti, saH evam
   praṣṭavyaḥ   etattāvatrribhedatvaṃ na kārikākāreṇa kṛtam /	prazwavyaH   etat tO= atrri Beda tvam na kArika AkAreNa kRtam /
   vṛttikāreṇa tu darśitam /	vRtti kAreNa tu darSitam /
   na cedānīṃ vṛttikārobhedaprakaṭanaṃ karoti bālapriyā pradarśita	na ca idAnIm vRtti kAra uBeda prakawanam karoti bAla priyA pradarSita
   ityukterabhiprāyāntarañcāstītyarthaḥ /	iti ukteH aBiprAya antaraQcA asti iti arTaH /
   tadāha   yadyapītyādi /	tadA aha   yadi api ityAdi /
   arthaḥ vācyaḥ /	arTaH vAcyaH /
   vyaṅgyetyādi /	vyaFgya ityAdi /
