   devadeva uvāca	devadevaH uvAca
   sarasvatīdṛṣadvatyorantare kurujāṅgale /	sarasvatI-dRzadvatyoH-antare kurujAFgale /
   sunipravaramāsīnaṃ purāṇaṃ lomaharṣaṇam /	su-nipra-varam-AsInam purANam loma-harzaNam /
   aṣṭacchanta dvijavarāḥ prabhāvaṃ sarasastadā // VamPSm_1.1 //	azwacCanta dvijavarAH praBAvam sarasaH-tadA // VamPSm_1.1 //
   pramāṇaṃ saraso brūhi tīrthānāṃ ca viśeṣataḥ /	pramANam sarasaH brUhi tIrTAnAm ca viSezataH /
   devatānāṃ ca māhātmyamutpattiṃ vāmanasya ca // VamPSm_1.2 //	devatAnAm ca mAhAtmyam-utpattim vAmanasya ca // VamPSm_1.2 //
   etacchrutvā vacasteṣāṃ romaharṣasamanvitaḥ /	etat-SrutvA vacaH-tezAm roma-harza-samanvitaH /
   praṇipatya purāṇarṣiridaṃ vacanamavravīt // VamPSm_1.3 //	praNipatya purANa-RziH-idam vacanam-avravIt // VamPSm_1.3 //
   lomaharṣaṇa uvāca	lomaharzaNaH uvAca
   brahmaṇamagryaṃ kamalāsanasthaṃ viṣṇuṃ tathā lakṣmisamanvitaṃ ca /	brahmaNam-agryam kamalAsana-sTam vizNum taTA lakzmi-samanvitam ca /
   rudraṃ ca devaṃ praṇipatya mūrdhnā tīrthaṃ mahad brahmasaraḥ pravakṣye //	rudram ca devam praNipatya mUrDnA tIrTam mahat brahmasaraH pravakzye //
   VamPSm_1.4 //	VamPSm_1.4 //
   rantukādaujasaṃ yāvat pāvanācca caturmukham /	rantukAt-Ojasam yAvat pAvanAt-ca caturmuKam /
   saraḥ saṃnihitaṃ proktaṃ brahmaṇā pūrvameva tu // VamPSm_1.5 //	saraH saMnihitam proktam brahmaNA pUrvam-eva tu // VamPSm_1.5 //
   kalidvāparayormadhye vyāsena ca mahātmanā /	kali-dvAparayoH-maDye vyAsena ca mahAtmanA /
   saraḥpramāṇaṃ yatproktaṃ tacchṛṇudhvaṃ dvijottamāḥ // VamPSm_1.6 //	saraH-pramANam yat-proktam tat-SRNuDvam dvijottamAH // VamPSm_1.6 //
   viśveśvarādasthipuraṃ rathā kanyā jaradgavī /	viSveSvarAt-asTi-puram raTA kanyA jarat-gavI /
   yāvadoghavatī proktā tāvatsaṃnihitaṃ saraḥ // VamPSm_1.7 //	yAvat-oGavatI proktA tAvat-saMnihitam saraH // VamPSm_1.7 //
   mayā śrutaṃ pramāṇaṃ yat paṭhyamānaṃ tu vāmane /	mayA Srutam pramANam yat paWyamAnam tu vAmane /
   tacchṛṇudhvaṃ dvijaśreṣṭhāḥ puṇyaṃ vṛddhikaraṃ mahat // VamPSm_1.8 //	tat-SRNuDvam dvijaSrezWAH puNyam vRdDi-karam mahat // VamPSm_1.8 //
   viśveśvarād devavarā nṛpāvanāt sarasvatī /	viSveSvarAt deva-varA nRpAvanAt sarasvatI /
   saraḥ saṃnihitaṃ jñeyaṃ samantādarthayojanam // VamPSm_1.9 //	saraH saMnihitam jQeyam samantAt-arTa-yojanam // VamPSm_1.9 //
   etadāśritya devāśca ṛṣayaśca samāgatāḥ /	etat-ASritya devAH-ca RzayaH-ca samAgatAH /
   sevante muktikāmārthaṃ svargārthe cāpare sthitāḥ // VamPSm_1.10 //	sevante mukti-kAma-arTam svarga-arTe ca-apare sTitAH // VamPSm_1.10 //
   brahmaṇā sevitamidaṃ sṛṣṭikāmena yoginā /	brahmaNA sevitam-idam sRzwi-kAmena yoginA /
   viṣṇunā sthitikāmena harirūpeṇa sevitam // VamPSm_1.11 //	vizNunA sTiti-kAmena hari-rUpeNa sevitam // VamPSm_1.11 //
   rudreṇa ca saromadhyaṃ praviṣṭena mahātmanā /	rudreNa ca saraH-maDyam pravizwena mahAtmanA /
   sevya tīrthaṃ mahātejāḥ sthāṇutvaṃ prāptavān haraḥ // VamPSm_1.12 //	sevya tIrTam mahA-tejAH sTANu-tvam prAptavAn haraH // VamPSm_1.12 //
   ādyaiṣā brahmaṇo vedistato rāmahṛdaḥ smṛtaḥ /	AdyA-ezA brahmaNaH vediH-tatas rAma-hRdaH smRtaH /
   karuṇā ca yataḥ kṛṣṭaṃ kurukṣetraṃ tataḥ smṛtam // VamPSm_1.13 //	karuNA ca yatas kRzwam kurukzetram tatas smRtam // VamPSm_1.13 //
   tarantukārantukayoryadantaraṃ yadantaraṃ rāmahṛdāccaturmukham /	tarantuka-arantukayoH-yat-antaram yat-antaram rAma-hRdAt-caturmuKam /
   etkurukṣetrasamantapañcakaṃ pitāmahasyottaravedirucyate // VamPSm_1.14 //	ed-kurukzetra-samantapaQcakam pitAmahasya-uttaravediH-ucyate // VamPSm_1.14 //
   iti śrīvāmanapurāṇe saromāhātmye prathamo 'dhyāyaḥ	iti SrI-vAmanapurANe saromAhAtmye praTamaH aDyAyaH
   ṛṣaya ūcuḥ	RzayaH UcuH
   brūhi vāmanamāhātmyamutpattiṃ ca viśeṣataḥ /	brUhi vAmana-mAhAtmyam-utpattim ca viSezataH /
   yathā balirniyamito dattaṃ rājyaṃ śatakratoḥ // VamPSm_2.1 //	yaTA baliH-niyamitaH dattam rAjyam SatakratoH // VamPSm_2.1 //
   lomaharṣaṇa uvāca	lomaharzaNaH uvAca
   śṛṇudhvaṃ munayaḥ prītā vāmanasya mahātmanaḥ /	SRNuDvam munayaH prItAH vAmanasya mahAtmanaH /
   utpattiṃ ca prabhāvaṃ ca nivāsaṃ kurujāṅgale // VamPSm_2.2 //	utpattim ca praBAvam ca nivAsam kurujAFgale // VamPSm_2.2 //
   tadeva vaṃśaṃ daityānāṃ śṛṇudhvaṃ dvijasattamāḥ /	tat-eva vaMSam dEtyAnAm SRNuDvam dvijasattamAH /
   yasya vaṃśe samabhavad balirvairocaniḥ purā // VamPSm_2.3 //	yasya vaMSe samaBavat baliH-vErocaniH purA // VamPSm_2.3 //
   daityānāmādipuruṣo hiraṇyakaśipuḥ purā /	dEtyAnAm-Adi-puruzaH hiraNyakaSipuH purA /
   tasya putro mahātejāḥ prahlādo nāma dānavaḥ // VamPSm_2.4 //	tasya putraH mahA-tejAH prahlAdaH nAma dAnavaH // VamPSm_2.4 //
   tasmād virocano jajñe balirjajñe virocanāt /	tasmAt virocanaH jajQe baliH-jajQe virocanAt /
   hate hiraṇyakaśipau devānutsādya sarvataḥ // VamPSm_2.5 //	hate hiraNyakaSipO devAn-utsAdya sarvatas // VamPSm_2.5 //
   rājyaṃ kṛtaṃ ca teneṣṭaṃ trailokye sacarācare /	rAjyam kRtam ca tena-izwam trElokye sacarAcare /
   kṛtayatneṣu deveṣu trailokye daityatāṃ gate // VamPSm_2.6 //	kRta-yatnezu devezu trElokye dEtya-tAm gate // VamPSm_2.6 //
   jaye tathā balavatormayaśambarayostathā /	jaye taTA balavatormaya-SambarayoH-taTA /
   śuddhāsu dikṣu sarvāsu pravṛtte dharmakarmaṇi // VamPSm_2.7 //	SudDAsu dikzu sarvAsu pravRtte Darma-karmaNi // VamPSm_2.7 //
   saṃpravṛtte daityapathe ayanasthe divākare /	saMpravRtte dEtya-paTe ayana-sTe divAkare /
