   Gurupañcāśikā	GurupaQcASikA
   om namo buddhāya /	om namaH budDAya /
   śrīvajrasattvapadavīpratilambhahetornatvā yathāvidhi guroścaraṇāravindam /	SrI vajra sattva padavI pratilamBa hetoH natvA yaTAviDi guroH caraNa aravindam /
   tatparyupāstiramalā bahutantragītā saṃkṣipya kathyata iyaṃ śṛṇutādareṇa //	tad paryupAstiH amalA bahu tantra gItA saMkzipya kaTyate iyam SRNuta AdareNa //
   abhiṣekāgralabdho hi vajrācāryastathāgataiḥ /	aBizeka agra labDaH hi vajra AcAryaH taTAgatEH /
   daśadiglokadhātusthaistrikālametya vandyate // 2 //	daSa diS loka DAtu sTEH tri kAlam etya vandyate // 2 //
   trikālaṃ parayā bhaktyā sapuṣpāñjalimaṇḍalaiḥ /	tri kAlam parayA BaktyA sa puzpa aQjali maNxalEH /
   paryupāsyo guruḥ śāstā śirasā pādavandanāt // 3 //	paryupAsyaH guruH SAstA SirasA pAda vandanAt // 3 //
   saddharmādīn puraskṛtya gṛhī vā navako 'pi vā /	sadDarma AdIn puraskRtya gRhI vA navakaH api vA /
   vandyo vratadharairbuddhyā lokāvadyāvahānaye // 4 //	vandyaH vrata DarEH budDyA lokO= adyAvahAnaye // 4 //
   sukhāsanaṃ samutthānamarthakriyādigauravam /	suKa Asanam samutTAnam arTa kriyA Adi gOravam /
   sarvameva vratī kuryāt tyaktvā cārcanavandanam // 5 //	sarvam eva vratI kuryAt tyaktvA ca arcana vandanam // 5 //
   prāk śiṣyācāryasaṃbandhaḥ kāryaḥ parīkṣya sūribhiḥ /	prAk Sizya AcArya saMbanDaH kAryaH parIkzya sUriBiH /
   samānasamayabhraṃśo doṣo hi guruśiṣyayoḥ // 6 //	samAna samaya BraMSaH dozaH hi guru SizyayoH // 6 //
   niṣkṛpaṃ krodhanaṃ krūraṃ stabdhaṃ laghumasaṃyatam /	nizkRpam kroDanam krUram stabDam laGum asaMyatam /
   svotkarṣakaṃ ca no kuryād guruṃ śiṣyaṃ ca buddhimān // 7 //	sva utkarzakam ca no kuryAt gurum Sizyam ca budDimAn // 7 //
   dhīro vinīto matimān kṣamāvānārjavo 'śaṭhaḥ /	DIraH vinItaH matimAn kzamAvAn ArjavaH aSaWaH /
   mantratantraprayogajñaḥ kṛpāluḥ śāstrakovidaḥ // 8 //	mantra tantra prayoga jQaH kRpAluH SAstra kovidaH // 8 //
   daśatattvaparijñātā maṇḍalālekhyakarmavit /	daSa tattva parijQAtA maNxala AleKya karma vid /
   mantravyākhyākṛdācāryaḥ prasannaḥ syājjitendriyaḥ // 9 //	mantra vyAKyA kRt AcAryaH prasannaH syAt jita indriyaH // 9 //
   taṃ nāthaṃ yo 'vamanyeta śiṣyo bhūtvā sacetanaḥ /	tam nATam yaH avamanyeta SizyaH BUtvA sa cetanaH /
   sarvabuddhāpamānena sa nityaṃ duḥkhamāpnuyāt // 10 //	sarva budDa apamAnena sa nityam duHKam ApnuyAt // 10 //
   ītyupadravacauraiśca grahajvaraviṣādibhiḥ /	Iti upadrava cOrEH ca graha jvara viza AdiBiH /
   mriyate 'sau mahāmūḍho gurupādābhinindakaḥ // 11 //	mriyate asO mahA mUXaH guru pAda aBinindakaH // 11 //
   rājavātānalavyālairḍākinījalataskaraiḥ /	rAja vAta anala vyAlEH xAkinI jala taskarEH /
   vighnairvināyakaiścāpi mārito narakaṃ vrajet // 12 //	viGnEH vinAyakEH ca api mAritaH narakam vrajet // 12 //
   na kuryāccittasaṃkṣobhamācāryasya kadācana /	na kuryAt citta saMkzoBam AcAryasya kadAcana /
   yadā karoti duṣprajño narake pacyate dhruvam // 13 //	yadA karoti duzprajQaH narake pacyate Druvam // 13 //
   narakā ye samākhyātā avīcyādyā bhayānakāḥ /	narakAH ye samAKyAtAH avIci a AdyAH BayAnakAH /
   tatra vāsaḥ samākhyāta ācāryasya hi nindanāt // 14 //	tatra vAsaH samAKyAtaH AcAryasya hi nindanAt // 14 //
   tasmāt sarvaprayatnena vajrācāryaṃ mahāgurum /	tasmAt sarva prayatnena vajra AcAryam mahA gurum /
   pracchannavarakalyāṇaṃ nāvamanyet kadācana // 15 //	pracCanna vara kalyANam na avamanyet kadAcana // 15 //
   yatheṣṭadakṣiṇādānād gurubhaktaṃ sagauravam /	yaTA izwa dakziNa AdAnAt guru Baktam sa gOravam /
   uktā jvarādayastāpā na bhūyaḥ prabhavanti hi // 16 //	uktAH jvara AdayaH tApAH na BUyas praBavanti hi // 16 //
   adeyaiḥ putradārādyairasubhirvā nijairapi /	adeyEH putra dAra AdyEH asuBiH vA nijEH api /
   sevyaḥ svasaṃvarācārya kiṃ punarvibhavaiścalaiḥ // 17 //	sevyaH sva saMvara AcArya kim punar viBavEH calEH // 17 //
   yataḥ sudurlabhaṃ vastu kalpāsaṃkhyeyakoṭibhiḥ /	yatas su durlaBam vastu kalpa asaMKyeya kowiBiH /
