   agnir yatrābhimathyate SvetUp_2.6a	agniH yatra-aBimaTyate Svetu-up_2.6a
   agner jyotir nicāyya SvetUp_2.1 c	agneH jyotiH nicAyya Svetu-up_2.1 c
   aghorāpāpa-kāśinī SvetUp_3.5 b	aGora-apApa--kASinI Svetu-up_3.5 b
   aṅguṣṭha-mātraḥ puruṣo 'ntarātmā SvetUp_3.13a	aFguzWa--mAtraH puruzaH antarAtmA SvetUp_3.13a
   aṅguṣṭha-mātro ravi-tulya-rūpaḥ SvetUp_5.8a	aFguzWa--mAtraH ravi--tulya--rUpaH SvetUp_5.8a
   ajaṃ dhruvaṃ sarva-tattvair viśuddhaṃ SvetUp_2.15c	ajam Druvam sarva--tattvEH viSudDam SvetUp_2.15c
   ajāta ity evaṃ kaścid SvetUp_4.21a	ajAtaH iti evam kaScid SvetUp_4.21a
   ajām ekāṃ lohita-śukla-kṛṣṇāṃ SvetUp_4.5a	ajAm ekAm lohita--Sukla-kRzNAm SvetUp_4.5a
   ajā hy ekā bhoktṛ-bhogyārtha-yuktā SvetUp_1.9b	ajA hi ekA BoktR--Bogya-arTa-yuktA Svetu-up_1.9b
   ajo hy eko juṣamāṇo 'nuśete SvetUp_4.5c	ajaH hi ekaH juzamANaH anuSete Svetu-up_4.5c
   aṇor aṇīyān mahato mahīyān SvetUp_3.20 a	aNoH aNIyAt mahataH mahIyAn SvetUp_3.20 a
   [a]tyatiṣṭhad daśāṅgulam SvetUp_3.14d	[a]ti-atizWat daSa-aFgulam Svetu-up_3.14d
   atyāśramibhyaḥ paramaṃ pavitraṃ SvetUp_6.21c	ati-ASramiByaH paramam pavitram SvetUp_6.21c
   atrāntaraṃ brahma-vido viditvā SvetUp_1.7c	atra-antaram brahma--vidaH viditvA SvetUp_1.7c
   athetare duḥkham evāpi yanti SvetUp_3.10d	aTa-itare duHKam eva-api yanti SvetUp_3.10d
   adhiṣṭhitāḥ kena sukhetareṣu SvetUp_1.1c	aDizWitAH kena suKa-itarezu Svetu-up_1.1c
   anantaś cātmā viśva-rūpo hy akartā SvetUp_1.9c	anantaH ca-AtmA viSva-rUpaH hi akartA SvetUp_1.9c
   anaśnann anyo abhicākaśīti [*17] SvetUp_4.6 d	anaSnan anyaH aBicAkaSIti [*17] SvetUp_4.6 d
   anādimat tvaṃ vibhutvena vartase SvetUp_4.4c	anAdimat tvam viBu-tvena vartase Svetu-up_4.4c
   anādy-anantaṃ kalilasya madhye SvetUp_5.13a	anAdy-anantam kalilasya maDye SvetUp_5.13a
   anīśaś cātmā badhyate bhoktṛ-bhāvāj SvetUp_1.8c	anISaH ca-AtmA baDyate BoktR-BAvAt Svetu-up_1.8c
   apāṇi-pādo javano grahītā SvetUp_3.19a	apANi-pAdaH javanaH grahItA SvetUp_3.19a
   amṛtasya paraṃ setuṃ SvetUp_6.19c	amRtasya param setum SvetUp_6.19c
   aṣṭakaiḥ ṣaḍbhir viśva-rūpaika-pāśaṃ SvetUp_1.4c	azwakEH zaxBiH viSva--rUpa-eka-pASam SvetUp_1.4c
   asmān māyī sṛjate viśvam etat SvetUp_4.9c	asmAt mAyI sRjate viSvam etat Svetu-up_4.9c
   asmin kṣetre saṃharaty eṣa devaḥ SvetUp_5.3b	asmin kzetre saMharati eza devaH Svetu-up_5.3b
   asmin haṃso bhrāmyate brahma-cakre SvetUp_1.6b	asmin haMsaH BrAmyate brahma-cakre Svetu-up_1.6b
   asya mahimānam iti vīta-śokaḥ SvetUp_4.7d	asya mahimAnam iti vIta-SokaH Svetu-up_4.7d
   ātma-vidyā-tapo-mūlaṃ SvetUp_1.16c	Atma-vidyA--tapo--mUlam SvetUp_1.16c
   ātmā guhāyāṃ nihito 'sya jantoḥ SvetUp_3.20 b	AtmA guhAyAm nihitaH asya jantoH SvetUp_3.20 b
   ātmāpy anīśaḥ sukha-duḥkha-hetoḥ SvetUp_1.2d	AtmA-api anISaH suKa--duHKa--hetoH Svetu-up_1.2d
   āditya-varṇaṃ tamasaḥ parastāt SvetUp_3.8 b	Aditya--varNam tamasaH parastAt Svetu-up_3.8 b
   ādiḥ sa saṃyoga-nimitta-hetuḥ SvetUp_6.5a	AdiH sa saMyoga--nimitta--hetuH SvetUp_6.5a
   āpaḥ srotaḥsv araṇīṣu cāgniḥ SvetUp_1.15b	ApaH srotaHsu araNIzu ca-agniH Svetu-up_1.15b
   ā ye dhāmāni divyāni tasthuḥ SvetUp_2.5 d	A ye DAmAni divyAni tasTuH SvetUp_2.5 d
   ārabhya karmāṇi guṇānvitāni SvetUp_6.4a	AraBya karmANi guNa-anvitAni SvetUp_6.4a
   ārāgra-mātro 'py aparo 'pi dṛṣṭaḥ SvetUp_5.8d	ArAgra--mAtraH api aparaH api dRzwaH Svetu-up_5.8d
