   oṃ	om
   śrīmatprabhākaragurutantradhurandhareṇa	SrImat-praBA-kara-guru-tantra-DuranDareNa
   mahāmahopādhyāya-śālikanāthamiśreṇa praṇītā prakaraṇapañcikā	mahA-mahA-upADyAya--SAlika-nATa-miSreNa praNItA prakaraNa-paQcikA
   nyāyasiddhyākhyayā vyākhyayā viṣamasthalaṭipparāyā	nyAya-sidDi-AKyayA vyAKyayA vizama-sTalawipparAyA
   ca samalaṅkṛtā	ca samalaFkRtA
   PARICCHEDA 1	PARICSHEDAH 1
   athāṅgapārāyaṇe sannipattyopakārakāṅganirupaṇaparaḥ prathamaḥ paricchedaḥ	aTa-aFga-pArAyaNe sannipattyA-upakAraka-aFga-nirupaNa-paraH praTamaH paricCedaH
   prakaṇārthapratijñā /	prakaNa-arTa-pratijQA /
   1374vyākhyāvikalpasambhavamaṅgānyadhikṛtya saṃśayaṃ chettum /	1374-vyAKyA-vikalpa-samBavam-aFgAni-aDikRtya saMSayam Cettum /
   paramaṃ prabhākaragurorgambhīraṃ bhāvamabhidhāsye1375 // 1 //	paramam praBAkara-guroH-gamBIram BAvam-aBiDAsye1375 // 1 //
   aṅgānāṃ cāturvidhyam /	aFgAnAm cAturviDyam /
   iha caturvidhamaṅgajātam--jāti-guṇa-dravya-bhāvārthātmakam /	iha caturviDam-aFga-jAtam---jAti--guNa-dravya--BAva-arTa-Atmakam /
   tatra bhāvārthātmakamapi dvividham---sannipattyopakārakam,	tatra BAva-arTa-Atmakam-api dviviDam-----sannipattyA-upakArakam,
   ārādupakārakañceti /	ArAt-upakAra-kaQcA-iti /
   sannipātināṃ cāturvidhyam /	sannipAtinAm cAturviDyam /
   tatra sannipattyopakārakaṃ caturvidhraṃ,	tatra sannipattyA-upakArakam caturviDraM,
   sādhyabhūtotpatti-prāpti-vikṛti-saṃskṛtibhedāt /	sADya-BUta-utpatti-prApti-vikRti--saMskRti-BedAt /
   1376yathākramaṃ saṃyavana-dohana-vilāpana-prokṣaṇādirūpam /	1376yaTAkramam saMyavana--doha-na-vilApana--prokzaNa-Adi-rUpam /
   tatra saṃyavanena prāgabhūtaḥ piṇḍa utpadyate /	tatra saMyavanena prAc-aBUtaH piNxe utpadyate /
   sadeva kṣīraṃ dohanena prāpyate /	sat-eva kzIram dohanena prApyate /
   vilāpanena prācīṃ saṃhatāvasthāmapabādhya, itarā	vilApanena prAcIm saMhata-avasTAm-apabADya, itarA
   dravāvasthā'jyasyotpadyate /	drava-avasTA-ajyasya-utpadyate /
   pārthivaṃ hyājyaṃ gandhavattvāt svabhāvatassaṃhatarūpamagnisaṃyogena	pArTivam hi-Ajyam ganDavat-tvAt svaBAvatassaMhata-rUpam-agni-saMyogena
   dravībhavati /	dravIBavati /
   tadāha bhagavānkāśyapaḥ---"sarpir-jatu-madhū-cchiṣṭānāṃ	tat-Aha BagavAn-kASyapaH----"sarpiH--jatu--maDU-=-CizwAnAm
   pārthivānāmagnisaṃyogāt dravatvamadbhissāmānyam" [vai. da. a. 2. ā. 1. sū.	pArTivAnAm-agni-saMyogAt drava-tvam-adBiH-sAmAnyam" [vE. da. a. 2. A. 1. sU.
   6] iti /	6] iti /
   tathā śābdairapyuktam---"agnisaṃyogenā'jyaṃ dravībhavatīti	taTA SAbdEH-api-uktam----"agni-saMyogenA-ajyam dravIBavati-iti
   cvipratyayaprayogādi"ti /	cvipratyaya-prayoga-Adi"ti /
   prokṣaṇantu dravyasya na prāgavasthādhvaṃsena daśāntaramādadhāti---iti /	prokzaNantu dravyasya na prAc-avasTA-DvaMsena daSa-antaram-AdaDAti---iti /
   ślokaścātra bhavati---pūrvāvsthāprahāṇena daśāntaraparigraham1377 /	SlokaH-ca-atra Bavati----pUrvO=-sTA-prahANena daSa-antara-parigraham-1377 /
   vikāramāhussaṃskāraṃ kevalātiśayodayam1378 // 2 //	vikAram-Ahu-ssaMskAram kevala-atiSaya-udayam-1378 // 2 //
   iti /	iti /
   sannipātināmaṅgānāṃ lakṣaṇam /	sannipAtinAm-aFgAnAm lakzaNam /
   kiṃ punareṣāṃ caturṇāmapi sannipattyopakāritve lakṣaṇam ?	kim punar-ezAm caturNAm-api sannipattyA-upakAri-tve lakzaNam ?
   1379yat-kāraka-vidhyapekṣaṃ phalaṃ janayati, tata-saṃnipattyopakārakam /	1379yat--kAraka-viDi-apekzam Palam janayati, tata--saMnipattya-upakArakam /
   yathā--karttari snānam,1380 karmaṇyavaghātādi, adhikaraṇe	yaTA-a--karttari snAnam,1380 karmaNi-avaGAta-Adi, aDikaraNe
   dadhyānayanamityādyūhanīyam /	daDyAnayanam-ityAdi-UhanIyam /
   bhāṭṭhamatenā'śaṅkā /	BAwWa-matenA-aSaFkA /
   tatra sannipattyopakārakāṅgavākyeṣu kecitpṛthagvidhīnabhyupagacchanti /	tatra sannipattyA-upakAraka-aFga-vAkyezu kecid-pRTagviDIn-aByupagacCanti /
   te hi manyante---yadyatra pṛthagvidhayo nābhyupagamyeran,	te hi manyante---yat-yatra pRTagviDayaH nAByupagamyeran,
   tadādhikṛtādhikārādaṅgataivāvaghātādīnāṃ na syāt /	tadA-aDikRta-aDikArAt-aFga-tA-eva-avaGAta-AdInAm na syAt /
   na ca dravyasambandhamukhena prakṛtādhikārāpūrvasambandhādaṅgatāsiddhiḥ,	na ca dravya-sambanDa-muKena prakRta-aDikArA-pUrva-sambanDAt-aFga-tA-sidDiH,
   vrīhyādiśabdānāmākṛtivacanatvāt /	vrIhi-Adi-SabdAnAm-AkRti-vacana-tvAt /
