   śrīgaṇādhipataye namaḥ /	SrI gaNADipataye namaH /
   sarasvatyainamaḥ /	sarasvatyA enamaH /
   atha śrīgaruḍamahāpurāṇaṃ prārabhyate /	aTa SrI garuxa mahApurANam prAraByate /
   tatrādau karmakāṇḍākhyaḥ pūrvakhaṇḍaḥ prārabhyate /	tatra AdO karmakANxa AKyaH pUrva KaNxaH prAraByate /
   oṃ nārāyaṇaṃ namaskṛtya naraṃ caiva narottamam /	om nArAyaNam namaskRtya naram ca eva narottamam /
   devīṃ sarasvatīṃ caiva tato jayamudīrayet // GarP_Mang.1 //	devIm sarasvatIm ca eva tatas jayam udIrayet // GarP_Mang.1 //
   oṃ ajamajaramanantaṃ jñānarūpaṃ mahāntaṃ śivamamalamanādiṃ	om ajam ajaram anantam jQAna rUpam mahAntam Sivam amalam anAdim
   bhūtadehādihīnam /	BUta deha Adi hInam /
   sakalakaraṇahīnaṃ sarvabhūtasthitaṃ taṃ harimamalamamāyaṃ sarvagaṃ vanda	sakala karaNa hInam sarva BUta sTitam tam harim amalam ama ayam sarvagam vanda
   ekam // GarP_1,1.1 //	ekam // GarP_1,1.1 //
   namasyāmi hariṃ rudraṃ brahmāṇaṃ ca gaṇādhipam /	namasyAmi harim rudram brahmANam ca gaNADipam /
   devīṃ sarasvatīṃ caiva manovākkarmabhiḥ sadā // GarP_1,1.2 //	devIm sarasvatIm ca eva manaH vAk karmaBiH sadA // GarP_1,1.2 //
   sūtaṃ paurāṇikaṃ śāntaṃ sarvaśāstraviśāradam /	sUtam pOrANikam SAntam sarva SAstra viSAradam /
   viṣṇubhaktaṃ mahātmānaṃ naimiśāraṇyamāgatam // GarP_1,1.3 //	vizNu Baktam mahAtmAnam nEmiSa araNyam Agatam // GarP_1,1.3 //
   tīrthayātrāprasaṅgena upaviṣṭaṃ śubhāsane /	tIrTa yAtrA prasaFgena upavizwam SuBa Asane /
   dhyāyantaṃ viṣṇumanaghaṃ tamabhyarcyāstuvankavim // GarP_1,1.4 //	DyAyantam vizNum anaGam tam aByarcya astuvan kavim // GarP_1,1.4 //
   śaunakādyā mahābhāgā naimiṣīyāstapodhanāḥ /	SOnaka AdyAH mahABAgAH nEmizIyAH tapoDanAH /
   munayo ravisaṅkāśāḥ śāntā yajña parāyaṇāḥ // GarP_1,1.5 //	munayaH ravi saFkASAH SAntAH yajQa parAyaNAH // GarP_1,1.5 //
   ṛṣaya ūcuḥ /	RzayaH UcuH /
   sūta ! jānāsi sarvaṃ tvaṃ pṛcchāmastvāmato vayam /	sUta ! jAnAsi sarvam tvam pRcCAmaH tvAm atas vayam /
   devatānāṃ hi ko deva īśvaraḥ pūjya eva kaḥ // GarP_1,1.6 //	devatAnAm hi kaH devaH ISvaraH pUjyaH eva kaH // GarP_1,1.6 //
   ko dhyeyaḥ ko jagatsraṣṭā jagatpātti ca hanti kaḥ /	kaH DyeyaH kaH jagatsrazwA jagatpAtti ca hanti kaH /
   kasmātpravartate dharmo duṣṭahantā ca kaḥ smṛtaḥ // GarP_1,1.7 //	kasmAt pravartate DarmaH duzwa hantA ca kaH smRtaH // GarP_1,1.7 //
   tasya devasya kiṃ rūpaṃ jagatsargaḥ kathaṃ mataḥ /	tasya devasya kim rUpam jagat sargaH kaTam mataH /
   kairvrataiḥ sa tu tuṣṭaḥ syātkena yogena vāpyate // GarP_1,1.8 //	kEH vratEH sa tu tuzwaH syAt kena yogena vA Apyate // GarP_1,1.8 //
   avatārāśca ke tasya kathaṃ vaṃśādisambhavaḥ /	avatArAH ca ke tasya kaTam vaMSa Adi samBavaH /
   varṇāśramādidharmāṇāṃ kaḥ pātā kaḥ pravartakaḥ // GarP_1,1.9 //	varNa ASrama Adi DarmANAm kaH pAtA kaH pravartakaH // GarP_1,1.9 //
   etatsarvaṃ tathānyacca brūhi sūta ! mahāmate ! /	etat sarvam taTA anyat ca brUhi sUta ! mahAmate ! /
   nārāyaṇakathāḥ sarvāḥ kathayāsmākamuttamāḥ // GarP_1,1.10 //	nArAyaNa kaTAH sarvAH kaTaya asmAkam uttamAH // GarP_1,1.10 //
   sūta uvāca /	sUtaH uvAca /
   purāṇaṃ gāruḍaṃ vakṣye sāraṃ viṣṇukathā śrayam /	purANam gAruxam vakzye sAram vizNu kaTA Srayam /
   garuḍoktaṃ kaśyapāya purā vyāsācchrutaṃ mayā // GarP_1,1.11 //	garuxa uktam kaSyapAya purA vyAsAt Srutam mayA // GarP_1,1.11 //
   eko nārāyaṇo devo devānāmīśvareśvaraḥ /	ekaH nArAyaNaH devaH devAnAm ISvara ISvaraH /
   paramātmā paraṃ brahma janmādyasya yato bhavet // GarP_1,1.12 //	paramAtmA param brahma janma Adyasya yatas Bavet // GarP_1,1.12 //
   jagato rakṣaṇārthāya vāsudevo 'jaro 'maraḥ /	jagataH rakzaNa arTAya vAsudevaH ajaraH amaraH /
   sa kumārādirūpeṇa avatārānkarotyajaḥ // GarP_1,1.13 //	sa kumAra Adi rUpeNa avatArAn karoti ajaH // GarP_1,1.13 //
   hariḥ sa prathamaṃ devaḥ kaumāraṃ sargamāsthitaḥ /	hariH sa praTamam devaH kOmAram sargam AsTitaH /
   cacāra duścaraṃ brahman brahmacaryamakhaṇḍitam // GarP_1,1.14 //	cacAra duScaram brahman brahmacaryam aKaNxitam // GarP_1,1.14 //
   dvitīyaṃ tu bhavāyāsya rasātalagatāṃ mahīm /	dvitIyam tu BavAya asya rasAtala gatAm mahIm /
   uddhariṣyannupādatte yajñeśaḥ saukaraṃ vapuḥ // GarP_1,1.15 //	udDarizyan= upAdatte yajQeSaH sOkaram vapuH // GarP_1,1.15 //
   tṛtīyamṛṣisargaṃ tu devarṣitvamupetya saḥ /	tRtIyam Rzi sargam tu devarzi tvam upetya saH /
   tantraṃ sātvatamācaṣṭe naiṣkarmyaṃ karmaṇāṃ yataḥ // GarP_1,1.16 //	tantram sAtvatam Acazwe nEzkarmyam karmaNAm yatas // GarP_1,1.16 //
   naranārāyaṇo bhūtvā turye tepe tapo hariḥ /	nara nArAyaNaH BUtvA turye tepe tapaH hariH /
   dharmasaṃ rakṣaṇārthāya pūjitaḥ sa surāsuraiḥ // GarP_1,1.17 //	Darmasam rakzaNa arTAya pUjitaH sa sura asurEH // GarP_1,1.17 //
   pañcamaḥ kapilo nāma siddheśaḥ kālaviplutam /	paQcamaH kapilaH nAma sidDa ISaH kAla viplutam /
   provāca sūraye sāṅkhyaṃ tattvagrāmavi nirṇayam // GarP_1,1.18 //	provAca sUraye sAFKyam tattva grAmavi nirNayam // GarP_1,1.18 //
   ṣaṣṭhamatrerapatyatvaṃ dattaḥ prāpto 'nasūyayā /	zazWam atreH apatya tvam dattaH prAptaH anasUyayA /
   ānvīkṣikīmalarkāya prahlādādibhya ūcivān // GarP_1,1.19 //	AnvIkzikIm alarkAya prahlAda AdiByaH UcivAn // GarP_1,1.19 //
   tataḥ sapta ākūtyāṃ ruceryajño 'bhyajāyata /	tatas sapta AkUtyAm ruceH yajQaH aByajAyata /
   sutrāmādyaiḥ suragaṇairyaṣṭvā svāyambhuvāntare // GarP_1,1.20 //	sutrAma AdyEH sura gaNEH yazwvA svAyamBuva antare // GarP_1,1.20 //
   aṣṭame merudevyāṃ tu nābherjāta urukramaḥ /	azwame merudevyAm tu nABeH jAtaH urukramaH /
   darśayanvartma nārīṇāṃ sarvāśramanamaskṛtam // GarP_1,1.21 //	darSayan vartma nArINAm sarva ASrama namaskRtam // GarP_1,1.21 //
   ṛṣibhiryācito bheje navamaṃ pārthivaṃ vapuḥ /	RziBiH yAcitaH Beje navamam pArTivam vapuH /
   dugdhairmahauṣadhairviprāstena saṃjīvitāḥ prajāḥ // GarP_1,1.22 //	dugDEH mahOzaDEH viprAH tena saMjIvitAH prajAH // GarP_1,1.22 //
   rūpaṃ sa jagṛhe mātsyaṃ cākṣuṣāntarasaṃplave /	rUpam sa jagRhe mAtsyam cAkzuza antara saMplave /
   nāvyāropya mahīmayyāmapādvaivasvataṃ manum // GarP_1,1.23 //	nAvi Aropya mahImayyAm apAt vEvasvatam manum // GarP_1,1.23 //
