   Kāvyaprakāśaḥ	KAvya prakASaH
   prathama ullāsaḥ	praTamaH ullAsaH
   granthārambhe vighnavighātāya samuciteṣṭadevatāṃ granthakṛt parāmṛśati	granTa AramBe viGna viGAtAya samucita izwadevatAm granTa kRt parAmRSati
   niyatikṛtaniyamarahitāṃ hlādaikamayīmananyaparatantrām /	niyati kRta niyama rahitAm hlAda eka mayIm ananya paratantrAm /
   navarasarucirāṃ nirmitimādadhatī bhāratī kaverjayati // MKpr K_1 //	nava rasa rucirAm nirmitim AdaDatI BAratI kaveH jayati // MKpr K_1 //
   niyatiśaktyā niyatarūpā sukhaduḥkhamohasvabhāvā	niyati SaktyA niyata rUpA suKa duHKa moha svaBAvA
   paramāṇvādyupādānakarmādisahakārikāraṇaparatantrā ṣaḍrasā na ca hṛdyaiva	paramANu Adi upAdAna karma Adi sahakAri kAraNa paratantrA zaz rasAH na ca hRdyA eva
   taiḥ, tādṛśī brahmaṇo nirmitirnirmāṇam / etadvilakṣaṇā tu kavivāṅnirmitiḥ	tEH, tAdRSI brahmaNaH nirmitiH nirmANam / etat vilakzaNA tu kavi vAc nirmitiH
   / ata eva jayati / jayatyarthena ca namaskāra ākṣipyate iti tāṃ pratyasmi	/ atas eva jayati / jayati arTena ca namaskAraH Akzipyate iti tAm pratyasmi
   praṇata iti labhyate //1//	praNataH iti laByate //1//
   ihābhidheyaṃ saprajyojanamityāha     	iha aBiDeyam sa prajyojanam iti Aha     
   kāvyaṃ yaśase 'rthakṛte vyavahāravide śivetarakṣataye /	kAvyam yaSase arTa kRte vyavahAra vide Siva itara kzataye /
   sadyaḥ paranirvṛtaye kāntāsaṃmitatayopadeśayuje // MKpr K_2 //	sadyas para nirvRtaye kAntA saMmita tayA upadeSa yuje // MKpr K_2 //
   kālidāsādīnāmiva yaśaḥ śrīharṣāderdhāvakādīnāmiva dhanam	kAli dAsa AdInAm iva yaSaH SrI harza AdeH DAvaka AdInAm iva Danam
   rājādigatocitācāraparijñānam ādityādermayūrādīnāmivānarthanivāraṇam /	rAja Adi gata ucita AcAra parijQAnam Aditya AdeH mayUra AdInAm iva anarTa nivAraNam /
   sakalaprayojanamaulibhūtaṃ samanantarameva rasāsvādana samudbhūtaṃ	sakala prayojana mOli BUtam samanantaram eva rasa AsvAdana  samudBUtam
   vigalitavedyāntaramānandam prabhusaṃmitaśabdapradhānavedādiśāstrebhyaḥ	vigalita vedya antaram Anandam praBu saMmita Sabda praDAna veda Adi SAstreByaH
   śabdārthayorguṇabhāvena rasāṅgabhūtavyāpārapravaṇatayā vilakṣaṇaṃ yat	Sabda arTayoH guNa BAvena rasa aFga BUta vyApAra pravaNa tayA vilakzaNam yat 
   kāvyaṃ lokottaravarṇanānipuṇakavikarma tat kānteva	kAvyam loka uttara varNa nAni puNaka vikarma tat kAntA iva
   sarasatāpādanenābhimukhīkṛtya rāmādivadvartitavyaṃ na	sarasa tA ApAdanena aBimuKIkRtya rAma Adi vat vartitavyam na
   rāvaṇādivadityupadeśaṃ ca yathāyogaṃ kaveḥ sahṛdayasya ca karotīti	rAvaNa Adi vat iti upadeSam ca yaTAyogam kaveH sahRdayasya ca karoti iti
   sarvathā tatra yatanīyam //2//	sarvaTA tatra yatanIyam //2//
   evamasya prayojanamuktvā kāraṇamāha     	evam asya prayojanam uktvA kAraNam Aha     
   śaktirnipuṇatā lokaśāstrakāvyādyavekṣaṇāt /	SaktiH nipuNa tA loka SAstra kAvya Adi avekzaNAt /
   kāvyajñaśikṣayābhyāsa iti hetustadudbhave // MKpr K_3 //	kAvya jQa SikzayA aByAsaH iti hetuH tad udBave // MKpr K_3 //
   śaktiḥ kavitvabījarūpaḥ saṃskāraviśeṣaḥ yāṃ vinā kāvyaṃ na prasaret	SaktiH kavi tva bIja rUpaH saMskAra viSezaH yAm vinA kAvyam na prasaret 
   prasṛtaṃ vā upahasanīyaṃ syāt / lokasya sthāvarajaṅgamātmakalokavṛttasya /	prasRtam vA upahasanIyam syAt / lokasya sTAvara jaFgama Atmaka loka vRttasya /
   śāstrāṇāṃ	SAstrANAm
   chandovyākaraṇābhidhānakośakalācaturvargagajaturagakhaḍgādilakṣaṇagranthānām	CandaH vyAkaraNa aBiDAna koSa kalA caturvarga gaja turaga Kaxga Adi lakzaNa granTAnAm
   / kāvyānāṃ ca mahākavisaṃbandhinām / ādigrahaṇāditihāsānāṃ ca	/ kAvyAnAm ca mahA kavi saMbanDinAm / Adi grahaNAt itihAsAnAm ca
   vimarśanādvyutpattiḥ / kāvyaṃ kartuṃ vicārayituṃ ca ye jānanti	vimarSanAt vyutpattiH / kAvyam kartum vicArayitum ca ye jAnanti
   tadupadeśena karaṇe yojane ca paunaḥpunyena pravṛttiriti / trayaḥ	tad upadeSena karaNe yojane ca pOnaHpunyena pravRttiH iti / trayaH
   samuditāḥ na tu vyastāḥ tasya kāvyasyodbhave nirmāṇe samullāse ca heturna	samuditAH na tu vyastAH tasya kAvyasya udBave nirmANe samullAse ca hetuH na
   tu hetavaḥ //3//	tu hetavaH //3//
   evamasya kāraṇamuktvā svarūpamāha     	evam asya kAraNam uktvA svarUpam Aha     
   tadadoṣau śabdārthau saguṇāvanalaṅkṛtī punaḥ kvāpi /	tad adozO Sabda arTO sa guNO= analaFkRtI punar kvApi /
   doṣaguṇālaṅkārāḥ vakṣyante / kvāpītyanenaitadāha yat sarvatra	doza guNa alaFkArAH vakzyante / kvApi iti anena etat Aha yat sarvatra
   sālaṅkārau kvacittu sphuṭālaṅkāravirahe 'pi na kāvyatvahāniḥ /	sa alaFkArO kvacid tu sPuwa alaFkAra virahe api na kAvya tva hAniH /
   yathā	yaTA
        {yaḥ kaumaraharaḥ sa eva hi varastā eva caitrakṣapāste	{yaH kOmara haraH saH eva hi varaH tAH eva cEtra kzapAH te
             conmīlitamālatīsurabhayaḥ prauḍhāḥ kadambānilāḥ /	ca unmIlita mAlatI sura BayaH prOXAH kadamba anilAH /
        sā caivāsmi tathāpi tatra suratavyāpāralīlāvidau	sA ca eva asmi taTA api tatra surata vyApAra lIlA vidO
             revārodhasi vetasītarutale cetaḥ samutkaṇṭhate //1//}	revA roDasi vetasI taru tale cetaH samutkaNWate //1//}
                       ([Śīlābhaṭṭārikā], etc.)	([ŚIlA BawwArikA], ed c.)
