   Viṣṇu_1	VizNu_1
   Viṣṇu 1.01a/ brahma-rātryāṃ vyatītāyāṃ prabuddhe padma-saṃbhave /	VizNu 1.01a/ brahma-rAtryAm vyatItAyAm prabudDe padma--saMBave /
   Viṣṇu 1.01c/ viṣṇuḥ sisṛkṣur\ bhūtāni jñātvā\ bhūmiṃ jala-anugām //	VizNu 1.01c/ vizNuH sisRkzur\ BUtAni jQAtvA\ BUmim jala--anugAm //
   Viṣṇu 1.02a/ jala-krīḍā-ruci śubhaṃ kalpa-ādhiṣu yathā purā /	VizNu 1.02a/ jala--krIxA-ruci SuBam kalpa-ADizu yaTA purA /
   Viṣṇu 1.02c/ vārāham āsthito rūpam ujjahāra\ vasuṃdharām //	VizNu 1.02c/ vArAham AsTitaH rUpam ujjahAra\ vasuMDarAm //
   Viṣṇu 1.03a/ veda-pādo yūpa-daṃṣṭraḥ kratu-dantaś citī-mukhaḥ /	VizNu 1.03a/ veda-pAdaH yUpa-daMzwraH kratu--dantaH citI-muKaH /
   Viṣṇu 1.03c/ agni-jihvo darbha-romā brahma-śīrṣo mahā-tapāḥ //	VizNu 1.03c/ agni-jihvaH darBa-romAH brahma-SIrzaH mahA-tapAH //
   Viṣṇu 1.04a/ aho-rātra-īkṣaṇo divyo veda-aṅga-śruti-bhūṣaṇaḥ /	VizNu 1.04a/ aho-rAtra--IkzaNaH divyaH veda--aFga--Sruti-BUzaNaH /
   Viṣṇu 1.04c/ ājya-nāsaḥ sruva-tuṇḍaḥ sāma-ghoṣa-svano mahān //	VizNu 1.04c/ Ajya-nAsaH sruva-tuNxaH sAma-Goza--svanaH mahAn //
   Viṣṇu 1.05a/ dharma-satya-mayaḥ śrīmān krama-vikrama-satkṛtaḥ /	VizNu 1.05a/ Darma-satya-mayaH SrImAn krama--vikrama--satkRtaH /
   Viṣṇu 1.05c/ prāyaścitta-mahā-ghoṇaḥ paśu-jānur mahā-kṛtiḥ //	VizNu 1.05c/ prAyaScitta--mahA--GoNaH paSu--jAnuH mahA-kRtiH //
   Viṣṇu 1.06a/ udgātra-antro homa-liṅgo bīja-oṣadhi-mahā-phalaḥ /	VizNu 1.06a/ udgAtR-a-antraH homa-liFgaH bIja--ozaDi--mahA-PalaH /
